#漢字	音標	解釋
□	mu1	在心里想
□	ta1	～～:车（用于儿童语言）
□	lia1	舔
□	tɕʰia1	蝲～:蜘蛛
□	ŋɔ1	一～～:一点
□	pʰai1	～东西:用扁担的一头挑
□	luei1	打～:滚动
□	tsɔi1	男性生殖器
□	tsʰou1	端,饭、菜等
□	man1	～～:叔叔
□	ɔn1	～东西:拿
□	maŋ1	～～:饭（用于儿童语言）
□	aŋ1	～心:老实，不爱说话
□	xau2	形容人妖
□	puŋ2	打～:亲吻
□	kʰɔ3	疲倦
□	liɛn3	唠叨
□	ɛn3	东西硌脚底
□	tɕʰin3	有～:路件的人
□	aŋ3	瞥、看
□	xɔŋ3	发霉
□	luŋ3	哄骗
□	sa5	～红薯:用水煮熟
□	tiɛ5	～开:赶走
□	piau5	～你，～打:给，被
□	kou5	汤～成冻了
□	fɛn5	烘烤
□	tʰɛn5	～事:耽误
□	lɔn5	鸡～:未生蛋的小母鸡
□	xɔŋ5	～床:起床
□	la7	太阳毒辣
□	fɔ7	哄:～人
□	kɔ7	ma31～:什么
□	tsuei7	～火:挑拨离间
□	tou7	～湿:淋雨
□	tiou7	骂人的话
䘆	ɕiɛn3	蚯蚓
一	i7	
七	tɕʰi7	
万	uan3	
丈	tɕʰiɔŋ1	姑～
丈	tɕiɔŋ5	一～
三	san1	
上	sɔŋ1	～山
上	sɔŋ3	～面
下	xa1	底～，～来
不	n5	
与	y5	
丑	tɕʰiou3	～时
專	tɕyɛn1	
且	tɕʰiɛ5	
丕	pʰi1	
世	sɿ5	
丘	tɕʰiou1	
丙	pin5	
業	ȵiɛ3	
叢	tsʰuŋ2	
東	tuŋ1	
絲	sɿ1	
丟	tiou1	
兩	liɔŋ1	几～几钱
兩	liɔŋ3	～个
嚴	ȵiɛn2	
喪	saŋ1	～失
喪	sɔŋ1	婚～
丫	ia1	
中	tsuŋ1	～间
中	tsuŋ5	射～
丰	fuŋ1	
串	tɕʰyɛn5	
臨	lin2	
丸	uan2	
丹	tan1	
爲	uei2	作～
爲	uei3	～什么
主	tɕy3	
丽	li2	
舉	tɕy3	
久	tɕiou3	
麼	ma3	～kɛ42:什么
義	ȵi5	
之	tsɿ1	
烏	u1	
乏	fa7	
樂	lɔ3	快～
喬	tɕʰiau2	
乘	tɕʰin2	
乙	iɛ3	
九	tɕiou3	
乞	tɕʰi3	
也	iɛ5	
習	ɕiɛ3	
鄉	ɕiɔŋ1-	
鄉	ɕiaŋ1=	
書	ɕy1	
亂	lɔn3	
乳	y5	
乾	tɕʰiɛn2	～坤
了	liau5	～结
爭	tsaŋ1-	
爭	tsɛn1=	
事	sɿ3	
二	ȵi3	
于	y2	
虧	kʰuei1	
