#漢字	音標	解釋
□	tʰi1	ti35①～头：坟墓
□	pu1	打～：亲吻
□	tsʰu1	～到：呛到水了
□	la1	用烧红的火钳烫猪毛来去除毛
□	lia1	～呱：用鞋子在地上来回搓
□	ȵia1	～法：小气
□	tɛ1	给
□	lɛ1	刺
□	lai1	～ɕiɛ⓪：形容丢三落四
□	lai1	～呔
□	kʰuai1	圈
□	uai1	～哉：形容多手多脚
□	ei1	～ia⓪：妈妈
□	tsuei1	～猪肉：死猪肉
□	suei1	形客一个人没本事，很窝囊
□	nau1	～药：毒药
□	ɕiau1	～梨：梨子
□	tsou1	～倒：蹲着
□	pʰan1	把东西用力摔在地上
□	nan1	小孩子用手拿菜吃
□	xan1	用水泡着
□	ten1	～猪：劁猪
□	en1	～出去：抱出去
□	laŋ1	牙齿掉了变稀疏了
□	aŋ1	用拳头砸
□	moŋ1	～一拳：揍别人一拳
□	noŋ1	(原文作𫯒)带着不满情绪地一直嘟哝着
□	tsoŋ1	～紧：塞
□	ti2	ti41②～头：里面
□	pu2	～进去：抱进去
□	la2	蜘蛛：la41②tɕia⓪
□	la2	la41②kua⓪：脏东西
□	iɛ2	～呱哩：水果不甜
□	lai2	～尿：小孩尿裤子、尿床
□	lai2	丢失
□	tsai2	～嘻：语气词，表惊讶
□	sai2	好～：形容很厉害
□	ŋai2	形容一个人做事喜欢拖拉
□	nen2	用手用力提
□	tɕʰin2	瓦罐
□	maŋ2	～槌：棒槌
□	pʰoŋ2	用手撑着再用力一跳
□	soŋ2	好～：脾气差
□	pa3	～pa55③：奶奶
□	xa3	把桌子上或碗里的东西全部扫入另一个容器里
□	a3	形容一个人很不听劝
□	lia3	用舌头舔
□	ia3	掺合了太多水而很稀
□	ua3	抓痒
□	pʰai3	～起：用木棍一头把袋挑起来架在肩上
□	kʰuai3	遭～子：遭殃
□	xuai3	好～嘚：很能吃，能吃很多
□	lau3	～lau⓪：弟弟
□	kau3	嬉～：玩耍
□	tiou3	同脚踩好
□	liou3	～倒：绊倒
□	man3	～姑：对妇女的一种蔑称
□	an3	身体往后仰
□	pʰian3	蘸一点
□	ian3	～皮：用来阻挡气流的很薄很小的一层塑料膜
□	tʰen3	道路中高于路面的一道块
□	kʰen3	～紧：盖紧
□	en3	被什么东西梗着，不舒服
□	naŋ3	左右晃使子的液体搅匀
□	xaŋ3	食物发霉变质
□	aŋ3	～眼珠：刺眼
□	kuaŋ3	甘蔗
□	tsʰa5	～熟：把食物放锅里用水慢慢煮熟
□	xɛ5	～到：碰到
□	kau5	用东西交换
□	piau5	给
□	tʰiou5	把液体倒入瓶子里
□	an5	锅子暂时不用时装些水浸泡着
□	muan5	没有牙齿而用口腔慢慢研磨食物
□	paŋ5	～例：藏起来
□	tʰaŋ5	生小猪
□	naŋ5	～tɕiaŋ55③：食物很腻人
□	kʰaŋ5	～到：撞到
□	uaŋ5	丢掉
□	poŋ5	～起屁股：撅起屁股
□	loŋ5	骗
□	oŋ5	闭塞不通风
㸊	lai5	
䠍	tɕʰia1	
一	iɛ2	
丁	tin5	～囊古：树墩
七	tɕʰiɛ1	
万	uan1	
丈	tsaŋ5	
三	san1	
上	saŋ1	
下	xa1-	
下	ɕia1=	
丑	tɕʰiou3	
專	tɕyan1	
東	toŋ1	
絲	sɿ1	
丞	tɕʰin2	
丟	tiou1	
兩	liaŋ3	
嚴	ȵian2	
喪	saŋ1	
中	tsoŋ5-	射～
中	toŋ1	～间
中	tsoŋ1=	～国
丰	foŋ1	
串	tɕʰyan1	
臨	lin2	
丹	tan1	
爲	uei2	
主	tɕy3	
舉	tɕy3	
久	tɕiou3	
乒	pʰin1	
乓	pʰaŋ3	
乖	kuai1	
乘	tsʰen2	
乘	tɕʰin2	
九	tɕiou3	
習	ɕiɛ2	
鄉	ɕiaŋ1	
書	ɕy1	
買	mai3	
亂	luan5	
爭	tsaŋ1	
事	sɿ1	
虧	kʰuei1	
雲	yn2	
五	m̩3	
井	tɕiaŋ3	
交	tɕiau1	
產	tsʰan3	
畝	mu3	
享	ɕiaŋ3	
亭	tʰin2	
亮	liaŋ1	
親	tɕʰin1	
人	ȵin2-	
人	len2=	
仇	tɕʰiou2	
今	tɕin1	
介	kai5-	
介	tɕiɛ5=	
从	tsʰoŋ2	
倉	tsʰaŋ1	
仗	tsaŋ5	
仙	ɕian1	
代	tai5	
以	i3	
件	tɕian5	
價	ka5-	
價	tɕia5=	
任	in5	
份	fen5	
休	ɕiou1	
優	iou1	
會	xuei5	开～
傘	san3	
偉	uei3	
傳	tɕʰyan2	
傷	saŋ1	
估	ku1	
位	uei5	
低	ti1	
住	tɕʰy5	
佑	iou3	
體	tʰi3	
何	xo2	
佛	fo2	
作	tso2	
你	ȵi1	
佩	pʰei1	
侄	tɕʰiɛ5	
例	li5	
供	koŋ1	
側	tsɛ1	
侵	tɕʰin1	
便	pʰian2	～宜
係	ɕi3	关～
俗	su2	
保	pau3	
信	ɕin5	
修	ɕiou1	
倍	pʰei1	
倒	tau3	～水
倒	tau5	
借	tɕia5	
債	tsai5	
偃	iɛ1	
假	tɕia3	
偏	pʰian1	
做	tsu5	
停	tʰin2	
健	tɕian5	
偶	ŋiou3-	
偶	əiu3=	
偷	tʰiou1	
催	tsʰuei1	
像	tɕʰiaŋ1	
像	tɕʰiaŋ5	
僵	tɕiaŋ1	
允	yn3	
兄	ɕioŋ1	
充	tsʰoŋ1	
兆	tsau5	
先	ɕian1	
光	kuaŋ1	
免	mian3	
兌	tuei5	
兔	tʰu5	
黨	taŋ3	
兜	tiou1	
全	tɕʰyan2	
八	pa1	
公	koŋ1	
六	liou5	
蘭	lan2	
共	koŋ5	
關	kʰuan1	
