#漢字	音標	解釋
□	kə1	～子:梯子
□	ləu1	疼癢
□	luaŋ1	～的:圓的
□	tia1	打一～：打一下
□	tsaŋ1	～起背:彎腰
□	tsʰəu1	端，～碗
□	tsuəi1	～奶奶：吮吸
□	ya1	～衣袋古：掏口袋
□	ka2	～～:雞蛋
□	kʰua2	～子:上肢殘疾者
□	nau2	熱,～水
□	pʰa2	稀～:稀密
□	ie3	～婆：媽媽
□	kʰaŋ3	～腳:裹腳
□	kʰo3	老～:老婆
□	kʰuəi3	～死：絞死
□	kuəi3	～線：繞線
□	ləu3	動詞，掩蓋，用飯～倒
□	maŋ3	～～:童語:飯
□	mie3	～～:頭髮
□	naŋ3	一～水:一滴水
□	pʰa3	(腳)張開)
□	pʰia3	～籃子:提
□	po3	樅樹～～：松塔
□	tʰəŋ3	炮～:炮響
□	tʰəu3	歇,～氣
□	tsaŋ3	～薄:厚薄
□	tsʰua3	～嘴:歪嘴
□	ɕye5	～～:哨子
□	iəu5	小，～小
□	kau5	動詞，胳膊 箍，～樹子看有多大
□	kəu5	陷，～到泥巴巴果面去了
□	kuəi5	點，那～物事好
□	lə5	踩，～一腳
□	luaŋ5	巴結，央求，～倒他
□	mə5	爛，～了
□	pəŋ5	一～人
□	pʰiaŋ5	～腦古:搖頭
□	piəu5	彈，～手指
□	sau5	腳～筋,腳抽筋
□	ta5	一～人：一個人
□	təu5	湊：～夥
□	tʰəu5	鳥子～:鳥窩
□	tsʰua5	～雨:淋雨
□	tsi5	～水:濺水
□	va5	～扇子：搖扇子
□	xiaŋ5	動詞，倒，～水
□	kʰaŋ6	一球子:滾球
□	liaŋ6	～氣～財:忍氣即忍財
□	liaŋ6	～古:巷子
□	maŋ6	扯～～:批布
䘆	ɕiŋ3	～蟲:蚯蚓
一	i2	
一	tsʰəŋ2	
丁	tio1	
七	tsʰæ2	
丈	tsʰəŋ5	姐～
三	so1	
上	səŋ5	～樓
上	səŋ6	～面
下	xo5	～去
下	xo6	底～
世	sɿ5	
丘	tɕʰiəu1	
丫	io1	
丫	o1	～頭
主	tɕie3	
