#漢字	音標	解釋
□	kʰa1	一～菜
□	sia1	竹～：竹枝
□	ko1	～～硬
□	tsyo1	撮口
□	le1	踩踏
□	tʃʰe1	肥～：胖墩墩
□	kʰue1	赶牛声
□	ø1	睡着
□	kuæ1	鸡～，鸡鸭胃
□	tʃʰeu1	柚
□	ʃeu1	翻滚
□	piu1	喷射
□	kʰau1	汤煮
□	paŋ1	～罾：大的方形渔网
□	maŋ1	眯眼探视
□	laŋ1	刀痕
□	miaŋ1	油～
□	lɔŋ1	小睡片刻
□	tsʰiɔŋ1	竖锯
□	tsiɤŋ1	吻
□	kʰĩ1	鉴别成色
□	puĩ1	溢出
□	pʰuĩ1	蛘
□	lɛ̃1	～～韧
□	siɛ̃1	～子：神经不正常者
□	kiɛ̃1	～水：碱水
□	ʃa2	～俚：男人
□	tsʰyo2	豨～：小母猪
□	ŋæ2	老鹰
□	tsʰiu2	～留：和睦
□	ʃiu2	收回绳索
□	kʰiɔŋ2	撑展
□	miɛ̃2	～涧：涂好小涧
□	pʰa3	模子
□	la3	高举长根击
□	ʃa3	肩扛
□	pʰia3	
□	kia3	味涩
□	kʰia3	打赌、欺诈
□	ia3	抓、握
□	vo3	实、不空
□	tsʰyo3	淋，～雨
□	ie3	掰
□	tʃæ3	抓痒
□	tʃʰæ3	捞
□	tʃeu3	裤腰束紧
□	iaŋ3	～一下：将倒受惊
□	kʰuaŋ3	～门：用力关门
□	ɔŋ3	草木繁茂
□	kʰiɔŋ3	枫
□	tɤŋ3	拳击、捶打
□	tsĩ3	定夺
□	tsʰĩ3	稀
□	ŋĩ3	扭伤
□	tʰuĩ3	用锄～开
□	lɛ̃3	吐～
□	tʃʰɛ̃3	吵闹
□	xɛ̃3	提
□	pʰiɛ̃3	～樵：用斧头破柴
□	tʰiɛ̃3	门槛
□	tʰo5	～手，伸出手
□	ŋo5	m起头
□	pʰø5	泡沫
□	tsʰyø5	人：吓人
□	kʰæ5	砍，～柴
□	tiu5	气喘
□	tsiu5	拧干
□	paŋ5	从人群中钻去
□	faŋ5	～燥：搞干
□	laŋ5	～舌
□	ʃaŋ5	～水：洒水
□	aŋ5	闲置
□	ŋiaŋ5	出～：前额突出
□	kuaŋ5	～～叫：高声快说
□	ɔŋ5	食～
□	kiɔŋ5	挣脱
□	ʃɤŋ5	温热
□	kɤŋ5	扭曲
□	iɤŋ5	～水：平静舒缓的流水
□	ŋĩ5	颈部紧缩
□	tʰɛ̃5	～伙：交朋友
□	ɛ̃5	盖
□	tsʰiɛ̃5	～樵：柴
□	tʰyo6	路
□	pʰe6	搧，～火
□	tsʰie6	浸
□	kʰue6	～倒：病倒
□	pʰaŋ6	～骹：脚化脓
□	ʃaŋ6	嫁奁
□	kʰiaŋ6	跨
□	tʰɔŋ6	忘记
□	iɛ̃6	山～：山顶上
□	sy7	～包：腿肉
□	tʃʰy7	背后讨论
□	ky7	捕鱼竹具
□	pʰa7	～子：李子
□	ma7	凹下
□	la7	一瘸一瘸
□	pia7	一小堆
□	tʰia7	绑
□	sia7	煎～：炸糍饺
□	kia7	敏捷
□	kʰua7	一～痰
□	tʰo7	一～：一个面团
□	lo7	～下：滑落下
□	kʰie7	水田流水口
□	kue7	以眼示意
□	kʰue7	怒视
□	ŋue7	揉
□	xø7	喘气
□	ŋæ7	沾上
□	muæ7	无牙而嚼
□	uæ7	以棍狠击
□	sui7	炖～：炖蹄膀
□	saŋ7	松～：不粘
□	ŋaŋ7	溪～：水中石洞
□	siaŋ7	～鸡：引鸡吃食
□	kʰiaŋ7	路口挡牲畜的棚栏
□	sɤŋ7	～鼻：吸鼻涕
□	kʰɤŋ7	急走形态
□	kĩ7	～卵包：煮蛋包
□	kʰĩ7	～心：故意
□	vɛ̃7	～线：绞线
□	ʃɛ̃7	缠～：筑篱笆
□	kɛ̃7	～掉：死掉
□	piɛ̃7	～～的：糊糊的
□	pʰa8	萝卜
□	tsʰa8	蟑螂
□	lia8	竹编圆形晒具
□	tsia8	踏于水
㨪	fɤŋ5	
䁐	ŋiaŋ5	看
䇽	tʃe7	晒物竹席
䘆	ʃɛ̃3-	
䭕	tsʰiaŋ3	味淡
一	i3	
丁	tɛ̃1-	
丁	tĩ1=	
万	vɛ̃6	
丈	tʰiɔŋ2-	～人
丈	tʰiɔŋ3	
三	saŋ1	
上	ʃɔŋ3	～山
上	ʃɔŋ6	～下
下	xa3	～山
下	xa6	山～
不	pu3	
与	y3	
丑	tʰiu3	
專	tʃuɛ̃1	
且	tsʰia3	
世	ʃi5	
丘	kʰiu1	
丙	pĩ3	
業	ŋie8	
叢	tsʰɤŋ3-	一大～
叢	tsʰɤŋ2	小～
東	tɤŋ1	
絲	si1	
丞	ʃĩ2	
丟	te8	扔
丟	tiu1=	
兩	liɔŋ3	
嚴	ŋiɛ̃2	
喪	sɔŋ1	～事
喪	sɔŋ5	～失
个	ko5=	
丫	ia1	
中	tiɤŋ5-	～意
中	tʃɤŋ1	当～
中	tʃɤŋ5	打～
丰	fɤŋ1	
串	tʃʰuɛ̃5	
臨	lĩ2	
丸	vɛ̃2	
丹	tɛ̃1	
爲	vi2	作～
爲	vi6	～了
主	tʃy3	
丽	li8	
舉	ky3	
乃	læ3	
久	kiu3	
義	ŋi6	
之	tʃi1	
烏	u1	
乎	fu2	
乏	fa8	
樂	lo8	
樂	ŋo8	音～
乒	pʰĩ1	
乓	pʰɔŋ1	
喬	kʰiau2	
乖	kuæ1	
乘	ʃĩ2	
乙	i3	
乜	mie1	
九	kiu3	
乞	kʰuæ7-	～食
也	ia3	
習	si8	
鄉	ʃɔŋ1	
書	ʃy1	
買	mæ3	
亂	luɛ̃6	
乳	ŋy3	
乾	kʰiɛ̃2	～坤
了	liau3	
爭	tʃʰaŋ3-	
爭	tsɛ̃1=	
二	ø5	
二	ŋi6	
于	y2	
亏	kʰui1	
云	ỹ2	
互	fu6	
五	ɤŋ3	
井	tsiaŋ3-	
井	tsĩ3	
亘	kɛ̃3	
亞	a5	
些	sie1	
亡	vɔŋ2	
交	kau1	
亥	fuæ6	
亦	i5	
產	ʃuɛ̃3	
亨	xɛ̃1	
畝	meu3	
京	kĩ1	
亭	tʰĩ2=	
亮	liɔŋ6	
親	tsʰĩ1	
人	ŋĩ2	
億	i5	
仁	ŋĩ2	
仂	le5	用于人名末尾
仃	tĩ1	
仄	tʃa7	
仅	kĩ3	
仇	tʃʰiu2	
今	kĩ1	
介	kæ5	
仑	luĩ2	
倉	tsʰɔŋ1	
仔	tsɿ7-	～細
仔	tse3	尾仔：末子
仔	tsi5	囝～
仔	tsi7	鸭～
仕	sɿ6	
他	tʰa1	
仗	tiɔŋ5	
仗	tʰiɔŋ6	～势
付	fu5	
仙	siɛ̃1	
代	tʰæ5	
令	lĩ6	
以	i3	
儀	ŋi2	
們	muĩ2	
仰	ŋiɔŋ3	
仲	tʰiɤŋ6	
件	kʰiɛ̃6	
价	ka5	
任	ŋĩ6	
份	fuĩ6	
仿	fɔŋ3	
伊	i2	
伍	ɤŋ3	
伏	fu8	
伐	fa8	
休	ʃiu1	
众	tʃɤŋ5	
伙	fo3	～计
伙	fo7	～伴
會	fi6	
傘	sɛ̃3	
偉	vi3	
傳	tʰyø̃2	宣～
傳	tʰyø̃6	自～
伢	ŋa6-	～子
傷	ʃɔŋ1	
倫	tʰo2	
倫	luĩ2	
僞	vi3	
估	ku3	
伴	pʰuɛ̃5	
伶	lĩ2	
伸	ʃĩ1	
似	sɿ6	
伽	ka1	
佃	tʰiɛ̃6	
但	tʰɛ̃6	
佈	pu5	
位	vi6	
低	ti1	
住	tʰy6-	
住	tʃy5=	
佐	tso3	
佑	iu6	
体	tʰi3	
何	xo2	
何	sɿ5	
佘	ʃe2	
余	y2	
佛	fu8	
作	tso3	
你	le3-	
你	li3	
佣	iɤŋ6	
佤	ŋua3	
僉	ŋiɛ̃6	
佩	pʰui5	
佬	lau3	
佳	ka1	
併	piaŋ5	
併	pĩ5	
使	sɿ3	
侄	tʰi8	
例	lie6	
侍	sɿ6	
供	kiɤŋ5-	～佛
供	kiɤŋ1	～给
依	i1	
俠	xa8	
侣	ly3	
偵	tʃĩ1	
側	tsʰa3	
僑	kʰiau2	
侮	u3	～辱
侮	fu6	
侵	tsĩ1	
便	pʰiɛ̃2	～宜
係	ʃi6	
促	tsʰu8	
俄	ŋo2	
俊	tsuĩ5	
俏	tsʰiau5	
俐	li6	
俗	siu8	
俘	fu2	
俚	li5	
保	pau3	
俞	y2	
俞	y8	
信	sĩ5	
俤	tie7	
倆	liɔŋ3	
儉	kiɛ̃3	
儉	kʰiɛ̃6	
修	siu1	
修	tsʰɛ̃3	
俯	fu3	
俱	kʰy6	
倍	pʰui6	
倒	tau3	
倒	tau5	～水
倘	tʰɔŋ3	
候	xeu1-	等～
候	xeu6	时～
借	tsia5	
倡	tʃʰɔŋ5	
倦	kyø̃5	
倪	ŋi2	
倪	ŋie7	姓
倭	vo1	
債	tʃæ5	
值	tʰi8	
傾	kʰỹ3-	
傾	tsʰiɔŋ7	～斜
傾	kʰĩ3=	
假	ka3	
做	tso7	
停	tʰĩ2	
健	kʰiɛ̃6	
偶	ŋeu3	
偷	tʰeu1	
傀	kuæ7-	
傀	kui3=	
傅	fu5	姓
傅	fu6	师～
傍	pʰɔŋ2	
傢	ka1	
儲	ʃy1	
催	tsʰuæ1-	
催	tsʰui1=	
傲	ŋau6	
傻	ʃa1	
僆	ʃuɛ̃7	鸡～
像	tsʰiɔŋ6-	
像	siɔŋ5=	～片
僚	liau2	
僧	tsɛ̃1	
僧	sɛ̃1	
僵	kiɔŋ1	
僵	kʰiɔŋ3	硬
僻	pʰi3	
儡	luæ7-	
儡	lui3=	
儿	ø2	
允	ỹ3	
元	ŋuɛ̃2	
兄	ʃaŋ1-	兄弟
兄	ʃɤŋ1=	
充	tʃʰɤŋ1	
兆	tʰiau6	
先	sɛ̃1-	
先	siɛ̃1=	
克	kʰa3	
免	miɛ̃3	
兌	tui5	
兔	tʰu5	
党	tɔŋ3	
兜	teu1	
兢	kĩ1	
入	ŋi8	
全	tsʰyø̃2	
八	pa3	
公	kɤŋ1	
六	ʃu5-	
六	liu8=	
兮	ʃi1	
蘭	lɛ̃2	
共	kʰiɤŋ6	
關	kuɛ̃1	
興	ʃĩ1	
興	ʃĩ5	高～
兵	pĩ1	
具	kʰy6	
典	tiɛ̃3	
兹	tsɿ1	
養	iɔŋ3	
兼	kiɛ̃1	
獸	ʃiu5	
冀	i8	
內	ly6	
冇	pʰaŋ5	空
岡	kɔŋ1	
冊	tʃʰa3	
再	tsæ5	
冒	mau6	
冕	miɛ̃3	
冗	iɤŋ3	
寫	sia3	
軍	kỹ1	
農	lu2	～民
冠	kuɛ̃1	衣～
冠	kuɛ̃5	～军
冢	kiɤŋ3	
冤	yø̃1	
冥	mĩ2	
冬	tɤŋ1	
馮	pʰɤŋ2	
