#漢字	音標	解釋
□	pia1	拟声词，形容打人发出的声音
□	pʰia1	拟声词，形容打人发出的声音
□	tsʰua1	拟声词，用来形容速度快
□	ȵie1	“你家”合音
□	puɤ1	动词，相当于打人的打
□	mɛe1	我，我的
□	nɛe1	挨了一顿打
□	tsʰəu1	～头，戴在牲口嘴上防止吃庄稼的用具
□	ɕyæ̃1	干～：徒劳地白跑
□	mɑŋ1	形容小孩儿胖乎乎，～忽忽[xuəʔ1]
□	tʰəŋ1	～人：比较闷热
□	tiəŋ1	～人：水特别冰凉
□	piɔo2	与某人较劲
□	kɑŋ2	～饭：蹭饭
□	kɑŋ2	耍赖
□	vɛe3	两只手折断
□	lɛe3	弄脏
□	sɛe3	甩一甩水
□	tsuɛe3	时髦
□	xuɛe3	语气词
□	pʰæ̃3	～地，锄地
□	va5	～进：陷进去
□	tɔo5	圪～：坑
□	fæ̃5	起～：身上起疙瘩
㞘	tuəʔ7	屁股
㞞	ɕyəŋ2	
㿭	tsʰəʔ7	皴
䄚	tsʰɔo2	脏
䝼	tɕʰiəŋ2	～受
一	iəʔ7	
丁	tiəŋ1	
七	tɕʰiəʔ7	
万	væ̃2	
丈	tsɑŋ2	
三	sæ̃1	
上	sɑŋ2	上山
上	sɑŋ2	上头
下	ɕia2	
不	pəʔ7	
与	y3	
丐	kɛe5	
丑	tsʰəu3	
專	tsuæ̃1	
且	tɕʰie3	
丕	pʰi1	
世	sɿ5	
丘	tɕʰiəu1	
丙	piəŋ3	
業	iəʔ7	
叢	tsʰuəŋ2	
東	tuəŋ1	
絲	sɿ1	
丞	tsʰəŋ2	
丟	tiəu1	
兩	liɑŋ2	几两几钱
兩	liɑŋ3	两个
嚴	iæ̃2	
喪	sɑŋ1	丧事
喪	sɑŋ5	丧失
个	kəʔ8-	量词
个	kɤ5=	个别
丫	ia1	
中	tsuəŋ1	中间
中	tsuəŋ5	射中
丰	fəŋ1	
串	tsʰuæ̃5	
臨	liẽ2	
丸	væ̃2	肉丸，弹丸
丹	tæ̃1	
爲	vei2	作为，为什么
主	tsu3	
丽	li2	
舉	tɕy3	
乃	nɛe3	
久	tɕiəu3	
義	i2	
之	tsɿ1	
烏	u1	
乏	fəʔ8	
樂	luəʔ7	
樂	yəʔ7	音乐
乒	pʰiəŋ2	
喬	tɕʰiɔo2	
乖	kuɛe1	
乘	tsʰəŋ2	
乙	iəʔ7	
九	tɕiəu3	
乞	tɕʰi3	
也	ie3	
習	ɕiəʔ7	
鄉	ɕiɑŋ1	
書	su1	
買	mɛe3	
亂	luæ̃2	
乳	lu3-	乳房
乾	tɕʰiæ̃2	乾坤
了	liɔo3	了结
爭	tsəŋ1	
事	sɿ2	
二	ḷ2-	
于	y2	
虧	kʰuei1	
雲	yẽ2	
互	xu1	
五	u3	
井	tɕiəŋ3	
亞	ia5	
些	ɕie1	
些	ɕiəʔ8	
亡	vɑŋ2	
交	tɕiɔo1	
亥	xɛe5	
亦	i2	
產	tsʰæ̃3	
亨	xəŋ1	
畝	ṃ3-	
畝	mu3=	
享	ɕiɑŋ3	
京	tɕiəŋ1	
亭	tʰiəŋ1	
亮	liɑŋ2	
親	tɕʰiẽ1	亲人
親	tɕʰiẽ5	亲家
人	iẽ2	
億	i2	
什	səʔ7	什么
仁	iẽ2	
僅	tɕiẽ3	
仆	pʰəʔ7	倒
仇	tsʰəu2	
仇	tɕʰiəu2	姓
今	tɕiẽ1	
介	tɕie5	
仍	iəŋ1	
从	tsʰuəŋ2	跟从
从	tsuəŋ5	从容
仑	luẽ2	
倉	tsʰɑŋ1	
仕	sɿ2	
他	tʰa1	
仗	tsɑŋ2	
付	fu5	
仙	ɕiæ̃1	
代	tɛe2	
令	liəŋ2	
以	i3	
儀	i2	
仰	iɑŋ3	
件	tɕiæ̃5	
價	tɕia5	
任	iẽ3	姓
任	iẽ5	责任
份	fẽ5	一份两份
仿	fɑŋ3	仿效，仿佛
仿	fɑŋ3	相似
企	tɕʰi3	
伊	i1	
伍	u3	
伏	fəʔ8	伏天
伐	fəʔ7	
伐	fəʔ8	
休	ɕiəu1	
衆	tsuəŋ5	
優	iəu1	
伙	xuɤ3	
會	xuei2	开会
會	kʰuɛe5	会计
