#漢字	音標	解釋
一	iəʔ7a	
丁	tiən1	
七	tɕʰiəʔ7a	
万	uæ̃5	
丈	tʂɑ̃5	
三	sæ̃1	
上	ʂɑ̃5	
下	xa5	
不	pəʔ7a	
丐	kᴇ5	
丑	tsʰəɯ3	
專	tʂuəŋ1	
且	tɕʰiᴇ3	
丕	pʰɿ1	
世	ʂʅ5	
丘	tɕʰiəɯ1	
丙	piən3	
業	ɕyəʔ7a	
業	iɐʔ7b	
叢	niəɯ2	
叢	tsʰəŋ2	
東	təŋ1	
絲	sɿ1	
丟	tiəɯ1	
兩	niæ̃3	
兩	niɑ̃3	
嚴	ĩ2	
喪	sɑ̃1	婚～
喪	sɑ̃5	
个	kʊ5	
丫	ia1	
中	tʂəŋ1	
中	tʂəŋ5	
丰	fəŋ1	
串	tʂʰuəŋ5	
臨	niən2	
丸	uəŋ2	
丹	tæ̃1	
爲	uɪ2	
主	tʂʉβ3	
丽	zɿ5	
舉	tsɥ3	
乃	nᴇ3	
久	tɕiəɯ3	
義	zɿ5	
之	tʂʅ1	
烏	ʉβ1	
乍	tʂa5	
乎	xʉβ1	
乏	fɐʔ7b	
樂	nɐʔ7b	
樂	yɐʔ7b	音～
喬	tɕʰiɔ2	
乖	kuᴇ1	
乘	tʂʰən2	
乙	iəʔ7a	
九	tɕiəɯ3	
也	iᴇ3	
習	ɕiəʔ7a	
鄉	xiɑ̃1	
書	ʂʉβ1	
買	mᴇ3	
亂	nəŋ5	
乳	ʐʉβ3	
乾	tɕʰĩ2	
爭	tsən1	
事	sɿ5	
二	a5	
于	zɥ2	
虧	kʰuɪ1	
雲	yən2	
互	xʉβ5	
五	ʉβ3	
井	tɕiən3	
亘	kən5	
亞	ia5	
些	sɿ1	
亡	uɑ̃2	
交	tɕiɔ1	
亥	xᴇ5	
亦	iəʔ7a	
產	tʂʰæ̃3	
亨	xən1	
畝	mʊ3	
享	xiɑ̃3	
京	tɕiən1	
亭	tʰiən2	
亮	niɑ̃5	
親	tɕʰiən1	
人	ʐən2	
什	ʂəʔ7a	
仁	ʐən2	
僅	tɕiən3	
仆	pʰəʔ7a	
仇	tsʰəɯ2	
仇	tɕʰiəɯ2	姓
今	tɕiən1	
介	tɕiᴇ5	
仍	ʐən1	
从	tsʰəŋ2	
仑	nən2	
倉	tsʰɑ̃1	
仔	tsɿ3	
仔	tsᴇ3	
仕	sɿ5	
他	tʰa1	
仗	tʂɑ̃5	
付	fʉβ5	
仙	ɕyĩ1	
代	tᴇ5	
令	niən5	
以	zɿ2	
儀	zɿ2	
仰	niɑ̃3	
仲	tʂəŋ5	
