#漢字	音標	解釋
□	əu1	他的
□	liəu1	难过
□	ŋiəu2	根
□	βa3	狭窄
□	xai3	东西
□	au3	腹痛
□	luaiŋ5	口水
□	lyo6	路
□	lai6	多
□	jyai6	～灰：撒灰
□	lyiŋ6	丢失
□	na7	凹下
□	tu7	底
□	tsy7	吻
□	xy7	击
□	kʰie7	翅膀
□	lia8	竹编晒器
□	luai8	蟑螂
㿃	tuai5	
䘆	xyaiŋ3	
䘼	yiŋ3	手～：袖子
䧘	jyiŋ2	门～：门坎
䭕	liaŋ3	味淡
一	i7	
丁	taiŋ1	
七	tʰei7	
万	βuaiŋ6	
丈	tyɔŋ6	
三	saŋ1	
上	jyɔŋ5-	～头
上	tsyɔŋ6	日～：白天
上	syɔŋ6=	
下	a5-	～面
下	xa5=	
与	həu3	
与	həu5	参～
丐	kai5	
丑	hiu3	
專	tsyiŋ1	
且	tsʰia3	
丕	pʰei1	
世	si5	
丘	kʰiu1	
丙	peiŋ3	
業	ŋi8	
叢	tsəŋ2	
東	təŋ1	
絲	sei1	
丞	siŋ2	
丟	tiu1	
兩	sɔŋ6-	
兩	lyɔŋ3=	
嚴	ŋiŋ2	
喪	sɔŋ5	
个	ko5	
丫	a1	
中	təŋ1	
中	təŋ5	打～
串	tsʰyiŋ5	
臨	leiŋ2	
丸	yiŋ2	
丹	tuaiŋ1	
爲	həu2	
主	tsy3	
丽	lei2	高～
丽	lei6	
舉	kəu3	
乃	nai3	
久	kiu3	
義	ŋi6	
之	tsi1	
乍	tsa5	
乎	xu2	
乏	xuai8	
樂	ŋa8	音～
喬	kiu2	
乖	kuai1	
乘	siŋ6	
乙	i7	
九	kiu3	
乞	kʰi7	
也	ia3	
習	sei8	
鄉	xyɔŋ1	
書	sy1	
買	mai3	
亂	luaiŋ6	
乳	həu3	
乾	kuaiŋ1	
乾	jiŋ2	～坤
了	liu3	
爭	tsaiŋ1	
事	tei6	话～：说话
事	su6=	
二	nei6	
于	əu1	
云	həŋ2	
互	xu6	
五	ŋu5-	
五	ŋu3=	
井	tsaŋ3-	
井	tsiŋ3=	
亞	a5	
亡	βɔŋ2	
交	kau1	
亥	xuai6	
亦	i8	
產	syaiŋ3	
亨	haiŋ1	
畝	miəu3	
享	xyɔŋ3	
京	kiŋ1	
亭	laiŋ5	
亮	lyɔŋ6	
親	tʰeiŋ1	
人	jiŋ2	
億	i5	
仁	jiŋ2	
仅	kəŋ3	
仆	ho7	
仇	siu2	
介	kai5	
仍	jiŋ6	
从	ləŋ2	
仑	ləŋ2	
仑	leiŋ5	
倉	tʰɔŋ1	
仕	su6	
他	ha1	
仗	hyɔŋ6-	炮～
仗	tyɔŋ5	
仗	tyɔŋ6=	
付	xu5	
仙	siŋ1	
代	lai6	
令	leiŋ6	
以	ji3	
儀	ŋi2	
儀	ŋi6	
仰	ŋyɔŋ3	
仲	ləŋ6	
件	jiŋ5	
价	ka5	
任	jiŋ6	
份	xuiŋ6	
仿	xɔŋ3	
企	kʰi3	
伊	i1	
伍	ŋu3	
伏	xu8	
伐	xuai8	
休	xiu1	
众	tsəŋ5	
优	iu1	
伙	xo3	
會	kʰuai5-	
會	xui6	开～
傘	suaiŋ3	
傳	lyiŋ2	
傳	lyiŋ6	自～
傷	sɔŋ1	
倫	ləŋ2	
僞	βui6	
伯	pa7	
估	ku3	
伴	βuaiŋ5	
伶	leiŋ2	
伶	laŋ5	～俐：干净
伸	siŋ1	
似	su5	
佃	liŋ5	
但	luaiŋ5	
佈	pu5	
低	tei3	
住	tiu6-	
住	ly6=	
体	hei3	
佔	tsiŋ5	
何	xo2	
佘	tsʰia1	
佘	syo2	
余	həu2	
佛	xui8	
作	tso7	
你	nei3	
佩	hui5	
佳	ka1	
併	piaŋ5	
使	su3	假～
使	su5	大～
侃	kʰaiŋ3	
侃	kʰuaiŋ3	
侄	lei8	
侈	tsʰi3	
例	li6	
侍	su6	
供	kəŋ1	
供	kəŋ5	～神
依	i1	
俠	xa8	
偵	teiŋ1	
側	tsʰie7	
僑	kiu2	
侮	βu3	
侯	xiəu2	
侵	tʰeiŋ1	
便	βiŋ2	
便	βiŋ6	
係	xi6	
促	tʰəu7	
俄	ŋo2	
俄	ŋo6	
俊	tsəŋ5	
俗	səu8	
俘	xu1	
保	βau3	
信	seiŋ5	
儉	jiŋ5	
修	siu1	
俯	xu3	
俱	həu5	
俸	xəŋ6	
俺	jyai5	
俾	pei1	
倍	βui5	
倒	tau3	
倒	tau5	～水
倘	hɔŋ3	
候	xiəu6	
借	tsyo7-	
倡	tʰɔŋ1	
倦	jyiŋ6-	
倦	kyiŋ6=	
倩	tʰaiŋ5	
倪	ŋai2	
倭	o1	
債	tsai5	
值	lei8	
傾	kʰəŋ3	
假	a3-	
假	ha3=	
偏	pʰiŋ1	
偕	kai1	
做	tsa5-	
做	tso5=	
停	leiŋ2	
健	kyaiŋ6	
偶	ŋiəu3	
偷	hiəu1	
償	syɔŋ3	
傀	kʰui3	
傅	xu5	
催	tʰui1	
傲	ŋau6	
傻	sa1	
像	syɔŋ5	
僧	tsaiŋ1	
僭	liŋ5	
僵	kyɔŋ1	
僻	hei7	
儒	səu1	
儒	həu2	
儡	lui3	
儿	ji2	
允	əŋ3	
元	ŋyiŋ2	
兄	xəŋ1	
充	tʰəŋ1	
兆	liu5	
先	siŋ1	
光	kɔŋ1	
克	kʰie7	
免	miŋ3	
兌	tui5	
兔	hu5	
党	tɔŋ3	
兜	tiəu1	
入	nei8	
全	lyiŋ2	
八	pai7	
公	kəŋ1	
六	su8-	
六	ləu8=	
兮	xi2	
蘭	luaiŋ2	
共	həŋ6	
關	kyaiŋ1	
興	xiŋ1	
兵	peiŋ1	
其	ji2	
具	həu5	
典	tiŋ3	
兹	tsu1	
養	yɔŋ3	
養	lyɔŋ5	
兼	kiŋ1	
獸	siu5	
冀	ki5	
內	nui6	
岡	kɔŋ5	
冉	ŋiŋ3	
冊	tʰa7	
再	tsuai5	
寫	sia3	
軍	kəŋ1	
農	nəŋ2	
冠	kuaiŋ1	
冠	kuaiŋ5	～军
冢	təŋ3	
冤	yiŋ1	
冥	maŋ2-	夜晚
冥	meiŋ2=	
冬	təŋ1	
冰	paiŋ1	
冲	tʰəŋ1	
决	ky7	
况	kʰɔŋ5	
冶	ia3	
冷	laiŋ3	
淨	leiŋ6	
凄	tʰei1	
准	xuai2	
准	tsəŋ3	
凉	lyɔŋ2	
凊	tʰeiŋ5	冷
凌	leiŋ2	
減	kaŋ3	
湊	tsʰiəu5	
凖	tsəŋ3	
凛	leiŋ3	
几	ki3	
凡	xuaiŋ2	
鳳	xəŋ6	
凭	βeiŋ5	
凱	kʰai3	
凳	taiŋ5	
凶	xəŋ1	
出	tsʰy7	
擊	ki7	
函	xaŋ2	
鑿	lo8	
刀	tau1	
刁	tiu1	
刃	jiŋ6	
分	xuiŋ1	
切	tʰui7-	
切	tʰai7	勤劳
切	tsʰi7=	
刊	kʰaiŋ1	
刎	βuiŋ3	
刑	xiŋ2	
划	βa8	
列	li8	
劉	liu2	
則	tsie7	
剛	kɔŋ1	
創	tʰɔŋ5	
初	tʰu1	
刪	saiŋ1	
判	huaiŋ5	
利	lei6	
别	kua3	
别	pʰi8	～人
别	βi8	区～
