#漢字	音標	解釋
□	ɕiɛ1	本字“疏”，魚韻白讀，衣服掀開；粥稀
□	fu2	或為「泭」，～水：游泳
□	nən2	或為「凌」，～包子：冰雹
□	xɔ3	傻
□	ɕiɛ3	～前日：大前天
□	kyɔ5	存疑，脆響聲，見於《湖北崇陽方言音系及特點》/kuiaC1/
□	za6	或為「㾹」，～雨：淋雨
□	na7	用嘴舔
□	na7	眨眼
□	ta7	或為「撘」，～了一跤
□	viɔ7	大聲呵斥，高聲叫喊
㞎	pɔ3	
㞘	təu7	末尾
㪕	dɑu1	新派lɑu
㾹	za6	存疑，～雨：淋雨
㿭	zɔ7	
一	i7	
丁	tiɑŋ1	
七	ʑi7	
丈	dɑŋ6	新派lɑŋ
三	sa1	
上	sɑŋ6	
下	xɔ3	
下	xɔ6	
不	pa7	
丐	ka5	
丑	dəu3	新派ləu
丕	bi1	
世	sɿ5	
丘	ʑiəu1	
丙	pin3	
丞	dən2	新派lən
丞	sən2	
丟	tiəu1	
並	bin6	
丫	ŋɔ1	
中	tən1	
中	tən5	
串	dɤ5	新派lɤ
丸	viɛ2	老派yɛ
丹	ta1	
主	təu3	
乃	na3	
么	iʊ1	
之	tsɿ1	
乎	fu1	
乏	fa7	
乓	bɑŋ1	
乖	kua1	
乘	sən2	
乙	i7	
九	tɕiəu3	
乞	ʑi7	
也	iɔ3	
乳	dəu3	新派音，ləu
乳	ɤ3	
乾	kɤ1	
乾	ʑiɛ2	
亂	nɤ6	
了	diʊ3	新派liʊ，～結
了	dɤ6	新派lɤ，声调存疑
事	sɿ6	
二	ɤ6	
于	vi2	
云	vin2	
互	fu6	
五	n̩3	
井	tɕiɑŋ3	白
些	ɕiɔ1	
亞	iɔ5	
亡	uɑŋ2	
交	kɑu1	
亦	i7	
享	ɕiɑŋ3	
京	tɕin1	
亭	din2	新派lin
亮	diɑŋ6	新派liɑŋ
人	dən2	新派lən
人	ȵin2	白
什	sɤ7	
仁	dən2	新派lən
仁	ȵin2	白
仆	bu7	
仇	dəu2	新派ləu
仇	ʑiəu2	
今	tɕin1	
介	ka5	
仍	in2	
仕	sɿ6	
他	dɔ1	新派lɔ，其～
仗	dɑŋ6	新派lɑŋ
付	fu5	
仙	ɕiɛ1	
令	din6	新派lin
仰	ȵiɑŋ3	
仲	zən6	
件	ʑiɛ6	
任	dən6	新派lən
任	ȵin6	白
份	fən6	
仿	fɑŋ3	
企	ʑi3	
伊	i1	
伊	i3	第三人稱兼遠指代詞，本字「渠」
伍	n̩3	
伏	fu7	
伐	fa7	
休	ɕiəu1	
伢	ŋa2	
伢	ŋɔ2	
伯	pɔ7	
估	ku1	
伴	bɤ6	
伶	din2	新派lin
伸	sən1	
伺	zɿ5	
似	sɿ6	
佃	diɛ6	新派liɛ
但	da6	新派la
位	vi6	
低	ti1	
住	dəu6	新派ləu
佔	tɤ5	
何	xʊ2	
佘	sɔ2	
余	vi2	
佛	fɤ7	
作	tsʊ7	
佞	ȵin6	
你	n̩3	
佩	bi5	
佳	tɕiɔ1	
併	pin5	
使	sɿ3	
侄	zɿ7	
來	na2	
侉	uɔ3	
例	di6	新派li
侍	sɿ6	
供	kən1	
供	kən5	
依	i1	
侮	u3	
侯	ʑiʊ2	
侵	ʑin1	
便	biɛ2	
便	biɛ6	
係	ɕi6	
促	zəu7	
俄	ŋʊ2	
俊	tɕin5	
俏	ʑiʊ5	
俗	ɕiəu7	
俘	fu1	
保	pɑu3	
信	ɕin5	
修	ɕiəu1	
俯	fu3	
俸	fən5	
倉	zɑŋ1	
個	kʊ5	
倍	bi6	
倒	tɑu3	
倒	tɑu5	
倘	dɑŋ3	新派lɑŋ
候	ʑiʊ6	
借	tɕiɔ5	
倡	zɑŋ5	
倣	fɑŋ3	
倪	ŋi2	
倫	nən2	
倭	uʊ1	
值	zɿ7	
假	kɔ3	
假	tɕiɔ3	
偉	vi3	
偏	biɛ1	
做	tsəu5	
停	din2	新派lin
健	ʑiɛ6	
側	ʑiɛ7	
偵	tsən1	
偷	diʊ1	新派liʊ
偷	dəu1	新派ləu
僞	vi3	
傅	fu5	
傍	bɑŋ6	
傑	ʑiɛ7	
傘	sa3	
備	bi6	
傢	tɕiɔ1	
催	ʑi1	
傲	ŋɑu5	
傳	dɤ2	新派lɤ
傳	dɤ6	新派lɤ，～記文學
債	tsa5	
傷	sɑŋ1	
傾	ʑin1	
僅	tɕin3	
像	ʑiɑŋ6	
僑	ʑiʊ2	
僕	bu7	
僥	tɕiʊ3	
僧	ɕiɛ1	
僵	tɕiɑŋ1	
價	tɕiɔ5	
僻	bi7	
儀	ŋi2	
儂	nən2	
億	i5	
儉	tɕiɛ3	
儒	dəu2	新派音，ləu
儒	ɤ2	
儘	tɕin3	
償	sɑŋ2	
儡	di3	新派li
優	iəu1	
儲	dəu2	新派ləu
允	in3	
元	viɛ2	老派yɛ
兄	fiɑŋ1	白
充	dən1	新派lən
兇	ɕin1	
先	ɕiɛ1	
光	kuɑŋ1	天～：天亮
克	xɛ7	
免	miɛ3	
兌	ti5	
兒	ɤ2	
兔	dəu5	新派ləu
入	dɤ7	新派lɤ
入	ȵiɔ7	訓讀，指交合的動作
全	ʑiɛ2	
兩	diɑŋ3	新派liɑŋ
八	pa7	
公	kən1	
六	diəu7	新派liəu
兮	ɕi1	
共	xən6	
兵	pin1	
其	ʑi2	
具	vi6	
典	tiɛ3	
兼	tɕiɛ1	
冀	tɕi5	
內	ŋi6	
冇	mɑu6	
冉	dɤ3	新派lɤ
冉	ȵiɛ3	白
再	tsa5	
冒	mɑu6	
冗	in3	
冠	kuɤ1	
冠	kuɤ5	
冢	tən3	
冤	viɛ1	老派yɛ
冬	tən1	
冰	pin1	
冷	nɑŋ3	白
准	tən3	
凌	nən2	存疑，～包子：冰雹
凌	din6	新派lin
凍	tən5	
湊	zəu5	
凝	ȵin2	
几	tɕi3	
凡	fa2	
凱	xa3	
凳	tiɛ5	
凶	ɕin1	
出	dɤ7	新派lɤ
凼	tɤ5	水～：水坑
函	xɤ2	
刀	tɑu1	
刁	tiʊ1	
刃	ȵin6	白
分	fən1	
切	ʑiɛ7	
刊	xɤ1	
刑	ɕin2	
划	fɔ2	～水：游泳
列	diɛ7	新派liɛ
初	zəu1	
初	zɿ1	白
刪	sa1	
判	bɤ5	
刨	bɑu2	
利	di6	新派li
别	biɛ7	
别	piɛ7	
刮	kua7	
到	tɑu5	
刴	tʊ5	
制	tsɿ5	～屋：蓋房子，這裡讀tsɿ˨˦
刷	sɔ7	～牆
券	viɛ5	老派yɛ
刺	zɿ5	
刻	xɛ7	
剃	di5	新派li
削	ɕiʊ7	
前	ʑiɛ2	
剖	biʊ3	
剛	kɑŋ1	
剝	pʊ7	
剩	sən6	
剪	tɕiɛ3	
剮	kuɔ3	
副	fu5	
割	kɤ7	
創	zɑŋ5	
剽	biʊ2	
剿	tɕiʊ3	
劃	fɔ6	
劄	tsa7	
劇	kui5	
劈	bi7	
劈	biɔ7	白
劉	diəu2	新派liəu
劊	ua5	
劍	tɕiɛ5	
劑	tɕi5	
力	di7	新派li
功	kən1	
加	tɕiɔ1	
劣	diɛ7	新派liɛ
助	zəu6	
劫	tɕiɛ7	
勁	tɕin5	
勃	bɤ7	
勇	in3	
勉	miɛ3	
動	dən6	新派lən
勘	xɤ5	
務	u6	
勝	sən1	
勝	sən5	
勞	nɑu2	
募	mʊ6	
勢	sɿ5	
勤	ʑin2	
勳	fin1	
勵	di6	新派li
勸	viɛ5	老派yɛ
勺	sʊ7	
勻	vin2	
勻	in2	
包	pɑu1	
化	fɔ5	
北	piɛ7	
匙	sɿ2	
匠	ʑiɑŋ3	
匠	ʑiɑŋ6	
匡	uɑŋ1	
匪	fi3	
匯	fi6	
匹	bi7	
匾	piɛ3	
區	vi1	
十	sɤ7	
千	ʑiɛ1	
升	sən1	
午	u3	
半	pɤ5	
卑	pi1	
卒	tsɤ7	
協	ɕiɛ7	
南	nɤ2	
博	pʊ7	
卜	bu7	
占	tɤ1	
卦	kuɔ5	
卯	mɑu3	
印	in5	
危	vi1	
即	tɕi7	
卵	nɤ3	
卷	kuɛ5	
卸	ɕiɔ5	
卿	ʑin1	
厚	ʑiʊ6	
原	viɛ2	老派yɛ
厥	kuɛ7	
厭	iɛ5	
厲	di6	新派li
去	ʑiɛ5	
參	zɤ1	
參	ɕiɛ1	
叉	zɔ1	
及	ʑi7	
友	iəu3	
反	fa3	
叔	səu7	
取	ʑi3	
受	səu6	
叛	bɤ5	
叢	zən2	
口	ʑiʊ3	
古	ku3	
句	kui5	
另	din6	新派lin
叨	tɑu1	
叩	ʑiʊ5	
只	tsɿ3	
叫	tɕiʊ5	
可	xʊ3	
史	sɿ3	
右	iəu6	
司	sɿ1	
吃	ʑi7	口～
各	kʊ7	
吆	iʊ1	
合	kɤ7	
合	xɤ7	
吉	tɕi7	
同	dən2	新派lən
名	min2	
名	miɑŋ2	白
吏	di6	新派li
吐	dəu3	新派ləu
吐	dəu5	新派ləu
向	ɕiɑŋ5	
君	kuin1	
吝	din6	新派lin
吞	diɛ1	新派liɛ
吟	ȵin2	
吠	fi5	
否	fiəu3	
含	xɤ2	
吭	xɑŋ3	咳嗽
吳	n̩2	
吳	u2	
吵	zɑu3	
吸	ɕi7	
吹	dəu1	新派ləu
吼	ɕiʊ3	
呂	di3	新派li
呈	zən2	
告	kɑu5	
周	təu1	
味	vi6	
呼	fu1	
命	min6	
命	miɑŋ6	白，革～
和	xʊ2	
咎	ʑiəu6	
咒	təu5	
咨	tsɿ1	
咬	ŋɑu3	
咬	ŋa7	本字「齾」，～人
咳	xɛ7	
咸	xa2	
咸	ɕiɛ2	～寧
品	bin3	
哄	fən3	
員	viɛ2	老派yɛ
哥	kʊ1	
哪	nɔ3	～呐，哪里
哪	nɔ5	～个，～样：怎么
哭	u7	
哽	kiɛ3	
唆	sʊ1	
唇	sən2	
唐	dɑŋ2	新派lɑŋ
喚	fɤ5	
唧	tɕi7	貓～；奶
售	səu5	
唯	vi2	
唱	dɑŋ5	新派lɑŋ
唾	dʊ5	新派lʊ
啃	xɛ3	
商	sɑŋ1	
問	uən6	
啓	ʑi3	
啞	ŋɔ3	
啼	di2	新派li
善	sɤ6	
喉	ʑiʊ2	
喊	xa3	
喊	xɤ3	
喘	dɤ3	新派lɤ
喜	ɕi3	
喝	xɤ7	
喪	sɑŋ1	
喪	sɑŋ5	
喫	ʑiɔ7	～飯；怕～人：害羞；～了虧：謝謝
喬	ʑiʊ2	
單	ta1	
喻	vi6	
嗅	ɕin5	聞
嗆	ʑiɑŋ5	
嗇	ɕiɛ7	
嗓	sɑŋ3	
嗜	sɿ6	
嗯	n̩3	
嗰	kɔ5	結構助詞，表修飾
嗰	kʊ5	結構助詞，表領屬
嗽	ɕiʊ5	
嘆	da5	新派la
嘉	tɕiɔ1	
嘗	sɑŋ2	
噓	fi1	
嘮	nɑu1	
嘴	tɕi3	
噍	ʑiʊ6	
噦	viɔ3	干吐
噦	viɔ7	訓讀，大聲呵斥，高聲叫喊
器	ʑi5	
