#漢字	音標	解釋
□	kʰuei3	
一	i7	
丁	tin1	
七	tsɿ7	
万	uan6	
丈	dʑiaŋ6	
三	san1	
上	ʑiaŋ5	～山顶
上	ʑiaŋ6	～面
下	ɣa6-	
与	y3	给～
丐	kai5	
丑	tɕʰiəu3	
專	tɕyan1	
且	tɕʰie3	
丕	pʰi1	
丕	pʰei1	
丘	tɕʰiəu1	
丙	pin3	
丙	piŋ3	
業	ȵie7	
叢	dzoŋ2	树～
東	toŋ1	
絲	sɿ1	
丟	təu1	
兩	liaŋ3	
嚴	ȵian2	
个	ko5	
丫	la1	～头
中	tsoŋ1	
丰	feŋ1	
串	tɕʰyan5	
臨	din2	
丸	ɣuan2	
丹	tan1	
爲	uei2	～什么
爲	uei2	作～
主	tɕy3	
丽	di5	
舉	tɕy3	
乃	nai3	
久	tɕiəu3	
義	ȵi5	
之	tsɿ1	
烏	u1	
乍	dza6=	
乎	fu2	
樂	lo7	
樂	io7	音～
喬	dʑiau2	
乖	kuai1	
乘	ʑin2	
乙	ie5-	
九	tɕiəu3	
乞	tɕʰie7	
也	ia3-	
也	ie3	
習	ʑi7	
鄉	ɕiaŋ1	
書	ɕy1	
買	mai3	
亂	luan5	
乳	y3	
乾	dʑian2	～坤
了	liau3	～结
爭	tseŋ1	
事	zɿ6	
二	e5	
于	y2	
虧	kʰueis2	
雲	yen2	
互	fu6	
五	u3	
井	tɕin3	
亞	ia5	
些	ɕie1	
亡	uaŋ2	
交	tɕiau1	
亥	ɣai3	
亦	i7	
產	tsʰan3	
亨	xeŋ1	
畝	məu3	
享	ɕiaŋ3	
京	tɕin1	
亭	diŋ2	
亮	liaŋ5	
親	tɕʰin1	
親	tɕin5	～家
人	zen2	
億	i7	
什	zɿ7	～ 物
仁	zen2	
仆	pʰu7	
仇	dzəu2	
仇	dʑiəu2	～姓
今	tɕin1	
介	kai5-	
从	tsʰoŋ1	～容
从	dzoŋ2	跟～
倉	tsʰuaŋ1	
仕	zɿ6	
他	tʰa1	
仗	dʑiaŋ6	
付	fu5	
仙	ɕian1	
代	dai7	
令	lin5	
以	i2	
以	i3	
儀	ȵi2	
仰	ȵiaŋ3	
仲	dzoŋ6	
件	dʑian6	
價	tɕia5	
任	zen6	责～
份	ven6	
仿	faŋ3	
企	tɕʰi3	
伊	i2	
伍	u3	
伏	vu7	
伐	va7	
休	ɕiəu1	
衆	tsʰoŋ5	
優	iəu1	
會	xuei5	
會	ɣuei6	开～
傘	san3	
偉	uei3	
傳	dʑyan2	
傳	dʑyan6	～记
伢	ia2	
傷	ɕiaŋ1	
倫	luen2	
伯	pe7	
估	ku3	～计
伴	pan5	
伶	liŋ2	
伸	ɕin1	
伺	sɿ5	
佃	dian6	
但	tan5	
但	dan6	
位	uei5	
住	dʑy6	
佐	tso5	
佑	iəu5	
何	xo2	
佘	ʑie2	
余	y2	
佛	fe5	～教
作	tso7	～坊
你	ȵi3	
佩	bei6	
佰	pe7	
使	sɿ3	
例	di5	
侍	zɿ6	
供	koŋ1	～给
供	koŋ5	上～
依	i1	
僥	ɕiau3	
偵	tɕin1	
側	tse7	
僑	dʑiau2	华～
侮	u3	
侯	ɣou2	
侵	tɕʰin1	
便	bian6	
促	tsʰu7	
俄	ŋo2	
俊	tsuen5	
俏	tɕʰiau5	
俗	su7	
俘	fu1	～虏
保	pau3	
信	ɕin5	
儼	ȵian3	
儉	dʑian3	
修	ɕiəu1	
俯	fu3	
俱	tɕy1	
俸	voŋ6	
倍	bei3	
倒	tau3	打～
倒	tau5	
倘	tʰaŋ3	～使
候	ɣəu6	
倚	i3	
借	tɕʰie5	
倡	tɕʰiaŋ1	提～
倦	dʑyan6	
值	dzɿ7	
偎	uei1	
偏	pʰian1	
做	tsu5	
停	tʰiaŋ1-	
停	diŋ2	
健	dʑian6	
偶	əu3	
偷	tʰəu1	
償	ʑiaŋ1	
傀	kʰuei3	
傍	baŋ6	
儲	dʑy2	～蓄
催	tsʰuei1	
像	ʑiaŋ6	
僧	seŋ1	
僵	tɕiaŋ1	
僻	pi7	
儒	y2	
儡	luei3	
儡	kʰuei3	
兒	e2	
允	yen1	
元	yan2	
充	tsʰoŋ1	
先	ɕian1	
光	kuaŋ1	
免	mian3	
兌	duei6	
兔	tʰu5	
兜	təu1	
入	zɿ2-	
