#漢字	音標	解釋
□	ni1	滚动
□	tsi1	言用尖子戳也
□	ʃɑ1	言解开衣服也
□	kʱɑ1	一～：犹言一“把”也
□	tʃʱo1	言缸没盖好或袋子没扎好也
□	ŋo1	～脑壳：抬头也
□	tʱø1	劝也
□	sø1	滑行也
□	tʃʱø1	哄也
□	pie1	～淡
□	pʱie1	歪倒也
□	nɑu1	言触摸也
□	nəɯ1	言锈也
□	nən1	～子：小鱼也
□	nin1	轻轻地也
□	pʱɑŋ1	犹言一群、一伙也
□	nɑŋ1	言细、不结实也
□	iɑŋ1	散步也，～街
□	kuɑŋ1	～青更白，～古台，平江地名也
□	pʱoŋ1	鱼名也
□	noŋ1	慢慢走也
□	n̩1	又，更远指，犹言“那儿”也
□	ŋ̍1	更远指，犹言“那儿”也
□	kʱɑ2	咒声骂也
□	kuɑ2	言肚大也
□	kʱuɑ2	言肚大、怀孕也
□	kʱo2	～～起：言呆呆地也
□	ŋo2	言惊呆也
□	io2	～子：犹“怎么”也
□	io2	言变软、蔫也
□	tʱɛi2	～子：犹言“这样儿”也
□	tsʱɛi2	～式：犹言“这样儿”也
□	tsiɯ2	言人集在一起也
□	kʱɛy2	言搔痒也
□	tsʱan2	蜇也
□	ŋan2	～媳妇
□	kʱɔn2	弯也：～腰
□	miɛn2	～秤
□	tsʱɑŋ2	言不用的物件自己抢占，不给别人用也
□	mi3	言食物刚变质也
□	niɑ3	歪斜也
□	ŋe3	暗色也
□	nai3	言人胖走路身子晃动也
□	kuai3	坏
□	sɛi3	～田：耕田也
□	nəɯ3	言涂抹也
□	fan3	骂人也
□	ŋan3	～事：旧事
□	tɔn3	拦截也
□	tsen3	损、朽也
□	mən3	言木材腐烂变质也
□	tən3	小木头块也
□	tʱən3	打～：言话事停住也
□	pʱiɑŋ3	犹言一“片”也
□	iɑŋ3	言摆手也：手一～
□	xoŋ3	米变质了也
□	kʱu4	撅嘴也
□	kʱu4	言被气或水鼓胀起来也
□	tsʱɑ4	一种植物也
□	piɑ4	枪声也
□	siɑ4	言很快也
□	po4	～啵蛋
□	ŋie4	懒音，犹“哪儿”也：去～
□	tʱai4	～肚：怀孕也
□	xai4	～肚：怀孕也
□	kʱuai4	怀孕也
□	tʱɛi4	～处：到处也
□	tsʱɛi4	这么也，～tsʱɛi˥˥˦，犹“反正”也
□	xiɯ4	言很神气、很自大貌也
□	pʱan4	扔也
□	tsʱan4	挡住
□	xan4	～□□□，言正好也
□	tʃʱʯan4	用手巾扫掉灰尘也
□	xen4	言有把柄抓在人手里也
□	ŋiɛn4	犹言“哪”也
□	kʱɑŋ4	跨大步也
□	pʱoŋ4	言碰撞也
□	kəŋ4	把水搅浑也
□	ʃɨ5	祈使句尾语气词也
□	ŋɑ5	～啧：犹言“点儿”也
□	fo5	包括式也，我～
□	no5	言很凶、很顽皮也
□	ʃo5	坏也
□	nø5	言树上果实多也
□	uø5	拼命大叫也
□	nəɯ5	打～：一种迷信活动也
□	man5	看也
□	ʃan5	语气词
□	xan5	□□～□，言正好也
□	ʃʯan5	丢也
□	tɔn5	骂也
□	men5	牵、拉也
□	miɛn5	牵、拉也
□	ŋiɛn5	踮起脚后跟也
□	fɑŋ5	～清
□	nɑŋ5	撑也
□	kʱɑŋ5	活～～
□	ŋɑŋ5	言执拗也
□	niɑŋ5	□～□～，言正好也
□	xiɑŋ5	高～～：言高也
□	foŋ5	包括式也，我～
□	foŋ5	言下崽也
□	xoŋ5	包括式也，西乡声：我～
□	kʱu6	耽～
□	tsio6	言不正也
□	tsʱio6	言不正也
□	tʱen6	说话时断时停也
□	iɑŋ6	言拿着火把转圆圈也
□	niʔ7	你/我/渠～：人称复数也
□	pʱuʔ7	～辣椒
□	kaʔ7	蜈～虫：蜈蚣也
□	kʱuaʔ7	泻～～里：言地上有很多稀泥也
□	søʔ7	放也：～得脚里
□	mət7	方形小高凳或小桌也
□	nət7	壮～～
□	uət7	木月骨⿲“核”别体也，即北京话“桃核儿”之本字，广韵胡骨切
□	toʔ7	言扔掉也
□	pʱaiʔ7	言松树做劈柴烧的也
□	naiʔ7	快速咽下也
□	nəɯʔ7	弄也
㐄	kʱɑ4	言一只脚在门槛这边，一只脚在门槛那边也
㐄	kʱɑ6	言跨在人家头上过也
㓟	pʱi1	
㧻	toʔ7	
㲃	tsiɯ5	
㸺	sɑ1	母水牛也
㿭	tsʱɑʔ7	白
䂎	tsʱɔn2	
䊳	mi1	
䋎	tsan5	
䞀	xɛy2	
