#漢字	音標	解釋
□	mi1	表示程度深，意義相當於「很」
□	sa1	～開：敞開(衣服)
□	mɛi1	表示程度很深，相當於「很」
□	pʰau1	浮躁
□	pʰau1	踢
□	tsʰen1	話語粗鄙
□	xøn1	～牲口：餵養牲畜
□	ȵiau2	～肚：小腿肚
□	ȵiau2	～魚：鯰魚
□	tɕiaŋ2	～飯：盛飯
□	mi3	～眼：關閉
□	tsʰan3	說話粗俗
□	tsʰɿ5	～人：害羞的樣子
□	uɑʔ7	抓、撓
□	tsʰoʔ7	樹類，有刺
一	iʔ7	
丁	tiaŋ1-	
丁	tin1=	
七	tɕʰiʔ7	
丈	dʐoŋ6	
三	san1	
上	ʂoŋ6	
上	ɕioŋ6	～山
下	xa6	～降；底～
不	pɛʔ7	
丐	kai5	
丑	tʂʰəu3	
且	tɕʰia3	
世	ʂʅ5	
丘	tɕʰiəu1	
丙	pin3	
丞	dʐən2	
丟	tiəu1	
丫	ŋa1-	～環
丫	ia1=	～頭
中	tɕiəŋ1	
中	tʂəŋ5	打～
丰	fəŋ1	
串	tɕʰyan5	
丸	yan2	～子
丹	tan1	
主	tɕy3	
乃	lai3	
久	tɕiəu3	
么	iau1	
之	tʂʅ1	
乏	fɑʔ7	
乖	kuai1	
乘	dʐən2	
乙	iɛʔ7	
九	tɕiəu3	
乞	tɕʰiʔ7	
也	ia3	
乳	y3	
乾	kuøn1-	～濕
乾	dʑian2	～坤
乾	køn1=	～濕
亂	løn6	
了	liau3	
事	sɿ6	
二	œy6	
云	yn2	
互	fu6	
五	u3	
井	tɕiaŋ3	
些	ɕia1	
亞	ia5	～軍
亡	uoŋ2	
亢	kʰoŋ5	
交	tɕiau1	
亥	xɛi6	
亦	iʔ7	
享	ɕioŋ3	
京	tɕin1	
亭	din2	
亮	lioŋ6	
人	ŋin2	
什	ʂʅʔ7	～物
仁	yn2	
仄	tsɛʔ7	
仆	pʰuʔ7	
仇	dʐəu2	～人；姓氏
今	tɕin1	
介	kai5	
仍	yn2	
仕	sɿ6	
他	tʰa1	
仗	dʐoŋ6	
付	fu5	
仙	ɕian1	
仟	tɕʰian1	
代	dɛi6	
令	lin6	
以	i3	
仰	ioŋ3	～頭
仲	dʐəŋ6	
件	dʑian6	
任	yn6	
份	fən6	
仿	foŋ3	
企	tɕʰi3	
伊	i1	
伍	u3	
伏	fuʔ7	
伐	fɑʔ7	
休	ɕiəu1	
伯	paʔ7	
估	ku1	
伴	bøn6	
伶	lin2	
伸	ʂən1	
伺	tsʰɿ5	
似	sɿ6	
伽	tɕia1	
但	dan6	
佈	pu5	
位	uɛi6	
低	ti1	
住	dʑy6	
佐	tsu5	
佑	iəu6	
佔	tʂøn5	～領
何	xo2	
佘	ʂa2	
余	y2	
佛	fɛʔ7	
作	tsoʔ7	
佟	dəŋ2	
你	n̩3	
佩	pʰi5	
佰	paʔ7	
佳	tɕia1	
佼	tɕiau1	
使	ʂʅ3	
侄	tʂʰʅʔ7	
來	lɛi2	
侈	tʂʰʅ3	
例	li6	
侍	ʂʅ6	
侗	dəŋ6	
供	kəŋ1	～給
供	kəŋ5	上～
依	i1	
侮	u3	
侯	kʰəu2	
侵	tɕʰin1	
侶	li3	
便	bian2	～宜
便	bian6	～利
促	tsʰəuʔ7	
俄	ŋo2	
俏	tɕʰiau5	
俑	iəŋ3	
