#漢字	音標	解釋
一	iəʔ7	
丁	tin1	
七	tɕʰiəʔ7	
万	uɛ̃5	
丈	tsɑ̃5	
三	sɛ̃1	
上	sɑ̃5	
下	xa5	白
下	ɕia5	文
不	pəʔ7	
与	ʯ2	
丐	kɛ5	
丑	tsʰəɯ3	
專	tʂʯɛ̃1	
且	tɕʰiɪ3	
丕	pʰi1	
世	sɿ5	
丘	tɕʰiəɯ1	
丙	pin3	
業	iɪʔ7	
叢	tsʰən2	
東	tən1	
東	tən5	
絲	sɿ1	
丟	tiəɯ1	
兩	niɑ̃3	
嚴	ŋɛ̃2	关～
嚴	iẽ2	文
喪	sɑ̃1	～事
个	ko5	
丫	ŋa1	
中	tʂʯən1	当～
中	tʂʯən5	射～
丰	fən1	
串	tʂʰʯɛ̃5	
臨	nin2	
丸	uõ2	
丹	tɛ̃1	
爲	uei2	
爲	uei5	
主	tʂʯ3	
丽	ni5	
舉	tʂʯ3	
乃	nɛ3	
久	tɕiəɯ3	
義	i5	
之	tsɿ1	
烏	u1	
乍	tsa5	
乎	xu1	
樂	noʔ7	快～
樂	ioʔ7	音～
乒	pʰin1	
乓	pʰɑ̃1	
喬	tɕʰiɔ2	
乖	kuɛ1	
乘	tsʰən2	
乙	iəʔ7	
九	tɕiəɯ3	
乞	tɕʰiəʔ7	
也	iɪ3	
習	ɕiəʔ7	
鄉	ɕiɑ̃1	
書	ʂʯ1	
買	mɛ3	
亂	nõ5	
乳	ʯ3	
乾	tɕʰiẽ2	
了	niɔ3	
爭	tsən1	
事	sɿ5	
二	ɔ5	
于	ʯ2	
虧	kʰuei1	
雲	ʯən2	
互	xu5	
五	u3	
井	tɕin3	
亞	ia5	
些	ɕiɪ1	
亡	uɑ̃2	
亢	kʰɑ̃5	
交	kɔ1	白
交	tɕiɔ1	文
亥	xɛ5	
亦	iəʔ7	
產	tsʰɛ̃3	
亨	xən1	
畝	mo3	
享	ɕiɑ̃3	
京	tɕin1	
亭	tʰin2	
亮	niɑ̃5	
親	tɕʰin1	
人	ʐən2	
億	i5	
仁	ʐən2	
僅	tɕin3	
仆	pʰəʔ7	
仇	tsʰəɯ2	～恨
仇	tɕʰiəɯ2	姓
今	kən1	白
今	tɕin1	文
介	tɕiɛ5	
仍	ʐən2	
从	tsʰən2	
仑	nən2	
倉	tsʰɑ̃1	
仔	tsɿ3	
仕	sɿ5	
他	tʰa1	
仗	tsɑ̃5	
付	fu5	
仙	ɕiẽ1	
代	tɛ5	
令	nin5	
以	i3	
儀	i2	
仰	niɑ̃3	
仲	tʂʯən5	
件	tɕiẽ5	
價	tɕia5	
任	ʐən2	姓
任	ʐən5	
份	fən5	
仿	pʰɑ̃2	
仿	fɑ̃3	
企	tɕʰi3	
伊	i2	
伍	u3	
伏	pu1	～鸡
伏	fəʔ7	埋～
伏	fəʔ8	～天
伐	fɛʔ7	
休	ɕiəɯ1	
衆	tʂʯən5	
優	iəɯ1	
伙	xo3	
會	kʰuɛ5	～计
會	xuei5	
傘	sɛ̃3	
偉	uei3	
傳	tʂʰʯɛ̃2	～达
傳	tʂʯɛ̃5	～记
伢	ŋa2	
傷	sɑ̃1	
倫	nən2	
僞	uei3	
伯	pɪʔ7	
估	ku3	
伴	põ5	
伶	nin2	
伸	tsʰən1	白
伸	sən1	
伺	tsʰɿ5	
似	sɿ5	
佃	tiẽ5	
但	tɛ̃5	
位	uei5	
低	ti1	
住	tʂʯ5	
佐	tso3	
體	tʰi3	
何	xo2	
佘	sɪ2	
余	ʯ2	
佛	fəʔ7	
作	tsoʔ7	
你	ni3	文
佣	ʯən5	
佩	pʰei5	
佬	nɔ3	
佯	iɑ̃2	
佳	tɕia1	
使	sɿ3	
侄	tsəʔ8	
侈	tsʰɿ3	
例	ni5	
侍	sɿ5	
侏	tʂʯ1	
供	kuən5	
依	i1	
僥	tɕiɔ3	
偵	tsən1	
側	tsʰɪʔ7	
僑	tɕʰiɔ2	
儂	nən2	
侯	xəɯ2	
侵	tɕʰin1	
便	pʰiẽ2	～宜
便	piẽ5	顺～
促	tsʰəʔ7	
俄	uo2	
俊	tʂʯən5	
俏	tɕʰiɔ5	
俗	səʔ7	
俘	fu2	
保	pɔ3	
信	ɕin5	
儼	iẽ3	
儉	tɕiẽ3	
修	ɕiəɯ1	
俯	fu3	
俱	tʂʯ5	
倍	pei5	
倒	tɔ3	
倒	tɔ5	～水
倔	tʂʯɪʔ7	
倘	tʰɑ̃3	
候	xəɯ5	
倚	i3	
借	tɕiɪ5	
倡	tsʰɑ̃5	
倦	tʂʯɛ̃5	
倩	tɕʰiẽ5	
倪	ni2	
倭	uo1	
債	tsɛ5	
值	tsəʔ8	
傾	tɕʰin1	
假	tɕia3	
偏	pʰiẽ1	
做	tso5	
停	tʰin2	
健	tɕiẽ5	
偶	ŋəɯ3	
偷	tʰəɯ1	
償	tsʰɑ̃2	
傀	kʰuei3	
傅	fu5	
傍	pʰɑ̃1	
傍	pɑ̃5	
傣	fən5	
儲	tʂʰʯ2	
催	tɕʰi1	白
催	tsʰei1	文
傲	ŋɔ5	
傻	sa3	
像	tɕiɑ̃5	白
像	ɕiɑ̃5	文
僚	niɔ2	
僧	sən1	
僵	tɕiɑ̃1	
僻	pʰiəʔ7	
儒	ʯ2	
儡	nei3	
兒	ɔ2	
允	ʯən3	
元	ʯɛ̃2	
兄	ʂʯən1	
充	tʂʰʯən1	
兆	tsɔ5	
先	ɕiẽ1	
光	kuɑ̃1	
克	kʰɪʔ7	
免	miẽ3	
兌	ti5	白
兌	tei5	文
兔	tʰəɯ5	
黨	tɑ̃3	
兜	təɯ1	
兢	tɕin5	
入	ʯəʔ7	
全	tʂʰʯɛ̃2	
八	pɛʔ7	
公	kuən1	
六	nəʔ7	
兮	ɕi1	
蘭	nɛ̃2	
共	kuən5	
關	kuɛ̃1	
興	ɕin5	
兵	pin1	
其	tɕʰi2	
具	tʂʯ5	
典	tiẽ3	
兹	tsɿ1	
養	iɑ̃3	
兼	tɕiẽ1	
獸	səɯ5	
冀	tɕi5	
內	nei5	
岡	kɑ̃1	
冉	ʐɛ̃3	
冊	tsʰɪʔ7	
再	tsɛ5	
冒	mɔ5	
冗	ʯən3	
寫	ɕiɪ3	
軍	tʂʯən1	
農	nən2	
冠	kõ1	
冢	tʂʯən3	
冤	ʯɛ̃1	
冬	tən1	
馮	fən2	
冰	pin1	
冲	tʂʰʯən1	～击
冲	tʂʰʯən5	
决	tʂʯɪʔ7	
况	kʰuɑ̃5	
冶	iɪ3	
冷	nən3	
凍	tən5	
淨	tɕin5	
準	tʂʯən3	
凉	niɑ̃2	
凋	tiɔ1	
凌	nin2	
減	kɛ̃3	白
減	tɕiẽ3	文
湊	tsʰəɯ5	
凝	nin2	
几	tɕi3	
凡	fɛ̃2	
鳳	fən5	
凭	pʰin2	
凱	kʰɛ3	
凰	xuɑ̃2	
凶	ʂʯən1	
凹	ua5	
出	tʂʰʯəʔ7	
擊	tɕiəʔ7	
函	xɛ̃2	
鑿	tsoʔ8	
刀	tɔ1	
刁	tiɔ1	
刃	ʐən5	
分	fən1	
切	tɕʰiɪʔ7	
刊	kʰɛ̃1	
刑	ɕin2	
划	xua2	～船
划	xua5	计～
列	niɪʔ7	
劉	niəɯ2	
劉	i5	
則	tsɪʔ7	
剛	kɑ̃1	
剛	tɕiɑ̃1	～才
創	tʂʰuɑ̃5	
初	tsʰəɯ1	
刪	sɛ̃1	
判	pʰõ5	
利	ni5	
别	pɛ5	不要：～去
别	piɪʔ7	文
刮	kuɛʔ7	
到	tɔ5	
制	tsɿ5	
刷	ʂuɛʔ7	
券	tʂʯɛ̃5	
刺	tsʰɿ5	
刻	kʰɪʔ7	
劊	kʰuɛ5	
剁	to5	
劑	tɕi5	
剃	tʰi5	
削	ɕioʔ7	
前	tɕʰiẽ2	
剮	kʰua3	
劍	tɕiẽ5	
剔	tʰiəʔ7	
剖	pʰo3	
剝	poʔ7	
劇	tʂʯ5	
剩	sən5	
剪	tɕiẽ3	
副	fu5	
割	kɪʔ7	
剿	tɕiɔ3	
力	niəʔ7	
勸	tʂʰʯɛ̃5	
辦	pɛ̃5	
功	kuən1	
加	tɕia1	
務	u5	
劣	niɪʔ7	
動	tən5	
助	tsəɯ5	
努	nəɯ3	
劫	tɕiɪʔ7	
勵	ni5	
勁	tɕin5	
勞	nɔ2	
勢	sɿ5	
勃	poʔ7	
勇	ʯən3	
勉	miẽ3	
勋	ʂʯən1	
勒	nəʔ7	
勘	kʰɛ̃1	
募	mo5	
勤	tɕʰin2	
勾	kəɯ1	
勻	tʂʯən1	
包	pɔ1	
匆	tsʰən1	
化	xua5	
北	pɪʔ7	
匙	tsʰɿ2	
匠	tɕiɑ̃5	
匡	kʰuɑ̃1	
匣	tɕiɛʔ7	
匪	fei3	
區	tʂʰʯ1	
醫	i1	
匾	piẽ3	
十	səʔ8	
千	tɕʰiẽ1	
升	sən1	
午	u3	
半	põ5	
華	xua2	
協	ɕiɪʔ7	
卑	pei1	
卒	tsəʔ7	
卓	tʂoʔ7	
單	tɛ̃1	
賣	mɛ5	
南	nɛ̃2	
博	poʔ7	
卜	pʰəʔ7	
占	tsɛ̃1	～卜
占	tsɛ̃5	～领
卡	kʰa3	
盧	nəɯ2	
卤	nəɯ3	
卦	kua5	
臥	uo1	
衛	uei5	
卯	mɔ3	
印	in5	
危	uei1	
即	tɕiəʔ7	
卻	tɕʰioʔ7	
卵	nõ3	
卷	tʂʯɛ̃3	
卷	tʂʯɛ̃5	试～
卸	ɕiɪ5	
卿	tɕʰin1	
廠	tsʰɑ̃3	
廳	tʰin1	
历	niəʔ7	
厲	ni5	
壓	tsʰən2	
壓	ŋɛʔ7	白
壓	iɛʔ7	文
厭	iẽ5	
廁	tsʰɪʔ7	
厘	ni2	
厚	xəɯ5	
原	ʯɛ̃2	
廂	ɕiɑ̃1	
厥	tʂʯɪʔ7	
厦	sa3	
厦	ɕia5	～门
廚	tʂʰʯ2	
厮	sɿ1	
去	tɕʰi5	白
去	tʂʰʯ5	文
縣	ɕiẽ5	
叄	sɛ̃1	
参	tsʰɛ̃1	～加
参	tsʰən1	～差
参	sən1	人～
又	iəɯ5	
叉	tsʰa1	
及	tɕiəʔ7	
友	iəɯ3	
雙	ʂuɑ̃1	
反	fɛ̃3	
发	fɛʔ7	
叔	ʂʯəʔ7	
取	tʂʰʯ3	
受	səɯ5	
變	piẽ5	
敘	ʂʯ5	
叛	pʰõ5	
叟	səɯ3	
疊	tiɪʔ7	
古	ku3	
句	tʂʯ5	
另	nin5	
叨	tɔ1	
叩	kʰəɯ5	
只	tsɿ3	～有
只	tsəʔ7	量词
叫	kɔ5	～花子
叫	tɕiɔ5	
召	tsɔ1	
叭	pa1	
叮	tin1	
可	kʰo3	
台	tʰɛ2	
史	sɿ3	
右	iəɯ5	
葉	iɪʔ7	
號	xɔ5	
司	sɿ1	
嘆	tʰɛ̃5	
叼	tiɔ1	
吁	ʂʯ1	
吃	tɕʰiəʔ7	
各	koʔ7	
吆	iɔ1	
合	xoʔ7	～计
吉	tɕiəʔ7	
吊	tiɔ5	
同	tʰən2	
名	min1	
后	xəɯ5	
吏	ni5	
吐	tʰəɯ5	
向	ɕiɑ̃5	
嚇	xɪʔ7	
吕	ʯ3	
君	tʂʯən1	
吝	nin5	
吞	tʰən1	
吟	in2	
吠	fei5	
否	fei3	
吨	tən1	
吩	fən1	
含	xɛ̃2	
听	tʰin5	
吭	kʰən1	
启	tɕʰi3	
吴	u2	
吵	tsʰɔ3	
吸	ɕiəʔ7	
吹	tʂʰuei1	
吻	uən3	
吼	xəɯ3	
呆	tɛ1	
呆	ŋɛ2	
呈	tsʰən2	
告	kɔ5	
嘔	ŋəɯ3	
嘔	ŋəɯ5	
員	ʯɛ̃2	
嗆	tɕʰiɑ̃5	
周	tsəɯ1	
呱	kua1	
味	uei5	
呵	xo1	
呻	sən1	
呼	xu1	
命	min5	
咀	tɕi3	白
咀	tsei3	文
和	xo2	
咎	tɕiəɯ5	
咏	ʯən3	
咒	tsəɯ5	
咔	kʰa3	
