#漢字	音標	解釋
□	kʰu1	榨完油後的渣壓成的餅，可作肥料
□	tʰy1	揉洗
□	xa1	⿰酉合
□	xia1	張開
□	tsiɔ1	斜
□	tsʰe1	拉上
□	pʰai1	張開
□	xiau1	薄～
□	kʰiu1	糖尿病
□	kyiŋ1	圈削果皮
□	tsʰyiŋ1	小孔
□	tsʰyiŋ1	轉動
□	paŋ1	跨過
□	maŋ1	遮蓋
□	taŋ1	尖物頂腳
□	tʰaŋ1	遞拿
□	tɔŋ1	裝盛
□	teiŋ1	～棺
□	pœyŋ1	燜炙
□	pa3	狹窄
□	tɛ3	程度深重
□	kuɛ3	老化
□	ɔ3	麥秸
□	no3	男陰物
□	ne3	抖動
□	ŋau3	斜視
□	pʰiŋ3	撣拍
□	tʰiŋ3	蟲魚產卵
□	tʰiŋ3	雪米
□	iŋ3	擁抱
□	tuiŋ3	跌倒
□	tsʰaŋ3	捆抱
□	pʰiaŋ3	結～：結成塊
□	tiaŋ3	剔除
□	xiaŋ3	趾高氣昂
□	tʰɔŋ3	湧流
□	ŋiɔŋ3	水渠
□	naiŋ3	腳跟踮起
□	kaiŋ3	～瓦：蓋瓦片
□	nœyŋ3	節餘
□	ny5	吵鬧不安
□	pʰa5	一團
□	ta5	張開
□	na5	量詞，張虎口量
□	tʰia5	開玩笑
□	kʰia5	作梗
□	pɛ5	鼓吹
□	kiɛ5	僵直
□	nuɛ5	解撒
□	tʰɔ5	肉包
□	kɔ5	抬頭
□	sɔ5	陡滑
□	xiɔ5	以巴掌打人
□	xo5	陶器
□	ŋe5	歪斜
□	pʰaŋ5	八字腳
□	aŋ5	再
□	piaŋ5	傾倒
□	niaŋ5	燒滾
□	xɔŋ5	水洞
□	tiɔŋ5	裏子
□	tsʰiɔŋ5	脆而易斷
□	siɔŋ5	番薯～：地瓜的粘汁
□	ŋœyŋ5	漚酵
□	ku6	頭低下
□	sia6	筍的嫩衣
□	tsɛ6	麵糰
□	xuɛ6	攪拌
□	tsuɛ6	～尿：尿床
□	kyɛ6	揹負
□	xyɛ6	擾動
□	tsyɛ6	又音，～尿：尿床
□	tʰo6	小穿孔
□	no6	灌塞
□	ai6	低垂
□	ŋau6	平面鋥
□	kʰiau6	生嬌氣
□	tsʰiu6	積蓄
□	iu6	癢癢
□	pʰiŋ6	蓋子
□	tsʰiŋ6	頭朝下栽下去
□	taŋ6	尖碰
□	laŋ6	鐵勺
□	tsaŋ6	用手壓住
□	saŋ6	罩住
□	kiaŋ6	禁忌
□	tsʰiaŋ6	引誘
□	xɔŋ6	櫥架
□	ɔŋ6	曬衣服的竹竿
□	ɔŋ6	倚靠
□	lu7	抽屜
□	pʰy7	香末
□	ny7	用指甲壓進
□	xy7	拋摔
□	y7	摺疊
□	na7	給
□	tsʰia7	用力使尖物刺入
□	mɛ7	未受精的蛋
□	tsʰɛ7	攙扶
□	miɛ7	涂敷
□	xiɛ7	水勢急
□	iɛ7	掰開
□	uɛ7	褪色
□	tsyɛ7	曬穀蓆
□	kʰiɔ7	味濃嗆人
□	tɔŋ7	淋雨
□	lu8	抓爬
□	ku8	碰擠
□	tsu8	塗抹
□	pʰia8	差
□	nia8	髪辮
□	tɔ8	戳
□	kɔ8	裝盛
□	ne8	樹樁
□	mai8	不會
□	lai8	傻
□	sai8	大聲辱駡
□	tau8	遠
□	kuiŋ8	籃子的提手
□	uiŋ8	發抖
□	yiŋ8	發抖
□	niaŋ8	歪動
□	kuaŋ8	桌椅的橫條
□	tɔŋ8	暖和
□	nɔŋ8	搖晃
