#漢字	音標	解釋
□	tsɿ0	硬～～：硬是
□	tsɿ0	神志无～
□	tsɿ0	酸～～
□	dzɿ0	藠头～
□	sɿ0	后～颈：后颈
□	pi0	叫～：哨子
□	bi0	～儿：怀孕
□	tʰi0	～太⁼：脏
□	li0	⿰氵隸，汗出吐～
□	li0	～杀：将动物猛摔致死
□	li0	雪白～
□	li0	赖⁼～：形容小孩容易抚养
□	li0	刁～鬼
□	tɕi0	臀～：坐板疮
□	tɕi0	竖～毛
□	tɕi0	～手：什么事都不做
□	tɕi0	和～：完全
□	tɕʰi0	～脚：把剩余的货品买下
□	tɕʰi0	～翘⁼：不平
□	tɕʰi0	后～筋：跟腱
□	ȵi0	～～螺：蛞蝓
□	ɕi0	～里火⁼漏⁼：言辞含糊，不合常理
□	ɦi0	～～动：想吐的感觉
□	i0	～房：填房
□	i0	表前一动作的重复态，吃好～好
□	i0	蚊虫～丝
□	i0	踢～子：踢毽子
□	bu0	胀～
□	su0	囡～：孙女
□	kʰu0	塌～菜
□	tɕy0	～作：捉弄人；收拾物品
□	tɕʰy0	～得：幸亏，亏得
□	pʰa0	想，打算
□	pʰa0	快快～～：做事粗线条
□	ma0	吃～～：吃饭，儿童用语
□	ma0	发～柴⁼病：疟疾
□	tʰa0	～锣
□	tʰa0	～饶：求饶
□	na0	～泥
□	la0	～柴胡子
□	tsʰa0	偷摸，东西～去嘞
□	dza0	～～亮
□	ha0	～扑：报废
□	ɦa0	～蒲荠：蠢人
□	a0	拥挤，～进～出
□	tɕia0	～笔⁼丽⁼：声音尖锐
□	dʑia0	哄骗小孩，～～其
□	ȵia0	～乌猫，儿童用语
□	ɕia0	～酒：斟酒
□	ɕia0	～意
□	ɡua0	～～奔：卖力地跑
□	ɡua0	拟声词，～～响
□	pɛ0	懒⁼～：偶尔
□	bɛ0	屙衲～：尿布
□	fɛ0	～登⁼：熟练
□	dɛ0	～嘴，嘴角下垂的嘴型
□	lɛ0	～板⁼：偶尔
□	kɛ0	～屁眼
□	ɦuɛ0	～眼
□	tʰe0	呒～地方
□	he0	红出～～
□	dø0	～唐⁼：没有分寸的人
□	dzø0	～头：歪脖子
□	pɔ0	开～：皴裂
□	dɔ0	～树，将树连根拔起
□	dɔ0	～摇⁼：人情来往的开支
□	lɔ0	～锄头：形容语气冲
□	tsɔ0	暗⁼～：灰尘、皮屑等污垢
□	tsɔ0	沾染（污渍）
□	ŋɔ0	称赞
□	po0	癞蛤～：癞蛤蟆
□	bo0	背～：上当
□	mo0	丫～：嘴巴
□	to0	～发讨饭
□	tʰo0	～底：鞋垫
□	do0	哭了～～响
□	no0	油～～
□	tsʰo0	手～进
□	so0	滑，～落去
□	ko0	卵～～，儿童用语
□	ɡo0	喝～～：喝水，儿童用语
□	ŋo0	焦～气：纤维烧焦的气味
□	ho0	眼睛～～：稍微睡一会
□	ɦo0	在积水中行走，～过去
□	o0	～码⁼：嘴巴（贬义）
□	pʰio0	肉交关～：鱼肉鲜嫩
□	lio0	捞，～起来
□	tɕʰio0	蹊⁼～瓦爿
□	tɕʰio0	需要，钞票～多少
□	ɕio0	～开
□	ɕio0	面白䩍～：面色惨白
□	ɦio0	道⁼～：人情来往的开支
□	kʰəu0	真～：确实
□	əu0	～拢：环抱住
□	əu0	～子：抛撒在水面用于吸引鱼群的饵料
□	tʰœʏ0	花头～
□	lœʏ0	西⁼里火⁼～
□	tsœʏ0	背～：背部
□	zœʏ0	～头，詈语
□	bei0	稻～
□	mei0	～心弗过：心里感到过意不去
□	dzei0	合音字，怎么会
□	kʰuei0	⿰米鬼，糯米～
□	tʰiŋ0	水明～：光滑
□	tɕʰiŋ0	～盯盯
□	dʑiŋ0	～𠗶：冰凌
□	ɕiŋ0	多～：多于这个数
□	iŋ0	～线板
□	təŋ0	～脚：跺脚
□	təŋ0	刁～：赌气
