#漢字	音標	解釋
□	ŋɑu1	喊
□	tʰən3	口气味难闻
一	i5	
丁	tin1	
七	tɕʰi5	
万	uan6	
丈	tsʰɑŋ6	
三	san1	
上	sɑŋ6	
下	xa3	傻、笨：你许～哟
下	xa6	
不	pu2	
与	y3	
丐	kai5	
丑	tsʰəu3	
專	tɕyɛn1	
且	tɕʰie3	
世	sɿ5	
丘	tɕʰiəu1	
丙	pin3	
業	ȵie5	
叢	tsʰoŋ2	
東	toŋ1	
絲	sɿ1	
丞	tsʰən1	
丟	tiəu1	
兩	liɑŋ3	
嚴	ȵiɛn2	
喪	sɑŋ1	
个	ko6	
丫	ŋa1	
丫	ia1	
中	tsoŋ1	～国
中	tsoŋ5	～奖
丰	foŋ1	
串	tɕʰyɛn5	
臨	lin2	
丸	uon2	
丹	tan1	
爲	uei2	作～
爲	uei6	
主	tɕy3	
丽	li6	
舉	tɕy5	
乃	nai3	
久	tɕiəu3	
麼	mo3	
義	i6	
之	tsɿ1	
烏	u1	
乎	xu1	
乏	fa6	
樂	lo5	
乒	pʰin1	
乓	pʰɑŋ1	
喬	tɕʰiɑu2	
乖	kuai1	
乘	tsʰən1	
乙	i3	
九	tɕiəu3	
乞	tɕʰi3	
也	ie3	
習	ɕi5	
鄉	ɕiɑŋ1	
書	ɕy1	
買	mai3	
亂	lon6	
乾	tɕʰiɛn2	
予	y3	
爭	tsən1	
事	sɿ6	
二	æ6	
于	y2	
虧	kʰuei1	
雲	yn2	
互	xu6	
井	tɕin3	
亘	kən5	
亞	ia5	
些	ɕie1	
亡	uɑŋ2	
亢	kʰɑŋ5	
交	tɕiɑu1	
亥	xai6	
亦	i6	
產	tsʰan3	
畝	mu3	
京	tɕin1	
亭	tʰin2	
亮	liɑŋ6	
親	tɕʰin1	
亳	xɑu2	
亳	po5	
人	zən2	
億	i6	
什	sən2	
仁	zən2	
仃	tin1	
僅	tɕin3	
仆	pʰu2	
仇	tsʰəu2	
今	tɕin1	
介	kai5	
介	tɕiai5	
仍	zən2	
从	tsʰoŋ2	
仑	lən2	
倉	tsʰɑŋ1	
仔	tsai3	
仕	sɿ6	
他	tʰa1	
仗	tsɑŋ5	
仗	tsʰɑŋ6	
付	fu6	
仙	ɕiɛn1	
代	tʰai6	
令	lin6	
以	i3	
儀	i2	
仰	ȵiɑŋ3	
仲	tsoŋ5	
仵	u3	
價	tɕia6	
任	zən6	
份	fən6	
仿	mo2	
仿	fɑŋ3	
企	tɕʰi3	
伉	kʰɑŋ5	
伊	i1	
伍	u3	
伎	tɕi6	
伏	fu5	
休	ɕiəu1	
衆	tsoŋ5	
優	iəu1	
伙	xo3	
會	kʰuai1	～计
會	xuei6	
傘	san3	
偉	uei3	
傳	tɕʰyɛn2	
傳	tɕʰyɛn6	～记
伢	ŋa2	
傷	sɑŋ1	
倫	lən2	
僞	uei3	
伯	piæ5	
估	ku1	
伴	pʰon6	
伶	lin2	
伸	sən1	
伺	tsʰɿ5	
似	sɿ5	
伽	tɕia1	
佃	tiɛn5	
但	tʰan6	
位	uei6	
低	ti1	
住	tai3	
住	tɕʰy6	
佐	tso3	
佑	iəu6	
體	tʰi3	
何	xo2	
佗	tʰo2	
余	y2	
佚	i6	
佛	fo2	
作	tso6	
佝	kiəu1	
佟	tʰoŋ2	
你	n̩3	
佣	ioŋ1	
佤	ua3	
佩	pʰoi5	
佬	lɑu3	
佯	iɑŋ2	
佳	tɕia1	
佼	tɕiɑu3	
使	sɿ3	
侃	kʰan3	
侃	kʰon3	
侄	tsʰɿ6	
例	li6	
侍	sɿ6	
侏	tɕy1	
供	koŋ1	
依	i1	
俠	ɕia2	
侣	ly3	
僥	tɕiɑu3	～幸
偵	tsən1	
側	tsʰæ5	
僑	tɕʰiɑu2	
侮	u3	
侯	xəu2	
侵	tɕʰin1	
便	pʰiɛn2	
便	pʰiɛn6	方～
促	tsʰəu5	
俄	ŋo2	
俊	tɕyn5	
俏	tɕʰiɑu5	
俐	li6	
俑	ioŋ3	
俗	səu2	
俘	fu2	
保	pɑu3	
俞	y2	
信	ɕin5	
儼	iɛn3	
儷	li6	
儉	tɕiɛn3	
修	ɕiəu1	
俯	fu3	
俱	tɕy6	
俸	foŋ6	
倍	pʰoi6	
倒	tɑu3	
倒	tɑu5	
倔	tɕyæ5	
倘	tʰɑŋ3	
候	xəu6	
倚	i3	
借	tɕie6	
倡	tsʰɑŋ5	
倦	tɕyɛn5	
倩	tɕʰiɛn5	
倪	ȵi1	
倭	uo1	
債	tsai5	
值	tsʰɿ6	
傾	tɕʰin1	
假	tɕia3	
偎	uei1	
偏	pʰiɛn1	
偕	ɕie2	
做	tso6	
停	tʰin2	
偶	ŋiəu3	
偷	tʰəu1	
償	tsʰɑŋ2	
傀	kʰuei2	
傅	fu6	姓
傍	pʰɑŋ6	
傣	tai3	
儻	tʰɑŋ3	
儲	tɕʰy3	
催	tsʰuei1	
傲	ŋɑu6	
傻	sa3	
像	tɕʰiɑŋ6	
僚	liɑu2	
僧	sən1	
僵	tɕiɑŋ1	
僻	pʰi6	
兒	æ2	
兀	u6	
允	ioŋ3	
元	yɛn2	
兄	ɕioŋ1	
充	tsʰoŋ1	
兆	tsʰɑu6	
先	ɕiɛn1	
光	kuɑŋ1	
克	kʰiæ5	
免	miɛn3	
兌	toi6	
兔	tʰəu5	
兖	iɛn3	
黨	tɑŋ3	
兜	təu1	
兢	tɕin1	
全	tɕʰiɛn2	
全	tɕʰyɛn2	
八	pa5	
公	koŋ1	
六	ləu5	
兮	ɕi1	
蘭	lan2	
共	kʰoŋ6	
關	kuan1	
興	ɕin1	
興	loŋ2	
興	ɕin5	高～
兵	pin1	
其	tɕʰi2	
具	tɕy6	
典	tiɛn3	
兹	tsɿ1	
養	iɑŋ3	
兼	tɕiɛn1	
獸	səu6	
岡	kɑŋ1	
冉	tsan3	
冊	tsʰæ5	
再	tsai5	
冒	mɑu5	
冕	miɛn3	
冗	ioŋ3	
寫	ɕie3	
軍	tɕyn1	
農	noŋ1	
冠	kon1	
冤	yɛn1	
冥	min2	
冬	toŋ1	
馮	foŋ2	
冰	pin1	
冲	tsʰoŋ1	
冲	tsʰoŋ5	
决	tɕyæ5	
决	tɕʰie6	
况	kʰuɑŋ5	
冶	ie3	
冷	lən3	
凍	toŋ5	
冽	lie5	
凄	tɕʰi1	
準	tɕyn3	
凇	soŋ1	雾～
凉	liɑŋ2	
凋	tiɑu1	
凌	lin2	
減	tɕiɛn3	
湊	tsʰəu5	
凛	lin3	
凝	ȵin2	
几	tɕi1	
几	tɕi3	
凡	fan2	
鳳	foŋ6	
凭	pʰin2	
凱	kʰai3	
凰	xuɑŋ2	
凳	tən5	
凶	ɕioŋ1	
凸	tʰəu1	
凹	ŋɑu6	
出	tɕʰy5	
擊	tɕi1	
鑿	tsʰɑu6	
刀	tɑu1	
刁	tiɑu1	
刃	zən6	
分	fən1	
分	fən6	
