#漢字	音標	解釋
一	ia7	
丁	teŋ1	
七	tsʰa7	
万	mɔ6	白
万	vɔ6	
丈	dʑiɛ4	
三	sɔ1	
上	lɔ2	
上	ʑiɛ4	〜去
上	ʑiɛ6	〜下
下	ɦo4	
丑	tɕʰieu3	
專	tɕyø1	
且	za8	
丘	tɕʰiau1	
丙	peŋ3	
業	ȵie8	
叢	zoŋ2	
東	toŋ1	
絲	sɿ1	
丞	zeŋ2	
兩	liɛ4	几〜几钱
嚴	ȵiɛ2	
喪	so1	
个	kai5	
中	tsoŋ1	
丰	foŋ1	
臨	leŋ2	
丸	ɦyø2	
丹	tɔ1	
爲	ɦy2	行〜
爲	ɦy6	因〜
主	tɕy3	
主	du6	
舉	tɕy3	
久	tsau3	
義	ȵi6	
之	tsɿ1	
乏	vuɔ8	
樂	lo8	快〜
喬	dʑyø2	
乘	zeŋ2	〜法
乘	tsʰaŋ3	〜车
乙	ia7	
九	tsau3	
習	za8	
鄉	ɕiɛ1	
書	sy1	
買	mɔ4	
亂	lø6	
爭	tɕia1	
事	zɿ6	
二	ŋ6	
于	y1	
虧	kʰai1	
雲	vəŋ2	
互	vu6	
五	ŋu4	
井	tseŋ3	
亘	kaŋ3	
亞	o3	
亡	vuɔ2	
亥	ɦe4	
亦	ɦi8	
產	sɔ3	
亨	ha1	
京	tɕiaŋ1	
亭	deŋ2	
亮	liɛ6	
親	tɕʰiaŋ1	
人	naŋ2	
人	zaŋ2	文
億	i5	
什	za8	
仁	zaŋ2	
僅	dʑiaŋ6	
仆	bu8	
仇	dʑieu2	
今	tɕiaŋ1	
介	kɔ5	
仍	zeŋ2	
从	ɦyɔ2	
倉	tsʰo1	
他	tʰɔ1	文
仗	tɕiɛ5	
付	fu5	
仙	ɕie1	
代	de6	
令	leŋ6	
以	ɦi6	
仰	ȵiɛ4	
件	dʑie4	
任	zaŋ6	责〜
任	ȵiaŋ6	姓
份	vaŋ6	
仿	fuɔ3	
企	dʑi2	
企	tɕʰi3	又
伍	ŋu4	
伏	vu8	
伐	vuɔ8	
休	sau1	
衆	tɕioŋ5	
優	iau1	
伙	fu3	
會	kai5	〜计
會	vai6	
傘	sɔ3	
傳	dʑyø2	
傷	ɕiɛ1	
倫	laŋ2	
僞	ȵy2	
伯	pa7	
估	kʰu1	
伴	bø4	
伶	leŋ2	
伸	saŋ1	
似	zɿ4	
伽	ko1	
但	dɔ6	
位	ɦy6	
低	ti1	
住	dʑy6	
佐	tsu3	
佑	ɦiau6	
體	tʰi3	
何	vu2	
余	ɦy2	
佛	va8	
作	tso7	
你	ȵi4	
佢	ɡi2	他
佩	bai6	
佳	ko1	
使	sɿ3	
供	tɕyɔ1	
依	i1	
側	tsʰe7	
僑	dʑyø2	
侮	vu4	
侯	ɦau2	
侵	tsʰaŋ1	
便	bie6	
促	tsʰu7	
俄	ŋu2	
俊	ɦo2	
俘	fu1	
保	pɛ3	
信	saŋ5	
儉	dʑie4	
修	ɕieu1	
俯	fu3	
倍	bai4	
倒	tɛ3	打〜
倒	tɛ5	〜水
候	ɦau6	
倚	i1	
借	tɕi5	
倡	tɕʰiɛ5	
倦	dʑyø6	
債	tsɔ5	
值	ȵi2	
值	dʑi6	
假	ko3	
做	tsu5	
停	deŋ2	
偶	ŋau4	
偷	tʰau1	
償	ʑiɛ2	
傅	fu5	
傍	buɔ2	
傢	ko1	〜具
儲	dʑy2	
催	tsʰai1	
傲	ŋɛ6	
像	ʑiɛ4	
僧	saŋ1	
僵	tɕiɛ1	
僻	pʰi7	
儒	zy2	
兒	ŋ2	
元	ȵyø2	
兄	soŋ1	
充	tsʰoŋ1	
兆	dʑyø4	
先	ɕie1	
光	kuɔ1	
克	kʰe7	
免	mie4	
兌	dai6	
兔	tʰy5	
黨	to3	
兜	tau1	
入	za8	
全	ʑyø2	
八	puɔ7	
公	koŋ1	
共	dʑyɔ6	
關	kɔ1	
關	kaŋ1	〜门
興	saŋ1	〜盛
興	saŋ5	高〜
兵	peŋ1	
其	dʑi2	
具	dʑy6	
兹	tsɿ1	
養	iɛ3	
兼	tɕie1	
獸	ɕieu5	
內	nai6	
冇	nau4	没有
岡	kuɔ1	
冊	tsʰɔ7	
再	tse5	
冒	mɛ6	
軍	tsʰo1	汽〜
軍	tɕyəŋ1	
農	noŋ2	
冤	yø1	
冬	toŋ1	
馮	ɦoŋ2	
冰	peŋ1	
冲	tsʰoŋ1	
决	tɕyø7	
冷	la4	
凍	toŋ5	
淨	zeŋ6	
準	tɕyəŋ3	
凉	liɛ2	
凌	leŋ2	
減	kɔ3	
湊	tɕʰiau5	
几	tɕi1	〜乎
凡	vɔ2	
鳳	voŋ6	
凭	beŋ2	
凱	kʰe3	
凳	taŋ5	
凶	ɕyɔ1	
出	tɕʰyø7	
出	ɦo8	
擊	tɕi7	
擊	tɕiɛ7	
函	ɦɔ2	
鑿	zo8	
刀	tɛ1	
刁	tuɔ1	
分	faŋ1	
切	tɕʰiɛ7	
刎	vaŋ4	
刑	ɦiaŋ2	
划	va8	
列	liɛ8	
劉	lieu2	
則	tse7	
剛	kuɔ1	
初	tsʰu1	
刪	sɔ1	
判	pʰø5	
刨	buɔ6	
利	li6	
别	bie8	
到	tɛ5	
制	tɕi5	
刷	sø7	
券	tɕʰyø5	
