#漢字	音標	解釋
□	ta1	父亲
□	na1	人称代词「人家」的合音
□	pia1	往上放
□	pʰia1	液体过满，溢出容器
□	pʰia1	～眉沙眼：满不在乎
□	ȵia1	「人家」的合音
□	tɕʰia1	收养别人的小孩为自己的;抱小孩
□	tsʰua1	拟声词
□	sua1	～儿：夯木
□	uəɪ1	～断
□	tɕyəɪ1	揪，拽
□	yəɪ1	拟声词：吆喝牲口停住
□	sai1	～锣:使劲乱敲锣
□	tei1	藏
□	kuei1	刀～了：刀钝了
□	uei1	坟地
□	tsou1	端
□	tsʰou1	～儿：套在牲口嘴部防治吃庄稼的网状物
□	tsʰou1	从物体的一侧用力，使活动
□	xou1	小
□	mi1	地名「明阳」的合音
□	ȵi1	「你们家」的合音
□	tsʰu1	伸
□	nʊ1	无用之人
□	nzaŋ1	反复嚼韧性物
□	pəŋ1	～头：额头
□	nzəŋ1	～棉花：轧棉花
□	kʰəŋ1	移动身体
□	tsuəŋ1	「作甚」的合音
□	tsa3	大拇指拉开一指的距离
□	tsʰa3	两条以上棍状物，一端连或捆在一起，另一端向不同方向分开
□	tsʰa3	～雨:在雨中行走
□	sa3	～～:粗陶盆
□	sa3	～碗：海碗
□	pʰia3	腿向两边分开
□	ȵia3	～儿：指代别人的母亲
□	tsʰua3	～水：在雨地里行走
□	ua3	～米：舀米
□	pʰəɪ3	～出去：豁出去
□	tʰəɪ3	两手抱脸
□	tʰəɪ3	一种制钱游戏
□	ləɪ3	碰或动
□	lai3	不～:晃动
□	tsai3	「这一个」的合音
□	tsai3	圪～～：首领
□	kʰai3	挤
□	uai3	「兀个」的合音
□	tei3	弄，搞
□	nau3	扛
□	lau3	吃～饭了
□	tɕiou3	～着：击着
□	pʰi3	～叶子:打叶子
□	tsʰu3	把棍状物伸入或伸出
□	ku3	强迫别人做某件事
□	u3	使物体在空中飞动
□	nʊ3	充足
□	nzʊ3	推
□	ʐʊ3	～子花：轧过未弹的棉花
□	kʰen3	扔掉
□	luen3	拧
□	tʰin3	脱～:脱去衣帽
□	tɕʰin3	(短时间)等
□	tɕʰyn3	把人或动物关住
□	nzaŋ3	大口咬
□	suaŋ3	～起一个泡：磨出一个泡
□	pʰəŋ3	～上：遇上
□	tʰəŋ3	傻
□	səŋ3	饭里的沙子
□	kəŋ3	「我家」的合音
□	ŋəŋ3	「我家」的合音，妇女多用
□	pʰiəŋ3	比较：兀家～我大
□	tuəŋ3	闯祸：～乱子
□	ɕyəŋ3	紧紧跟住
□	tsa5	腌～
□	pia5	象声词
□	mia5	唢呐
□	tɕya5	～巴巴：物体涩硬，人脾气倔
□	mau5	扔
□	tsau5	累
□	tou5	～争～土：使尘土散开
□	kʰou5	米～了：米撒了
□	mɿ5	举手放到自己肩膀处
□	tsɿ5	量轻重，冷热等
□	ti5	～一遭：去某处马上就回来
□	ȵi5	恭维奉承
□	ʐu5	递向，伸向
□	tʊ5	～土：飞扬的尘土落到人身上
□	tsʊ5	增多
□	kʊ5	使刀锋利
□	tsen5	花生～
□	tuen5	追
□	in5	～火：烧柴火
□	tsaŋ5	多增
□	nzaŋ5	地面松软，人走在上面
□	pʰəŋ5	绽开
□	məŋ5	泡一段时间
□	tɕyəŋ5	粘性液体凝固成半凝固体
□	pʰaʔ7	一～草：一棵草
□	nzaʔ7	～反：孩子们闹腾
□	kʰaʔ7	～处：到处
□	kʰaʔ7	斗的俗称
□	ŋaʔ7	～腰：弯腰
□	liaʔ7	扭身子
□	nzuaʔ7	握住
□	suaʔ7	～面：成把的面条
□	ŋəʔ7	日～：程度深
□	tsʰuəʔ7	～糊糊：加热，使面成粘稠状
□	paʔ8	～人：水温度过低
□	maʔ8	拔出
□	ŋaʔ8	～脑头：从上头
□	tɕiaʔ8	～上头：从上头
□	kuaʔ8	看～:看一下
□	pʰiəʔ8	～列：四肢乱动
□	tʰuəʔ8	一～录：一嘟噜
□	kuəʔ8	～拢：滚的分音词
㞗	tɕiou1	男阴
擓	kʰuai3	～痒
㨄	tsou1	把物体从一端托起来
䵚	tʰau5	～黍：高粱
一	iəʔ7	
丁	tiəŋ1	
七	tɕʰiəʔ7	
万	uaŋ5	
丈	tsʊ5-	
丈	tsaŋ5=	
三	saŋ1	
上	sʊ5-	～山
上	saŋ5=	
下	xa5-	～面
下	ɕia5=	
不	pəʔ7	
与	ʮ5	
丐	kai5	
丑	tsʰou3	
專	tsuen1	
世	sɿ5	
丘	tɕʰiou1	
丙	piəŋ3	
叢	tsʰuəŋ1	
東	tuəŋ1	
絲	sɿ1	
丞	tsʰəŋ1	
丟	tiou1	
兩	lia3-	
兩	liaŋ3=	
嚴	in1	
喪	saŋ1	
喪	saŋ5=	
个	xuai3-	
个	kəɪ5	
丫	ia1	
中	tsuəŋ1	
丰	xuəŋ1	
串	tsʰuen5	
臨	liəŋ1	
丸	uen1	
丹	taŋ1	
爲	uei1	
主	tsu3	
丽	lɿ5	
舉	tsʮ3	
乃	nai3	
久	tɕiou3	
麼	məʔ8	
麼	ma3=	
義	ɿ5	
烏	u1	
乍	tsa5	
乍	sa5	～来
乎	xu1	
乏	xuaʔ8	
樂	laʔ7	～快
樂	iaʔ7	音～
乓	pʰa1	
喬	tɕi1-	
喬	tɕʰi1=	
乖	kuai1	
乘	tsʰəŋ1	～法
乙	iəʔ7	
乜	miəʔ7	
九	tɕiou3	
乞	tɕʰiəʔ7	
也	i3	
習	ɕiəʔ8	
鄉	ɕiaŋ1	
書	su1	
買	mai3	
亂	luen5	
乳	ʐu3	
乾	tɕʰin1	
了	lia3-	吃了饭～
了	li3-	～结
了	liau3=	～结
予	ʮ1	
爭	tsəŋ1	
事	sɿ5	
二	ei5	
虧	kʰuei1	
雲	yəŋ1	
互	xu1	
五	u3	
井	tsɿ3-	
井	tɕiəŋ3=	
亘	kəŋ5	
亞	ia3	
些	ɕi1	
些	sei1=	
亡	ʊ1-	
亡	uaŋ1=	
亢	kʰaŋ5	
交	tɕiau1	
亥	xai5	
亦	ɿ5	
產	tsʰaŋ3	
亨	xəŋ1	
畝	mu3	
享	ɕiʊ3-	
享	ɕiaŋ3=	
京	tɕiəŋ1	
亭	tʰiəŋ1	
亮	liaŋ5	
親	tɕʰiəŋ1	
親	tɕʰiəŋ5	～家
人	ʐəŋ1	
億	ɿ5	
什	səʔ8	
仁	ʐəŋ1	
仄	tsaʔ8	
僅	tɕiəŋ3	
仆	pʰaʔ7	～人
仇	tsʰou1	
今	tɕiəŋ1	
介	tɕiai5	
仍	ʐəŋ3	
从	tsʰuəŋ1	
仑	lyəŋ1	
倉	tsʰaŋ1	
仔	tsɿ3	
他	tʰaʔ7-	
他	tʰa1	
仗	tsʊ5-	炮～
仗	tsʊ5-	擀面～
仗	tsaŋ5=	
付	xu5	
仙	ɕin1	
代	tai5=	
代	tei5=	
令	liəŋ5	
以	ɿ3	
儀	ɿ1	
們	məŋ1	
仰	ȵiʊ3-	～起来：抬起来
仰	iaŋ3	
仲	tsuəŋ5	
件	tɕin5	
價	tɕia5	
任	ʐəŋ1	
任	ʐəŋ5	～务
份	xuəŋ5	
仿	xʊ3-	
仿	xuaŋ3=	
企	tsʰɿ1	
伊	ɿ1	
伏	xuəʔ8	
伐	xuaʔ8	
休	ɕiou1	
衆	tsuəŋ5	
優	iou1	
伙	xuəɪ3	
會	xuei5	
傘	saŋ3	
偉	uei3	
傳	tsʰuen1	
傳	tsuen5	～记
傷	sʊ1-	～寒
傷	saŋ1=	
倫	lyəŋ1	
僞	uei3	
佇	tsu5	
伯	piaʔ7	
估	ku5	
伴	pen5	
伶	liəŋ1	
伸	səŋ1	
伺	sɿ5	
伺	tsʰɿ5=	
似	sɿ5	
佃	tin5	
但	taŋ5	
位	uei5	
低	tɿ1	
住	tsu5	
佑	iou5	
體	tʰɿ3	
何	xəɪ1	
佘	səɪ1	
余	ʮ1	
佚	iəʔ7	
佛	xuəʔ8	
作	tsaʔ7	
佞	ȵiəŋ5	
佟	tʰuəŋ1	
你	ṇ3	
你	nzɿ3=	
佩	pʰei5	
佬	lau3	
佳	tɕia1	
佾	iəʔ7	
使	sɿ3	
侄	tsəʔ8	
侈	tsʰɿ3	
例	lɿ5	
例	liaʔ7	
侍	sɿ5	
供	kuəŋ1	～应
供	kuəŋ5	～认
依	ɿ1	
俠	ɕiaʔ7	
侣	lɿ3	
侣	lʮ3	
偵	tsəŋ1	
側	tsʰaʔ7	
側	tsəʔ7	～棱：向一边倾斜
侯	xou1	
侵	tɕʰiəŋ1	
便	pʰin1	～宜
便	pin5	方～
促	tsʰuəʔ7	
俄	ŋəɪ1	
俊	tɕyəŋ5	
俏	tɕʰi5-	
俏	tɕʰiau5=	
俐	lɿ5	
俑	yəŋ3	
俗	ɕyəʔ8	
保	pau3	
俞	ʮ1	
信	ɕiəŋ5	
倆	lia3-	
倆	liaŋ3=	伎～
儷	lɿ5	
儉	tɕin3	
修	ɕiou1	
俯	xu3	
俱	tsʮ5	
俸	xuəŋ5	
俺	ŋa3	
俾	pɿ3	
倌	kuen1	
倍	pei5	
倒	tau3	
倒	tau5	把水～了
倘	tʰaŋ3	
候	xou5	
倚	ɿ3	
倜	tʰɿ5	
倡	tsʰaŋ5	
倦	tɕyn5	
倩	tɕʰin5	
倪	nzɿ1	
倭	uəɪ1	
債	tsai5	
值	tsəʔ7	
傾	tsʰɿ1-	把水～了：把水倒了
傾	tɕʰiəŋ1=	
偃	in3	
假	tɕia3	
假	tɕia5	放～
偏	pʰin1	
偕	ɕi1	
做	tsou5	
停	tʰɿ1-	
停	tʰiəŋ1=	
健	tɕin5	
偶	ŋou3	
偷	tʰou1	
償	tsʰaŋ1	
傀	kʰuei3	
傅	xu5	
傍	paŋ5	
儲	tsu1-	
儲	tsʰu3=	
催	tsʰuei1	
傲	ŋau5	
傻	sa3	
僚	li1-	
僧	səŋ1	
僮	tʰuəŋ1	
僳	liəʔ7	
僵	tɕiʊ1-	
僵	tɕiaŋ1=	
僻	pʰɿ5	
僻	pʰiəʔ7	
儒	ʐu3	
儒	naʔ7	
儡	luei3	
兒	ei1	
兀	uəʔ7	
允	yəŋ1	
元	yn1	
兄	sʮ1-	～弟
兄	ɕyəŋ1=	
充	tsʰuəŋ1	
兆	tsəɪ5-	
兆	tsau5=	
先	ɕin1	
光	kuaŋ1=	
克	kʰaʔ7	
克	kʰəʔ7	～扣
免	min3	
兌	tuei5	
兔	tʰu5	
兖	in3	
黨	taŋ3	
兜	tou1	
兢	tɕiəŋ1	
入	ʐuəʔ7	
全	tɕʰyn1	
八	paʔ7	
公	kuəŋ1	
六	liou5	
六	luəʔ7=	
兮	sɿ1	
蘭	laŋ1	
共	kuəŋ5	
關	kuaŋ1	
興	ɕiəŋ1	
興	sɿ5	广～:村名
興	ɕiəŋ5	高～
兵	piəŋ1	
其	tsʰɿ1	
具	tsʮ5	
典	tin3	
兹	tsɿ1	
養	iʊ3-	
養	iaŋ3=	
兼	tɕin1	
獸	sou5	
冀	tsɿ5	
內	nai5	
岡	kaŋ1	
冉	ʐen3	
再	tsei5-	
再	tsai5=	
冒	mau5	
冕	min3	
冗	yəŋ3	
寫	ɕi3	
軍	tɕyəŋ1	
農	nəŋ1	
冠	kuen1	鸡～
冠	kuen5	～军
冢	tsuəŋ3	
冤	yn1	
冥	miəŋ3	
冬	tuəŋ1	
馮	xuəŋ1	
冰	piəŋ1	
冲	tsʰuəŋ1	
决	tɕyaʔ8	
况	kʰuaŋ5	
冶	i3	
冷	lia3-	
冷	ləŋ3=	
凍	tuəŋ5	
淨	tsɿ5-	
淨	tɕiəŋ5=	
凄	tsʰɿ1	
準	tsuəŋ3	
凉	liʊ1-	
凉	liʊ5-	把水～一下
凉	liaŋ1=	
凌	lɿ1-	冬～:冰块
凌	liəŋ1	
減	tɕin3-	
減	tɕiaŋ3=	
湊	tsʰou5	
凛	liəŋ3	
凝	ȵiəŋ1	
几	tsɿ1	
几	tsɿ3	
凡	xuaŋ1	
鳳	xuəŋ5	
凭	pʰiəŋ1	
