#漢字	音標	解釋
□	pʰa1	软烂:把肉蒸～
□	tʰa1	乖～:长的漂亮
□	la1	(啃)
□	ŋa1	张开:～裆裤
□	pia1	～直:很直
□	lia1	碰撞:把凳了～倒了
□	lia1	～板:拖鞋
□	mɛ1	～黑:很黑
□	kɛ1	欠.差:～他二十块钱
□	piɛ1	～淡:淡而无味
□	sai1	～断
□	liau1	缝:线缝脱了，把它～起
□	liau1	砍:把柴～断
□	tʰiəɯ1	跟随:莫～倒我
□	lin1	动作很快速的走，一～流来了
□	pʰaŋ1	赶:～山狗
□	pʰaŋ1	大:～头鲢
□	laŋ1	缺:～了一把
□	laŋ1	沾:～米粉肉
□	tsaŋ1	～饭:盛饭
□	ŋaŋ1	高傲:他～得很
□	xaŋ1	欺骗:别～人
□	tʰiaŋ1	揭开:～开
□	ȵiaŋ1	～薄:很薄
□	suaŋ1	灵柩:抬～
□	la2	(爬)
□	dzua2	～子：用米聚拢谷物的农具
□	pi3	掰：～包谷
□	xa3	傻:～宝
□	pia3	象声词
□	ia3	把:一～米
□	kʰua3	穿:～双烂靴子在外头走
□	tsʰɛ3	发～:变换手势来决定
□	kʰuɛ3	(脚扭伤)
□	pʰai3	量词，左右两手伸开的长度
□	tʰai3	没精打采地走路:慢慢细细～起来
□	tsʰuai3	～栗巴脑壳;手指弯曲敲打头部，以示惩罚
□	xuei3	呕吐:一上车就～
□	man3	瓣:一～柑子
□	tʰən3	震:汽车在山路～得厉害
□	tin3	沙子～脚:凸起的硬东西使不舒服
□	kʰin3	～住:按住
□	xaŋ3	大口吃:～口
□	ȵiaŋ3	～菜:炒菜
□	soŋ3	莫～我:不要推我
□	xoŋ3	～鼻子:擤鼻涕
□	tsa5	tɕi1～:般起来后突然出现(儿童游戏)
□	lia5	～舌子;把舌头伸出来
□	ia5	扔:把咯只东西～嘎
□	o5	～水笔:蘸水笔
□	piau5	(出租)
□	tɕiəɯ5	拧紧:瓶盖要～紧
□	kiəɯ5	弯腰:为么子～腰啰
□	tɕʰian5	冰～:形容很冷
□	paŋ5	藏:～倒～倒，还是被寻到了。
□	tʰaŋ5	～剃刀
□	tiaŋ5	小孩吵:～得很
□	poŋ5	凸:脸上的骨头～起
□	sɿ6	大～:大家，大伙
□	tɕʰi6	近视：窥视
□	lia6	累:很疲倦，“累”为训读字
□	dʑia6	～过去:跨过去
□	tsua6	帽子～～:帽檐
□	tsʰo6	～起棍了:支撑
□	mɛ6	(看)
□	ŋai6	(形容做事速度很慢)
□	ɣau6	贪婪:～食物
□	biau6	蚊叮后，皮肤突起
□	bən6	用力扯:～烂衣服
□	bən6	靠:～墙
□	ɡuaŋ6	悬着摆动:～油(游戏)
□	ɡoŋ6	大量喝;～水
㫰	laŋ5	挂:～衣服
㷮	tsau1	(花生瓜子等炒得很脆)
㸊	lai5	很烫面灼伤皮肤:水很烫，把手～了
䐬	dzau2	肚子饿:肚子～
一	i6	
丁	tin1	
七	tɕʰi6	
万	van6	
丈	dzaŋ6	
三	san1	
上	zaŋ6	
下	ɕia5	～降
下	ɣa6	底～
不	pu5	
与	y3	
丐	kai5	
專	tsuan1	
且	tɕʰiɛ3	
丕	pʰi1	
丘	tɕʰiəɯ1	
丙	pin3	
業	ȵiɛ6	
叢	dzoŋ2	
東	toŋ1	
絲	sɿ1	
丞	dzən2	
丟	tiəɯ1	
兩	liaŋ3	几～
嚴	ŋan2-	把门关～
嚴	ȵian2=	
並	bin6	
喪	suaŋ5	～失
个	ko5	一～
丫	ia1	～头
中	tsoŋ1	～间
中	tsoŋ5	射～
丰	foŋ1	
串	tsʰuan5	
臨	lin2	
丸	yan2	
丹	tan1	
爲	uei2	作～
爲	uei5	～什么
主	tsu3	
丽	li5	
舉	tɕy3	
乃	lai3	
久	tɕiəɯ3	
麼	mo1	
義	ȵi5	
之	tsɿ1	
烏	u1	
乏	fa6	
樂	lo6	
樂	io6	音～
喬	dʑiau2	
乖	kuai1	
乘	dzən2	
乘	zən6	
乙	iɛ6	
