#漢字	音標	解釋
一	ziʔ7	
丁	teŋ1	
七	tsʰiʔ7	
丄	tsĩẽ4	上山。
丅	e4	底下。
丈	tsiaŋ4	
三	sã1	
上	siaŋ4	上面。
上	siaŋ6	
下	e4	底下。
与	ɤ3	给与。
丐	kai5	乞丐。
丑	tʰiu3	
專	tsuaŋ1	
且	tsʰe3	
丕	pʰoi1	
世	si6	
丗	si6	
丘	kʰu1	
丙	pĩã3	
業	ŋiap8	
叢	tsaŋ2	
東	taŋ1	
絲	si1	
丞	seŋ1	
丠	kʰu1	
丣	ziu3	
兩	lĩẽ3	两个、几两几钱读音亦同。
兩	liaŋ3	
嚴	ŋiam2	
並	peŋ4	
喪	saŋ1	丧失。
丩	kʰiu1	纠缠。
丫	a1	丫头。
中	tuŋ1	当中。
串	tsʰuaŋ5	
臨	lim2	
丸	zĩ2	肉丸。
丹	tũã1	
爲	ui1	作为。
主	tsu3	
丼	tsɛŋ4	
丽	li4	美丽。
舉	kɤ3	
乃	nai4	
久	ku3	
義	ŋi6	
之	tsɤ1	
烏	ou1	
乍	tsa5	
乎	hu2	
乏	huaʔ8	
樂	lak8	音乐。
喬	kʰiau2	
乖	kuai1	
乘	seŋ2	
乘	seŋ2	
乙	ziʔ7	
九	kau3	
乞	kʰɤʔ7	
也	ia4	也是。
習	sip8	
鄉	hĩẽ1	
書	tsɤ1	
買	boi3	
亂	luaŋ4	
亂	luaŋ6	
乳	zu3	
乾	kʰiaŋ2	乾坤。
亂	luaŋ4	
亂	luaŋ6	
了	liau3	了结。
事	sɤ6	
二	zi4	
二	zi6	
于	u1	
亏	kʰui1	
云	huŋ2	
互	hu4	
五	ŋou4	
井	tsɛŋ4	
亖	si5	
亞	a1	
亞	a1	
亡	muaŋ2	
交	kau1	
亥	hai6	
亦	za6	
產	sũã3	
亨	heŋ1	
享	hiaŋ3	
京	kĩã1	
亭	teŋ2	
亮	liaŋ4	
亯	hiaŋ3	
親	tsʰiŋ1	
人	laŋ2	
億	zeʔ8	
什	tsap8	什物。
仁	zin2	
仅	kɤŋ3	
今	kim1	
介	kai5	
仍	zaŋ2	
从	tsʰuŋ2	跟从。
倉	tsʰaŋ2	
仕	sɤ6	
他	tʰa1	
仗	tsiaŋ4	
付	hu6	
仙	siaŋ1	
仝	taŋ2	
代	tʰoi6	
令	leŋ4	
令	leŋ6	
以	zi3	
儀	ɡi2	
仰	ŋiaŋ3	
仲	tuŋ4	
件	kĩã4	
任	zim4	责任。
仿	huaŋ3	相似。
企	kia4	
伊	zi1	
伍	ŋou3	
伏	huʔ8	
伐	huaʔ8	
休	hiu1	
會	oi4	开会，会不会。
會	ue4	
會	hoi4	
會	hue4	
傘	sũã5	
偉	ui3	
傳	tɤŋ5	传记。
傷	sĩẽ1	
倫	luŋ2	
僞	ŋui6	
伯	peʔ7	
估	kou1	估计。
伱	nɤ3	
伴	pũã4	
伶	leŋ2	
伸	siŋ2	
似	sɤ6	
佀	sɤ6	
佈	pou5	
位	ui6	
低	ti1	
住	tsu4	
佐	tso3	
余	ɤ2	
佛	huʔ7	
作	tso6	
你	nɤ3	
佩	pue6	
佳	kia1	
使	sai3	
來	lai2	
