#漢字	音標	解釋
□	kʰu1	茶子榨油后的残渣，油～
□	pa1	荆棘从生之处
□	pʰa1	煮东西水过多，饭煮～嘎
□	tsʰa1	鹅，鸭吃食或者咬人
□	ka1	老～，管得宽又管不对的人
□	lia1	把鞋后跟踩下当拖鞋穿
□	ya1	抓，～枣子吃
□	mo1	形客做事很慢
□	so1	从上向下滑
□	pe1	用手把东西分开成折断
□	uai1	从孔穴里掏物，～鼻孔
□	lau1	糊，饭～嘎
□	lau1	看，～牛
□	tsau1	（食物又干又脆）
□	kʰau1	～老：骨头
□	ɕiɛu1	推搡，莫～我
□	tsʰuɛ̃1	跑，逛，多带有贬义
□	pʰen1	灰尘
□	pʰaŋ1	追，赶，～鸭婆
□	tiaŋ1	垂手提东西，～水
□	pʰoŋ1	物体因蒸煮或晾晒而蓬松，铺盖好～
□	pu2	～口水
□	ku2	蹲，～下来
□	pa2	粪便，小孩语
□	ka2	肉类荤菜，儿语～～
□	lia2	形容极度疲乏
□	tɕia2	形容人贪婪
□	tɕia2	量词，指展开的拇指与中指之间的长度
□	kua2	手有残疾，～子
□	ko2	蛋～，鸡蛋，儿语
□	kai2	拉扯
□	kai2	喜欢傻乐，～子
□	lei2	指原本尖锐的东西不再锋利
□	tsau2	（因缺少油水面产生的饥饿感）
□	liɛu2	（把青菜等放开水里焯一下拿出来，～酸菜）
□	tsan2	刺，扎，着刺～一下
□	ken2	整个的、没有拆分的
□	kaŋ2	哄赶，～牛
□	koŋ2	搅拌，～猪食
□	i3	凹陷，～嘎下去
□	la3	肚子饿
□	ka3	身上的污垢
□	pia3	挣脱，鱼～脱嘎
□	lia3	伸出舌头成用舌头，～舌子
□	tɕia3	形容东西很涩
□	xo3	～酒
□	xo3	洋～，一种可食的野生植物
□	ɕio3	很吝啬
□	kʰue3	折，～断
□	pai3	欺骗
□	pʰai3	量词，两只路平展的长度
□	pʰai3	挑担子
□	pei3	玩，～泥巴
□	fei3	呕吐
□	tiɛu3	踢踹,～铺盖
□	liɛu3	丢失，钥匙～嘎
□	pʰuɛ̃3	用刀横着砍，～草
□	tsen3	腐烂，篮篮～嘎
□	tsʰen3	用力住下按，～紧起
□	tʰaŋ3	在水中漂洗，～衣裳
□	laŋ3	容器里的水晃满以洗刷容器。～茶杯
□	tsaŋ3	脾气暴躁，～得很
□	kaŋ3	量词，批，帮，一～人
□	kʰaŋ3	咳嗽
□	ȵiaŋ3	干活，～工
□	poŋ3	楼、抱。～小孩
□	tsʰoŋ3	推：～单车
□	i5	糗灭，火～嘎
□	y5	便肥，小～
□	ma5	形容很黑，～黑的
□	ŋa5	量词，一小块
□	pia5	拟声词，形容枪声
□	pia5	敷，～草药
□	tʰo5	丢失，～落
□	ʂo5	差劲，考得～得很
□	ŋo5	精神不振，整个人哒～起
□	tɕio5	量词，一小撮，一～米
□	ȵio5	发愁
□	le5	小，～把戏，小孩
□	ŋe5	～门，来回摇晃门
□	pʰai5	～，形容脏乱
□	pʰau5	十，～个
□	tɕiou5	拧，拗，脾气～得很
□	lan5	～～：疖子
□	ŋan5	（接触到凸起的东西觉得不舒服），～脚
□	liɛ̃5	打滚，～地下
□	pen5	用力拉。～过来
□	tʰen5	叫劲，～死
□	sen5	～白的，形容很白
□	tɕʰin5	凉:～水
□	maŋ5	～～,指饭食;儿语
□	tʰaŋ5	探，摸。～下水看烫不
□	ŋaŋ5	愚蠢，～得很
□	tiaŋ5	～重的，形容东西很沉
□	ȵiaŋ5	睡，～眼闭
□	koŋ5	黄～～的，形容黄的程度很深
□	tioŋ5	下垂，鼻泣～起
□	tɕʰioŋ5	手脚关节意外受折后肿胀，手着～一下
□	ȵioŋ5	(衣物等不抻、起皱)
□	pu6	隐蔽下来等候成观察，猫～老鼠子
□	tsau6	冲洗，谷子着雨～涴湿嘎
□	ŋiɛu6	摇晃，～脑壳
□	pen6	依靠，～倒墙角角底
□	tsen6	撞，～墙
㛯	tʰuɛ̃5	蜕皮或下崽，～皮
㫰	laŋ6	～衣:晾衣
㸊	lai5	热，烫
䋎	tsan5	缝补
一	i3	
丁	tin1	
七	tɕʰi3	
万	uɛ̃6	
丈	taŋ6-	
丈	tʂaŋ6=	
三	san1	
上	ʂaŋ6	
下	xa6-	
下	ɕia6=	
不	pu3	
与	y3	
丐	kai5	
丑	tʰou3-	
丑	tʂʰou3=	
專	tɛn1-	
專	tʂɛn1=	
且	tɕʰie3	
丕	pʰi1	
世	sɤ5-	
世	ʂʅ5=	
丘	tɕʰiou1	
丙	pin3	
業	ȵi3	
叢	tsoŋ2	
東	toŋ1	
絲	sɿ1	除用作名词外，还作量词。一～肉
丞	tʰen2-	
丞	tʂʰen2=	
丟	tiou1	
兩	liaŋ3	
嚴	ŋan2-	
嚴	ȵiɛ̃2=	
喪	saŋ1	～事
喪	saŋ5	～失
个	ko5	
丫	ŋa1	张开
丫	ia1	～鬟
中	toŋ1-	～午
中	toŋ5-	～意
中	tʂoŋ1=	～间
中	tʂoŋ5=	～意
丰	xoŋ1	
串	tʰɛn5-	
串	tʂʰɛn5=	
臨	lin2	
丸	yɛ̃2	
丹	tan1	
爲	uei2	
主	tɕy3	
丽	li6	
舉	tɕy3	
乃	lai3	
久	tɕiou3	
麼	mo1	
之	tɤ1-	
之	tʂʅ1=	
烏	u1	
乍	tsa5	
乎	fu1	
乏	fa5	
樂	lo3	欢～
樂	io3	音～
乒	pin5	
乓	paŋ5	
喬	tɕiɛu2	
乖	kuai1	
乘	tʰen2-	
乘	tʂʰen2=	
乙	i3	
九	tɕiou3	
乞	tɕʰi3	
也	ia3-	
也	ie3=	
習	ɕi5	
鄉	ɕiaŋ1	
書	ɕy1	
買	mai3	
亂	luɛ̃6	
乳	y3	
乾	tɕiɛ̃2	～坤
了	la3	
了	liɛu3	～解
爭	tsen1	斗～
事	sɿ6	
二	ɤ6	
于	y2	
虧	kʰuei1	
雲	yn2	
互	fu6	
五	u3	
井	tɕin3	
亞	ia5	
些	ɕi3	
亡	uaŋ2	
交	kau1-	
交	tɕiau1=	
亥	xai6	
亦	i5	
產	tsʰan3	
亨	xen1	
畝	miɛu3	
享	ɕiaŋ3	
京	tɕi1	
京	tɕin1	
亭	tin2	
亮	liaŋ6	
親	tɕʰin1	～戚
親	tɕʰin5	～家
人	len2-	
人	ʐen2=	
億	i5	
仁	len2-	
仁	ʐen2=	
僅	tɕin3	
仆	pʰu3	
仇	tʰou2-	
仇	tʂʰou2=	
介	kai5	
仍	ʐen2=	
从	tsoŋ2	
仑	len2	
倉	tsʰaŋ1	
仕	sɿ6	
他	tʰa1	
仗	taŋ5-	
仗	tʂaŋ5=	
付	fu5	
仙	ɕiɛ̃1	
代	tai6	
令	lin6	
以	i3	
儀	ȵi2	
仰	ȵiaŋ3	
仲	toŋ5-	
仲	tʂoŋ5=	
件	tɕiɛ̃6	
價	tɕia5	
份	fen6	
仿	faŋ3	
企	tɕʰi5	
伊	i1	
伍	u3	
伏	pʰu5-	叭，～倒桌子上哭
伏	fu3=	
伐	fa5	
休	ɕiou1	
衆	toŋ5-	
衆	tʂoŋ5=	
優	iou1	
會	kʰuai5	～计
會	fei6	开～
傘	san3	
偉	uei3	
傳	tɛn2-	～达
傳	tɛn5-	～记
傳	tʂɛn2=	～达
傳	tʂɛn5=	～记
伢	ŋa3	
傷	ʂaŋ1	
倫	len2	
僞	uei3	
伯	pe3	
估	ku3	
伴	puɛ̃6	
伶	lin2	
伸	ʂen1	
伺	tsʰɿ5	～候
佃	tiɛ̃5	
但	tan6	
位	uei6	
低	ti1	
住	tɕy6	
佐	tso3	
佑	iou6	
體	tʰi3	
何	o2-	
何	xo2=	
佘	ʂa2-	
佘	ʂe2=	
余	y2	
佛	fu5	如来～
作	tso3	
你	ȵi3	
佣	ioŋ6	
佩	pʰei5	
佳	tɕia1	
使	sɤ3-	
使	ʂʅ3=	
侃	kʰuɛ̃3	
侄	tʰɤ5-	
侄	tʂʰʅ5=	
侈	tʰɤ3-	
侈	tʂʰʅ3=	
侍	sɿ6	服～
供	koŋ5	
依	i1	
俠	ɕia5	
僥	tɕiɛu3	
偵	ten1-	
偵	tʂen1=	
側	tsʰe3	
僑	tɕiɛu2	
儈	kʰuai5	
侮	u3	
侯	xiɛu2	
侵	tɕʰin5	
便	piɛ̃2	～宜
便	piɛ̃6	方～
促	tsʰou3	
俄	ŋo2	
俊	tɕyn5	
俏	tɕʰiɛu5	
俗	sou3	
俘	fu2	
保	pau3	
信	ɕin5	
儉	tɕiɛ̃3	
修	ɕiou1	
俯	fu3	
俱	tɕy6	
俸	xoŋ6	
倍	pei6	
倒	tau3	打～
倒	tau5	～水
倔	tɕye5	
倘	tʰaŋ3-	
候	xiɛu6	
借	tɕi5=	
借	tɕia5=	
倡	tʰaŋ5-	
倡	tʂʰaŋ5=	
倦	tɕyɛ̃5	
倪	ȵi2	
債	tsai5	
傾	tɕʰyn3	
假	tɕia3	
偎	uei1	
偏	pʰiɛ̃1	
做	tsou5	
停	tin2	
健	tɕiɛ̃5	
偶	ŋiɛu3	
偷	tʰiɛu1-	
偷	tʰou1=	
償	saŋ3	
傅	fu6	
傍	paŋ5	
儲	tɕy2	
催	tsʰei1	
傲	ŋau6	
傻	xa3-	
傻	sa3=	
僄	pʰiɛu5	用好听的话打动别人，～客
像	tɕiaŋ6-	
像	ɕiaŋ5=	
僚	liɛu2	
僜	tʰen3-	(间断不连续),讲话打～
僵	tɕiaŋ1	
僻	pʰi3	
儒	y2	
儡	lei3	
兒	ɤ2	
允	yn3	
允	ioŋ3	
元	yɛ̃2	
兄	ɕioŋ1	
充	tʰoŋ1-	
充	tʂʰoŋ1=	
兆	tɛu6-	
兆	tʂɛu6=	
先	ɕiɛ̃1	
光	kuaŋ1	～线
光	kuaŋ5	～头
克	kʰe3	
免	miɛ̃3	
兌	tei5	
兔	tʰou5	
黨	taŋ3	
兜	tiɛu1	
入	ɤ3	
