#漢字	音標	解釋
□	lau1	烤焦，炒糊
□	lan1	用手拈取；～菜
□	liau3	丢失
□	kʰuan3	讲大话，聊天
□	ȵiaŋ3	干活；～工
□	u5	抹
□	pia5	～耳屎：打耳光
□	ȵia5	～怂
□	tʰen5	台阶
□	ȵiaŋ5	睡觉
□	lia2a	累，乏力
㸊	lai5	烫
㿭	tsʰe3	皮干开裂
一	i3	
丁	tin1	
七	tɕʰi3	
万	uan6	
丈	taŋ6	
三	san1	
上	saŋ6	
下	xa6	
不	pu3	
丐	kai5	乞～
丑	tʰəu3	地支名；难看
專	tɕyn1	
專	tiɪn1	
且	tɕʰi3	
世	ʂɤ5	
丘	tɕʰiəu1	
丙	pin3	
業	ȵi3	
叢	tsoŋ2a	
東	toŋ1	
絲	sɿ1	
丟	tiəu1	
兩	liaŋ3	
嚴	ȵien2b	
喪	saŋ5	～失
个	kɔ5	
丫	ia1	
中	toŋ1	～秋
中	toŋ5	～奖
丰	xoŋ1	
串	tɕʰyn5	
臨	lin2a	
丸	yn2b	
丹	tan1	
爲	uei2b	作～，～了
主	tɕy3	
丽	li6	
舉	tɕy3	
乃	lai3	
久	tɕiəu3	
義	ȵi6	
之	tɤ1	
烏	u1	
乍	tsa5	
乎	fu2b	在～
乏	fa3	
樂	lɔ3	快～
樂	iɔ3	音～
喬	tɕiʌu2b	
乖	kuai1	
乘	tʰen2a	～法
乙	i3	
九	tɕiəu3	
乞	tɕʰi3	
也	ie3	
習	ɕi5	
鄉	ɕiaŋ1	
書	ɕy1	
買	mai3	
亂	lɔn6	
乳	y3	
乾	tɕiɪn2b	
了	liʌu3	
爭	tsen1	
事	sɿ6	
二	ɤ5	
于	y2b	
虧	kʰuei1	
雲	yn2b	
互	fu6	
五	u3	
井	tɕin3	
亞	ia5	
些	ɕi3	
亡	uaŋ2b	
交	tɕiʌu1	
亥	xai5	
亦	i5	
產	tsʰan3	
亨	xen1	
畝	miʌu3	
享	ɕiaŋ3	
京	tɕin1	
亭	tin2a	
亮	liaŋ6	
親	tɕʰin1	母～
親	tɕʰin5	～家
人	len2b	
億	i5	
什	ʂɤ5	～么
仁	len2b	
僅	tɕin3	
仆	pʰu3	～人
仇	tʰəu2a	报～
仇	tɕiəu2b	姓氏
今	tɕin1	
介	kai5	
从	tsoŋ2b	
仑	len2b	
倉	tsʰaŋ1	
仕	sɿ6	
他	tʰa1	
仗	taŋ6	
付	fu5	
仙	ɕiɪn1	
代	tai6	
令	lin6	
以	i3	
儀	ȵi2b	
仰	iaŋ3	
仲	toŋ1	
件	tɕiɪn6	
價	tɕia5	
任	len6	姓氏；～务
份	fen6	
仿	faŋ3	
企	tɕʰi5	
伊	i3	～犁
伍	u3	
伏	fu3	
伐	fa5	
休	ɕiəu1	
衆	toŋ5	
優	iəu1	
伙	xɔ3	
會	kʰuai5	～计
會	fei6	开～，不～
傘	san3	
偉	uei3	
傳	tɕyn2a	～下去
伢	ŋa3	小孩子
傷	saŋ1	
倫	len2b	
僞	uei5	
伯	pe3	
估	ku3	
伴	pɔn6	
伸	sen1	
伺	tsʰɿ5	
似	sɿ6	
佃	tiɪn2b	
但	tan6	
位	uei6	
低	ti1	
住	tɕy6	
佐	tsɔ3	
佑	iəu6	
體	tʰi3	
何	xɔ2a	
佘	sa2a	
余	y2b	姓氏；多～
佛	fu3	阿弥陀～
作	tsɔ3	
你	ȵi3	
佩	pʰei5	
佳	tɕia1	
使	ʂɤ3	
侄	tʰɤ5	
例	le3	
侍	sɿ6	
供	koŋ5	～得起
供	koŋ5	上～
依	i1	
偵	ten1	
側	tse3	
僑	tɕiʌu2b	
侮	u3	
侯	xiəu2b	
侵	tɕʰin5	
便	piɪn6	方～
便	piɪn2b	～宜
促	tsʰəu3	
俄	ŋɔ6	
俊	tsen5	
俏	tɕʰiʌu5	
俗	səu3	
俘	fu2b	～虏
保	pau3	
信	ɕin5	
儉	tɕiɪn3	
修	ɕiəu1	
俯	fu3	
俱	tɕy6	
俸	xoŋ6	
倍	pei6	
倒	tau3	～车
倒	tau5	～水
候	xiəu6	
倚	tɕi2a	
借	tɕia5	
倡	tʰaŋ1	
倦	tɕyn5	
倭	ɔ3	
債	tsai5	
值	tʰɤ5	
傾	tɕʰyn3	
假	tɕia3	真～，放～
偏	pʰien1	
做	tsəu5	
停	tin2a	
健	tɕiɪn5	
偶	ŋiəu3	～然，配～
偷	tʰiʌu1	
償	saŋ3	
傀	kʰuei3	～儡
傅	fu5	姓氏
傍	paŋ5	
儲	tɕy2b	～蓄
催	tsʰei1	
傲	ŋau5	
傻	sa3	
像	ɕiaŋ6	
僧	tsen1	
僵	tɕiaŋ1	
僻	pʰi3	
儒	y3	
儡	lei3	傀～
兒	ɤ2b	
允	ioŋ3	
元	yn2a	
兄	ɕioŋ1	
充	tʰoŋ1	
兆	tsau5	
先	ɕiɪn1	
光	kuaŋ1	
克	kʰe3	
免	miɪn3	
兌	tei5	
兔	tʰəu5	
黨	taŋ3	
兜	tiʌu1	
入	y2b	
全	tɕyn2a	
八	pa3	
公	koŋ1	～～：祖父
六	liəu5	
蘭	lan2b	
共	koŋ6	
關	kuan1	
興	ɕin1	～旺
興	ɕin5	高～
兵	pin1	
其	tɕi2a	
具	tɕy6	
典	tiɪn3	
兹	tsɿ2a	
養	iaŋ3	
兼	tɕiɪn1	
獸	səu5	
冀	tɕi5	
內	lei6	
岡	kaŋ1	
冊	tsʰe3	
再	tsai5	
冒	mau5	
寫	ɕia3	
軍	tɕyn1	
農	loŋ2b	
冠	kɔn5	衣～，～军
冤	yn1	
冬	toŋ1	
馮	xoŋ2b	
冰	pin1	
冲	tʰoŋ1	
决	tɕye3	
况	kʰuaŋ5	
冷	len3	
凍	toŋ5	
淨	tɕin6	
準	tɕyn3	
凉	liaŋ2a	
凌	lin2a	
減	kan3	
湊	tsʰəu5	
凝	ȵi2b	鱼、肉汤结冻
几	tɕi3	茶～，～乎，～个
凡	fan2b	
鳳	xoŋ6	
凭	pin2a	
凱	kʰai3	
凳	ten5	
凶	ɕioŋ1	
凸	tʰəu3	
出	tɕʰy3	
擊	tɕi3	
函	xan2b	
鑿	tsʰɔ5	
刀	tau1	
刁	tiʌu1	
刃	len5	
分	fen1	
切	tɕʰi3	
刊	kʰan3	
刑	ɕin2b	
划	fa6	计～
划	fa2a	～船
列	le3	
劉	liəu2b	
則	tse3	
剛	kaŋ1	
創	tsʰaŋ5	
初	tsʰəu1	
刪	sɔn1	
判	pʰɔn5	
刨	pʰau6	～子：一种木工工具
刨	pau2b	～土
利	li6	
别	pʰi5	区～，离～
刮	kua3	
到	tau5	
制	tɤ5	～度，～造
刷	sa3	
刺	tsʰɿ5	
刻	kʰe3	一～钟，～字
剁	tɔ5	
劑	tɕi5	
剃	tʰi5	
削	ɕiɔ3	～皮
前	tɕiɪn2b	
剮	kua3	
劍	tɕiɪn5	
剔	tʰi5	
剖	pʰɔ3	
剝	pɔ3	～皮
劇	tɕy5	
剩	sen6	
剪	tɕiɪn3	
副	fu5	
割	kɔ3	
剿	tɕiʌu3	
劈	pʰi1	
力	li5	
勸	tɕʰyen5	
辦	pan6	
功	koŋ1	
加	tɕia1	
務	u6	
劣	li3	
動	toŋ6	
助	tsəu6	
努	ləu2b	
劫	tɕie3	
勵	li6	
勁	tɕin5	
勞	lau2b	
勢	ʂɤ5	
勃	pɔ3	
勇	ioŋ3	
勉	miɪn3	
勋	ɕyn2b	
勒	lei5	～紧
募	mɔ5	
勤	tɕin2a	
勺	sɔ5	饭～
勾	kiəu1	
勻	yn2a	
包	pau1	
匆	tsʰoŋ1	
化	fa5	
北	pe3	
匙	ʂɤ2b	
匠	tɕiaŋ6	
匣	ɕia3	～子
匪	fei3	
匹	pʰi3	～配
匹	pi2a	一～布
區	tɕʰy1	
醫	i1	
匾	piɪn3	
十	ʂɤ5	
千	tɕʰiɪn1	
升	sen1	
午	u3	
卉	fei5	
半	pɔn2b	
華	fa6	～山
華	fa2b	中～
協	ɕi5	
卑	pei1	
卒	tsəu3	
卓	tsɔ3	
單	tan1	
單	san5	姓氏
賣	mai5	
南	lan2b	
博	pɔ3	
卜	pu5	萝～
占	tiɪn1	～卜
占	tiɪn5	～地方
盧	ləu2a	
卤	ləu3	
卦	kua5	
臥	ɔ5	
衛	uei5	
卯	mau3	地支名
印	in5	
危	uei2b	
卻	tɕʰiɔ3	
卵	lɔn3	
卷	tɕyn3	～起
卷	tɕyn5	试～
卸	ɕie5	
卿	tɕʰin1	
廠	tʰaŋ3	
厄	ɔ3	
廳	tʰin1	
历	li3	～史，日～
厲	li6	
壓	ia3	
厭	iɪn5	
廁	tsʰe3	
厘	li2b	
厚	xiəu6	
原	yn2a	
廂	ɕiaŋ1	
厦	ɕia6	高楼大～，～门
