#漢字	音標	解釋
㔼	sen3	
丁	ten1	
七	tɕʰi1	
万	pã5-	
万	uæ̃5=	
丈	ʑiã5	
三	sã1	
上	ʑiã5	
下	ia5	
与	y3	
丐	kæi5	
丑	tɕʰiɤɯ3	
專	tɕyɛ̃1	
且	tɕʰie3	
丕	pʰei1	
丘	tɕʰiɤɯ1	
丙	pin3	
業	nie1	
東	tɔŋ1	
絲	sɿ1	
丞	ʑin2	
兩	niã3	～个
兩	liã3	幾～
嚴	niɛ̃1	
嚴	iɛ̃1	
喪	sã1	婚～
喪	sã5	～失
个	ko5	
丫	ia1	
中	tsɔŋ1	
中	tsɔŋ5	
丰	xɔŋ1	
臨	len1	
丹	tã1	
爲	uei1	
主	tɕy3	
丽	li5	
舉	tɕy3	
乃	næi3	
久	tɕiɤɯ3	
麼	iau1	
義	ni5	
之	tsɿ1	
烏	u1	
乍	tsa5	
乎	fu1	
乏	ba2	
樂	lo1	
樂	io1	
喬	ʑiau2	
乖	kuæi1	
乘	ʑin2	
乙	ie1	
九	tɕiɤɯ3	
乞	tɕʰi1	
也	ie3	
習	ɕi1	
鄉	ɕiã1	
書	ɕy1	
買	mæi3	
亂	luæ̃5	
乳	ɕy3	
乾	ʑiɛ̃2	
了	liau3	
爭	ten1	
于	y1	
虧	kʰuei1	
雲	yn1	
互	vu5	
五	u3	
井	tɕin3	
亞	ia3	
些	ɕie1	
亡	mã1	
交	tɕiau1	
亥	æi5	
亦	i1	
產	tʰã3	
亨	xen1	
享	ɕiã3	
京	tɕin1	
亭	din2	
亮	liã5	
親	tɕʰin1	
親	tɕʰin5	～家
人	ʑin2	
億	i5	
什	ʑi2	
仁	ʑin2	
僅	tɕin3	
仆	pʰu1	
仇	ʑiɤɯ2	
仇	ʑiɤɯ2	～姓
今	tɕin1	
介	kæi5	
仍	ʑin2	
从	zɔŋ2	
倉	tʰã1	
他	tʰa1	
他	xa1	～们
仗	ʑiã5	
付	fu5	
仙	ɕiɛ̃1	
代	tæi5	
令	len5	
以	i3	
儀	i1	
仰	iɛ̃3	
仲	zɔŋ5	
件	ʑiɛ̃5	
價	tɕia5	
任	ʑin2	
份	pen5	
仿	fã3	
企	ʑi5	
伊	i1	
伍	u3	
伏	vu1	
伐	ba2	
休	ɕiɤɯ1	
衆	tsɔŋ5	
優	iɤɯ1	
會	kʰuæi3	～计
會	uei5	
傘	sã3	
偉	uei3	
傳	ʑyɛ̃2	
傳	yɛ̃5	～记
傷	ɕiã1	
倫	nen1	
僞	uei5	
伯	pe1	
估	ku3	
伴	pã5	
伶	len1	
伸	ɕin1	
伺	sɿ1	
似	zɿ5	
佃	tiɛ̃5	
但	tã5	
位	uei5	
低	ti1	
佐	tso3	
佑	iɤɯ5	
體	tɕʰi3	
何	ɣo2	
佘	ʑie2	
余	y1	
佛	fu1	
作	tso1	～业
佩	pʰei5	
佳	tɕia1	
使	sɿ3	
侄	ʑi2	
侈	tsɿ3	
例	li5	
侍	zɿ5	
供	kɔŋ1	
供	kɔŋ5	～养
依	i1	
僥	ʑiau2	
偵	tɕin1	
側	tsʰe1	
僑	ʑiau2	
儂	nɔŋ1	
侮	u3	
侯	ɣɤɯ2	
侵	tɕʰin5	
便	biɛ̃2	～宜
便	piɛ̃5	～方
促	tʰu1	
俄	ŋo1	
俊	tsen5	
俏	tɕʰiau5	
俗	su1	
俘	fu1	
保	pau3	
信	ɕin5	
儼	niɛ̃3	
儉	ʑiɛ̃5	
儉	tɕiɛ̃3=	
修	ɕiɤɯ1	
俯	fu3	
俱	tɕy5	
俸	pɔŋ5	
俾	pi3	
倍	pei5	
倒	tau3	
倔	tɕye1	
倘	tʰã3	
候	ɣɤɯ2	
倚	i3	
借	tɕie5	
倦	tɕyɛ̃5	
倪	ni1	
倭	o1	
債	tæi5	
值	ʑi2	
傾	tɕʰyn3	
假	tɕia3	
偏	pʰiɛ̃1	
做	tso5	
停	din2	
偶	ŋɤɯ3-	
偶	ɤɯ3=	
偷	tʰɤɯ1	
償	ʑiã2	
傅	fu5	
傍	bã2	
儲	ʑy2	
傲	ŋau5	
像	ɕiã5	
僵	tɕʰiã1	
僻	pʰi1	
儒	ʑy2	
儡	luei3	
允	yn3	
元	yɛ̃1	
兄	ɕiɔŋ1	
充	tʰɔŋ1	
兆	iau5	
先	ɕiɛ̃1	
光	kuæ̃1	
克	kʰe1	
免	miɛ̃3	
兌	tuei5	
兔	tʰu5	
兜	tɤɯ1	
入	ʑy2	
全	ʑyɛ̃2	
八	pa1	
公	kɔŋ1	
六	lu1	
兮	ɕi1	
蘭	lã1	
共	kɔŋ5	
關	kuæ̃1	
興	ɕin1	
兵	pin1	
其	ʑi2	
具	ʑy5	
典	tiɛ̃3	
兹	zɿ2	
養	iã3	
兼	tɕiɛ̃1	
獸	ɕiɤɯ5	
冀	tɕi5	
內	luei5	
岡	kã1	
冉	ɕiɛ̃3	
冊	tʰe1	
再	tæi5	
冒	mau5	
冗	iɔŋ1	
寫	ɕie3	
軍	tɕyn1	
軍	kuæ̃5	
農	nɔŋ1	
冠	kuæ̃1	
冠	kuæ̃5	
冢	tɔŋ3	
冤	yɛ̃1	
冬	tɔŋ1	
馮	bɔŋ2	
冰	pin1	
冲	tʰɔŋ1	
决	tɕye1	
况	kʰuæ̃5	
冷	len3	
凍	tɔŋ5	
淨	ʑin5	
準	tɕyn3	
凉	liã1	
凌	lin1	
減	kã3-	
減	tɕiɛ̃3-	
湊	tsʰɤɯ5	
几	tɕi3	
鳳	pɔŋ5	
凭	bin2	
凱	kʰæi3	
凳	ten5	
凶	ɕiɔŋ1	
出	tɕʰy1	
擊	tɕi1	
函	ɣã2	
刀	tau1	
刁	tiau1	
刃	ʑin5	
分	fen1	
切	tɕʰie1	
刈	i5	
刊	kʰã1	
刑	ʑin2	
划	ɣua2=	
列	lie1	
劉	liɤɯ1	
則	te1	
剛	kã1	
創	tsʰuæ̃5	
初	tʰu1	
刪	sã1-	
判	pʰã5	
利	li5	
别	bie2	
刮	kua1	
到	tau5	
制	tɕi5	
刷	sua1	
券	tɕʰyɛ̃5	
刺	tsɿ5	
刻	kʰe1	
劊	kʰuæi3	
剁	to5	
劑	tɕi5	
剃	tɕʰi5	
削	ɕio1-	～皮
前	ʑiɛ̃2	
剮	kua3	
劍	tɕiɛ̃5	
剔	tɕʰi1	
剖	pʰo5-	～开
剜	uæ̃1	
剝	po1	
劇	tɕy5	
剩	ʑin5	
剪	tɕiɛ̃3	
副	fu5	
割	ko1=	
剿	tɕiau3	
劈	pʰi1	
力	li1	
勸	tɕʰyɛ̃5	
辦	pã5	
功	kɔŋ1	
加	tɕia1	
務	u5	
動	tɔŋ5	
助	zu5	
努	lu3	
劫	tɕie1	
勵	li5	
勁	tɕin5	
勞	lau1	
勃	po1	
勇	iɔŋ3	
勉	miɛ̃3	
勉	tɕʰiã3	
勒	le1	
勘	kʰã1	
募	mu5	
勤	ʑin2	
勳	ɕyn1	
勺	ʑio2	
勾	kɤɯ1	
勿	vu1	
勻	yn1	
包	pau1	
匆	tʰɔŋ1	
化	fua5	
北	pe1	
匙	zɿ2	
匠	iã5	
匡	kʰuæ̃1	
匣	ʑia2	
匪	fei3	
匹	pʰi1	
區	tɕʰy1	
醫	i1	
匾	piɛ̃3	
匿	ni1	
十	ʑi2	
千	tɕʰiɛ̃1	
升	ɕin1	
午	u3	
半	pã5	
華	ɣua2	
協	ɕie1	
卑	pei1	
卒	tʰu1	
卓	tso1	
單	tã1	
單	ʑiɛ̃5	
賣	mæi5	
南	nã1	
博	po1	
占	tɕiɛ̃1	
卦	kua5	
臥	ŋo5-	
臥	o5=	
衛	uei5	
卯	mau3	
印	in5	
危	uei1	
即	tɕi1	
卻	tɕʰio1	
卵	luæ̃3-	
卷	tɕyɛ̃5	
卸	ɕie5	
卿	tɕʰin1	
历	li1	
厲	li5	
壓	ia1=	～倒
厭	iɛ̃5	
厚	ɣɤɯ5	
原	yɛ̃1	
廂	ɕiã1	
厥	tɕye1	
厦	ia5	
厮	sɿ1	
去	kʰe5-	
去	tɕʰy5=	来～
参	tʰã1	
又	iɤɯ5	
及	ʑi2	
友	iɤɯ3	
雙	suæ̃1	
反	fã3	
发	fa1	
叔	su1	
取	tɕʰy3	
受	iɤɯ5	
變	piɛ̃5	
敘	ʑy5	
叛	pʰã5	
叟	sɤɯ3	
疊	die2	
口	kʰɤɯ3	
古	ku3	
句	tɕy5	
另	len5	
叨	tau1	
叩	kʰo1	～头
叩	kʰɤɯ5=	～首
只	tsɿ3	
只	tɕi5	
叫	tɕiau5	
召	iau5	
可	kʰo3	
台	dæi2	
史	sɿ3	
右	iɤɯ5	
葉	ie1	
號	ɣau2	～呼
號	ɣau5	～数
司	sɿ1	
嘆	tʰã5	
吁	ɕy1	
吃	tɕʰi1	
各	ko1	
吆	iau1	
合	ɣo2	
吉	tɕi1	
同	dɔŋ2	
名	min2	
后	ɣɤɯ5	
吏	li5	
吐	tʰu5	
向	ɕiã5	
嚇	xe1-	
吕	y3	
君	tɕyn1	
吝	len5	
吞	tʰen1	
吠	fei5	
否	fɤɯ3=	
含	ɣã2	
听	tɕʰin5	
启	tɕʰi3	
吴	mu1	
吵	tʰau3	
吸	ɕi1	
吹	tʰuei1	
吼	xɤɯ3	
吾	mu1	
呆	ŋæi1	
呆	tæi1=	～板
呈	ʑin2	
告	kau5	
嘔	ɤɯ3	
員	yɛ̃1	
呤	in1	
周	tɕiɤɯ1	
味	uei5=	
呼	fu1	
命	min5	
和	ɣo2	～气
和	ɣo5	～面
咎	iɤɯ5	
咏	yn3-	
咒	tɕiɤɯ5	
咨	tsɿ1	
咬	iau3=	
咳	kʰe1	
咸	ɣã2-	
咸	ʑiɛ̃2=	
咽	iɛ̃5	
哀	ŋæi1	
品	pʰin3	
哄	xɔŋ3	
響	ɕiã3	
啞	ia3	
噦	ye5	
哥	ko1	
哧	xe1	
哪	no3	
哭	kʰu1	
哲	tɕie5	
哽	ŋen3	
唆	so1	
脣	ʑyn2	
唐	dã2	
嘮	lau1	
售	iɤɯ5	
唱	tɕʰiã5	
唾	tʰo3	
啄	tso1	
商	ɕiã1	
嗇	se1	
啼	di2	
善	ʑiɛ̃5	
喉	ɣɤɯ2	
喊	xã3	
喘	tʰuæ̃3	
喜	ɕi3	
喝	xo1	
喧	ɕyɛ̃1	
噴	pʰen5-	～水
喻	y5	
嗅	tɕʰiɤɯ5	
嗉	su5	
嗓	sã3	
嗜	zɿ5	
嗣	zɿ5	
嗤	tsʰɿ1	
嗽	sɤɯ5	
嘉	tɕia1	
噓	ɕy1	
囑	tsu1	
嘴	tsuei3	
噎	ie1	
器	ɕiau1	
器	tɕʰi5	
嚷	ɕiã3	
嚼	ʑio2	
囊	nã1	
囚	ʑiɤɯ2	
四	sɿ5	
回	uei1	
因	in1	
团	duæ̃2	
園	yɛ̃1	
困	kʰuen5	
囱	tʰɔŋ1	
圍	uei1	
固	ku5	
國	kue1	
圖	du2	
圓	yɛ̃1	
圈	tɕʰyɛ̃1	
土	tʰu3	
聖	ɕin5	
在	zæi5	
圭	kuei1	
地	ti5	
場	ʑiã2	
址	tsɿ3	
均	tɕyn1	
坎	kʰã3	
壞	uæi5	
坐	zo5	
塊	kʰuæi5	
堅	tɕiɛ̃1	
坛	dã2	
壩	pa5	
塢	u1	
墳	ben2	
坡	pʰo1	
坤	kʰuen1	
坦	tʰã3	
坪	bin2	
坯	pʰei1	
坳	ŋau5	
垂	zuei2	
壠	lɔŋ3	
型	ʑin2	
垒	luei3	
垛	to5	
墾	kʰen5	
墊	tiɛ̃5	
垮	kʰua3	
埂	ken3	
埃	ŋæi1	
埋	mæi1	
城	ʑin2	
域	y1	
埠	bu5	
培	bei2	
基	tɕi1	
堂	dã2	
堆	tuei1	
堪	kʰã1	
堰	iɛ̃5	
堵	tu3	
塍	ʑin2	
塑	su5	
塔	tʰa1	
塘	dã2	
塞	se1	
填	diɛ̃2	
塵	ʑin2	
境	tɕin5	
墓	mu5	
牆	ʑiã2	
墟	ɕy1	
墨	me1	
壁	pi1	
壕	ɣau2	
壤	ɕiã3	
壬	ʑin2	
壯	tsuæ̃5	
聲	ɕin1	
壺	vu1	
處	tɕʰy3	相～
備	pi5	
复	fu1	
夏	ia5	
夕	ʑi2	
外	uæi5	
多	to1	
夜	ie5	
够	kɤɯ5	
大	ta5	
大	tæi5	
天	tɕʰiɛ̃1	
太	tʰæi1	
夫	fu1	
央	iã1	
夯	xã1	
