#漢字	音標	解釋
□	цы/tsʰɹ̩1	～脫（嘮叨）
□	цу/tsʰʊ1	～上去
□	ку/kʰʊ1	眼睛～下哩
□	зан/tsɛ̃1	裂開
□	зан/tsɛ̃1	扔，～過來
□	пон/pʰɒ̃1	打
□	кон/kʰɒ̃1	蘿蔔～哩
□	хын/xɤ̃1	嚥不下去，～住哩
□	бя/pia1	張貼，～上兩張畫
□	чя/tɕʰia1	把娃娃～下來
□	я/ja1	關住一點，把門～住些
□	ме/mie1	“明兒”合音
□	пу/pʰu1	象聲詞
□	лў/lu1	簌～～
□	луан/luɛ̃1	～一點吃的（整、做）
□	җү/tɕy1	～□
□	па/pʰa3	～蹄（大象、駱駝的蹄子）
□	ва/va3	擓，～米
□	пә/pʰə3	～上（豁出來）
□	эр/ɚ3	丟棄
□	су/sʊ3	蟲蛀，蟲把木頭～哩
□	җу/tʂʊ3	動詞，～旗子
□	шу/ʂʊ3	～狗
□	пан/pʰɛ̃3	～地（用鋤頭把地挖鬆）
□	чан/tʂʰɛ̃3	好，這個人～得很
□	шан/ʂɛ̃3	一～眼
□	тын/tʰɤ̃3	傻
□	жын/ʐɤ̃3	腐爛
□	гын/kɤ̃3	命，我要你的～呢
□	ля/lia3	快吃，你把這個飯～上
□	пе/pʰie3	折斷
□	де/tie3	～婆娘的娃多，～瓜的籽多
□	дё/tiɔ3	喊牲口的聲音
□	бян/piɛ̃3	～袖子
□	зуан/tsuɛ̃3	～子（女人髮髻）
□	лүә/lyə3	～刀子（砍）
□	чүә/tɕʰyə3	～折（折斷）
□	чүн/tɕʰyʊ̃3	～子（烤製的一種食品）
□	ну/nʊ5	～糖醬
□	чан/tʂʰɛ̃5	扎綁腿腳的帶子
□	бын/pɤ̃5	～哩一身土
□	тын/tʰɤ̃5	停
□	бе/pie5	綻出來
□	не/nie5	象聲字詞
□	ле/lie5	分開，那個人你～得遠遠的
□	җе/tɕie5	“今兒”合音
□	че/tɕʰie5	人往高處走，水往～處流
□	дин/tiɤ̃5	～鞋
□	чуа/tʂʰua5	留下，剩下
□	луй/luɪ5	倒塌
□	җуон/tʂuɒ̃5	往蒸籠裏～饃饃
□	щүә/ɕyə5	家具多太～地方哩（妨事）
□	щүн/ɕyʊ̃5	～吃的
一	йи/ji1	
丁	дин/tiɤ̃1	
七	чи/tɕʰi1	
三	сан/sɛ̃1	
上	шон/ʂɒ̃5	
下	ха/xa5	
下	щя/ɕia5	
不	бу/pu1	
且	че/tɕʰie3	
世	шы/ʂɻ̩5	
丙	бин/piɤ̃3	
丟	дю/tiʊ1	
並	бин/piɤ̃3	
中	җун/tʂʊ̃1	
中	җун/tʂʊ̃5	
串	чуан/tʂʰuɛ̃5	
丸	ван/vɛ̃1	
丹	дан/tɛ̃1	
主	җў/tʂu3	
乃	нэ/nɛ3	
久	җю/tɕiʊ3	
么	ё/jɔ1	
之	зы/tsɹ̩1	
乏	фа/fa1	
乒	бин/piɤ̃1	
乖	гуэ/kuɛ1	
乘	чын/tʂʰɤ̃5	
乜	не/nie1	～貼
九	җю/tɕiʊ3	
也	е/je3	
乳	ву/vu3	
乾	ган/kɛ̃1	
乾	чян/tɕʰiɛ̃1	
亂	луан/luɛ̃5	
了	лё/liɔ3	
事	сы/sɹ̩5	
二	эр/ɚ5	
五	ву/vu3	
井	җин/tɕiɤ̃3	
些	щүә/ɕyə1	
亞	я/ja1	
亡	вон/vɒ̃1	
交	җё/tɕiɔ1	
享	щён/ɕiɒ̃3	
京	җин/tɕiɤ̃1	
亭	тин/tʰiɤ̃1	
亮	лён/liɒ̃5	
