#漢字	音標	解釋
㥮	tsəu5	
㩳	suŋ3	
擓	kʰuai3	
一	ziʔ7	
丁	teŋ1	
七	tsʰiʔ7	
丈	tsaŋ5	
三	san1	
上	saŋ5	
下	hia5	
不	puʔ7	
丏	miən3	
丐	kai5	
且	tsʰiɛ3	
丕	pʰi1	
世	si5	
丘	kʰiu1	
丙	peŋ3	
丞	tsʰəŋ2	
丟	tiu1	
並	peŋ5	
丫	za1	
中	tsuŋ1	
串	tsʰuəŋ5	
丸	van2	
丹	tan1	
主	tsy3	
乂	zi5	
乃	lai3	
久	kiu3	
之	zɿ1	
乍	tsa5	
乎	hu1	
乏	faʔ7	
乒	pʰeŋ1	
乓	pʰaŋ1	
乖	kuai1	
乘	tsʰəŋ2	
乙	ziʔ7	
乜	mə1	
九	kiu3	
乞	kʰiʔ7	
乞	kʰi3	
也	ziɛ3	
乩	ki1	
乳	zu3	
亂	luəŋ5	
了	liau3	
予	zy3	
事	si5	
二	ɤ5	
互	hu5	
亓	kʰi2	
五	vu3	
井	tseŋ3	
亙	kəŋ5	
些	siɛ1	
亞	za1	
亞	za5	
亟	kiʔ7	
亡	vaŋ2	
亢	kʰaŋ5	
交	kiau1	
亥	hai5	
亦	ziʔ7	
亨	həŋ1	
享	hiaŋ3	
京	keŋ1	
亭	tʰeŋ2	
亮	liaŋ5	
人	zen2	
什	su3	
什	si3	
什	siʔ7	
仁	zen2	
仂	lɤʔ7	
仃	teŋ1	
仄	tsɤʔ7	
仇	tsʰəu2	
仉	tsaŋ3	
今	ken1	
介	kai5	
仍	zeŋ1	
仔	tsai3	
仔	tsɿ3	
仕	si5	
他	tʰa1	
他	hə1	口語第三人稱
仗	tsaŋ5	
付	fu5	
仙	siən1	
仞	zen5	
仟	tsʰiən1	
仡	kɔ1	
代	tai5	
令	leŋ5	
以	zi3	
仨	sa1	
仫	mu5	
仰	zaŋ3	
仲	tsuŋ5	
仵	vu3	
件	kiən5	
任	zen5	
份	fən5	
仿	faŋ3	
企	kʰi3	
伉	kʰaŋ5	
伊	zi1	
伍	vu3	
伎	tsi5	
伏	fuʔ7	
伐	faʔ7	
休	hiu1	
伢	za2	
伯	pɔʔ7	
估	ku1	
伴	puəŋ5	
伶	leŋ2	
伸	seŋ1	
伺	tsʰɿ5	
似	sɿ5	
伽	kia1	
佃	tiən5	
但	taŋ5	
佇	tsʰy3	
位	vəi5	
低	ti1	
住	tsy5	
佐	tsɔ3	
佑	zəu5	
何	hɔ2	
佗	tʰɔ2	
佘	siɛ2	
佚	ziʔ7	
佛	fuʔ7	
作	tsɔʔ7	
佝	kəu1	
佞	neŋ5	
佟	tʰuŋ2	
你	li3	
佤	va3	
佩	pʰəi5	
佬	lau3	
佯	zaŋ2	
佰	mɔʔ7	
佳	kia1	
佶	kiʔ7	
佻	tʰiau1	
佼	kiau3	
佾	ziʔ7	
使	si3	
侃	kʰan3	
侄	tsiʔ7	
來	ləi2	
侈	tsʰi3	
侉	kʰua3	
例	li5	
侍	si5	
侏	tsy1	
侑	zəu5	
侔	məu2	
侖	lən2	
侗	tuŋ5	
供	kuŋ5	
依	zi1	
侮	vu5	
侯	həu2	
侵	tsʰen1	
侶	ly3	
便	piən5	
便	pʰiən2	
俁	zy3	
係	sɿ5	關係
促	tsʰuʔ7	
俄	ŋɔ2	
俅	kʰiu2	
俊	tsyin5	
俎	tsy3	
俏	tsʰiau5	
俐	li5	
俑	zuŋ3	
俗	suʔ7	
俘	fu2	
俚	li3	
保	pau3	
俞	zy2	
俟	si5	
俠	hiaʔ7	
信	sen5	
修	siu1	
俯	fu3	
俱	ky5	
俺	aŋ3	
倀	tsʰaŋ1	
倆	liaŋ3	
倉	tsʰaŋ1	
個	kɔ5	
倍	pəi5	
們	məŋ1	
倒	tau5	
倔	kiɛʔ7	
倘	tʰaŋ3	
候	həu5	
倚	zi3	
借	tsiɛ5	
倡	tsʰaŋ5	
倦	kiən5	
倫	lən2	
值	tsiʔ7	
假	kia3	
偉	vəi3	
偎	vəi1	
偏	pʰiən1	
做	tsu5	
停	tʰeŋ2	
健	kiən5	
側	tsʰɿʔ7	
偵	tsəŋ1	
偶	əu3	
偷	tʰəu1	
傅	fu5	
傍	paŋ5	
傑	kiɛʔ7	
傖	tsʰaŋ1	
傘	saŋ3	
備	pi5	
催	tsʰuəi1	
傭	zuŋ1	
傲	au5	
傲	ŋau5	性格兇悍
傳	tsuən5	
傳	tsʰuən2	
傴	zy3	
債	tsai5	
傷	saŋ1	
傻	sa3	
傾	kʰeŋ1	
僅	ken3	
僉	tsiən1	
像	siaŋ5	
僑	kʰiau2	
僕	pʰuʔ7	
僚	liau2	
僞	vei3	
僥	kiau3	
僧	səŋ1	
僵	kiaŋ1	
價	kia5	
僻	pʰiʔ7	
儀	zi2	
儂	nuŋ2	
億	zi5	
儈	kʰuai5	
儉	kiən3	
儒	zy2	
儔	tsʰəu2	
儕	tsʰai2	
償	tsʰaŋ2	
優	zəu1	
儲	tsʰu3	
儷	li5	
儼	zən3	
兀	vuʔ7	
允	zyin3	
元	zuən2	
兄	hiuŋ1	
充	tsʰuŋ1	
兆	tsau5	
先	siən1	
