#漢字	音標	解釋
一	i7	
丁	teiŋ1	
七	tsʰei7	
丈	tioŋ8	丈人：岳父，丈夫客：男人，長度單位。
丈	tioŋ6	
丈	tioŋ1	
三	saŋ1	
上	sioŋ6	上册，上面。
上	tsioŋ6	
下	hɒ8	下棋、下句读音亦同，下堂：下课；下底：下面。
下	hɒ6	
丑	tʰiu3	
專	tsyŋ1	
且	tsʰia3	
世	sie5	
丗	sie5	
丙	peiŋ3	
業	ŋie8	
叢	tsoŋ2a	
東	toŋ1	
絲	sei1	
丞	hieiŋ2b	
兩	lioŋ3	两栖动物，两只。
兩	lioŋ6	
兩	laŋ3	
兩	laŋ6	
兩	sioŋ3	
兩	sioŋ6	
兩	saŋ3	
兩	saŋ6	
嚴	ŋiŋ2a	严格，姓。
嚴	ŋiŋ2b	
喪	saŋ5	丧事。
丫	ɒ1	
中	tœyŋ1	中国。
臨	leiŋ2b	
丸	yŋ2a	
丹	tueiŋ1	
主	tsy3	
丼	tsaŋ3	
丽	lei6	
舉	ky3	
久	kiu3	
義	ŋi6	
之	tsi1	
烏	u1	
乎	hu2b	
乏	hua6	
樂	ŋɒ8	音乐。
喬	kio2b	
乘	hieiŋ2b	
乘	hieiŋ2b	
乙	i7	
九	kiu3	
乞	kʰie7	给、被读音亦同。
也	ia2b	
習	sei7	
鄉	hioŋ1	
書	sy1	
買	ma3	
亂	lueiŋ8	
乾	keiŋ2b	乾坤。
亂	lueiŋ8	
了	lɒu8	了结，昼了：下午。
了	lɒu3	
了	lio8	
了	lio3	
事	su6	文读，事、东西、话读音亦同。。
事	sei6	
事	tu6	
事	tei6	
二	nei6	
于	œy5	
亏	kʰy1	
互	hu6	
五	ŋu8	
井	tsaŋ3	
亞	ɒ5	
亞	ɒ5	
亡	huaŋ2b	
交	ka1	交通，交椅：椅子。
交	kɒu1	
亥	hua6	
產	sueiŋ3	
享	hioŋ3	
京	keiŋ1	
亭	taŋ2a	
亮	lioŋ6	
親	tsʰeiŋ1	
人	neiŋ2a	
億	i6	
什	tsa8	
仁	hieiŋ2b	仁义，目珠仁：黑眼珠。
仁	hieiŋ2a	
仁	heiŋ2b	
仁	heiŋ2a	
仁	nieiŋ2b	
仁	nieiŋ2a	
仁	neiŋ2b	
仁	neiŋ2a	
仅	keiŋ3	
今	keiŋ1	
介	ka5	
倉	tsʰaŋ1	
仕	su6	
他	tɒ1	
仗	tioŋ8	
仙	siŋ1	
代	tua8	
令	leiŋ6	
仰	ŋioŋ3	
仲	tœyŋ7	
件	kiŋ6	
任	ieiŋ7	
仿	huaŋ3	
伍	ŋu8	
伏	hu7	
伐	hua7	
休	hiu1	
會	o7	社会，助动词。
會	o6	
會	uei7	
會	uei6	
會	ho7	
會	ho6	
會	huei7	
會	huei6	
傘	sueiŋ3	
偉	y3	
傳	tyŋ6	水浒传。
傷	sioŋ1	
倫	lœyŋ2b	
僞	y6	
伯	pɒ7	梁山伯，伯子：伯父。
伯	pœ7	
估	kʰu1	
伱	nie8	
伴	pʰueiŋ6	
伸	seiŋ1	
似	su6	
位	y6	
低	tei3	
住	tiu6	住宅，动词。
住	tiu8	
住	ty6	
住	ty8	
住	tsiu6	
住	tsiu8	
住	tsy6	
住	tsy8	
佛	huei6	
你	nie8	
佳	kɒ1	
使	sœ3	文读，用。
使	su3	
來	lœ2a	将来，我就来。
來	lœ2b	
來	lua2a	
來	lua2b	
例	lie6	
供	kœyŋ3	供销。
依	i1	
僥	hio1	
偵	teiŋ1	
側	tsʰie7	
僑	kio2b	
侮	u1	
侯	ha2b	
侵	tseiŋ1	
便	pei2b	便宜。
係	hi6	
促	tsʰœy7	
俄	ŋo2b	
俊	tsœyŋ5	
俗	sœy7	
保	po2b	
信	seiŋ5	
儉	kiŋ8	
修	siu1	
俸	hoŋ6	
倉	tsʰaŋ1	
個	ko6	个体。
倍	puei8	
倒	to3	卧。
候	hu6	伺候，時候。
候	ha6	
倚	ua3	
倣	huaŋ3	
倪	ŋa2a	
倫	lœyŋ2b	
傾	kʰeiŋ1	
假	kɒ2b	真假。
偉	y3	
偏	pʰiŋ1	
停	teiŋ2b	
健	kyŋ5	
側	tsʰie7	
偵	teiŋ1	
偶	ŋaŋ3	
偷	tʰa1	
償	sioŋ3	
傅	hu5	
傍	paŋ7	蜻蜓停，傍水。
傍	paŋ6	
傑	kie7	
傘	sueiŋ3	
備	pei8	
儲	tsy8	
催	tsʰuei1	
傲	ŋɒu6	
傳	tyŋ6	水浒传。
傷	sioŋ1	
傾	kʰeiŋ1	
僅	keiŋ3	
像	sioŋ6	
僑	kio2b	
僕	pʰo7	
僞	y6	
僥	hio1	
僧	saŋ1	
價	kɒ5	
僻	pʰie7	偏僻，偏僻。
僻	pʰei7	
億	i6	
儉	kiŋ8	
儒	hy2b	
償	sioŋ3	
優	iu1	
儲	tsy8	
允	œyŋ3	
元	ŋyŋ2a	
兄	hiaŋ1	兄弟，兄弟。
兄	hœyŋ1	
充	tsʰœyŋ1	
兆	tio8	
兇	hœyŋ1	
先	siŋ1	先生，我先行：我先走。
先	siŋ2a	
先	tsʰiŋ1	
先	tsʰiŋ2a	
光	koŋ1	
克	kʰœ7	
兌	tuei5	
免	miŋ3	
兒	hi2b	
兔	tʰɒu5	
入	nei8	
內	nuei6	
全	tsyŋ2b	
兩	lioŋ3	两栖动物，两只。
兩	lioŋ6	
兩	laŋ3	
兩	laŋ6	
兩	sioŋ3	
兩	sioŋ6	
兩	saŋ3	
兩	saŋ6	
八	pa7	
公	koŋ1	
六	sɒu8	
蘭	lueiŋ2a	
共	kœyŋ6	
關	kyŋ1	关系，关门。
關	kueiŋ1	
興	heiŋ1	复兴。
兵	peiŋ1	
具	ky8	
典	tiŋ3	
兼	kiŋ1	
獸	siu5	
內	nuei6	
岡	kaŋ5	
冊	tsʰɒ7	
冊	tsʰɒ7	
再	tsua8	再来，再见。
再	tsua5	
冒	mo8	
寫	sia3	
軍	kœyŋ1	
農	noŋ2b	
冢	tœyŋ3	
冤	yŋ1	
冥	maŋ2a	昨冥：昨天，暗冥：晚上。
冥	maŋ2b	
冬	toŋ1	
冰	paŋ1	
冲	tsʰœyŋ1	
冷	laŋ3	
凊	tsʰaŋ5	东西冷。
凝	ŋiŋ2b	
凡	huaŋ2b	
鳳	hoŋ6	
凱	kʰaŋ3	
凱	kʰaŋ3	
凳	taŋ5	
凶	hœyŋ1	
函	haŋ2b	
鑿	tsɒu6	
刀	to1	
刃	ieiŋ7	
分	hueiŋ1	分歧，动词。
分	pueiŋ1	
切	tsʰuei7	一切，切菜。
切	tsʰie7	
刊	kʰaŋ1	
刑	heiŋ2b	
劉	liu2a	
則	tsœ7	
剛	kaŋ1	
初	tsʰɒu1	
判	pʰueiŋ5	
利	lei6	
到	to5	
制	tsi5	
刷	suei7	
券	kyŋ5	
刺	tsʰu6	諷刺。
刻	kʰœ7	
剃	tʰie5	
則	tsœ7	
削	sia7	
削	sio7	
前	tsʰiŋ2a	
剛	kaŋ1	
剝	pu7	动词，剥削。
剝	po7	
剝	pʰu7	
剝	pʰo7	
劇	kia8	
剩	siŋ6	
剪	tsaŋ3	
割	hua2b	割肉。
劃	hua8	
劇	kia8	
劉	liu2a	
劍	kiŋ5	
劒	kiŋ5	
劔	kiŋ5	
力	lei8	毅力，力氣，勤勞。
力	lei6	
力	lei7	
勸	kʰyŋ5	
辦	paŋ6	
功	koŋ1	
加	kɒ1	
務	u6	
劣	lœ7	
動	toŋ8	
助	tsɒu7	
劫	kie7	
勵	lei6	
勁	keiŋ6	
勞	lo2b	
勢	sie5	
勁	keiŋ6	
勃	puei7	
勇	œyŋ3	
勉	miŋ3	
勒	lœ7	
動	toŋ8	
勘	kʰaŋ1	
務	u6	
勞	lo2b	
募	mu6	
勢	sie5	
勤	kœyŋ2b	
勳	hœyŋ5	
勵	lei6	
勸	kʰyŋ5	
勺	tsʰia6	舀。
勻	hœyŋ2b	
包	pa1	包裹，动词。
包	pɒu1	
匏	py2b	匏桸：水瓢，匏子：葫芦瓜。
匏	pu2b	
北	pœ7	
匙	tsie2a	
匠	tsioŋ6	
匣	ho8	
匪	huei5	
匹	pʰei7	
區	kʰy1	
匾	piŋ3	
區	kʰy1	
十	si6	二十，十只。
十	tsi6	
千	tsʰiŋ1	
升	seiŋ1	
午	ŋu8	
半	pueiŋ5	
協	hie7	
卑	pei1	
卓	to7	
協	hie7	
單	tueiŋ8	
賣	ma6	
南	naŋ2a	
博	po7	
占	tsiŋ5	占卦。
盧	lɒu2a	
卦	kua5	
衛	y6	
印	eiŋ5	
危	ŋy2b	
即	tsei7	
卵	sueiŋ6	
卸	sia5	
卻	kʰio7	
卿	kʰeiŋ1	
廳	tʰaŋ1	
历	lei7	
厲	lei6	
壓	ɒ7	
厚	ha6	敦厚，形容词。
厚	ha8	
厚	ka6	
厚	ka8	
原	ŋyŋ2a	
厲	lei6	
参	saŋ1	人参。
參	saŋ1	人参。
又	iu8	
叉	tsʰɒ1	
及	ki7	
友	iu3	
雙	soŋ1	
叔	sy7	
取	tsʰœy3	
受	siu6	
變	piŋ5	
叢	tsoŋ2a	
口	kʰa3	
古	ku3	
句	ka1	
叩	kʰo7	叩头。
召	hio8	
叮	taŋ2a	蚊子叮。
可	kʰo3	
史	su3	
司	su1	
各	ko7	
合	ho7	
吉	ki7	
同	toŋ2b	
名	miaŋ2a	
后	ha6	
吏	lei6	
吐	tʰɒu3	吐唾。
君	kœyŋ1	
吞	tʰueiŋ1	
吠	pei7	
含	haŋ2b	
含	kaŋ2b	
吳	ŋu2a	
吸	ki7	
吹	tsʰœ1	
呂	lœy3	
呈	tiaŋ2b	
告	ko5	
員	yŋ2a	
周	tsiu1	
呪	tsiu5	
味	uei7	
呼	hu1	
命	miaŋ6	命令，生命。
命	miaŋ8	
命	meiŋ6	
命	meiŋ8	
嚨	liaŋ2b	喉咙。
咨	tsu1	
哀	ua1	
品	pʰeiŋ3	
響	hioŋ3	
員	yŋ2a	
哥	ko1	
哲	tsie7	
哺	po6	
唆	so2a	啰嗦。
唐	taŋ2b	
售	siu6	
唱	tsʰioŋ5	
唾	tʰuei5	
商	sioŋ1	
問	moŋ6	
啓	kʰi3	
啟	kʰi3	
囉	lo2a	啰嗦。
啼	tʰie2a	
善	siŋ6	
喉	hu2b	
喊	haŋ3	
喘	tsʰueiŋ3	
喙	tsʰy5	嘴。
喚	hueiŋ6	
喜	hi3	
喧	syŋ1	
喪	saŋ5	丧事。
喬	kio2b	
單	tueiŋ8	
喻	œy6	
嗝	kɒ7	食物塞住。
嗣	su6	
嗤	tsʰi1	
嘉	kɒ1	
嘗	ioŋ2b	
嘗	ioŋ3	
嘗	sioŋ2b	
嘗	sioŋ3	
器	kʰi5	
嚨	liaŋ2b	喉咙。
嚴	ŋiŋ2a	严格，姓。
嚴	ŋiŋ2b	
嚻	hio1	
囂	hio1	
囉	lo2a	啰嗦。
囊	naŋ2b	
囚	tsʰiu3	
四	sei5	
回	huei2b	
因	eiŋ1	
团	tueiŋ2b	
困	kʰueiŋ5	
固	ku5	
國	kuei7	
圖	tɒu2b	企图，图书馆。
圖	tɒu2a	
圖	tʰɒu2b	
圖	tʰɒu2a	
圓	yŋ2a	圆圈，货币单位。
圓	yŋ2b	
圓	hyŋ2a	
圓	hyŋ2b	
國	kuei7	
園	hyŋ2a	
圓	yŋ2a	圓圈，貨幣單位。
圓	yŋ2b	
圓	hyŋ2a	
圓	hyŋ2b	
圖	tɒu2b	企图，图书馆。
圖	tɒu2a	
圖	tʰɒu2b	
圖	tʰɒu2a	
團	tueiŋ2b	
土	tʰɒu3	
在	tsua8	
圭	ky1	
地	tie6	
場	tioŋ2b	
址	tsi3	
均	kœyŋ1	
坊	huaŋ1	
坎	kʰaŋ3	
坏	pʰuei1	
坐	tsua6	
坑	kʰaŋ1	
堅	kiŋ1	
坛	tueiŋ2b	
墳	hueiŋ2b	
坡	po1	
坤	kʰuei1	
坦	tʰaŋ3	
坪	piaŋ2a	
坯	pʰuei1	
坳	a5	
坼	tʰia7	
