#漢字	音標	解釋
□	mi1	塘～～，蜻蜓
□	na1	和
□	na1	疤痕
□	na1	粘
□	ha1	欺負
□	mɛ1	嗩～
□	pɔ1	球鞋
□	lɔ1	屁股
□	mɐi1	削東西
□	mau1	發黴
□	nɐu1	生氣
□	kɐu1	引誘
□	lan1	爬行
□	nɛn1	乳汁、乳房
□	lyn1	鑽過
□	nɐŋ1	疤痕
□	hɐŋ1	敲
□	fɛ2	（用槍）射
□	fɛ2	
□	nɛ2	這樣
□	hɔ2	～呐
□	nau2	罵人
□	lɐm2	東西軟爛
□	hɐn2	手癢
□	lyn2	縫製
□	tʃʰɛ3	走
□	ȵiɛ3	貓膩
□	kʰɐm3	蓋，動詞
□	lɔŋ3	涮洗
□	iai5	嚼
□	kui5	憔悴
□	ʃau5	齙牙
□	ʃɐu5	～牙（齙牙）
□	nam5	跨過去
□	kuɐn5	哄
□	kʰuaŋ5	把東西絆倒
□	lɐp7	套
□	kʰɐp7	蓋，動詞
□	tok7	底部
□	tok7	戳
□	iap8	眨眼
□	kip8	澀
□	kit8	粥稠
□	tɛk8	溜走
□	tɐp9	敲
㩄	sai1	
㩆	nɐu4	
䉲	mit9	
一	iɐt7	
丁	teŋ1	
七	tʃʰɐt7	
丈	tʃœŋ2	
三	sam1	
上	ʃœŋ2	天～
上	ʃœŋ4	～山
下	ha2	
不	pɐt7	
丐	kɔi5	
丑	tʃʰɐu3	
且	tʃʰɛ3	
丕	pʰui1	
世	ʃɐi5	
丘	iɐu1	
丙	peŋ3	
丞	ʃeŋ2	
丟	tiu1	
並	peŋ2	
丫	a1	
中	tʃoŋ1	當～
中	tʃoŋ5	打～
串	tʃʰyn5	
丸	yn2	
丹	tan1	
主	tʃy3	
乃	nai4	
久	kɐu3	
之	tʃi1	
乍	tʃa5	
乎	fu1	
乏	fat9	
乖	kuai1	
乘	ʃeŋ2	～法
乙	it8	
九	kɐu3	
乞	hɐt7	
也	iɛ4	
乳	ȵui4	
乸	na3	
乾	kɔn1	
乾	kʰyn2	
亂	lyn2	
了	liu4	
事	sɿ2	
二	ȵi2	
于	y1	
云	uɐn2	
互	u2	
五	ŋ4	
井	tʃɛŋ3	
些	sɛ1	
亞	a5	
亡	mɔŋ2	
交	kiau1	
亥	hɔi4	
亦	iek9	
亨	hɐŋ1	
享	hœŋ3	
京	keŋ1	
亭	tʰeŋ2	
亮	lœŋ2	
人	ȵɐn2	
什	ʃɐm2	
什	ʃɐp9	
仁	ȵɐn2	
仇	tʃʰɐu2	
今	kɐm1	
介	kai5	
仍	ŋeŋ2	
仔	tʃɐi3	
仕	sɿ2	
他	tʰa1	
仗	tʃœŋ2	依～
仗	tʃœŋ5	打～
付	fu2	
仙	sin1	
代	tɔi2	
令	leŋ2	
以	i4	
仰	ŋɔŋ4	
仲	tʃoŋ2	
件	kin4	
任	ȵiɐm2	姓～，責～
份	fɐn2	
仿	fɔŋ3	模～
企	kʰi4	
伊	i1	
伍	ŋ4	
伏	pok9	躲藏
伏	fok9	
伐	fat9	
休	iɐu1	
伙	fɔ3	～食
伯	pak8	
估	ku1	
伴	pun2	
伶	leŋ2	
伸	ʃɐn1	
伺	tsʰɿ2	
似	tsʰɿ4	
伽	ka1	
