#漢字	音標	解釋
□	tiɛ̃2	～tɛ(那里)
□	ȵyɛ̃2	蛆
□	tiɔ5	牵
㪗	tʰiəɯ3	
一	iɛʔ7	
丁	tin1	
七	tɕʰiɛʔ7	
万	uã5	
丈	tsʰɔ̃3	十尺
丈	tsʰɔ̃5	～夫
三	sã1	
上	sɔ̃3	
上	sɔ̃5	～山；上面
下	xɔ3	底～
下	xɔ5	～降
不	n̩5-	
不	pəɯʔ7=	
与	y3	
丐	kuɛ5	
丑	tsʰɛ3	
專	tɕyɛ̃1	
且	tɕʰiɛ3	
丕	pʰi3	
世	sɿ5	
丘	ɕiəɯ1	
丙	pin3	
業	ȵiɛʔ7	
叢	tsʰuŋ2	
東	tuŋ1	
絲	sɿ1	
丟	tiəɯ1	
兩	liɔ̃3	
嚴	ȵiɛ̃2	
喪	sɔ̃1	婚～
喪	sɔ̃5	～失
个	kæ5-	
个	kəɯ5=	
丫	ɔ1	
中	tsuŋ1	
中	tsuŋ5	
丰	fuŋ1	
串	tɕʰyɛ̃1-	
串	tɕʰyɛ̃5=	
臨	lin2	
丸	yɛ̃2	
丹	tã1	
爲	uei2	
主	tɕy3	
丽	li5	
舉	tɕy3	
乃	næ5	
久	tɕiəɯ3	
義	ȵi5	
之	tsɿ1	
烏	u1	
乍	tsʰɔ5	
乎	fu1	
乎	xu1	(又)
乏	faʔ7	
樂	ləɯʔ7	快～
樂	iəɯʔ7	音～
喬	tɕʰiɑʌ2	
乖	kuæ1	
乘	sən2	
乙	iɛʔ7	
九	tɕiəɯ3	
乞	tɕʰiɛʔ7	
也	iɛ3	
習	ɕiʔ7	
鄉	ɕiɔ̃1	
書	ɕy1	
買	mæ3	
亂	luɛ̃5	
乳	y3	
乾	kuã1	
乾	tɕʰiɛ̃2	～坤
了	liɑʌ3	～结
爭	tsɔ̃1-	
爭	tsən1-	
事	sei5-	
事	sɿ5=	
二	ei5=	
于	y2	
虧	kʰuei1	
雲	yn2	
互	xu5	
五	n̩3-	
五	u3=	
井	tɕiã3-	
井	tɕin3=	
亞	ŋɔ5	
些	tɕiɛ5-	
些	ɕiɛ1=	
亡	uɔ̃2	
交	kɑʌ1	
亥	xuɛ5	
亦	iɛʔ7	
產	tsʰã3	
亨	kʰən1	
畝	mɛ3	
享	ɕiɔ̃3	
京	tɕin1	
亭	tʰin2	
亮	liɔ̃5	
親	tɕʰin1	
人	ȵin2-	
人	in2=	
億	i5	
什	sɛʔ7	
仁	in2	
僅	tɕin3	
仆	pʰəɯʔ7	
仇	tsʰɛ2	
仇	sɛ2	(又)
今	tɕin1	
介	kæ5	
从	tsʰuŋ2	
倉	tsʰɔ̃1	
仕	sɿ5	
他	tʰæ1	
仗	tsʰɔ̃3	
付	fu5	
仙	ɕiɛ̃1	
代	tʰuɛ5	
令	lin5	
以	i3	
儀	ȵi2	
仰	ȵiɔ̃3	
仲	tsʰuŋ1	
件	tɕʰiɛ̃5	
價	kɔ5	
任	in5	
份	fən5	
仿	fɔ̃3	
