#漢字	音標	解釋
一	iɛ7	
丁	tei1	
七	tɕʰiɛ7	
万	an5	
丈	tsaɲ4	
三	san1	
上	saɲ4	
下	xia6	
不	pɤ7	
丐	kæi5	
丑	tɕʰəu3	
丑	tʃəu3	
專	tʃyɛn1	
世	ʃi5	
丘	tɕʰiau1	
丙	piɛn3	
業	ŋiɤ7	
東	tɔɲ1	
絲	ɕɿ1	
兩	lia3	
嚴	ŋin1	
喪	saɲ1	
喪	saɲ5	
个	ko̞5	
中	tɕɔɲ1	
丰	fɔɲ6	
串	tʃʰyn5	
串	tʃʰyɛn5	
臨	lin1	
丸	xaɲ2	
丹	tɔɲ1	
爲	xæ2	
主	tʃy3	
丽	li1	
丽	li5	
舉	ky3	
久	kiau3	
義	ŋi5	
之	tʃi1	
烏	u1	
乏	fo̞7	
樂	lo̞7	
樂	ŋuo7	
喬	kiau2	
乖	kuæ1	
乘	saɲ2	
乙	i7	
九	kiau3	
乞	kʰi7	
習	tsi7	
鄉	ɕiɔ1	
書	ʃy1	
買	mæi3	
亂	lᵘa5	
乳	y3	
爭	tsən1	
事	tʃi6	
二	ȵæ5	
于	y1	
雲	yn1	
互	xu6	
五	ŋ̍3	
井	tɕiɛn3	
亞	ia5	
亡	ɔɲ1	
交	kiəu1	
亦	i7	
產	ʃɔɲ3	
亨	xən1	
享	ɕiɔ3	
京	kiɛn1	
亭	tei2	
亮	lia5	
人	ȵin1	
億	i7	
仁	ȵin1	
僅	kin6	
仇	kiau2	
今	kin1	
介	kæi5	
从	tsɔɲ2	
倉	tsʰaɲ1	
他	tʰu1	
仗	tsaɲ4	
付	fu5	
仙	ɕiɛ1	
代	ta6	
令	liɛn1	
令	liɛn5	
以	i3	
仰	ŋaɲ3	
件	kiɛ4	
價	kia1	
任	ȵin5	
份	fan6	
仿	fɔɲ3	
仿	fɔɲ4	
企	kʰi3	
伏	fu7	
休	xiau1	
衆	tʃɔɲ3	
優	iau1	
伙	xo̞3	
會	kei5	
傘	ɕɔɲ3	
偉	u3	
傳	tɕyn2	
傷	saɲ1	
倫	luan1	
伯	pa7	
伴	pɔɲ4	
伸	tʃin1	
似	tsɿ3	
但	tɔɲ6	
位	uei5	
低	tei1	
住	tɕy6	
體	tʰei3	
何	xo̞2	
余	y1	
佛	fəu7	
作	tɕo̞7	
你	ni3	
佩	pʰei6	
佳	kæi1	
使	ʃi3	
侄	tɕiɛ7	
例	lei5	
供	kɔɲ1	
供	kɔɲ5	
依	i1	
側	tʃi3	
侯	xau2	
便	piɛ5	
便	piɛ6	
促	tsʰu7	
俄	ŋo̞1	
俊	tɕən5	
俏	tɕʰiəu5	
俗	tsu7	
保	pau3	
信	ɕin5	
修	ɕiəu1	
俯	fu3	
倍	pei4	
倒	to̞3	
倘	tʰaɲ3	
候	xau6	
借	tɕia5	
倡	tʃʰaɲ1	
倡	tʃʰaɲ5	
倦	kyn6	
債	tʃæi5	
值	tɕi7	
假	kia1	
偏	pʰiɛ1	
做	tsau3	
做	tsau5	
停	tei2	
健	kiɛ6	
偷	tau1	
償	saɲ2	
傅	fu5	
傍	paɲ6	
儲	tɕy2	
催	tɕʰei1	
傲	ŋo̞5	
傻	sa3	
像	tsia3	
像	tsiɔɲ3	
僧	ɕɔɲ1	
僵	kaɲ1	
僻	pʰi7	
允	yn3	
元	yɛn1	
兄	xia1	
兄	xiɔɲ1	
充	tʃʰɔɲ1	
兆	tɕəu5	
先	ɕiɛ1	
光	kaɲ1	
克	kʰa7	
免	miɛ3	
兔	tʰu5	
黨	taɲ3	
入	ȵy7	
全	tsyn2	
八	po̞7	
公	kɔɲ3	
六	ləu7	
蘭	lɔɲ1	
共	kɔɲ6	
關	kᵘa1	
興	xiɛn5	
兵	piɛn1	
其	kʰi2	
具	ky6	
典	tiɛ3	
養	iɔ3	
獸	ʃiau5	
內	nuei5	
岡	kuo1	
冊	tʃʰɤ7	
再	tsa5	
冒	mau5	
寫	ɕia3	
軍	kyn1	
農	nau1	
冠	kaɲ1	
冠	kaɲ5	
冤	yɛn1	
冬	tʰɔɲ1	
馮	fɔɲ2	
冰	piɛn1	
冲	tʃʰɔɲ1	
冷	lən3	
凍	tɔɲ5	
淨	tsiɛn6	
凄	tɕʰei1	
準	tʃyn3	
凉	lia1	
凌	liɛn1	
減	kɔɲ3	
湊	tsʰau5	
凝	ŋiɛn1	
几	ki3	
凡	faɲ2	
凳	taɲ5	
凶	xia1	
凶	iɔɲ1	
出	tʃʰiɤ7	
擊	ti7	
刀	tᵘa1	
刁	tau1	
刃	ȵin5	
分	fan1	
切	tɕʰiɤ7	
刑	xiɛn2	
列	liɤ7	
劉	liəu1	
剛	kuo1	
創	tsʰuaɲ5	
初	tʃʰau1	
刪	san1	
判	pʰɔɲ5	
刨	pau6	
利	li5	
别	piɤ7	
刮	kᵘa7	
到	to̞5	
制	tʃi5	
刷	sᵘa7	
刺	tɕʰɿ5	
刻	kʰa7	
剁	tuo5	
剃	tʰei5	
削	ɕiɔ7	
前	tsiɛ2	
劍	kin5	
剔	ti7	
剝	po̞7	
劇	kiɛ7	
剩	saɲ6	
剪	tɕiɛ3	
副	fu6	
割	ko̞7	
劈	pʰi7	
力	li7	
勸	kʰyn5	
勸	kʰyɛn5	
辦	pɔɲ6	
功	kɔɲ1	
加	kia1	
務	u5	
劣	lye7	
動	tɔɲ4	
努	nau3	
劫	kiɤ7	
勵	lei5	
勁	kin5	
勁	kɔɲ5	
勞	lau1	
勢	ʃi5	
勇	ia3	
勇	iɔɲ3	
勤	kin2	
勺	ʃiɔ7	
勾	kəu1	
勻	yn1	
包	pau1	
匆	tɕʰɔɲ1	
化	fa5	
北	pa7	
匠	tsia6	
匠	tsiɔɲ6	
匣	xiɔ7	
匹	pʰiɛ7	
區	kʰy1	
醫	i1	
匾	piɛ3	
十	ʃo̞7	
千	tɕʰiɛ1	
升	saɲ1	
午	ŋ̍3	
半	pɔɲ5	
華	fa5	
單	tɔɲ1	
單	ʃiɛn6	
賣	mæi5	
南	no̞1	
博	pʰo̞7	
卜	pa7	
占	tʃin5	
盧	lau1	
卤	lau3	
臥	o̞5	
衛	ei3	
卯	mau3	
印	in5	
危	æi1	
卻	kʰiɔ7	
卵	lɔɲ3	
卷	kyn5	
廠	tʃʰaɲ3	
历	li7	
厲	lei5	
壓	iɔ7	
厭	in5	
厘	li1	
厚	xau5	
原	yɛn1	
廂	ɕia1	
廂	ɕiɔɲ1	
廚	tɕy2	
去	kʰy5	
参	ʃən1	
参	tsʰan1	
又	iau5	
叉	tʃʰo̞1	
友	iau3	
雙	saɲ1	
反	fɔɲ3	
发	fɤ7	
叔	su7	
取	tɕʰy3	
受	ʃiau4	
變	piɛ2	
敘	tsy3	
叛	pʰɔɲ6	
口	kʰəu1	
古	ku3	
句	ky5	
另	liɛn5	
叩	kʰəu3	
只	tʃi3	
只	tʃi7	
叫	kau5	
召	tɕəu6	
可	kʰo̞3	
台	ta1	
史	ʃi3	
右	iau5	
葉	iɤ7	
號	xəu2	
司	ɕɿ1	
吃	kʰi7	
各	ko̞7	
合	xo̞7	
吉	kiɛ7	
吊	tau5	
同	tɔɲ2	
名	miɛn1	
后	xau4	
吐	tʰu3	
向	ɕiɔ5	
吕	ly3	
君	kuan1	
吞	tʰən1	
含	xan2	
听	tʰei5	
吴	u1	
吵	tʃʰau3	
吸	xo̞7	
吹	tsʰæi1	
吻	uan3	
呆	ŋæi1	
告	ko̞5	
嘔	ŋau3	
員	yn1	
周	tʃəu1	
味	u5	
呼	fu1	
命	miɛn5	
和	xo̞2	
和	xo̞6	
咏	ia5	
咏	iɔɲ5	
咬	ŋo̞3	
咳	kʰɤ7	
咸	xɔɲ2	
哀	ŋæ1	
品	pʰin3	
哄	xɔɲ3	
啞	ia3	
哥	ko̞1	
哭	kʰu7	
哲	tiɤ7	
唆	sau1	
脣	syn2	
唐	taɲ2	
售	ʃiau6	
唯	uei3	
唱	tʃʰaɲ5	
商	saɲ1	
喂	u5	
善	ʃiɛn4	
喉	xau2	
喊	xɔɲ3	
喜	xi3	
喝	xo̞7	
噴	pʰan1	
喻	y5	
嗓	saɲ3	
嗽	suo5	
嘉	ko̞1	
囑	tsu7	
嘴	tɕæi3	
噎	iɤ7	
器	kʰi5	
嚷	ŋaɲ3	
嚼	tsiɔ7	
囊	naɲ1	
四	ɕi5	
回	xei2	
因	in1	
团	tɔɲ2	
園	yɛn1	
困	kʰuei5	
圍	u1	
固	ku5	
國	kau7	
圓	yn1	
圈	kʰyn1	
土	tʰu3	
聖	sɔɲ5	
在	tsa4	
地	ti6	
場	tsaɲ2	
址	tʃi3	
均	kyn1	
壞	xuæ6	
坐	tsau4	
坑	kʰən1	
堅	kiɛ1	
坡	pʰo̞1	
坦	tʰɔɲ3	
垂	ʃæi2	
型	xiɛn2	
墊	tin5	
埃	ŋæ1	
埋	mæi1	
城	ʃɔɲ2	
域	iɛ7	
培	pei2	
基	ki1	
堂	taɲ2	
堆	tei1	
墮	tuo4	
堤	tei1	
堵	tu3	
塌	to̞1	
塑	tsʰu5	
塔	tʰo̞7	
塘	taɲ2	
塞	sa7	
填	tən2	
