#漢字	音標	解釋
一	i7	
丁	tai1	
七	tsʰi7	
丄	saŋ3	上山。
丈	tiaŋ6	
三	suaŋ1	
上	saŋ6	上面。
与	y3	给与。
丐	ka5	乞丐。
丑	tsʰɔu3	
專	tsyɛ1	
且	tsʰiɛ3	
丕	pi2	
世	si5	
丗	si5	
丘	tsʰiu1	印刷误为33，此地阴平应为43。
丙	pai3	
業	liɛ7	
叢	tsɔu2	
東	tɔu1	
絲	sɿ1	
丞	tsəŋ2	
丠	tsʰiu1	印刷误为33，此地阴平应为43。
丣	iɔu3	
兩	liaŋ6	两个，几两几钱。
兩	liaŋ3	
嚴	iɛ2	
並	piŋ5	
喪	saŋ5	丧失。
丩	tsiu1	纠缠。
丫	uo1	印刷誤為42，此地陰平應為43。
中	tsuŋ1	当中。
串	tsʰyɛ5	
臨	liŋ2	
丸	yɛ2	肉丸。
丹	tuaŋ1	
爲	uɛi2	作为。
主	tsy3	
丼	tsai3	
丽	li6	美丽。
舉	ky3	
乃	lai3	
久	tsiɔu3	
義	i5	
之	tsi1	
烏	u1	
乍	tsuo5	
乎	hu1	
乏	fuo7	
樂	iuo2	音乐。
喬	tsiau2	
乖	kua1	
乘	sai2	
乘	sai2	
乙	iɛ7	
九	tsiɔu3	
乞	tʃi2	
也	a3	也是。
習	si7	
鄉	siaŋ1	
書	sy1	
買	mua3	
亂	lyɛ6	
乳	y3	
乾	tsiɛ2	乾坤。
亂	lyɛ6	
了	liau3	了结。
事	sɿ6	
二	i6	
于	y2	
亏	kʰuɛi1	
云	iuŋ2	人云亦云。
互	hu6	
五	ŋ̩3	
井	tsai3	
亖	sɿ5	
亞	ia5	
亞	ia5	
亡	maŋ2	
交	tsiau1	
亥	hua6	
亦	ŋa3	
產	tsʰuaŋ3	
亨	həŋ1	
享	siaŋ3	
京	kai1	
亭	tai2	
亮	liaŋ6	
亯	siaŋ3	
親	tsʰiŋ1	
人	ŋiŋ2	
億	i5	
什	si2	什物。
仁	iŋ2	
仅	tsiŋ3	
仇	tsɔu2	姓。
今	tsiŋ1	
介	ka5	
仍	iŋ2	
从	tsuŋ2	跟从。
倉	tsʰaŋ1	
仕	sɿ6	
他	tʰɔ1	
仗	tsaŋ5	
付	fu5	
仙	siɛ1	
仝	tɔu2	
代	tua6	
令	lai6	
以	i3	
儀	i2	
仰	liaŋ3	
仲	tsuŋ5	
件	tsiɛ6	
任	iŋ6	责任。
仿	faŋ3	相似。
企	tsʰi5	
伊	i1	
伍	ŋ̩3	
伏	fɔu7	
伐	fuo7	
休	siu1	
會	huɛi6	会议、会不会读音亦同
傘	suaŋ3	
偉	uɛi3	
傳	tsyɛ6	传记。
傷	saŋ1	
倫	luəŋ2	
僞	uɛi6	
伯	pa7	
估	ku1	估计。
伱	li3	
伴	puaŋ5	
伶	liŋ2	
伸	siŋ1	
似	sɿ3	
佀	sɿ3	
佈	pu6	
位	uɛi6	
低	ti1	
住	ty6	
佐	tsuo3	
余	y2	姓余。
佛	fu3	
作	tsɔu5	
佞	liŋ3	
你	li3	
佩	pʰɛi5	
佳	kuo1	
使	sɿ3	
來	lua2	
侈	tsʰi3	奢侈。
例	li6	
侍	sɿ6	
依	i1	
偵	tsəŋ1	
側	tsʰa7	
僑	tsiau2	
儂	2	
侮	u3	
侯	ha2	
侵	tsʰiŋ5	
便	piɛ2	便宜。
係	si5	是。
促	tsɔu6	
俄	uo2	
俊	tsəŋ5	
俏	tsʰiau5	
俗	su2	
俘	fu1	俘虏。
保	pau3	
俟	sɿ6	
信	siŋ5	
儉	tsiɛ3	
修	siu1	
俯	fu3	
俱	tsy5	
俸	fɔu5	
俻	pi6	
俾	pɛi1	
倉	tsʰaŋ1	
個	kuo5	个人。
倒	tau3	打倒。
倔	kyɛ6	倔强。
候	ha6	
倚	i3	
借	tsiɛ5	
倣	faŋ3	仿效。
倦	kyɛ5	
倪	li2	
倫	luəŋ2	
債	tsai5	
值	tsai6	
傾	kʰyŋ1	
假	kuo3	真假。
偉	uɛi3	
偏	pʰiɛ1	
停	tai2	
健	tsiɛ5	
偪	pi7	
側	tsʰa7	
偵	tsəŋ1	
偶	ŋa3	配偶。
偷	tʰa1	
償	saŋ2	
傅	fu5	
傍	paŋ5	
傑	tsiɛ7	
傘	suaŋ3	
備	pi6	
儲	tsy2	储蓄。
催	tsʰɛi1	
傲	ŋau5	
傳	tsyɛ6	传记。
債	tsai5	
傷	saŋ1	
傻	suo5	
傾	kʰyŋ1	
僅	tsiŋ3	
僊	siɛ1	
像	siaŋ6	
僑	tsiau2	
僒	kyɛ5	
僕	pʰu2	
僞	uɛi6	
僧	tsəŋ1	
僵	tsʰiaŋ1	
價	kuo5	
僻	pʰi2	
儀	i2	
儁	tsəŋ5	
儂	2	
億	i5	
儆	tsiŋ3	
儉	tsiɛ3	
儒	y2	
儛	u3	
償	saŋ2	
儧	tsuaŋ3	积攒。
優	iu1	
儲	tsy2	储蓄。
儹	tsuaŋ3	积攒。
允	yŋ3	
兂	tsuaŋ1	
元	yɛ2	
兄	huai1	
充	tsʰuŋ1	
兆	tsau6	
兇	suŋ1	凶恶。
先	siɛ1	
光	kuaŋ1	
克	kʰa7	
兌	tɛi5	
免	miɛ3	
兒	ei2	
兔	tʰu5	
兗	iɛ3	
兜	ta1	
入	ŋ̩7	
內	lɛi3	
全	tsyɛ2	
兩	liaŋ6	两个，几两几钱。
兩	liaŋ3	
八	puo7	
公	kɔu1	
六	liu7	
兮	si1	
蘭	luaŋ2	
共	kuŋ6	
關	kyɛ1	
興	hai1	兴旺。
兵	pai1	
具	ky6	
典	tiɛ3	
兹	tsi1	
兼	tsiɛ1	
獸	sɔu6	
兾	i5	
冀	i5	
內	lɛi3	
岡	kaŋ1	
冊	tsʰa7	
冊	tsʰa7	
再	tsua5	
冒	mau6	
冗	iuŋ3	
寫	suo3	
軍	kyŋ1	
農	luŋ2	
冠	kyɛ1	衣冠。
冢	tsuŋ3	
冤	yɛ1	
冫	piŋ1	
冬	tɔu1	
冰	piŋ1	
冲	tsʰuŋ1	
况	kʰuaŋ5	
冷	laŋ3	
准	tsuŋ3	
凉	liaŋ2	
凌	liŋ2	
凝	li2	
几	i3	茶几。
凡	faŋ2	
鳳	fɔu6	
