#漢字	音標	解釋
一	i7	
丁	tin1	
七	tɕʰi7	
万	uan6	
丈	tsaŋ6	
三	san1	
上	saŋ6	
下	xa3	白
下	ɕia6	白
不	pu7	
与	y3	
丐	kai5	
丑	tsʰəu3	
專	tɕyan1	
且	tɕʰie3	
世	sɿ5	
丘	tɕʰiəu1	
丙	pin3	
業	lie7	
叢	tsʰoŋ2	
東	toŋ1	
絲	sɿ1	
丞	tsʰən5	
丟	tiəu1	
兩	liaŋ3	
嚴	iɛn2	
喪	saŋ1	
个	ko5	
丫	ŋa1	
丫	ia1	文
中	tsoŋ1	
丰	xoŋ1	
串	tɕʰyan5	
臨	lin2	
丸	yan2	
丹	tan1	
爲	uei2	
主	tɕy3	
丽	li7	
舉	tɕy3	
乃	lai3	
久	tɕiəu3	
義	i6	
之	tsɿ1	
烏	u1	
乍	tsa7	
乎	fu1	
乏	fa7	
樂	io7	
乓	pʰaŋ1	
喬	tɕʰiau2	
乖	kuai1	
乘	tsʰən5	
乙	i7	
九	tɕiəu3	
乞	tɕʰi7	
也	ie3	
習	ɕi7	
鄉	ɕiaŋ1	
書	ɕy1	
買	mai3	
亂	lan6	
乳	y2	
乾	tɕʰiɛn2	
了	liau3	
爭	tsən1	
事	sɿ6	
二	ər6	
于	y2	
虧	kʰuei1	
雲	yn2	
互	fu6	
五	u3	
井	tɕin3	
亞	ia1	
些	ɕie1	
亡	uaŋ2	
交	tɕiau1	
亥	xai6	
亦	i7	
產	tsʰan3	
亨	xən1	
畝	mo3	
享	ɕiaŋ3	
京	tɕin1	
亭	tʰin2	
亮	liaŋ6	
親	tɕʰin1	
親	tɕʰin5	～家
人	ŋən5	
億	i5	
仁	ŋən5	
僅	tɕin3	
仆	pʰu7	
仇	tsʰəu2	
仇	tɕʰiəu2	姓
今	tɕin1	
介	kai5	
仍	ŋən1	
从	tsʰoŋ2	
仑	lən5	
倉	tsʰaŋ1	
仕	sɿ6	
他	tʰa1	
仗	tsaŋ6	
付	fu7	
仙	ɕiɛn1	
代	tai6	
令	lin6	
以	i3	
儀	i2	
們	mən5	
仰	iaŋ2	文
仰	ŋaŋ3	白
仲	tsoŋ5	
件	tɕiɛn6	
價	tɕia5	
任	ŋən1	
份	fən1	
仿	faŋ3	
企	tɕi6	
伊	i1	
伍	u3	
伏	fu6	
伐	fa7	
休	ɕiəu1	
衆	tsoŋ5	
優	iəu1	
伙	xo3	
會	kʰuai5	
會	xuei6	～议
傘	san3	
偉	uei3	
傳	tɕʰyan2	～达
傳	tɕyan6	～记
伢	ŋa2	
傷	saŋ1	
倫	lən5	
僞	uei3	
伯	pe7	
估	ku3	
伴	pan6	
伶	lin2	
伸	sən1	
伺	sɿ6	
似	sɿ5	
佃	tiɛn6	
但	tan6	
位	uei6	
低	ti1	文
住	tɕy6	
佐	tso3	
佑	iəu6	
體	tʰi3	
何	xo2	
余	y2	
佛	fu6	
作	tso7	
你	li3	
佩	pʰei5	
佬	lau3	
佳	tɕia1	
使	sɿ3	
侃	kʰan3	
