#漢字	音標	解釋
㐴	pʰɑ̟n1	
㑁	t͡sɔ7	
㑉	ɕi̯ɔ7	
㑘	kɑɪ̯5	
㑙	ti̯e̞7	
㑛	sɔ7	
㑲	l̃ɑ̟n2	
㑳	l̃ɑ7	
㑵	t͡ɕi̯e̞7	
㑻	mᵇɑ7	
㒊	sɐ̝7	生三
㒌	t͡ɕʰyn2	
㒓	tʰɑ7	
㒔	sɔ7	
㒝	mᵇi̯e̞7	
㒝	wɑ7	
㒨	ɕi̯ɐ̝n1	
㒴	kɔ7	
㓀	pɔ7	
㓖	pi̯e̞7	
㓢	l̃ɔ7	
㓣	t͡ɕʰi̯ɑ7	
㓤	t͡ɕʰi̯ɑ7	
㓤	t͡ɕi̯e̞7	
㓹	t͡sʰwe̞ɪ̯5	
㓺	t͡ɕi̯ɐ̝n1	
㓼	t͡sʰe̞7	
㔄	sɔ7	
㔍	t͡sʰɑ7	
㔍	t͡sʰwɑ7	
㔎	ɕi̯e̞7	
㔎	l̃i̯e̞7	
㔏	l̃i̯e̞7	
㔞	kʰwɑɪ̯1	
㔠	ɕi̯ɑ7	
㔡	pi̯e̞7	
㔢	t͡ɕy̑e̞7	
㔩	ɔ7	
㔴	je̞7	
㔹	l̃ɐ̝7	
㕇	l̃ɑ7	
㕎	kʰɔ7	
㕡	xɔ7	
㕯	l̃ɑ7	
㕯	zwɐ̝7	
㕯	l̃ɔ7	
㕰	xɔ7	
㖅	ɕi̯ɔ7	
㖏	l̃i̯e̞7	
㖪	xwɐ̝7	
㗁	ŋɔ7	
㗉	l̃i̯ɔ7	
㗊	t͡sɐ̝7	莊三
㗘	pɔ7	
㗙	l̃ɑ7	
㗚	l̃i̯e̞7	
㗤	t͡ɕi̯ɔ7	
㗥	kʰɔ7	
㗧	t͡se̞7	
㗩	ɕi̯e̞7	
㗫	t͡ɕʰi̯e̞7	
㗱	t͡ɕi̯e̞7	
㗲	xwɐ̝7	
㗳	tɑ7	
㗵	ɕi̯ɔ7	
㗼	l̃i̯e̞7	
㘀	t͡sɔ7	
㘁	je̞7	
㘈	l̃i̯e̞7	
㘉	t͡se̞7	
㘌	t͡ɕi̯e̞7	
㘍	t͡ɕi̯e̞7	
㘙	l̃i̯e̞7	
㘝	l̃ɑ7	
㘝	l̃i̯e̞7	
㘠	pi̯e̞7	
㘨	l̃i̯e̞7	
㘲	t͡ɕi̯ɔ7	
㙁	mᵇɔ7	
㙅	pɑʊ̯3	
㙇	t͡sʰɔ7	
㙏	fɔ7	
㙓	kʰwe̞ɪ̯2	
㙷	t͡sɐ̝7	
㙷	t͡se̞7	
㚒	se̞7	
㚔	l̃i̯e̞7	
㚖	t͡sʰe̞7	
㚜	jɔ7	
㚜	xwɐ̝7	
㚤	je̞7	
㚫	sɑ7	
㛍	t͡ɕʰi̯e̞7	
㛘	pʰɔ7	
㛥	tʰɑ7	
㛹	pʰi̯ɐ̝n2	
㛼	t͡sʰɑ7	
㜅	ɕi̯ɔ7	
㜓	tɑ7	
㜗	t͡sʰɑ7	
㜰	sɔ7	
㜰	jɔ7	
㜸	l̃i̯e̞7	
㜽	t͡szᵚ3	
㝓	kʰɔ7	
㝣	je̞7	
㝪	ti̯e̞7	
㞏	t͡se̞7	
㞕	ɕi̯e̞7	
㞚	t͡sɑ7	
㞚	t͡sʰɐ̝7	初三
㞞	sɔŋ2	
㞽	ɕy̑e̞7	
㟐	mᵇɑŋ5	
㟳	l̃i̯e̞7	
㠋	ŋɔ7	
㠍	t͡ɕi̯e̞7	
㠛	jɔ7	
㠴	ze̞7	
㠷	kɔ7	
㡇	t͡sɐ̝7	
㡊	t͡ɕʰi̯ɑ7	
㡋	je̞7	
㡍	mᵇɔ7	
㡔	mᵇɔ7	
㡜	ɕy̑e̞7	
㡯	t͡sʰɐ̝7	
㡿	t͡sʰe̞7	
㢒	t͡sʰɑ2	
㢓	t͡sɑŋ5	
㢵	ɕi̯e̞7	
㢸	pi̯e̞7	
㢼	pi̯e̞7	
㣂	ŋɐ̝7	
㣎	mᵇɔ7	
㣙	ti̯e̞7	
㣟	ɕi̯e̞7	
㣮	l̃ɑ̟n2	
㣱	t͡sɐ̝7	
㣿	t͡sɔ7	
㤄	pɔ7	
㤄	fɑ7	
㤕	t͡sɔ7	
㤞	tɔ7	
㤩	kʰɔ7	
㤲	t͡ɕʰi̯e̞7	
㤴	t͡sʰɐ̝7	
㤸	ɕi̯e̞7	
㥁	tɐ̝7	
㥂	tʰɐ̝7	
㥃	mᵇə̞n1	～黑：昧良心，使手段
㥈	ti̯e̞7	
㥌	t͡ɕi̯ɔ7	
㥒	t͡sʰɑɪ̯3	
㥛	t͡ɕi̯e̞7	
㥡	t͡sʰzᵚ5	
㥦	t͡ɕʰi̯e̞7	
㥶	sɐ̝7	
㥽	t͡sʰɐ̝7	
㥾	l̃i̯e̞7	
㦅	ti̯e̞7	
㦇	l̃ɔ7	
㦌	xɔ7	
㦎	xwɐ̝7	
㦜	xɔ7	
㦝	mᵇɔ7	
㦦	ɕi̯e̞7	
㦯	xwɐ̝7	
㦱	ŋɔ3	
㦴	kɐ̝7	
㦺	zɔ7	
㦼	swɑŋ5	
㧀	t͡ɕi̯e̞7	
㧊	pʰɔ7	
㧍	fɑŋ1	不給某人面子，使某人下不來台
㧍	fɑŋ1	不給人面子，使某人下不了台
㧒	jɔ7	
㧖	ŋɐ̝7	
㧚	wɑ3	動詞，表示舀
㧦	ɕy̑ɐ̝n5	粉刷，塗牆，給牆（等）上色
㧧	su̜1	
㧯	l̃ɑʊ̯3	動詞
㧹	tʰɐ̝7	
㧺	tʰɑ7	
㧻	t͡swɑ7	動詞，表示踢
㧾	kʰɔ7	
㨁	t͡se̞7	
㨂	tɔŋ1	表示慫恿，煽動之意
㨂	tɔŋ2	又音，表示慫恿，煽動
㨎	zwɐ̝7	
㨝	ɕi̯e̞7	
㨡	xɔ7	
㨣	ɔŋ1	覆蓋
㨤	kʰwɑɪ̯1	
㨥	l̃ɑ7	
㨦	sɔŋ3	
㨹	ɕy̑e̞7	
㩆	t͡ɕi̯ə̞ʊ̯5	1.表示扭傷。2.表示（頸部）呈歪曲狀
㩉	l̃ɑ7	
㩋	ɕi̯ɔ7	
㩐	tə̞n5	動詞，同（扽）
㩚	mᵇɔŋ3	動詞，如：把眼睛～著
㩛	tʰwɑ̟n3	～隴：使～聚集
㩢	mᵇi̯e̞7	
㩧	pʰɔ7	
㩧	pɔ7	
㩩	t͡ɕʰyn3	
㩭	kɑʊ̯5	白讀，動詞。表示嘗試。或作（𫽊）。正字作（校）
㩱	t͡ɕi̯ɔ7	
㩳	sɔŋ3	
㩵	t͡sɑ7	
㩵	ŋɔ7	
㩹	ti̯e̞7	
㩼	t͡szᵚ1	
㩿	kʰɔ7	
㪉	kɔ7	
㪍	pɔ7	
㪐	l̃ɔ7	
㪑	je̞7	
㪖	l̃ɔ7	
㪗	tʰə̞ʊ̯3	抻～，1.作動詞，表示把鋪蓋（衣服等）鋪平整，理好。引審出把衣著形象理順，使看起來得體。2.作形容詞，形容衣著或人的（形象）等大方得體有風度。又作（敨）
㪤	pi̯e̞7	
㪧	ɕi̯e̞7	
㪩	ɕi̯ɔ7	
㪪	sɑ7	
㪬	t͡sʰɔ7	
㫏	jɑʊ̯3	
㫐	jɑʊ̯3	
㫛	kʰwɑŋ5	
㫽	l̃ɔ7	
㬎	ŋɔ7	
㬤	t͡ɕʰi̯e̞7	
㬽	ŋɔ7	
㭈	t͡ɕy̑e̞7	
㭊	ɕi̯e̞7	
㭘	xɔ7	
㭩	l̃ɐ̝7	
㭭	pi̯e̞7	
㭯	t͡sɐ̝7	
㭼	tʰɑ7	
㮂	t͡ɕi̯ɔ7	
㮇	tʰi̯ɐ̝n5	
㮖	t͡ɕi̯ɑ7	
㮙	ŋɔ7	
㮚	l̃i̯e̞7	
㮝	xɐ̝7	
㮟	kʰɑ1	
㮦	sɔ7	
㮨	t͡ɕi̯e̞7	
㮩	ɕi̯e̞7	
㮰	pʰi2	
㮰	pi̯e̞7	
㮶	sɔ7	
㮿	pi̯e̞7	
㯃	t͡ɕʰi̯e̞7	
㯄	t͡szᵚ1	
㯋	jyn3	
㯐	tʰɔ3	
㯓	tʰɑ7	
㯔	t͡sʰwe̞ɪ̯5	
㯙	t͡sɐ̝7	
㯚	tɑ7	
㯿	l̃i̯e̞7	
㰰	ɕi̯ɑ7	
㰱	sɑ7	
㰲	ɕi̯ɔ7	
㰲	jɔ7	
㰵	t͡ɕi̯ɔ7	動詞，表示吮吸
㰼	sɑ7	
㰼	sɐ̝7	
㱄	xɐ̝7	
㱇	sɐ̝7	
㱖	t͡sʰwe̞ɪ̯5	
㱚	wɑ7	
㱜	t͡sɑ7	
㱞	l̃i̯e̞7	
㱤	ɕi̯e̞7	
㱳	mᵇɐ̝7	
㱸	pi̯e̞7	
㱿	kʰɔ7	
㲄	kʰɔ7	
㲉	t͡ɕʰi̯ɔ7	
㲉	kʰɔ7	
㲋	t͡sʰɔ7	
㲍	t͡szᵚ1	
㲔	ɕi̯ɐ̝n1	
㲕	l̃ɐ̝7	
㲙	sə̞ʊ̯1	
㲞	sɔ7	
㲫	pʰɔ7	
㲱	l̃i̯e̞7	
㲲	ti̯e̞7	
㲳	t͡se̞7	
㲺	t͡ɕi̯e̞7	
㳁	t͡sɐ̝7	
㳐	t͡sɑ7	
㳧	t͡sʰɐ̝7	
㳨	t͡sɑ7	
㳻	sɐ̝7	
㳻	t͡sɐ̝7	
㴒	je̞7	
㴧	ɕi̯e̞7	
㴹	mᵇi5	扎入水中埋頭猛進.打～子:潜泳 ～起腦殼整:潜水專攻某事.正字或作(沕)
㴽	ɕi̯e̞7	
㵋	mᵇi̯e̞7	
㵐	t͡ɕʰy̑e̞7	
㵣	kʰɔ7	
㵧	kɔ7	
㵫	l̃i̯e̞7	
㶁	kwɐ̝7	
㶅	ɕi̯ɔ7	
㶖	sɔ7	
㶰	xɑ̟n1	用文炖食物火，加热
㶿	pɔ7	
㷅	t͡sʰɑ7	
㷋	tʰɑ̟n2	
㷠	l̃in2	
㷤	xɔ7	
㷮	t͡sɑʊ̯1	
㷵	mᵇɐ̝7	
㸅	t͡ɕi̯e̞7	
㸉	ɕi̯e̞7	
㸎	l̃i̯e̞7	
㸑	t͡sʰwɑ̟n5	
㸣	l̃i̯e̞7	
㸲	t͡sɔ7	
㸹	l̃ɐ̝7	
㹂	ɕi̯e̞7	
㹄	t͡ɕi̯e̞7	
㹊	jɔ7	
㹍	ti̯e̞7	
㹒	pʰɔ7	
㹘	zu̜5	
㹜	l̃in2	
㹤	t͡ɕʰi̯e̞7	
㹮	mᵇɐ̝7	
㹱	t͡ɕʰi̯ɔ7	
㹺	tʰɑ7	
㹼	t͡ɕi̯ɔ7	
㺟	t͡sɔ7	
㺪	pʰɔ7	
㺴	pɑ7	
㻝	l̃ɑ7	
㻫	pi̯e̞7	
㻶	pi̯e̞7	
㻷	t͡ɕi̯e̞7	
㻿	sɔ7	
㼚	kɑŋ1	
㼟	pɐ̝7	
㼪	t͡ɕi̯ɑ7	
㼲	l̃i̯e̞7	
㼾	l̃ɔ7	
㽁	l̃i̯e̞7	
㽇	xɔ7	
㽚	t͡sʰe̞7	
㽣	jɔ7	
㽤	t͡ɕi̯ɔ7	
㽺	xɔ7	
㽺	t͡ɕi̯e̞7	
㽻	t͡szᵚ1	
㽾	ŋɔ7	
㾀	t͡ɕʰi̯e̞7	
㾁	xɔ7	
㾄	tɔ7	
㾇	mᵇɔ7	
㾊	sɐ̝7	
㾐	l̃i5	
㾑	tɑ7	疙～(瘩)，表示身上隆起的小包
㾑	xɔ7	
㾘	kə̞n3	
㾜	t͡ɕʰi̯e̞7	
㾨	t͡ɕʰi3	
㾶	kɔ7	
㾹	t͡sʰɑɪ̯2	瘦，少肉，皮包骨
㿑	jɔ7	
㿓	t͡ɕi̯ɑ7	
㿣	xɔ7	
㿥	xɔ7	
㿭	t͡sʰɐ̝7	
㿯	tɑ7	
㿱	ɕy̑e̞7	
㿴	tɑ7	
䀄	mᵇɔŋ2	
䀌	ɕi̯e̞7	
䀗	t͡ɕy̑e̞7	
䀛	mᵇɔ7	
䀡	ti̯ɐ̝n5	
䀣	mᵇɑ7	
䀨	xwɑ7	
䀩	l̃ɔ7	
䀫	t͡ɕi̯ɑ7	
䀰	kɔ7	
䀴	jɑ7	
䀶	l̃i̯ɑŋ5	
䀷	t͡ɕi̯e̞7	
䀹	t͡ɕi̯e̞7	
䀿	t͡sɐ̝7	
䁁	l̃i̯ɑŋ5	
䁆	je̞7	
䁇	mᵇi̯e̞7	
䁊	ɔ7	
䁋	ti̯e̞7	
䁌	jɔ7	
䁍	t͡ɕʰi̯ɑ7	
䁒	t͡ɕi̯e̞7	
䁘	jɑʊ̯3	
䁝	jyn2	
䁨	xɔ7	
䁷	t͡ɕi̯ɔ7	
䁷	ɔ7	
䁺	se̞7	
䁻	sɔ7	
䁽	l̃i̯e̞7	
䁿	mᵇɐ̝7	
䂄	ɕi̯ɔ7	
䂇	l̃ɔ7	
䂎	t͡sʰwɑ̟n3	
䂐	t͡swɐ̝7	
䂐	t͡sɔ7	
䂒	t͡ɕʰi̯ɑ7	
䂮	l̃i̯ɔ7	
䂸	kwɐ̝7	
䂹	sɐ̝7	生三
䂿	tʰɑ7	
䃊	t͡ɕy3	
䃒	xɐ̝7	
䃕	l̃ɔ7	
䃗	t͡sʰɔ7	
䃚	t͡ɕʰi̯ɔ7	
䃞	sɔ7	
䃤	ɕi̯ɔ7	
䃳	l̃i̯e̞7	
䄆	xɔ7	
䄩	je̞7	
䄶	pɔ7	
䄷	se̞7	
䅀	l̃i̯e̞7	
䅂	xɔ7	
䅑	zwe̞ɪ̯2	
䅥	kʰɔ7	
䅥	t͡ɕi̯e̞7	
䅵	t͡sɔ7	
䅻	l̃i2	
䆊	t͡sʰwe̞ɪ̯5	
䆕	ɥe̞7	
䆘	jɑ7	
䆝	ɕy̑e̞7	
䆞	jɑʊ̯3	
䆟	kʰɔ7	
䆢	ɥe̞7	
䆷	ɕy̑e̞7	
䇎	t͡ɕʰi̯ɔ7	
䇐	l̃i̯e̞7	
䇷	pi̯e̞7	
䇼	je̞7	
䈉	sɑ7	
䈉	t͡ɕi̯e̞7	
䈋	tʰɑ7	
䈎	je̞7	
䈏	pɔ7	
䈓	kɔ7	
䈙	t͡sə̞ʊ̯5	
䈪	ɕi̯e̞7	
䈱	tʰɑʊ̯1	
䈳	tʰɑ7	
䈸	xɔ7	
䈿	mᵇi̯e̞7	
䉈	sɑ7	
䉛	jɔ7	
䉢	sɐ̝7	
䉭	l̃i̯e̞7	
䊝	ɕi̯e̞7	
䊞	t͡sɐ̝7	
䊟	mᵇə̞n2	
䊦	je̞7	
䊬	t͡sʰwɑ3	
䊮	ti̯e̞7	
䊰	t͡sʰu̜2	
䋈	l̃ɑ3	
䋉	ɕy̑e̞7	
䋏	t͡sɔ7	
䋐	ɥe̞7	
䋖	jɔ7	
䋢	pi̯e̞7	
