#漢字	音標	解釋
□	xa1	傻
□	po1	～丝：蜘蛛
□	ko1	指示代词：那个
□	ne1	～伢崽：小男孩
□	ka3	动词词尾，相当于“了”,表完成
□	ko3	指示代词：那个
□	ŋen3	～脚,硌脚
□	man5	～～,父亲
□	kʰau6	骨头
䀇	ku3	
一	i1	
一	i5	
丁	tin1	
七	tɕʰi5	
万	uan6	
丈	tsaŋ6	
三	san1	
上	saŋ6	
下	xa6	
丐	kai5	
丑	tsʰəu3	
專	tɕyan1	
丕	pʰei1	
世	sɿ5	
丘	tɕʰiəu1	
丙	pin3	
業	ȵie5	
叢	tsoŋ1	
東	toŋ1	
絲	sɿ1	
丞	tsen1	
丟	tiəu1	
兩	niaŋ3	
喪	saŋ1	
个	ko5	
中	tsoŋ1	
丰	xoŋ1	
串	tsʰuan5	
臨	nin1	
丸	uan1	
丹	tan1	
爲	uei1	
主	tsu3	
舉	tɕy3	
久	tɕiəu3	
義	ȵi6	
之	tsɿ1	
乎	xu1	
樂	lo5	
樂	io5	音～
喬	tɕiau1	
乖	kuai1	
乘	sen1	
乙	i5	
九	tɕiəu3	
也	ia5	
也	ie5	
習	ɕi3	
鄉	ɕiaŋ1	
書	ɕy1	
買	mai3	
亂	nuan6	
乾	kan1	
乾	tɕian1	～坤
了	niau3	
爭	tsen1	
事	sɿ6	
二	ɚ6	
于	y1	
虧	kʰuei1	
雲	yn1	
互	xu5	
五	u3	
井	tɕin3	
亞	ia5	
些	ɕi1	
亡	uaŋ1	
交	tɕiau1	
產	tsʰan3	
畝	moŋ6	
享	ɕiaŋ3	
京	tɕin1	
亭	tʰin1	
亮	niaŋ6	
親	tɕʰin1	
親	tɕʰin5	～家
亳	xau1	
人	zen1	
億	i5	
仁	zen1	
仇	tsʰəu1	
今	tɕin1	
介	tɕiai5	
从	tsʰoŋ1	
倉	tsʰaŋ1	
仗	tsaŋ5	
付	fu6	
仙	ɕian1	
代	tai5	
令	nin6	
以	i3	
儀	i5	
們	men1	
件	tɕian6	
價	tɕia5	
任	zen1	姓
任	zen6	责～
份	fen6	
仿	faŋ3	
伍	u3	
伏	fu1	
伐	fa5	
休	ɕiəu1	
衆	tsoŋ5	
優	iəu1	
會	kʰuai5	～计
會	fei6	
傘	san3	
偉	uei3	
傳	tsuan1	
伢	ŋa1	
傷	saŋ1	
倫	nen1	
倫	nuen1	
估	ku3	
伴	pan5	
伶	nin1	
佃	tian6	
位	uei6	
體	tʰi3	
何	o1-	o31 tsɿ55：如何、怎样
何	xo1	
余	y1	
佛	fu1	
作	tso1	
你	ȵi3	
佩	pei6	
使	sɿ3	
例	ni6	
侍	sɿ6	
供	koŋ1	
依	i1	
僑	tɕiau1	
侯	xəu1	
侵	tɕʰin5	
便	pian1	～宜
便	pian6	方～
俄	ŋo1	
俘	fu1	
保	pau3	
信	ɕin5	
儉	tɕian3	
修	ɕiəu1	
俯	fu3	
倒	tau3	
倒	tau5	～水
倘	tʰaŋ3	
候	xəu6	
倚	i3	
借	tɕia5	
倡	tsʰaŋ5	
倣	faŋ3	
倪	ȵi1	
債	tsai5	
值	tsɿ1	
假	tɕia3	放～
假	tɕia5	真～
偏	pʰian1	
做	tsəu5	
停	tin1	
健	tɕian5	
偶	ŋəu3	
偷	tʰəu1	
傅	fu6	
儲	tsʰu1	
催	tsʰuei1	
傲	ŋau5	
傻	sa5	
像	ɕiaŋ5	
僵	tɕiaŋ1	
兒	ɚ1	
允	yn3	
元	yan1	
兄	ɕioŋ1	
充	tsʰoŋ1	
兆	tsau5	
先	ɕian1	
光	kuaŋ1	
克	kʰe5	
兔	tʰəu5	
黨	taŋ3	
兜	təu1	
入	zu1	
全	tɕʰyan1	
八	pa5	
公	koŋ1	
六	niəu5	
蘭	nan1	
共	koŋ5	
關	kuan1	
興	ɕin5	高～
興	ɕin6	～旺
兵	pin1	
其	tɕi1	
養	iaŋ3	
獸	səu6	
內	nuei6	
冇	mau1	否定词,相当于“无、不”
岡	kaŋ1	
冉	zan3	
冊	tsʰe5	
冒	mau5	
寫	ɕia3	
軍	tɕyn1	
農	noŋ1	
冠	kuan1	
冠	kuan5	～军
冤	yan1	
冬	toŋ3	
冰	pin1	
