#漢字	音標	解釋
□	y1	-出来，凸出来
□	tʰy1	伸进去孔洞
□	tsa1	量词，一大拇指加食指；动词，张开食指大拇指
□	kʰa1	抱着
□	xa1	-开，张开
□	ŋɔ1	
□	ke1	拎着
□	xuɛ1	摇晃
□	niɔ1	吸引，招
□	uei1	蹲着
□	ləu1	-眼，用手指挖洞
□	tən1	冰-，冰块
□	tsã1	～肉，切肉
□	xã1	冰冷，冰-
□	lɔ̃1	奶油油腻
□	iɔ̃1	表示应答
□	niɪ̃1	用手拾起
□	kʰiɪ̃1	刚才，开先合音
□	iɛ2	肯定，约定俗成
□	niɔ2	风骚
□	kʰuã2	卷曲，-毛
□	lõ2	驱赶，遗留得到
□	mɛ3	用石头扔
□	miɪ3	弯曲折断
□	tsʰən3	讨人厌
□	lɔ̃3	-个，老人家
□	tõ3	阻止，阻断
□	kʰiɪ̃3	盖起来
□	sa5	细小微粒撒到平面上，面包屑-到地高了
□	mɔ5	～掉，漏掉
□	tsʰo5	表示段
□	ia5	撒娇
□	ua5	伸手够
□	tiəu5	传递，遗留
□	xuən5	闻，嗅到
□	põ5	不然的意思
□	xiɪ̃5	用油煎
□	tʰəʔ7	表示沸腾
□	ɕyoʔ7	吮吸
□	pʰiəʔ7	女生殖器
㪗	tʰəu3	
㫰	lɔ̃5	晾
㸆	kʰɔ1	～菜
一	iəʔ7	
丁	tin1	
七	tɕʰiəʔ7	
万	uã5	
丈	tsɔ̃5	
三	sã1	
上	sɔ̃5	
下	xa5	
下	ɕia5	文
不	pəʔ7	
与	y3	
丐	kɛ5	
丑	tsʰəu3	
專	tyɪ̃1	
且	tɕʰiɪ3	
丕	pʰi1	
世	sɿ5	
丘	tɕʰiəu1	
丙	pin3	
業	niɪʔ7	白
叢	tsʰən2	
東	tən1	
絲	sɿ1	
丞	tsʰən2	
丟	tiəu1	
兩	niɔ̃3	
嚴	ŋã2	白，把门关-
嚴	niɪ̃2	
喪	sɔ̃1	
喪	sɔ̃5	丧失
个	ko5	
丫	ŋa1	
中	tyən1	～文
中	tyən5	～计
串	tʰyɪ̃5	
臨	nin2	
丸	uã2	
丹	tã1	
爲	uei2	～难
爲	uei5	
主	ty3	
丽	ni5	
舉	ty3	
乃	nɛ3	
久	tɕiəu3	
義	i5	
之	tsɿ1	
烏	u1	
乍	tsa5	
乎	xu1	
乏	faʔ7	
樂	loʔ7	快乐
樂	ioʔ7	～乐
喬	tɕʰiɔ2	
乖	kuɛ1	
乘	tsʰən2	
乙	iəʔ7	
九	tɕiəu3	
乞	kʰoʔ7	白，表示被动
乞	tɕʰiəʔ7	
也	e3	白
也	iɪ3	
習	ɕiəʔ7	
鄉	ɕiɔ̃1	
書	ɕy1	
買	mɛ3	
亂	lõ5	
乳	y3	
了	niɔ3	
亇	kəʔ7	表示关联
爭	tsən1	
事	sɿ5	
二	o5	
于	y2	
虧	kʰuei1	
雲	yən2	
互	xu5	
五	u3	
井	tɕin3	
亞	ia5	
些	e1	白
些	ɕiɪ1	
交	kɔ1	
交	tɕiɔ1	
亥	xɛ5	
亦	iəʔ7	
產	tsʰã3	
亨	xən1	
亨	xən2	
畝	mo3	
享	ɕiɔ̃3	
京	tɕin1	
亭	tʰin2	
亮	niɔ̃5	
親	tɕʰin1	
褻	ɕiɪʔ7	
人	lən2	白2
人	nən2	白1
人	ən2	文
億	i5	
仁	ən2	
僅	tɕin3	
仆	pʰəʔ7	
仇	tɕʰiəu2	姓氏
今	kən1	
介	kɛ5	白
介	tɕiɛ5	文
仍	ən2	
从	tsʰən2	
仑	lən2	
倉	tsʰɔ̃1	
他	tʰa1	
仗	tsɔ̃5	
付	fu5	
仙	ɕiɪ̃1	
代	tɛ5	
令	nin5	
以	i3	
儀	i2	
仰	niɔ̃3	
仲	tyən5	
件	tɕiɪ̃5	
