#漢字	音標	解釋
□	mi1	塘～，蜻蜓
□	fi1	理髮，～頭
□	ti1	～ta33：嗩呐
□	ni1	細～～：細小
□	hi1	ji55～：危險
□	ji1	～hi55：危險
□	ku1	小氣
□	tʰy1	口水，吐口水
□	ky1	戇～～：傻乎乎
□	pʰa1	～紙，證件
□	ma1	動，往上攀爬
□	na1	疤痕
□	na1	動，粘
□	na1	～naŋ33：牽連
□	ŋa1	哭～～：哇哇地哭
□	ha1	～人：欺負人
□	ja1	拿，食～米：吃白飯，廢物
□	kua1	～老襯：死亡
□	pʰɛ1	撲克
□	nɛ1	粘（郵票）
□	lɛ1	tʃʰɛ55～：多嘴多舌
□	tʃʰɛ1	～lɛ55：多嘴多舌
□	kʰɛ1	糞便，屙～：屙屎
□	ŋɛ1	哭～～，哇哇哭
□	hɛ1	笑～～，得意地笑
□	kuɛ1	喊～～，亂嚷嚷
□	tœ1	噘嘴
□	pʰɔ1	量詞（一～樹）
□	lɔ1	屁股
□	lɔ1	百～，小孩滿百日
□	ɬai1	浪費
□	mɐi1	削
□	ŋɐi1	求人
□	lau1	～佬，泛指北方人，有時指不會說粵語的人
□	kau1	厲害，～□
□	mɐu1	不結實
□	lɐu1	求人
□	nɛu1	粘
□	mou1	發黴
□	lan1	爬行
□	kuan1	厲害，□～
□	lyn1	鑽過
□	lɐŋ1	毛線
□	moŋ1	鬆軟
□	hi2	笑～～：傻笑
□	pa2	落水～～：大雨嘩嘩下
□	pʰa2	車開～～：車開快
□	fa2	風吹～～：風呼呼地吹
□	ɬa2	落雨～～：下小雨
□	tʃa2	牙～～：無事找事，礙事，～～滾：亂哄哄
□	kʰa2	吃
□	kʰa2	阻塞
□	ja2	喊～～：嗷嗷叫
□	kua2	喊～～：呱呱亂叫
□	mɛ2	～ɬɛ21：不清醒
□	mɛ2	乳房，乳汁
□	fɛ2	動,（用槍）射
□	tɛ2	水流～～：細水流動
□	kʰɛ2	笑～～，笑嘻嘻
□	ŋou2	搖晃
□	lɐn2	糟了，麻煩了,～□
□	tʃɐn2	糟了，麻煩了,□～
□	hɐn2	手癢
□	tɛn2	撣開
□	lyn2	縫製
□	pi3	pɐŋ22～：蜻蜓
□	ʃy3	偷
□	la3	聚攏
□	wa3	～公：小孩
□	mɛ3	歪斜
□	fɛ3	名，錢、鈔票
□	tʃʰɛ3	動，走
□	kɛ3	這個人
□	ɬɐm3	撒
□	kʰɐm3	蓋，動詞
□	kuɐŋ3	keŋ35～：貓膩
□	keŋ3	嘚瑟
□	lɔŋ3	涮洗，漱口
□	ta5	ti55～：鎖呐
□	ka5	～tʃat2：蟑螂
□	kuɛ5	撥，扒拉
□	ȵai5	嚼
□	nau5	罵人，～人
□	ʃau5	～牙（匏牙）
□	tam5	吃了一～
□	jɐn5	～住買，有節制地買
□	kuɐn5	哄騙
□	hɔn5	小氣,□～
□	naŋ5	na55～：牽連
□	kuɐŋ5	把東西絆倒
□	koŋ5	從底部奮力向上，～山，爬山
□	oŋ5	埋下去
□	ka6	丟～：丟臉
□	lɐp7	套上
□	kʰɐp7	蓋，動詞
□	hɐp7	欺負
□	lɐt7	嗑瓜子，～瓜子
□	mit7	最後一名
□	put7	汽車，童語
□	tyt7	滴滴聲
□	lyt7	滑下來
□	mɐk7	～頭，模樣
□	ɐk7	打嗝
□	ɐk7	～手，手鐲
□	kip8	澀
□	nat8	燙手
□	fɛt8	紅～～，紅豔豔
□	nɛt8	黏黏的
□	ɛt8	趕走
□	nɔt8	肥～～
□	jœk8	腐爛
□	mɔk8	凹下去
□	ʃap9	熬煮
□	tɐp9	敲
□	pɔp9	打，扇臉
□	tʃat9	kat2～，蟑螂
□	tɛt9	動，躲藏
□	kit9	粥稠
□	lak9	裂開
一	jɐt7	
丁	teŋ1	
七	tʃʰɐt7	
丈	tʃœŋ6	
三	ɬam1	
上	ʃœŋ4	～山
上	ʃœŋ6	天～
下	ha6	
不	pɐt7	
丐	kʰɔi5	
丑	tʃʰɐu3	
且	tʃʰɛ3	
世	ʃɐi5	
丘	jɐu1	
丙	peŋ3	
丞	ʃeŋ2	
丟	tiu1	
並	peŋ6	
丫	a1	
中	tʃoŋ1	當～
中	tʃoŋ5	打～
串	tʃʰyn5	
丸	hyn2	
丹	tan1	
主	tʃy3	
乃	nai4	
久	kɐu3	
之	tʃi1	
乍	tʃa5	
乎	fu1	
乏	fat9	
乖	kuai1	
乘	ʃeŋ2	～法
乘	ʃeŋ6	萬～（之國）
乙	jit8	
乜	mɐt7	
九	kɐu3	
乞	hɐt7	
也	ja4	
乳	ȵui4	
乾	kʰyn2	
亂	lyn2	
了	liu4	
事	sɿ2	
二	ji2	
于	jy1	
云	wɐn2	
互	hu6	
五	ŋ4	
井	tʃɛŋ3	
些	ɬɛ1	
些	tʃʰy4	
亞	a5	
亡	mɔŋ2	
交	kau1	
亥	hɔi4	
亦	jek9	
亨	hɐŋ1	
享	hœŋ3	
京	keŋ1	
亭	tʰeŋ2	
亮	lœŋ6	
人	ȵɐn2	
人	tɐn6	
什	ʃɐp9	
仁	ȵɐn2	
仇	tʃʰɐu2	姓～
今	kɐm1	
介	kai5	
仍	ŋeŋ2	
仕	ɬi2	
他	tʰa1	
仗	tʃœŋ5	打～
仗	tʃœŋ6	依～，儀～
付	fu6	
仙	ɬin1	
代	tɔi6	
令	lin2	
令	leŋ6	
以	hi4	
仰	jœŋ4	
仲	tʃoŋ6	伯～，還/再
件	kin6	
任	jɐm2	姓～，責～
份	fɐn6	
仿	fɔŋ3	
企	kʰi4	
伊	ji1	
伍	ŋ4	
伏	fok9	
伐	fat9	
休	jɐu1	
伙	fɔ3	
伯	pak8	
估	ku1	
伴	pʰun4	
伶	leŋ2	
伸	ʃɐn1	
伺	tʃʰi2	
似	tʃʰi4	
但	tan6	
佈	pu5	宣～
位	wɐi2	
低	tɐi1	
住	tʃy6	
佐	tʃɔ3	
佑	jɐu2	
佔	tʃim5	
何	hɔ2	
余	hy2	
佛	fɐt9	
作	mɔ2	
作	tʃɔk8	～坊，工～
佞	leŋ6	
你	ni4	
佢	kʰy4	
佩	pʰui5	
佬	lou3	
佯	jœŋ2	
佳	kai1	
使	ʃɐi3	好～，大～
侃	hɔn3	調～，～～而談
侄	tʃɐt9	
來	lɔi2	
侈	tʃʰi2	
例	lɐi6	
侍	tʃʰi2	
侖	lɐn2	
侗	toŋ6	
供	koŋ1	～應
供	koŋ5	上～
依	ji1	
侮	mu4	
侯	hɐu2	
侵	tʃʰɐm1	
侶	ly4	
侷	kok9	
便	pʰɛn2	～宜
便	pin6	方～
係	hɐi6	是
促	tʃʰok7	
俄	ŋɔ2	
俅	kʰɐu2	
俊	tʃɐn5	
俏	tʃʰiu5	
俐	li6	
俑	joŋ2	
俗	tʃok9	
俘	fu1	
保	pou3	
俞	hy2	
俠	hap9	
信	ɬɐn5	
修	ɬɐu1	
俯	fu3	
俱	kʰy1	
俸	foŋ3	
倆	lœŋ4	
倉	tʃʰɔŋ1	
個	kɔ5	
倍	pʰui4	
倒	tou3	～塌，～掛
倔	wɐt9	
倘	tʰɔŋ3	
候	hɐu6	
倚	ji3	
借	tʃɛ5	
倡	tʃʰœŋ1	
倦	kyn2	
倪	ŋɐi2	
倫	lɐn2	
倭	wɔ1	
值	tʃek9	
假	ka3	真～
假	ka5	放～
偈	kɐi2	
偉	wɐi4	
偎	wɐi5	
偏	pʰin1	
偕	hai2	
做	tʃu5	～工
停	tʰeŋ2	
健	kin6	
側	tʃʰɐk7	
偵	tʃeŋ1	
偶	ŋɐu4	配～，～然
偷	tʰɐu1	
僞	ŋɐi2	
傀	wɐi3	
傅	fu6	
傍	pɔŋ6	
傑	kit9	
傘	ɬan5	
備	pi6	
傢	ka1	
催	tʃʰui1	
傭	joŋ3	
傲	ŋou2	
傳	tʃyn2	～記
傳	tʃʰyn2	流～
債	tʃai5	
傷	ʃœŋ1	
傻	ʃɔ6	
傾	kʰeŋ1	
僅	kɐn3	
像	tʃœŋ6	
僑	kʰiu2	
僕	pok9	
僚	liu2	
僥	hiu1	
僧	tʃɐŋ1	
僵	kœŋ1	
價	ka5	
僻	pʰek7	
儀	ji6	
儂	noŋ2	
億	jek7	
儉	kin2	
儒	jy2	
儘	tʃɐn6	
償	ʃœŋ2	
儡	lui1	
優	jɐu1	
儲	tʃʰy4	
允	wɐn4	
元	hyn2	
兄	heŋ1	
充	tʃʰoŋ1	
兆	tʃiu2	
先	ɬin1	
光	kɔŋ1	
克	kʰɐk7	
兌	tui5	
免	min4	
兒	ȵi1	妹～
兒	ji2	幼～
兔	tʰu5	
兜	tɐu1	
入	jɐp9	
內	nɔi2	
全	tʃʰyn2	
兩	lœŋ4	～個，斤～
八	pɛt8	
公	koŋ1	
六	lok9	
共	koŋ6	
兵	peŋ1	
其	kʰi2	
具	ky6	
典	tim3	
兼	kim1	
冇	mu4	沒有
冊	tʃʰak8	
再	tʃɔi5	
冒	mou2	
冕	min4	
冚	kʰɐm3	
冠	kun1	衣～
冠	kun5	奪～
冤	jyn1	
冥	meŋ2	～幣，～～之中
冧	lɐm5	
冬	toŋ1	
冰	peŋ1	
冶	jɛ4	
冷	laŋ4	
冼	ɬyn3	
准	tʃɐn3	批～
凋	tiu1	
凍	toŋ5	
凝	neŋ2	
几	ki1	
凡	fan2	
凰	wɔŋ2	
凱	ɔi3	
凳	tɐŋ5	
凶	hoŋ1	
凹	mɔp8	
出	tʃʰɐt7	
函	ham2	
刀	tou1	
刁	tiu1	
刃	ȵɐn6	
分	fɐn1	劃～
分	fɐn6	本～
切	tʃʰit8	～開，一～
刊	hɔn3	
刎	mɐn4	
刑	jeŋ2	
划	wak9	～船
列	lit9	
初	tʃʰɔ1	
判	pʰun5	
別	pit9	
刨	pʰau2	足～地
刨	pʰɛu2	～皮，～刀
利	li6	
刪	ʃan1	
刮	kuɛt8	
到	tou5	
制	tʃɐi5	
刷	tʃʰat8	
券	kyn5	
刹	ʃat8	
刺	tʃʰi5	
刻	kʰɐk7	
剁	tœk8	
剃	tʰɐi5	
則	tʃɐk7	
削	ɬœk8	剝～，～皮
前	tʃʰin2	
剔	tʰek7	
剖	pʰɐu5	
剛	kɔŋ1	
剜	wun3	
剝	pɔk8	
剩	ʃeŋ6	
剪	tʃin3	
剮	kua3	
副	fu5	
割	kɔt8	
創	tʃʰɔŋ5	～傷，～造
剿	tʃiu3	
劃	wak9	～撥
劄	tʃat8	
劇	kʰek9	
劈	pʰɛk8	
劉	lɐu2	
劊	kʰui5	
劍	kim5	
劑	tʃɐi1	
力	lek9	
功	koŋ1	
加	ka1	
劣	lit9	
助	tʃɔ6	
努	nu4	
劫	kip8	
勁	keŋ5	幹～
勁	keŋ6	強～
勃	put9	
勇	joŋ4	
勉	min4	
勒	lɐk9	～緊，～索
動	mɔ2	
動	toŋ6	
勘	hɐm1	
務	mu6	
勝	ʃeŋ5	～任，獲～
勞	lou2	勤～，～軍
勞	kui6	
募	mu6	
勢	ʃɐi5	
勤	kʰɐn2	
勳	wɐn1	
勵	lɐi6	
勸	hyn5	
勻	wɐn2	
勾	ŋɐu1	～消，～當
勿	mɐt9	
包	pɛu1	
匆	tʃʰoŋ1	
匈	hoŋ1	
匏	pɛu5	
化	wa5	
北	pɐk7	
匙	ʃi2	鑰～，湯～
匠	tʃœŋ5	
匡	kʰuaŋ1	
匣	hap9	
匪	fi3	
匯	hui2	
匹	pʰɐt7	
匾	pɛn3	
匿	nek7	
區	kʰy1	專～
區	ɐu1	
十	ʃɐp9	
千	tʃʰin1	
升	ʃeŋ1	
午	ŋ4	
半	pun5	
卑	pi1	
卒	tʃɐt7	
卓	tʃʰœk8	
協	ʃip8	
南	nam2	
博	pɔk8	
卜	pɔk8	占～
占	tʃim1	
卡	kʰa1	
卦	kua5	
卯	mau4	
印	jɐn5	
危	ŋɐi2	
即	tʃek7	
卵	lyn4	
卷	kyn3	
卸	ɬɛ5	
卻	kʰœk8	
卿	heŋ1	
厘	li2	
厚	hɐu4	
原	jyn2	
厲	li6	
去	hy5	離～，除～
參	tʃʰam1	～加，～差
參	ʃɐm1	人～
又	jɐu2	
叉	tʃʰa1	
及	kɐp9	
友	jɐu4	
反	fan3	
叔	ʃok7	
取	tʃʰy3	
受	ʃɐu6	
叛	pʰun5	
叢	tʃʰoŋ2	
口	hɐu3	
古	ku3	
句	ky5	
另	leŋ6	
叨	tou1	
叩	kʰɐu5	
只	tʃi3	
叫	kiu5	
召	tʃiu1	～集
召	tʃiu2	號～
叮	teŋ1	
可	hɔ3	
台	tʰɔi2	天～山
史	ʃɐi3	
右	jɐu2	
司	sɿ1	
叼	tiu1	
各	kɔk8	
吆	jiu1	
合	hɔp9	配～
吉	kɐt7	
吊	tiu5	
同	tʰoŋ2	
名	meŋ2	
名	tɐn6	
后	hɐu6	
吏	li2	
吐	tʰu5	～痰，嘔～
向	hœŋ5	
君	kuɐn1	
吞	tʰɐn1	
吟	jɐm2	
吠	fɐi6	
否	fɐu3	
吧	pa1	
吩	fɐn1	～咐
含	hɔm2	
吳	ŋ2	
吵	tʃʰou6	
吸	kʰɐp7	
吹	tʃʰui1	
吻	mɐn4	
吼	hoŋ3	
吾	ŋ2	
呂	ly4	
呃	ŋɐk7	
呆	tai1	書～子
呈	tʃʰeŋ2	
告	kou5	
呔	tʰai1	名，領帶
呢	ni2	
周	tʃɐu1	
呱	kua1	
味	mi2	
呻	ʃɐn1	
呼	fu1	
命	meŋ2	
咁	kɔm3	
和	wɔ2	～氣，～泥，～聲
咐	fu5	吩～
咒	tʃɐu5	
咕	ku1	
咖	ka5	
咨	tsɿ1	
咪	mɐi1	擴音器
咬	ŋɛu4	
咸	hɛm2	
咽	jin5	
哀	ɔi1	
品	pʰɐn3	
哄	hoŋ3	
哇	mɛ1	
哈	ha1	～腰，笑～～
哋	ti6	
員	hyn2	
哥	kɔ1	
哪	na3	
哭	hok8	
哲	tʃit8	
哺	pʰu3	
哼	hɐŋ1	
哽	kɐŋ3	
唁	ȵin2	
唆	ʃɔ1	
唇	ʃɐn2	
唐	tʰɔŋ1	
售	tʃʰɐu2	
唯	wɐi2	
唱	tʃʰœŋ5	
啃	kʰɐn3	
啄	tɔk8	
商	ʃœŋ1	
問	mɐn6	
啖	tam6	
啞	a3	
啟	kʰɐi3	
啡	fɛ1	
啤	pɛ3	
囉	lɔ1	
啱	ŋam1	
啲	ti1	阿～
啲	tek7	一點兒
啼	tʰɐi2	
喂	wɐi5	
喃	nam1	
善	ʃin2	
喇	la1	～嘛，～叭
喉	hɐu1	
喉	hɐu2	
喊	hɛm5	
喐	jok7	
喘	tʃʰyn3	
喚	hun2	
喜	hi3	
喝	hɔt8	～水，～彩
喧	ɬyn1	
喪	ɬɔŋ1	婚～
喪	ɬɔŋ5	～失
喬	kʰiu2	
單	tan1	孤～
單	ʃim2	姓～
喺	hɐi3	在
喻	hy2	
嗅	tʃʰɐu5	
嗇	ʃek7	
嗉	ɬɔi5	
嗓	ɬɔŋ1	
嗚	wu1	
嗜	ʃi6	
嗞	tʃi1	
嗡	joŋ1	
嗣	tʃʰi2	
嗤	tʃʰi1	
嗩	ɬɔ3	
嗷	ŋou2	
嗽	ɬɐu5	
嘅	kɛ5	
嘈	tʃʰou2	
嘉	ka1	
嘔	ɐu3	
嘗	ʃœŋ2	
嘟	tu1	
嘩	wa1	
嘮	lou2	
嘲	tʃʰiu2	～笑
嘴	tʃui3	
嘴	jɛ4	
嘶	sɿ1	
嘻	hi1	
噎	jit8	
噓	hy1	
器	hi5	
噩	ɔk9	
噪	tʃʰou5	
噫	ji5	
噴	pʰɐn5	～水，～嚏，～氣
嚀	neŋ2	
嚇	hak8	
嚎	hou2	
