#漢字	音標	解釋
□	tʃʰi1	这
□	lɛ1	撒小网捕鱼叫～网
□	kɛ1	树枝的单位
□	hɛ1	欺负
□	mai1	小气
□	ȵai1	咀嚼
□	ɬai1	因损失而遗憾
□	ŋɐi1	求
□	lui1	撞
□	tiɛm1	轻碰
□	tʰiɛm1	看
□	liɛm1	用火燎
□	tɐm1	汲
□	nɐm1	慢
□	liɛn1	小孩赖地
□	tɐn1	踩踏
□	ʃɐn1	看
□	piaŋ1	相连
□	niaŋ1	相连
□	tʃʰuŋ1	见
□	ȵuɔi2	弱
□	kuɔi2	怪癖
□	tʃʰiɛm2	观察
□	tʃʰiɛm2	惹
□	ɬiɛm2	阴森、是非之地
□	ɬɐm2	理会
□	kɐm2	压住
□	ŋɐm2	无牙老人或孩子咀嚼
□	jɐm2	晕车、船
□	tɐn2	蘸
□	kʰvai3	扔
□	kiɛm3	沟中深处
□	kʰiɛm3	舔尝
□	hɐm3	碰
□	tʰiɛn3	臀部在地上蠕动
□	ɬiɛn3	冷或痒
□	ɬɐn3	颤抖
□	mɐŋ3	刀钝，人迟钝
□	lɐm5	陷下去
□	ʃɐm5	看
□	ʃɐŋ5	罩
□	tʃɛp7a	蘸一点尝一下
□	ɬɛp7a	吝啬
□	kɛp7a	小孩哭或动物叫的声音
□	kʰɛp7a	小气
□	ŋɛp7a	小孩哭的行为或声音
□	hɛp7a	喊叫称～～
□	lɐp7a	罩
□	ɬɐp7a	吝啬
□	kʰɐp7a	盖
□	ŋɐp7a	点头
□	hɐp7a	威胁，吓唬
□	jɐp7a	溢出
□	mɐt7a	发霉，糜烂
□	vɐt7a	使弯曲
□	fut7a	价高
□	tut7a	胖呼呼说肥～～
□	nut7a	软绵绵
□	lut7a	溜
□	tʃut7a	吃的动作或声音
□	tʃʰut7a	软绵绵
□	ʃut7a	投掷
□	ɬut7a	突然
□	kut7a	喝水的动作或声音
□	kʰut7a	表惊讶的叹词
□	ut7a	表惊讶的叹词
□	nɐk7a	汗多而粘
□	pʰiɐk7a	诱捕鸟雀的工具
□	ŋat7b	一种骚味
□	pɔt7b	扔
□	pʰɔt7b	全部抵押
□	lɔt7b	刮
□	ʃɔt7b	说服，哄骗
□	kɔt7b	小孩喝水
□	tʰɛt7b	猪蹄叫猪脚～
□	ɛt7b	小馍
一	jit7a	
丁	tɐŋ1	
七	tʃʰit7a	
万	van5	
丈	tʃaŋ5	
三	ɬan1	
上	ʃaŋ5	
下	hɛ5	
不	put7a	
与	jy3	
丐	kai5	
丑	tʃʰɐu3	
專	tʃyɛn1	
且	tʃʰɛ3	
世	ʃi5	
丘	kʰiu1	
丙	pɐŋ3	
業	nɛt7b	
叢	tʃʰuŋ2	
東	tuŋ1	
絲	ɬi1	
丞	tʃʰɐŋ2	
丟	tiu1	
兩	liaŋ3	
嚴	niɛn2	
喪	ɬaŋ1	～事
喪	ɬaŋ5	～失
个	ko5	
丫	a1	
中	tʃuŋ1	～间
中	tʃuŋ5	看～
丰	fuŋ1	
串	tʃʰyɛn5	
臨	lin2	
丸	jyɛn2	
丹	tan1	
爲	vɐi2	作～
爲	vɐi5	～了
主	tʃy3	
丽	li5	
舉	ky3	
乃	nai3	
久	kiu3	
么	mo1	
義	ji5	
之	tʃi1	
烏	vu1	
乍	tʃa5	
乎	fu1	
乏	fa2	
樂	luk7b	欢～
樂	ŋuk7b	
喬	kʰiau2	
乖	kvai1	
乘	tʃʰɐŋ2	
乙	jɛt7b	
九	kiu3	
乞	hɐt7a	
也	jɛ3	
習	tʃat7b	
鄉	hiaŋ1	
書	ʃy1	
買	mai3	
亂	lɔn5	
乳	ȵui3	
乾	kʰiɛn2	
了	liau3	
予	jy3	
爭	tʃɐŋ1	
事	ʃi5	
二	ji5	
亏	kʰvɐi1	
云	jyn2	
互	fu2	
五	vu3	
井	tʃɐŋ3	
亞	a5	
些	ɬɛ1	
亡	vaŋ2	
交	kiau1	
亥	hai2	
產	tʃʰan3	
亨	hɐŋ1	
畝	mɐu3	
享	hiaŋ3	
京	kɐŋ1	
亭	tʰɐŋ2	
亮	liaŋ5	
親	tʃʰin1	～人
親	tʃʰin5	～家
人	jin2	
億	jɛk7a	
什	ʃi3	
仁	jin5	
仅	kin3	
仆	pʰuk7a	
仇	tʃʰɐu2	
今	kin1	
介	kai5	
仍	jɐŋ2	
从	tʃʰuŋ2	
倉	tʃʰaŋ1	
仕	ɬi2	
他	tʰa1	
仗	tʃaŋ5	
付	fu3	
仙	ɬiɛn1	
代	tai5	
令	lɐŋ5	
以	ji3	
儀	ji5	
仰	jaŋ3	
仲	tʃuŋ5	
件	kiɛn5	
价	kɛ5	
份	fɐn5	
仿	faŋ3	
企	kʰi3	
伍	vu3	
伏	fuk7a	
伐	fat7b	
休	hiu1	
众	tʃuŋ5	
优	jɐu1	
伙	ho3	
會	kʰvai5	～计
會	hui5	开～
傘	ɬan3	
偉	vɐi3	
傳	tʃyɛn2	～记
傳	tʃʰyɛn2	～播
傷	ʃaŋ1	
倫	lin2	
僞	ŋɐi2	
伯	pak7a	
估	kʰu5	
伴	pɔn5	
伶	lɐŋ2	
伸	ʃin1	
伺	tʃi5	
似	tʃʰi5	
佃	tiɛn5	
但	tan5	
佈	pu5	
位	vɐi5	
低	ti1	
住	tʃy5	
佐	tʃo3	
体	tʰi3	
佔	tʃiɛn5	
何	ho2	
佗	tʰo2	
佘	ʃɛ3	
余	jy2	
佛	fut7a	
作	tʃuk7b	
佞	nɐŋ5	
你	ni3	
佢	kʰy5	他
佣	juŋ1	
佩	pʰɐi5	
佳	kai1	
使	ʃi3	
侃	kʰan3	
侄	tʃɐt7a	
侈	tʃʰi1	
例	li5	
侍	tʃʰi2	
侗	tuŋ5	
供	kuŋ1	～给
供	kuŋ5	上～
依	ji1	
俠	hɛt7b	
僥	kiau3	
偵	tʃin1	
側	tʃʰɐk7a	
僑	kʰiau2	
儂	nuŋ2	
侮	mu3	
侯	hɐu5	
侵	tʃin1	
便	pʰiɛn2	～宜
便	piɛn5	方～
係	hɐi2	
促	tʃʰuk7a	
俄	ŋo2	
俊	tʃin5	
俏	ɬiau5	
俗	ɬuk7a	
俘	fu1	
保	pau3	
俟	tʃi5	
信	ɬin5	
儼	niɛn2	
倆	liaŋ3	
儉	kiɛn3	
修	ɬiu1	
俯	fu3	
俱	ky1	
俸	fuŋ2	
倍	pʰɐi3	
倒	tau3	
倔	kʰvɐt7a	
倘	tʰaŋ3	
候	hɐu5	
倚	ji1	
借	tʃɛ5	
倡	tʃʰaŋ5	
倣	faŋ3	
倦	kyɛn5	
倪	ŋɐi2	
倭	vo1	
債	tʃai5	
值	tʃit7a	
傾	kʰɐŋ1	
假	kɛ3	真～
假	kɛ5	请～
偏	pʰiɛn1	
做	tʃo5	
停	tʰɐŋ2	
健	kiɛn5	
偶	ɐu3	
偷	tʰɐu1	
償	tʃʰaŋ2	
傀	kʰvɐi3	
傅	fu5	
傍	pʰaŋ2	
傢	kɛ1	
儲	tʃʰy2	
催	tʃʰui1	
傲	ŋau5	
傻	ʃo2	
像	ɬiaŋ5	
僕	puk7a	
僚	liau2	
僧	tʃɐŋ1	
僵	kiaŋ1	
僻	pɛk7a	
儒	jy2	
儡	lui3	
儮	lɛk7a	能干
儽	lui5	
儿	ji2	
允	jyn3	
元	jyɛn2	
兄	huŋ1	
充	tʃʰuŋ1	
兆	tʃau5	
兇	huŋ1	
先	ɬiɛn1	
光	kvaŋ1	
克	hɐk7a	
免	miɛn3	
兌	tui5	
兔	tʰu5	
党	taŋ3	
