#漢字	音標	解釋
㠀	tau3	
㨶	tau3	
㪬	tsʰo2	
䆫	tsʰuaŋ1	
䍐	xan3	
䍐	xan5	∅
䰟	xuən2	
一	i2	
丁	tin1	
七	tɕʰi2	
丈	tsaŋ5	
三	san1	
上	saŋ5	上山
上	saŋ5	在上
下	xa5	白.山下
下	ɕia5	文.山下
下	ɕia5	文.下山
下	xa5	白.下山
不	pu2	
丑	tsʰou3	
且	tɕʰie3	
世	sɿ5	
丘	tɕʰiou1	
丙	pin3	
並	pin5	
丫	ia1	
中	tsoŋ1	當中
中	tsoŋ5	射中
串	tsʰuan5	
丸	yɛn2	白.白讀為“圓”訓讀,王權切
丸	uan2	文
丹	tan1	
主	tɕy3	
丼	tɕin3	
乃	nai3	
久	tɕiou3	
之	tsɿ1	
乏	fa2	
乖	kuai1	
乘	sən2	白
乘	tsʰən2	文
乙	i2	
九	tɕiou3	
乞	tɕʰi2	
也	ie3	
乳	y3	
乾	kan1	乾燥
乾	tɕʰiɛn2	乾坤
亂	nan5	
了	niau3	
事	sɿ5	
二	ɯ5	
于	y2	
互	xu5	
五	u3	
些	ɕie1	
亞	ia5	
亡	uaŋ2	
交	tɕiau1	
亦	i2	
亨	ɕiaŋ3	
京	tɕin1	
亭	tʰin2	
亮	niaŋ5	
人	nən2	
仁	nən2	
今	tɕin1	
介	kai5	
仍	nən2	
他	tʰa1	
仗	tsaŋ5	依仗
仗	tsaŋ5	打仗
付	fu5	
仙	ɕiɛn1	
代	tai5	
令	nin5	
以	i3	
仰	iaŋ3	正
仰	iaŋ5	舊
仲	tsoŋ5	
件	tɕiɛn5	
任	nən5	
份	fən5	
仿	pʰaŋ3	白
仿	faŋ3	文
企	tɕʰi5	正
企	tɕi5	俗.俗讀為“徛”訓讀,渠綺切,立也
伍	u3	
伏	fu2	
伐	fa2	
休	ɕiou1	
伯	pɤ2	
估	ku3	
伱	n3	白讀為“爾”訓讀
伱	ni3	文
伴	pan5	
伸	sən1	文
伸	tsʰən1	白
似	sɿ5	
但	tan5	
位	uei5	
低	tʰi1	
住	tɕy5	
何	xo2	
余	y2	
佛	fu2	
作	tso2	
佩	pʰei5	
佳	tɕia1	
併	pin5	
使	sɿ2	
使	sɿ3	∅.使用
使	sɿ3	
使	sɿ5	大使
來	nai2	
例	ni5	
供	koŋ1	供給
供	koŋ5	供養
依	i1	
侯	xou2	
侵	tɕin1	
便	pʰiɛn2	便宜
便	piɛn5	方便
促	tsʰou2	
俊	tɕin5	白
俊	tɕyn5	文
俗	sou2	
保	pau3	
信	ɕin5	
修	ɕiou1	
俯	fu3	
倉	tsʰaŋ1	
個	ko5	
倍	pei5	
倒	tau3	
倒	tau5	
候	xou5	
倚	i1	俗.俗讀為“依”訓讀
倚	i3	正
借	tɕie5	借用
倡	tsʰaŋ5	提倡
倣	faŋ3	
倦	tsuan5	
倫	nən2	
值	tsɿ2	
假	tɕia3	真假
假	tɕia3	放假
偉	uei3	
偏	pʰiɛn1	
停	tʰin2	
健	tɕiɛn5	
側	tsʰɤ2	
側	tsɤ2	∅
偵	tsən1	
偶	ŋou3	配偶
偶	ŋou3	偶然
偷	tʰou1	
傅	fu5	
傘	san3	
備	pei5	
催	tsʰei1	
傲	ŋau5	
傳	tsʰuan2	傳達
傳	tsuan5	傳記
債	tsai5	
傷	saŋ1	
傻	sa3	
傾	kʰən1	白
傾	tɕʰyn3	文
僅	tɕin3	
像	tɕʰiaŋ5	白
像	tɕiaŋ5	白
像	ɕiaŋ5	文
僑	tɕʰiau2	
僕	pʰu2	
僞	uei5	
僧	sən1	∅
僧	tsən1	
僵	tɕiaŋ1	∅
僵	tɕiaŋ3	
價	tɕia5	
僻	pʰi2	
儀	i2	
億	i5	
儉	tɕiɛn3	∅
儉	tɕiɛn5	
儒	y2	
償	saŋ2	
優	iou1	
儲	tɕʰy2	
允	yn3	
元	yɛn2	
兄	ɕioŋ1	
充	tsʰoŋ1	
兆	tsau5	正
兆	sau5	舊
兇	ɕioŋ1	
先	ɕiɛn1	
光	kuaŋ1	∅
光	kuaŋ5	
克	kʰɤ2	
兌	tei5	
免	miɛn3	
兒	ɯ2	
兔	tʰou5	
兜	tou1	
入	y2	
內	nei5	
全	tɕʰiɛn2	白
全	tɕʰyɛn2	文
兩	niaŋ3	兩斤,斤兩同音
八	pa2	
公	koŋ1	
六	nou2	
共	koŋ5	
兵	pin1	
其	tɕʰi2	
具	tɕy5	
典	tiɛn3	
兼	tɕiɛn1	
冊	tsʰɤ2	
再	tsai5	
冒	mau5	
冠	kuan1	衣冠
冠	kuan5	冠軍
冤	yɛn1	
冥	min2	正
冥	min3	舊
冬	toŋ1	
冰	pin1	
冷	nən3	
准	tɕin3	
准	tɕyn3	∅
凌	nin2	∅
凌	nin5	
凍	toŋ5	
凝	nin2	∅
凝	nin5	
凡	fan2	
凳	tən5	
凶	ɕioŋ1	
出	tɕʰy2	
函	xan2	
刀	tau1	
刁	tiau1	
刃	nən5	
分	fən1	分開
切	tɕʰie2	一切
切	tɕʰie2	切開
刊	kʰan1	
刑	ɕin2	
划	xua2	
列	nie2	
初	tsʰou1	
判	pʰan5	
別	pie2	離別
別	pie2	區別
利	ni5	
刪	suan1	舊
刪	san1	正
刮	kua2	
到	tau5	
制	tsɿ5	制度
刷	sua2	
券	tsuan5	
刺	tsʰɿ5	
刻	kʰɤ2	
剃	tʰi5	
則	tsɤ2	
削	ɕio1	
削	ɕio2	∅
前	tɕʰiɛn2	
剔	tʰi2	
剖	pʰo3	
剛	tɕiaŋ1	口
剛	kaŋ1	正
剝	po2	
剩	sən5	
剪	tɕiɛn3	
副	fu5	
割	ko2	
創	tsʰaŋ5	創傷
創	tsʰaŋ5	創造
劃	xua5	
劄	tsa2	
劇	tɕy5	
劈	pʰi2	
劉	niou2	
劑	tɕi5	
劔	tɕiɛn5	
力	ni2	
功	koŋ1	
加	tɕia1	
劣	nie2	
助	tsʰou5	
努	nou3	
劫	tɕie2	
勁	tɕin5	
勃	pʰu2	
勇	ioŋ3	
勉	miɛn3	
勒	nɤ1	
勒	nɤ2	∅
動	toŋ5	
勘	kʰan1	
務	u5	
勛	ɕyn1	
勝	sən5	
勞	nau2	
募	moŋ5	
勢	sɿ5	
勤	tɕʰin2	
勵	ni5	
勸	tsʰuan5	
勺	so2	
勻	yn2	
勿	xu2	舊
勿	u2	正
包	pau1	
匈	ɕioŋ1	
化	xua1	
化	xua5	∅
北	pɤ2	
匙	tsʰɿ3	
匠	tɕiaŋ5	
匣	ɕia2	
匪	fei3	
匯	xuei5	
匹	pʰi2	
匾	piɛn3	
區	tɕʰy1	
十	sɿ2	
千	tɕʰiɛn1	
升	sən1	
午	u3	
半	pan5	
卑	pei1	
卒	tsou2	
協	ɕie2	
南	nan2	
博	po2	
占	tsan1	占卜
占	tsan5	占領
卦	kua5	
卯	mou3	白
卯	mau3	文
印	in5	
危	uei2	
即	tɕi2	
卻	tɕʰio2	
卵	no3	
卵	nan3	∅
卷	tsuan3	卷曲
卷	tsuan5	
卸	ɕie5	
卿	tɕʰin1	
厚	xou5	
原	yɛn2	
厭	iɛn5	
厲	ni5	
去	tɕʰy5	文
去	kʰɯ5	白
參	sən1	人參
參	tsʰan1	參加
又	iou5	
叉	tsʰa1	
及	tɕi2	
友	iou3	
反	fan3	
叔	sou2	
取	tɕʰi3	白
取	tɕʰy3	文
受	sou5	
叛	pʰan5	
叢	tsʰoŋ2	
口	kʰou3	
古	ku3	
句	tɕy5	
叩	kʰou5	
只	tsɿ2	只有
叫	tɕiau5	
可	kʰo3	
史	sɿ3	
右	iou5	
司	sɿ1	
各	ko2	
合	ko2	
合	xo2	∅
吉	tɕi2	
同	tʰoŋ2	
名	min2	
后	xou5	
吏	ni5	
吐	tʰou3	吐痰
吐	tʰou5	嘔吐
向	ɕiaŋ5	
君	tɕyn1	
吞	tʰən1	
吟	in2	
否	fou3	
含	xan2	
吳	u2	
吵	tsʰau3	
吸	ɕi2	∅
吸	tɕi2	
吹	tsʰuei1	
吼	xou3	
呂	ny3	文
呂	y3	白
呈	tsʰən2	
告	kau1	
告	kau5	∅
呢	ni2	呢絨
周	tsou1	
呪	tsou5	
味	uei5	
呼	xu1	
命	min5	
和	xo2	
和	xo5	應和
咏	yn5	
哀	ŋai1	
品	pʰin3	
哄	xoŋ3	
員	yɛn2	
哥	ko1	
哭	kʰu2	
哲	tsɤ2	
唇	tɕʰyn2	
唐	tʰaŋ2	
售	sou5	
唯	uei2	
唱	tsʰaŋ5	
啄	tso1	
啄	tso2	∅
商	saŋ1	
問	uən5	
啞	ia3	文
啞	ia5	白
啟	tɕʰi3	
啼	tʰi2	
善	san5	
喉	xou2	
喊	xan3	
喘	tsʰuai3	
喚	xuan5	
喜	ɕi3	
喝	xo2	喝采
喦	ŋai2	
喪	saŋ1	喪事
喪	saŋ5	喪失
喫	tɕʰi2	
喬	tɕʰiau2	
單	tan1	
喻	y5	
嗇	sɤ2	
嘆	tʰan5	
嘉	tɕia1	
嘔	ŋou3	
嘗	saŋ2	
噎	ie2	
噎	i2	∅
噓	ɕy1	
器	tɕʰi5	
噴	fən5	噴水
嚇	xɤ2	
嚥	iɛn5	
嚴	iɛn2	
嚼	tɕio2	文
嚼	tɕiau2	白
囊	naŋ2	正
囊	naŋ3	舊
囑	tsou2	
囚	tɕʰiou2	
四	sɿ5	
回	xuei2	
因	in1	
困	kʰuən5	
固	ku5	
國	kuɤ2	
圍	uei2	
園	yɛn2	
圓	yɛn2	
圖	tʰou2	
團	tʰan2	
土	tʰou3	
在	tai5	口
在	tsai5	正
地	ti5	
址	tsɿ3	
均	tɕyn1	
坊	faŋ1	∅
坊	faŋ2	
坎	kʰan3	
坐	tso5	
坑	kʰən1	
坡	pʰo1	
坤	kʰuən1	
坦	tʰan3	
坪	pʰin2	
垂	tsʰuei2	
型	ɕin2	
埋	mai2	
城	tsʰən2	
域	y2	
執	tsɿ2	
培	pʰei2	
基	tɕi1	
堂	tʰaŋ2	
堅	tɕiɛn1	
堆	tei1	
堡	pau3	
堤	tʰi2	
堪	kʰan1	
堯	iau2	
報	pau5	
場	tsʰaŋ2	∅
場	tsʰaŋ3	
堵	tou3	
塊	kʰuai3	
塑	so2	舊
塑	sou5	正
塔	tʰa2	
塗	tʰou2	
塘	tʰaŋ2	
塞	sɤ2	閉塞
填	tʰiɛn2	
塵	tsʰən2	
境	tɕin5	
墊	tiɛn5	
墓	moŋ5	
墜	tsuei5	
增	tsən1	
墟	ɕy1	
墨	mɤ2	
墩	tən1	∅
墩	tən3	
墮	to5	
墳	fən2	
墾	kʰən3	
壁	pi2	
壇	tʰan2	
壓	ia2	
壘	nei3	
壞	xuai5	
壠	noŋ2	
壠	noŋ3	∅
士	sɿ5	
壯	tsuaŋ5	
壺	xu2	
壽	sou5	
夏	ɕia5	
夕	ɕi2	
外	ŋai5	白
外	uai5	文
多	to1	
夜	ie5	
夠	kou5	
夢	moŋ5	
大	tai5	
大	ta5	∅
天	tʰiɛn1	
太	tʰai5	
夫	fu1	
央	iaŋ1	
失	sɿ2	
夷	i2	
夸	kʰua1	
夾	ka2	白
夾	tɕia2	文
奇	tɕʰi2	奇怪
奈	nai5	
奉	foŋ5	
奎	kʰuei1	
奏	tsou5	
契	tɕʰi5	
奔	pən1	
奧	ŋau5	
奪	to2	
奮	fən5	
女	y3	白
女	ny3	文
奴	nou2	
