#漢字	音標	解釋
□	pu1	饭送口中
□	pɔŋ1	打〜、接吻
□	ta3	舐也
□	tsai3	白，结
□	ɡɔ4	行间
□	haŋ5	啃咬
□	ɡɔ6	搁
□	dʑieu8	奚落人家
㑚	nɛ2	伸出、㑚起
㓢	lo8	
㖔	tʰaŋ1	差的意思
㠮	pʰɔŋ1	肿胀
㧻	to7	
㩉	ɕiai7	
㩻	tsʰɿi1	不正
㯱	pʰə1	柚子
㺖	ha5	狗叫
㻑	uai1	风和
㽹	fa5	〜心
㾎	ha7	低陷
㾹	za6	
㿭	tsʰa7	
䂻	dzɛ6	硬挤
䈆	da2	
䈽	tɕiaŋ1	
䖳	zɔ6	〜鱼
䜋	ɡaŋ4	含在嘴里
䞁	ie5	
䥛	tɕie7	
鐯	dʑia8	剪
一	iai7	
丁	teŋ1	
七	tsʰai7	
万	ma6	白
万	va6	
丈	dʑiɛ4	
三	sa1	
上	ɦiɛ4	
上	ɦiɛ6	
下	ɦo4	
下	o5	白，一下
不	pai7	
与	zʮ2	
与	vu2	
丐	kʰø7	
丑	tɕʰieu3	
專	tɕy1	
且	tsʰɿi3	
丕	pʰi1	
世	sɿi5	
丘	tɕʰiau1	
丙	peŋ3	
業	ȵie8	
叢	zɔŋ2	
東	tɔŋ1	
絲	sɿ1	
丞	ɦieŋ2	
丟	teu1	
兩	lɛ4	〜个
兩	liɛ4	
嚴	ȵie2	
喪	sɔ1	
个	kai5	
丫	ia1	〜头
中	tɕiɔŋ1	
中	tɕiɔŋ3	
中	tɕiɔŋ5	〜状元
丰	hɔŋ1	
串	tɕʰiɔŋ5	
臨	leŋ2	
丸	ɦy2	
丹	ta1	
爲	vu2	
爲	vu6	〜什么
主	tsʮ3	
丼	taŋ3	
丽	li6	
舉	tsʮ3	
乃	na3	
久	tɕiau3	
麼	yə1	一、二、三
義	ȵie6	
之	tsɿ1	
烏	u1	
乏	ɦuo8	
樂	ŋo8	音〜
喬	dʑyə2	
乖	ka1	
乘	ɦieŋ2	
乙	iai7	
九	tɕiau3	
乞	tɕʰiai7	
也	iɛ3	
也	zɿ4	
也	a7	白
習	zai8	
鄉	ɕiɛ1	
書	sʮ1	
買	ma4	
亂	lø6	
乳	zʮ4	
乾	dʑie2	〜坤
了	lyə2	
爭	tsɛ1	
爭	dzɛ2	白，〜夺
事	zɿ6	
二	m6	
于	ʮ1	
于	u1	
于	vu2	
雲	ɦiɔŋ2	
互	vu6	
五	m4	
井	tɕieŋ3	
亞	o1	
亞	o5	
亡	ɦuɔ2	
交	kɔ1	
亥	ɦe4	
亦	ɦiai8	
產	tsʰa3	
產	sa3	白
亨	hɛ1	
畝	mə4	
享	ɕiɛ3	
京	tɕiaŋ1	
亭	deŋ2	
亮	liɛ6	
親	tsʰaŋ1	
亶	dzʮ4	
人	naŋ2	白
人	zaŋ2	
人	ȵiaŋ2	白，新〜
人	zai8	
億	ɿi5	
什	zai8	
仁	zaŋ2	
仄	tse7	
僅	dʑiaŋ6	
仇	dʑiau2	姓氏
仇	dʑieu2	
今	tɕiaŋ1	
介	ka5	
仍	ɦieŋ2	
从	tsʰɔŋ1	〜容
从	ɦyo2	
从	ɦyo6	
倉	tsʰɔ1	
仕	zɿ4	
他	tʰɔ1	
仗	dʑiɛ4	
仗	dzɛ6	白，炮〜
付	fu5	
仙	ɕie1	
代	de6	
令	leŋ6	
以	ɿi5	
儀	ȵie4	
仰	ȵiɛ4	
仲	dʑiɔŋ6	
件	dʑie4	
價	ko5	
任	ȵiaŋ2	姓氏
任	zaŋ6	
份	vaŋ6	
仿	huɔ3	
企	dzɿi2	
企	tsʰɿi5	
伊	ɿi1	
