#漢字	音標	解釋
一	ek4	
丁	teŋ1	
七	tsʰek4	
万	mok8	姓氏
丈	tŋ6	白
丈	tiõ6	又白
丈	tɕiaŋ6	文
三	sã1	
三	saŋ1	文
上	tɕiõ6	
上	tɕʰiõ6	又白，～色
上	ɕiaŋ6	文
上	tɕiõ7	
下	ke6	懸～
下	e6	白
下	hia6	文
不	puk4	
丐	kai3	
丑	tʰiu2	
且	tɕʰiã2	
丕	pʰi1	
丕	pʰi2	俗
世	ɕi3	
丘	kʰu1	
丘	kʰiu1	
丙	piã2	
丞	seŋ5	
丟	tiu1	
並	peŋ6	
丫	a1	
中	taŋ1	
中	toŋ1	文
中	teŋ3	
中	toŋ3	文
串	tsʰuaŋ3	
丸	ĩ5	訓“圓”
丸	uaŋ5	
丹	tuã1	白，牡～
丹	taŋ1	
主	tsu2	
乃	nai2	
乃	nai6	又
久	ku2	
之	tsɯ1	
乍	tsa3	
乎	hu1	
乏	huak8	
乏	hek8	又
乏	hak8	又
乒	peŋ1	
乓	poŋ5	
乖	kuai1	
乘	seŋ5	
乘	seŋ6	
乙	ek4	
九	kau2	
九	kiu2	文
乞	kʰoʔ4	白，～伊
乞	kʰɯk4	
也	ia2	
乳	dzu2	
乾	kuã1	
乾	kaŋ1	文
乾	kʰiaŋ5	
亂	luaŋ6	
了	liou2	
事	sɯ7	
二	no6	訓“兩”
二	dzi6	
云	uŋ5	
互	hu6	
五	ŋou6	
五	ŋou2	文
井	tsẽ2	
亙	keŋ3	
些	se1	
亞	a1	
亞	a3	又
亡	ᵐbuaŋ5	
交	kau1	
亥	hai6	
亦	ia7	訓“也”
亦	ek8	
亨	heŋ1	
享	hiaŋ2	
京	kiã1	
亭	teŋ5	
亮	liaŋ6	
人	dzeŋ5	
人	naŋ5	訓“儂”
什	tsak8	白
什	ɕik8	
什	ɕiŋ5	又
仁	dzeŋ5	
仇	tɕʰiu5	
今	kiŋ1	
介	kai3	
仍	dzeŋ5	
他	tʰa1	
仗	tɕiaŋ6	
付	hu3	
仙	ɕiaŋ1	
代	to7	
代	tʰoi3	訓“替”
代	tai3	文
令	leŋ6	
以	ĩ2	
仰	õ3	白，头～～
仰	ŋ3	又白，依靠
仰	ŋiaŋ2	文
仰	iaŋ2	新
仲	toŋ6	
件	kiã6	
任	dziŋ6	
份	huŋ7	
仿	huaŋ2	
企	kʰia6	俗
企	ki6	文
伊	i1	
伍	ŋou2	
伏	hok8	
伐	huak8	
休	hiũ1	
伯	peʔ4	
估	kou2	
伴	pʰuã6	
伶	leŋ5	
伸	tsʰuŋ1	白
伸	seŋ1	
伺	sɯ6	
似	sɯ6	
佃	toĩ6	
佃	tʰiaŋ5	文
但	taŋ6	
位	ui7	
低	ti1	
住	tiu7	
住	tsu6	文
佐	tso2	
何	ho5	
佛	huk8	
作	tsoʔ4	白
作	tsak4	
佞	leŋ6	
你	lɯ2	訓“汝”
你	ni2	
佩	pue6	
佬	lau2	
佳	kia1	
使	sai2	
使	sai3	
侃	kʰaŋ2	
侄	tiak4	
來	lai5	
侈	tɕʰi2	
例	li7	
侍	ɕi6	
侖	luŋ5	
供	keŋ1	
依	i1	
侮	ᵐbu2	
侯	kau5	
侯	hau7	又
侯	hou5	文，姓氏
侵	tɕʰiŋ5	
侶	lɯ6	
便	pʰĩ1	
便	pʰiaŋ1	又
便	peŋ7	白，～～
便	piaŋ6	
係	hi6	
促	tsʰok4	
俄	ŋo5	
俊	tsuŋ3	
俏	tɕʰiou2	
俗	sok8	
俘	hu1	
保	po2	
保	pau2	文
俟	sɯ6	
俠	hiak8	
信	seŋ3	
修	ɕiu1	
俯	hu2	
俱	ku6	
俸	hoŋ6	
俾	pi2	
倉	tsʰŋ1	
個	kai5	白
個	ko6	文
倍	pue6	
倒	to2	
倒	tau2	文
倒	to3	
倔	kʰuk4	
倘	tʰaŋ2	
候	hau7	
借	tɕioʔ4	
倡	tɕʰiaŋ3	
倦	kuaŋ6	
倪	ᵑɡoi7	白，姓氏
倪	ŋi5	
倫	luŋ5	
倭	o1	
值	tak8	
值	tek8	文
假	ke2	
假	kiã2	文
偉	ui2	
偏	pʰiaŋ1	
偕	hai5	
偕	kai1	
做	tso3	
停	tʰeŋ5	
健	kiã7	白，輕～，肥壯大～
健	kiaŋ6	
側	tsʰek4	
偵	tseŋ1	
偶	ŋou2	
偷	tʰau1	
僞	ŋui2	
傀	kʰui5	
傅	pou3	
傅	hu3	文
傍	pʰaŋ5	
傍	paŋ6	
傑	kiak8	
傘	suã3	
備	pi6	
催	tsʰui1	
傲	ŋau6	
傳	tʰuaŋ5	
傳	tŋ7	
債	tse3	
傷	ɕiõ1	
傻	sa6	
傾	kʰuaŋ1	
傾	kʰeŋ1	文
僅	kɯŋ2	
僉	tɕʰiaŋ1	
像	tɕʰiõ6	
像	ɕiaŋ6	文
僕	pʰok4	
僕	pok8	
僧	tseŋ1	
僭	tɕʰiaŋ3	
僵	kiaŋ1	
價	ke3	
僻	pʰiaʔ8	
儀	ŋi5	
