#漢字	音標	解釋
一	i7𛅰	
一	i7𛆼	
一	i7	826
丁	lioŋ4𛉼	
丁	lioŋ1	326
七	tsʰa7𛅲	
七	tsʰa7	708
万	va6𛆨	
万	uoɯ6𛈄	
万	va1	156
丈	tsiaŋ1𛈼	
丈	tɕiaŋ4𛊪	
丈	tɕiaŋ5	491
丈	tsiaŋ5	686
三	soŋ1𛆊	
三	soŋ1	782
上	ɕiaŋ4𛆈	
上	ɕiaŋ1	597
上	ɕiaŋ5	598
下	fɯə4𛅽	
下	fə5	140
不	mɯə4𛆳	
不	mə5	103
与	ie1𛆱	
与	y2𛇄	
与	iou4𛈶	
与	mai6𛉟	
与	y5	850
丐	kø5	358
丑	ɕiou3𛆞	
丑	tɕʰiou3	527
專	tɕiaŋ1𛈌	
專	tɕyŋ1	511
且	sie3𛇠	
且	kø3𛊴	
且	tsʰie3	739
世	ɕi5𛆓	
世	ɕi5	582
丘	tɕiou1𛆝	
丘	tɕʰiou1	525
丙	pioŋ2𛇛	
丙	pioŋ3	39
業	ni6𛈥	
業	ȵi1	561
叢	tsʰou7	731
東	lai1𛊚	
東	lai1	278
絲	sɯə1𛊸	
絲	sə1	765
丞	ɕyu6𛋙	
丞	ɕie2	589
丟	nø7	267
兩	na6𛅱	
兩	liaŋ3𛆇	
兩	liaŋ5	323
兩	liaŋ3	324
嚴	tsəŋ2𛋋	
嚴	iŋ2𛋍	
嚴	iŋ2	847
喪	saŋ6𛆢	
喪	saŋ1𛈊	
喪	saŋ1	762
喪	saŋ5	763
个	kou5𛆅	
个	ȵie1𛆯	
个	ie5𛇢	
个	kou7𛉦	
个	kou5	362
个	ȵie1	565
丫	tie2𛅹	
丫	vɯə6𛆴	
丫	və3	169
中	tɕiaŋ1𛈌	
中	tɕiaŋ1	490
丰	faŋ1𛆠	
丰	faŋ1	135
串	tɕʰyn5𛆟	
串	tɕʰyəŋ5	555
臨	lai2	281
丸	yn2	859
丹	la1𛆍	
丹	ləɯ1𛈁	
丹	la1	273
爲	va6𛆨	
爲	va2𛊄	
爲	va1	156
