#漢字	音標	解釋
䉪	luj3	一種捕魚工具、深䉪，地名
一	jɐt6	
丁	tɛŋ1	
丁	teɪŋ1	
七	tsʰɐt6	
丈	tsjuŋ4	
三	sᴀm1	
上	sjuŋ1	
上	sjuŋ2	
上	sjuŋ4	
下	hᴀ2	打一下
下	hᴀ4	下面
不	pɐt6	
丐	kʰuj1	
丑	tsʰɪᴀw3	
且	tsʰɪᴀ3	
世	sei1	
丘	jou1	
丙	peɪŋ3	
丞	seɪŋ2	
丟	tiw1	
並	peɪŋ4	
丫	ŋᴀ1	
中	tsoʊŋ1	
丰	foʊŋ1	
串	tsʰyn1	
丸	jᴀn2	
丹	tᴀn1	
主	tsi3	
乃	nᴀj2	
久	kɐu3	
么	jᴀw1	
之	tsi1	
乍	tsᴀ1	
乎	fu2	
乏	fɐt8	
乒	peɪŋ1	
乓	pɐm1	
乖	kwᴀj1	
乘	seɪŋ2	乘船
乘	seɪŋ4	萬乘之國
乙	jᴀt8	
九	kɐu3	
乞	hɐt6	
也	jᴀ2	
乳	ji3	
乳	ji2	
乾	kun1	乾燥
乾	kʰin2	乾坤
亂	lun4	
了	liw1	了結
了	liw2	了解
予	ji2	給予
事	si4	
二	ji4	
于	ji1	
云	wɐn2	
互	wu4	
五	m̍3	
井	tsɛŋ3	
亙	kɐŋ3	
些	sɪᴀ1	
亞	ŋᴀ1	
亟	keɪk8	亟需
亟	kʰei1	亟請
亡	muŋ2	
亢	kʰuŋ1	高亢
交	kiw1	
亥	huj4	
亦	jeɪk8	
亨	hɐŋ1	
享	hjuŋ3	
京	keɪŋ1	
亭	heɪŋ2	
亮	ljuŋ4	
人	jɐn2	
什	sɐm4	什麼
什	tsap7	什錦
仁	jɐn2	
仃	teɪŋ1	
仄	tsɐk6	
仄	tseɪk6	
仆	poʊk8	
仆	fu4	前仆後繼
仆	pʰoʊk8	
仆	pʰoʊk6	仆倒
仇	kʰɐu2	姓仇
仇	sɐu2	仇人
今	kɐm1	
今	kɐm2	今日
介	kᴀj1	
仍	jeɪŋ2	
仔	tsᴀj3	豬仔
仔	tsi3	仔細
仕	si4	
他	hᴀ1	
仗	tsjuŋ1	打仗
仗	tsjuŋ4	仗義
付	fu4	
仙	sin1	
仝	hoʊŋ2	
仞	jɐn4	
仟	tsʰin1	
代	tuj4	
令	lɛŋ4	
令	leɪŋ1	一令紙
令	leɪŋ2	令狐
令	leɪŋ4	命令
以	ji2	
仰	jjuŋ3	
仰	ŋuŋ3	
仲	tsoʊŋ4	
件	kin4	
任	jɐm2	姓任
任	jɐm4	信任
份	fɐn4	
仿	fɐŋ3	仿佛
企	kʰei1	
企	kʰei3	
企	kʰei2	
伊	ji1	
伍	m̍3	
伏	foʊk8	
伐	fɐt8	
休	jou1	
伙	fu3	
伯	pᴀ1	春秋五伯
伯	pɐk8	
伯	pɐk9	阿伯
伯	pɐk7	伯爺
估	ku1	估衣
估	ku3	估計
伴	pun4	
伶	leɪŋ2	
伸	sɐn1	
伺	si1	、
伺	tsi4	窺伺
似	tsʰi1	
伽	kᴀ1	瑜伽
伽	kʰɪᴀ2	伽藍
佃	tin4	佃農
佃	hin2	佃作
但	tᴀn4	
佇	tsʰi1	
佈	pou1	
位	wei4	
低	tei1	
住	tsi4	
佐	tsu1	
佑	jou4	
佔	tsim1	
何	hu2	
佗	hu2	
余	ji2	
佚	jɐt8	
佛	fɐt8	佛教
佛	fɐt6	仿佛
作	tsuk6	
作	tsuk7	
你	nei1	
佣	joʊŋ3	
佩	pʰuj1	
佳	kᴀj1	
併	pʰeɪŋ1	
使	sᴀj3	
使	si1	使者
侃	hun3	
來	luj2	
侈	tsʰi3	
例	lei4	
侍	si4	
侏	tsi1	
供	koʊŋ1	
依	ji1	
侮	mou2	
侯	hou2	
侵	tsʰɐm1	
侶	luj2	
便	pin4	便利
便	pʰin2	大腹便便
係	hei4	
促	tsʰoʊk6	
俄	ŋu2	
俊	tsɐn1	
俎	tsu3	
俏	tsʰiw1	
俐	lei4	
俑	joʊŋ3	
俗	tsoʊk8	
俘	fu1	
保	pᴀw3	
俠	hɐp8	
信	sɐn1	
修	sɐu1	
俯	fu3	
俱	kʰuj1	
俸	foʊŋ3	
俺	jᴀm3	
倆	ljuŋ3	
倉	tsʰuŋ1	
個	kᴀj1	
個	kə1	語流變讀
個	ku1	
倌	kun1	
倍	pʰuj1	
倍	pʰuj2	
倏	soʊk6	
們	mun2	
倒	tᴀw1	
倒	tᴀw3	
倔	kwɐt8	
倖	hɐŋ4	
倘	huŋ3	
候	hou4	
倚	ji3	
借	tsɪᴀ1	
倡	tsʰjuŋ1	
倦	kyn4	
倩	sin4	
倪	ŋei2	
倫	lɐn2	
值	tseɪk8	
假	kᴀ1	假如
假	kᴀ3	放假
偉	wei3	
偉	wei2	
偎	wuj1	
偏	pʰin1	
偕	kᴀj1	
做	tsou4	
停	heɪŋ2	
健	kin4	
側	sɐk6	邊側，地方
側	tsɐk6	
偵	tseɪŋ1	
偶	ŋou1	
偷	hou1	
僞	ŋei4	
傀	fᴀj1	傀儡
傀	kwei1	傀偉
傅	fu4	傅粉施朱
傍	puŋ4	依山傍水
傍	puŋ4	傍晚
傍	pʰuŋ2	傍晚
傑	kit8	
傘	sᴀn1	
備	pei4	
傢	kᴀ1	
催	tsʰuj1	
傭	joʊŋ2	
傲	ŋᴀw4	
傳	tsʰᴀn2	
傳	tsʰyn2	傳播
傳	tsyn4	傳奇
債	tsᴀj1	
傷	sjuŋ1	
傻	su2	
傾	kʰeɪŋ1	
僅	kɐn3	
像	tsjuŋ4	
僑	kʰiw2	
僕	poʊk8	
僚	liw2	
僥	hiw1	僥倖
僥	jᴀw2	僬僥，短人，西南夷別名
僧	tsɐŋ1	
僮	hoʊŋ2	書僮
僮	tsuŋ4	僮族
僱	ku1	
僵	kjuŋ1	
價	kᴀ1	
僻	pʰeɪk6	
儀	ji2	
億	jeɪk6	
儉	kim4	
儒	ji2	
儘	tsɐn4	
償	sjuŋ2	
儡	luj1	
優	jou1	
儲	tsʰi1	
儸	lu2	
儼	jᴀm2	
兀	ŋɐt8	
允	wɐn1	
允	wɐn3	姓氏
元	jᴀn2	
兄	heɪŋ1	
充	tsʰoʊŋ1	
兆	siw4	
兇	hoʊŋ1	
先	sin1	
光	kwɐŋ1	
克	hɐk6	
兌	tuj1	
免	min3	
兒	ji2	
兔	hou1	
兜	tou1	
兢	keɪŋ1	
入	jɐp8	
內	nuj4	
全	tsʰyn2	
兩	ljuŋ3	
八	pit6	八卦
八	pit7	數字八
公	koʊŋ1	
六	loʊk8	
兮	hei2	
共	koʊŋ4	
兵	peɪŋ1	
其	kʰei2	
具	kuj4	
典	tin3	
兼	kim1	
冀	kʰei1	
冉	jᴀm1	
冊	tsʰɐk7	
再	tsuj1	
冑	tsu4	
冒	mᴀw4	冒犯
冒	mɐk8	冒頓
冕	min3	
冠	kun1	
冢	tsʰoʊŋ3	
冤	jᴀn1	
冥	meɪŋ2	
冬	toʊŋ1	
冰	peɪŋ1	
冶	jɪᴀ2	
冷	lɐŋ2	
冽	lit8	
