#漢字	音標	解釋
□	tɕʰia1	藏、人):～躲(即捉迷藏)
□	pʰa1	酿制;～甜酒
□	ȶʰa1	引：～水，犁田时用脚踩水车把水引到田里
□	tsa1	因负荷重而受伤:莫～巴得腰子咯
□	ua1	形容程度为深，～苦：很苦
□	lo1	哆嗦:天气好冷，舌子都打～
□	xo1	很痛，～～哩
□	se1	很:薄～～
□	ȵiɛ1	～骨碌:你喊我,我一～就起来哒
□	ȵiɛ1	撅、嘴巴～起(表示不高兴)2、～起屁股就走(形容神气的样子)
□	kui1	计量单位，相当于盒
□	pʰao1	身体哆嗦:～～颤
□	mən1	经常，～常
□	lin1	做事很慢:好～咯
□	lin1	很:～薄
□	tɕin1	很：～酸，～咸
□	ləŋ1	很:～黄
□	xe2	提、拿:～不起，难得～
□	fei2	(红薯)
□	ʂuei2	浮:～起来
□	mã2	双胞胎，～胎
□	ȶã2	打起来,下雨了，把衣服收起～哒放堂屋里
□	fẽ2	话:土～
□	kʰu3	撅:～起嘴巴
□	pʰa3	象声词，爆竹声
□	sa3	象声词，小孩用泥巴打仗发出的声音
□	lia3	把舌头伸出来:～舌子
□	ŋa3	非常，气～哒
□	lo3	讲话含糊:你讲话舌子打～
□	ŋe3	由于异物在鞋里.脚不舒服:～巴哒脚
□	lai3	鸡用爪子刨地:鸡把菜～死哒
□	mao3	未经同意把东西拿走了:你何哩把我东西～去哒
□	ɕin3	傻、呆板，好～
□	kʰɔ̃3	(咳嗽)
□	tɕʰi5	～菜：夹菜
□	i5	这:一个
□	ŋa5	一点点:～～子
□	tɕia5	捆：～紧
□	ȶo5	瞥：我好些把你讲话，你又不听，把眼睛～起做么哩
□	tɕʰio5	丢失：～咖哒
□	ɕio5	差：好～
□	tɕʰiɛ5	不直:弯弯～～,～路
□	sei5	可怜:好～人
□	ȶəu5	留下;你把剩饭～哒放这里
□	ŋã5	中午,中～时节(12点到13点)
□	ȵiã5	游荡:快点走，莫在这里～那个～
□	tɕʰiẽ5	想念，我好～你
□	pɔ̃5	吻:打～
□	ȵi6	～船，修船使其不漏水
□	ŋa6	拐，～巴哒脚
□	tsai6	(淋雨)
□	kao6	不小心剁伤了手;～巴哒手
□	tsẽ6	用力压在人上:～哒我
□	pɔ̃6	关紧:把门～哒
㲃	tɕiəu5	旋转：～螺丝，～铅笔
一	i1	
丁	tiã1	
丁	tin1=	
七	tɕʰi1	
万	uã6-	
万	uã5=	
丈	ȶɔ̃6	
三	sã1	
上	ɕiɔ̃6	
下	xa6-	
下	ɕia6=	
不	pu5	
与	y3	
丐	kei5	
丑	ȶʰəu3	
專	tɕyɛ̃1	
且	tɕʰi3	
丕	pʰi3	
世	ʂʅ5	
丘	ȶʰəu1	
丙	pin3	
業	ȵi5	
東	təŋ1	
絲	sɿ1	
丞	tsən2	
兩	ȵiɔ̃3	
嚴	ȵiẽ1	
喪	sɔ̃1	婚～
喪	sɔ̃5	～失
个	ko5	
丫	ŋa1-	头～
丫	ia1=	
中	ȶəŋ1	当～
中	ȶəŋ5	射～
丰	fəŋ1	
串	tɕʰyɛ̃5	
臨	lin2	
丸	uẽ2	
丹	tã1	
爲	uei2	作～
爲	uei6	～什么
主	tɕy3	
丽	li5	
舉	tɕy3	
乃	lai3	
久	ȶəu3	
義	ȵi5	
之	tʂʅ1	
烏	u1	
乍	tsa5	
乏	fa5	
樂	lo5	快～
樂	io5	音～
喬	tɕiɛ2	
乖	kuai1	
乘	sən2	
乙	i5	
九	ȶəu3	
也	ia3-	
也	iɛ3=	
習	ɕi5	
鄉	ɕiɔ̃1	
書	ɕy1	
買	mai3	
亂	lẽ6	
乳	y3	
乾	tɕiẽ2	
了	liɛ3	
爭	tsən1	
爭	tsɔ̃1	
事	sɿ6-	
事	sɿ5=	
二	e6	
于	y2	
虧	kʰuei1	
雲	yn2	
互	fu5	
五	u3	
井	tɕiã3-	
井	tɕin3=	
亞	ia5	
些	ɕi1	
亡	uɔ̃2	
交	tɕiɛ1	
亥	xai6	辛丑～
亦	i5	
產	tsʰã3	
亨	xẽ1	
畝	miɛ3	
享	ɕiɔ̃3	
京	ȶin1	
亭	tiã2-	
亭	tin2=	
亮	ȵiɔ̃6-	
亮	ȵiɔ̃5=	
親	tɕʰin1	
親	tɕʰin5	～家
人	in2	
億	i5	
仁	in2	
僅	ȶʰin5	
仆	pʰu1-	～倒
仆	pʰu5	～人
仇	ȶəu2	
仇	ȶəu2	～姓
今	ȶin1	
介	kai5	
仍	in2	
从	tsəŋ2	
仑	lən2	
倉	tsʰɔ̃1	
仕	sɿ5	
他	ȶʰa1	
仗	ȶɔ̃5	
付	fu5	
仙	ɕiẽ1	
代	tai6-	
代	tai5=	
令	lin6-	
令	lin5=	
儀	ȵi2	
仰	ȵiɔ̃3	
仲	ȶəŋ5	
件	tɕiẽ6-	
件	tɕiẽ5=	
價	ȶa5	
任	ȵin2	～姓
任	in6	
份	fən6	
仿	xɔ̃3	
企	tɕi5	
伍	u3	
伏	fu5	
伐	fa2	
休	ɕiəu1	
衆	ȶəŋ5	
優	iəu1	
伙	xo3	
會	kʰuai5	～计
會	fei6	开～
傘	sã3	
偉	uei3	
傳	tɕyɛ̃2	～达
傳	tɕyɛ̃6	～记
伢	ŋa2	
傷	ɕiɔ̃1	
倫	lən2	
僞	uei6	
伯	pe1	
估	ku1	
伴	pɔ̃6	
伶	lin2	
伸	sən1	
伺	sɿ5	
似	tsɿ6	
佃	tiẽ6	
但	tã5	
位	uei5=	
位	uei6=	
低	ti1	
住	tɕy6	
佐	tso3	
佑	iəu5	
體	tʰi3	
何	xo2	
佘	se2	～姓
佛	fu5	
作	tso1-	
作	tso5=	
你	n̩3-	
你	li3	
佩	pʰei5	
佳	ȶa1	
使	ʂʅ3	
侄	tʂʅ5	
侈	tʂʰʅ3	
例	li5	
侍	sɿ5	
供	kəŋ1	～销社
供	kəŋ5	～给
僥	tɕiɛ3	
偵	tsən1	
側	tse1-	
側	tse5=	
僑	tɕiɛ2	
侮	u3	
侯	xɛ2	
侵	tɕin1	
便	piẽ2	～宜
便	piẽ6	方～
促	tsʰəu1	
促	tsʰəu5=	
俄	ŋo2	
俊	tsən5	
俏	tɕʰiɛ5	
俗	səu5	
俘	fu1	
保	pao3	
信	ɕin5	
儉	tɕiẽ3	
修	ɕiəu1	
俯	fu3	
俸	fəŋ6	
倍	pei6	
倒	tao3	
倔	kui5	
倘	tʰɔ̃3	
候	xɛ6-	
候	xɛ5=	
倚	tɕi6	
借	tɕia5-	
借	tɕi5=	
倡	ȶʰɔ̃5	
倦	tɕyɛ̃5	
倪	ȵi2	
債	tsai5	
值	tʂʰʅ1	
值	tʂʰʅ5	
傾	tɕʰyn1	
假	ȶa3	
偏	pʰiẽ1	
做	tsəu5	
停	tin2	
健	tɕiẽ6	
偶	ŋɛ3	
偷	tʰɛ1	
傀	kʰuai3	
傅	fu5	
傍	pɔ̃5	
儲	tɕy2	
儲	ɕy2	
催	tsʰei1	
傲	ŋao5	
傻	sa3	
像	ɕiɔ̃6	
僧	tsẽ1	
僵	ȶʰɔ̃1	
僻	pʰi5	
儒	y2	
儡	lei3	
兒	y2-	
兒	e2=	
允	yn3	
元	uẽ2	
兄	ɕiəŋ1	
充	ȶʰəŋ1	
先	ɕiẽ1	
光	kɔ̃1	
克	kʰe1	
免	miẽ3	
兌	tei5	
兔	tʰəu5	
兜	tɛ1	
入	y5	
全	tɕiẽ2	
八	pa1-	
八	pa5=	
公	kəŋ1	
六	tʰəu1	
蘭	lã2	
共	kəŋ6	
關	kuã1	
興	ɕin1-	～起
興	ɕin5	高～
兵	pin1	
其	tɕi2	
具	tɕy5	
典	tiẽ3	
養	iɔ̃3	
獸	səu5	
內	lei6	
岡	kɔ̃1	
冉	iẽ3	
冊	tsʰe1-	
冊	tsʰe5=	
再	tsei5	
冒	mao6-	～雨
冒	mao5=	～失
冗	iəŋ3	
寫	ɕia3-	
寫	ɕi3	
軍	tɕyn1	
農	ləŋ2	
冠	kuɔ̃1	衣～
冠	kuɔ̃5	～军
冢	ȶəŋ3	
冤	uẽ1	
冬	təŋ1	
馮	fəŋ2	
冰	pin1	
冲	ȶʰəŋ1	
决	kui5	
况	kʰɔ̃5	
冷	lɔ̃3-	
冷	lən3=	
凍	təŋ5	
淨	tɕin6	
準	tɕyn3	
凉	ȵiɔ̃2	
凊	tɕʰin1	很:～甜
凌	lin2	
減	kã3-	
減	tɕiẽ3	
湊	tsʰɛ5	
几	tɕi1	～乎
几	tɕi3	茶～
几	tɕi3	～个
凡	fã2	
鳳	fəŋ6	
凭	pin2	
凱	kʰai3	
凳	tẽ5	
凶	ɕiəŋ1	
出	tɕʰy1	
擊	tɕi1	
擊	tɕi5	
函	xã2	
鑿	tsʰo1-	
鑿	tsʰo5=	
刀	tao1	
刁	tiɛ1	
刃	ȵin6	
分	fən1	
切	tɕʰi1	
刊	kã1	
刎	uən3	
刑	ɕin2	
划	fa2	～船
划	fa6	计～
列	li5	
劉	liəu2	
則	tse1	
剛	kɔ̃1	
創	tsʰɔ̃5	
初	tsʰəu1	
刪	sã1	
判	pɔ̃5	
刨	pao6	
利	li6	
别	pi5	区～
别	pʰi5	离～
刮	kua1-	
刮	kua5=	
到	tao5	
制	tʂʅ5	
刷	sua1	
券	tɕyɛ̃5	
刺	tsʰɿ5	
刻	kʰe1	
劊	kʰuai5	
剁	to5	
劑	tɕi5	
剃	tʰi5	
削	ɕio1	
前	tɕiẽ2	
剮	kua3	
劍	tɕiẽ5	
剔	tʰi5	
剖	pʰo5	
剝	po1	
劇	tɕy5	
剩	sən6	
剪	tɕiẽ3	
副	fu5	
割	kei6-	
割	kui5-	
割	ko5=	
剿	tɕiɛ3	
劄	tsa1	
劈	pʰia1-	
劈	pʰi5=	
力	li1	
勸	tɕʰyɛ̃5	
辦	pã6	
功	kəŋ1	
加	ȶa1	
務	u5	
劣	le5	
動	təŋ6	
助	tsəu6	
努	ləu3	
劫	tɕi1	
勵	li5	
勁	ȶin5	
勃	pʰu5	
勇	iəŋ3	
勉	miẽ3	
勋	ɕyn1	
勒	le1-	
勒	le5=	
勘	kã1	
募	mu6	
勤	ȶin2	
勺	sao2	
勾	kɛ1	
勾	kɛ5	
勿	fu5	
