#漢字	音標	解釋
□	mu5-	～坡坡：不陡的坡
□	fai0	疼痛時語氣詞
□	lɿ1	～～拉拉：做事不緊湊
□	tu1	跌落而摔。～爛花盆
□	tɕy1	從某物上面往下拽：～斷，～一疙瘩兒衛生紙
□	lia1	卜～：撲棱，快速扭動或者胡亂踢腿甩臂
□	ʂua1	～咧：指責他人做無意義的事情
□	tɕya1	擬聲詞，形容生氣時大聲呵斥的聲音
□	lyɔ1	圪～：物體表面微微翹起褶皺不平。如：煎餅邊邊圪～起來啦，能翻啦。
□	kʰuɔ1	形容虛情假意
□	tsʰai1	～母子：不生養的牲畜或者女人
□	kʰuai1	～哄：哄騙
□	tioʊ1	～倒：把人摔到；～跤：摔跤
□	lioʊ1	圪～：樛的分音詞，彎曲
□	tᵚʋ1	圪～子：拳頭
□	kᵚʋ1	～兒：老鼠
□	sr1	(兒化)圪～：（令人發笑的）癢
□	kʰa˞1	(兒化)～莊：開垣莊的本土叫法
□	mu˞1	(兒化)【木碗兒】的合音
□	kɯ˞ʋ1	(兒化)老鼠
□	ʂʅ2	活～：形容人緣好或子孫滿堂
□	mi2	～～斜斜：悄沒聲兒的壞
□	la2	～嘍手：劃破手
□	la2	毛衣結得～：毛衣織得稀拉不緊湊
□	tsʰa2	～家：安排靈柩安葬等事宜的人
□	ɻa2	嘆詞，表示羨慕的驚訝
□	ɳa2	～開些兒
□	kua2	～～：碗底下的圈腳
□	ɳua2	～～：嬰兒重複伸屈五指
□	ɳuɔ2	衣裳～啦：衣服舊了快要破
□	ɳuɔ2	～住脖子：脖子抽筋直不了
□	uai2	堆，量詞
□	ui2	～挪：坐着挪動
□	nɑʊ2	黏～～：黏糊；一～：一團黏糊的東西
□	nɑʊ2	～魚：一種魚，生长在老河槽、老水坑在水底貼泥浆緩慢游動，不常出現在水面。
□	xoʊ2	小
□	pʰĩ2	我～他強：我比他厲害
□	tʂa˞2	(兒化)白事上祭祀用的云云串起來
□	pʰɿ3	～開：把細長木棍劈開成爲更細的長條
□	li3	～ti(去聲)，未熟的青麥子碾出來的食物，外省稱碾轉
□	kʰi3	～住：跌倒或碰傷
□	xu3	一～：一下子
□	la3	～糊：馬虎
□	pʰia3	～開腿：兩腿分開很大的距離
□	lai3	“擺”的分音後字
□	tsai3	“這塊”的合音，～人；～東西；～時候
□	tʂuai3	～文
□	ɻuai3	老年人沒牙喫東西的動作
□	nɑʊ3	～起：扛起重物
□	lɑʊ3	圪～：“攪”的分音後字
□	lã3	圪～：“杆”的分音後字
□	ɳəŋ3	轉圓周剪
□	luŋ3	圪～：“滾”的分音後字
□	mɿ5	递。～过来
□	nᶻɿ5	打～：半坡停車給車輪下方填阻擋下滾的物體
□	ti5	li(上聲)～，未熟的青麥子碾出來的食物，外省稱碾轉
□	tɕi5	指屬相蛇，龍～馬羊
□	mu5	夾～：蠻幹莽撞
