#漢字	音標	解釋
□	li1	～熟的:很熟悉
□	pʰu1	拿竹篙～
□	lia1	放～:撒娇
□	pai1	(脚跛)
□	tai1	～要:偏要
□	sei1	恶～哒：很凶恶的样子
□	tiau1	(挑选)
□	lã1	～嫩的：很嫩
□	lɔ̃1	～泡的:很松软
□	tʰiɛ̃1	一～铺:一个床
□	mən1	两头～:两头扯
□	lin1	～起进去:悄悄地进去
□	tsɿ2	～人:令人讨厌
□	ko2	(这里)
□	tsai2	～得:应该
□	tsɔ̃2	(止不住～:止不住)
□	tɕʰiɛ̃2	～搭：眼皮上长出的小肉瘤
□	tɕin2	～起哒:凝住了
□	pʰia3	～他一只耳光:打他一个耳光
□	lia3	～舌子:把舌头伸出来
□	tɕia3	要对方接物时语
□	lo3	(舌头在嘴里搅动食物)
□	tsə3	莫～：别撒娇
□	ə3	～咖哒:饼干之类不脆了
□	pʰai3	～书包:背书包
□	pʰai3	一～长:两臂平伸时两手间的距离
□	lai3	在地上～:在地上滚
□	tɕʰiəu3	～不住:挺不住
□	ɕiəu3	(骄傲)
□	tã3	～一下:把蔬菜放到沸水里氽一下
□	tʰã3	烧：在火里～一下
□	ȵiɔ̃3	抖:～咖点灰
□	ȵiɔ̃3	闲逛:莫到处～
□	tʰə̃3	磴:楼梯～子，阶梯
□	kə̃3	(盖住)
□	kə̃3	确实:～有蛮好
□	iɛ̃3	怕～:害羞
□	pən3	～哒一它;打一拳
□	tɕʰi6	(象声词象铜钹声)
□	ka6	一～:大拇指和中指张开的长度
□	pʰia6	～稀巴巴:拉稀
□	ko6	～个:某个,那个
□	sei6	～一坨：偷偷地一拳
□	xei6	～不起：拿不动
□	mã6	油～:身上的污垢
□	kã6	称～～:称雄
□	tsʰə̃6	～哒:按住
□	ȵiɛ̃6	～人:腻人
□	tɕʰin6	～起好高
□	ɕin6	～包:傻瓜
□	pa7	～卿:赤子阴
□	lia7	(累极)
□	lia7	屙:～血块子(骂人)
□	tɕia7	脾气～:脾气不好
□	tsʰo7	(骗)
□	so7	差、丑:一样子
□	tʰə7	(压着)
□	uai7	一声声～一:大声叫喊
□	piau7	跳:鱼从水桶里～出来
□	tɕiau7	穷:～朋友
□	tɕiau7	邪得:歪门邪道
□	tɕiəu7	～哒手:扭伤了手
□	lã7	～进去:凹进去
□	kʰuã7	～起:器物口朝下放置或覆盖别的东西
□	tɕʰiɔ̃7	～得何海去:逛到哪里去
□	ȵiɔ̃7	一～～卿;一丁点儿
□	sən7	～鼻子
□	kʰən7	～弄一笑:噗嗤一笑
□	xən7	围绕，蚊子～
□	ȵin7	～住哒:愣住了
㛯	uã6	(小产)
䁊	kʰuei7	～进去:凹进去
一	tən1	
一	i7	
丁	tin1	
七	tsʰi7	
万	uã6	
丈	zɔ̃6	
三	sã1	
上	zɔ̃6	
下	xa6-	
下	ɕia7=	
不	pu7	
与	y3	
丐	kai7	
丑	tsʰəu3	
專	tɕyɛ̃1	
且	tsʰi3	
丕	pʰi3	
世	sɿ2-	
世	sɿ7=	
丘	tɕʰiəu1	
丙	pin3	
業	ȵi7	
叢	tsʰən2	
東	tən1	
絲	sɿ1	
絲	tɕiau1	
丞	zən2	
丟	tiəu1	
兩	liɔ̃3	～个,几～几钱
嚴	ȵiɛ̃2	～格
喪	sɔ̃1	～事
喪	sɔ̃7	～德:缺德
个	ko2	
个	kʰo2	～子:指人的个子
丫	ŋa1	～开。《广韵》麻韵放加切,象物开之形
丫	ia1	～头
中	tsən1	当～
中	tsən2	射～
丰	xən1	
串	tɕʰyɛ̃2	
臨	lin2	
丸	yɛ̃2	
丹	tã1	
爲	uei2	作～
主	tɕy3	
丽	li7	
舉	tɕy3	
乃	lai3	
久	tɕiəu3	
麼	iau1	
義	ȵi6	
之	tsɿ1	
烏	u1	
乍	tsa7	
乏	ɸã7	
樂	lo7	快～
樂	io7	音～
乓	pʰã3	乒～球
乓	pʰã6	把门一～
喬	tɕiau2	
乖	kuai1	
乘	zən2	
乙	i7	
九	tɕiəu3	
乞	tɕʰi7	
也	ia3-	
習	si7	
鄉	ɕiɔ̃1	
書	ɕy1	
買	mai3	
亂	lə̃6	
乳	y3	
乾	tɕiɛ̃2	～坤
了	liau3	
爭	tsə̃1	
事	zɿ6	
二	ə6	
于	y2	
虧	kʰuei1	
雲	yən2	
互	u6	
五	u3	
亞	ia7	
些	si1	
亡	ɔ̃2	
交	tɕiau1	
亥	ai6	
亦	i7	
產	tsʰã3	
亨	xə̃1	
畝	mau3	
享	ɕiɔ̃3	
京	tɕin1	
亭	tin2	
亮	liɔ̃6	
親	tsʰin1	
親	tsʰin2	～家
人	ȵin2	
什	sɿ7	
仁	zən2	
僅	tɕʰin7	
仆	pʰu7	
仇	zəu2	
今	tɕin1	
介	kai7	
仍	zən2	
从	tsʰən1	～容
仑	lən2	
倉	tsʰɔ̃1	
仕	zɿ6	
他	tʰa1-	
他	tʰa1=	
仗	tsɔ̃2	
仗	zɔ̃6	
付	ɸu7	
仙	siɛ̃1	
仙	ɕiɛ̃1	
仟	tsʰiɛ̃1	
代	tai6	
令	lin7	
