#漢字	音標	解釋
□	sɿ1	語結尾語:搞麼子～
□	li1	很熟悉：～熟的
□	tsa1	調皮：這個伢幾有蠻～
□	tɕʰia1	躲藏：～角落
□	ȵia1	嗲：放～，撒嬌
□	xo1	討好：才罵他現在又去～他
□	tsai1	蹲
□	tɕʰiəu1	噴嚏
□	man1	眼睛睜不開：眼睛～起～起
□	pʰiãn1	打：～死你
□	tʰiãn1	開玩笑,揶揄：～他
□	tʰiãn1	盯著：～噠他搞
□	tsʰẽ1	到處～
□	tõ1	
□	õ1	～子鳥幾
□	tsɿ2	令人討厭:～人
□	kʰa2	胯下：～裡
□	tsai2	～得
□	pʰan2	絆住：腳～噠
□	pʰian2	尿布：～子
□	tɕʰian2	想念：～屋裡
□	põ2	玩弄：把蟲幾～死
□	tsʰɿ3	理睬:不～他
□	ya3	敞：～開領子
□	lai3	滾：在地上～
□	sai3	理睬：冇～起
□	pʰei3	唬人：～他
□	ŋau3	刺激：～人
□	tɕʰiəu3	扭轉
□	kʰan3	咳嗽
□	pʰian3	沾：在鍋裡～兩下
□	ɕin3	蠢：他好～
□	lõ3	搖晃：船～得厲害
□	ȵiõn3	閒逛：天天在外邊～
□	tɕʰi6	象聲詞，像銅鈸聲
□	ta6	在：～屋裡
□	la6	刺：被毛蟲～咖一下
□	ka6	跨步
□	ŋa6	磨：褲子～壞噠
□	pʰia6	～淡的
□	man6	姑姑：～～
□	tsʰən6	推：～出去
□	tɕʰin6	抖：腳莫～
□	tsẽ6	按：～手印
□	tsɿ7	馬上:將～
□	i7	～噠鬼，冒看見噠
□	ku7	～起眼睛
□	pa7	男陰：～幾
□	tsa7	～齊的
□	pʰia7	～噠一隻耳巴：打一耳光
□	lia7	～死:很累
□	so7	差：～傢伙
□	o7	燙：水～人
□	uai7	～起
□	piau7	濺：～得到處都是的
□	man7	不給面子：～起他
□	fan7	翻白眼
□	kuan7	～綠的
□	kʰuan7	狗叫
□	kʰuan7	蓋住：～噠
□	kʰuan7	關：～門
□	tiãn7	扔：～出去
䵋	fei3	褪色：～色
一	i7	
丁	tin1	
七	tɕʰi7	
丈	lõ6	
上	lõ6-	～車
上	sõ6=	～面
下	a6	底～
下	a6	～來
下	ɕia7=	
不	pu7	
丐	kai7	
且	tɕʰi3	
丕	pʰi1	
世	sɿ2-	～上
世	sɿ7=	～界
丘	tɕʰiəu1	
丙	pin3	
丟	tiəu1	
並	pin7	
丫	ŋa1	張開：～開口
丫	ia1	～頭
丸	uan2	
丹	tan1	
主	tɕy3	
乃	lai3	
久	tɕiəu3	
么	iau1	
之	tsɿ1	
乍	tsa7	
乎	fu1	
乏	fan7	
乓	pʰõ1	
乖	kuai1	
乙	i7	
九	tɕiəu3	
乞	tɕʰi7	
也	ia3-	
也	i3=	～許
乳	y3	
乾	ȵian2	
亂	lẽ6	
了	liau3	
予	y3	
事	zɿ6	
二	ə6	
于	y2	
互	vu6	
五	vu3	
井	tɕin3	
亙	kẽ3	
些	ɕia1	一～
些	ɕi1=	～微
亞	ia7	
亡	mõ2	
交	tɕiau1	
亥	ai6	
亦	i7	
享	ɕiõn3	
京	tɕin1	
亭	tin2	
亮	liõn6	
人	ȵin2-	
人	lən2=	
什	sɿ7	
仁	lən2	
仇	ləu2	
仇	tɕiəu2	
今	tɕin1	
介	kai7-	
仍	lən1	
仕	zɿ6	
他	xa1	
他	tʰa1=	
仗	tsõ2-	
付	fu7	
仙	ɕian1	
代	tai6-	～替
代	tai7=	～表
令	lin7	
以	i3	
仰	iõn3	
仲	tsən3	
件	tɕian6	
份	vən6	
仿	xõ3	
企	tɕi6	
伊	i1	
伍	vu3	
伎	tɕi7	
伏	fu7	
伐	fa7	
休	ɕiəu1	
伢	ŋa2	
伯	pa7-	大～：～～
伯	po7=	～父
估	ku1	
伴	põ6-	
伶	lin2	
伸	sən1	
伺	tsʰɿ7	
似	sɿ7	
佃	tian7	
但	tan6	
佈	pu2	
位	uei6	
低	ti1	
住	tɕy6	
佐	tso3	
何	o2	
佗	tʰə7	壓：～噠
佘	sə2	
佛	fu7	
你	ƞ3-	
你	ȵi3=	～方
佩	pʰei7	
佯	iõn2	
佳	tɕia1	
使	sɿ3	
侄	tsɿ7	
來	lai2	
侈	tsʰɿ3	
例	li7	
侍	tsʰɿ7	
侍	sɿ7	
侏	tɕy1	
依	i1	
侮	vu3	
侯	au2-	
侵	tɕʰin1	
便	pian2-	
便	pian6=	
係	ɕi7	
促	tsʰəu7	
俄	ŋo2	
俊	tsən7	
俏	tɕʰiau2-	這個東西有蠻走～
俏	tɕʰiau7=	
俐	li7	
俗	səu7	
俘	fu1	
保	pau3	
俞	y6	
俠	ɕia7	
信	ɕin2-	
信	ɕin7-	相～
修	ɕiəu1	
俯	fu3	
俱	tɕy7	
倀	tsʰõ1	
倂	pin7	
倆	liõn3	
倉	tsʰõ1	
個	ko2	
倍	pei6	
倒	tau3	
倔	tɕyi7	
倘	tʰõ3	
候	xau7-	
候	xəu7	
倚	i3	
借	tɕia2-	
倡	tsʰõ7	
倣	xõ3	
倦	tɕyan7	
倪	ȵi2	
倫	lən2	
倭	o1	
值	tsʰɿ7	
假	tɕia3	～的
假	tɕia3	放～
偈	tɕi7	
偉	uei3	
偏	pʰian1	
偕	ɕi7	
做	tsəu2	
停	tin2	
健	tɕian7	
側	tsʰə7	
偶	ŋəu3=	
偷	tʰəu1	
傀	kʰuai3	
傅	vu6-	師～
傅	fu7	
傍	põ2	
傑	tɕʰi7	
傘	san3	
備	pi7-	
傢	ka1-	
傢	tɕia1=	
催	tsʰei1	
傲	ŋau7	
傲	ŋəu7=	
債	tsai7	
傷	sõ1	
傻	sa3	
傾	kʰuan1-	倒：～在地上
傾	tɕʰyn1=	～盆大雨
僅	tɕʰin7	
像	liõn6	
僑	tɕiau2	
僕	pʰu7	
僚	liau2	
僞	uei3	
僥	tɕiau3	
僧	sẽ1	
僵	tɕiõn1	
價	tɕia2	
僻	pʰi7	
儀	ȵi2	
儂	lən2	
億	i7	
儉	tɕian3	
儒	y2	
償	lõ2-	
儡	lau3	
優	iəu1	
儲	tɕy2	
儷	li7	
儻	tʰõ3	
儼	ȵian3	
兀	vu7	
允	yn3	
元	yan2	
兄	ɕin1	
充	tsʰən1	
兆	lau6	
