#漢字	音標	解釋
□	po1	烫的意思
□	pae1	腿残疾
□	tɕʰia2	“跨”的意思
□	ȵiɛu2	用开水短时间煮、烫
□	tsʰuen3	按住
□	pʰɛu5	～块，十元
□	tɕiəɯ5	拧、拗,把水龙头～紧
□	ȵiɛ6	滚、沾，粽子～点糖吃
□	miæ7	掰，～包谷
一	i7	
丁	ten1	
七	tsʰei7	
万	va6	
丈	tsaŋ6	
三	sa1	
上	saŋ6	
下	xo6-	
下	ɕia6	
不	pu7	
丑	tsʰəɯ3	
專	tɕyɛ1	
世	sɿ6	官话调
丘	tɕʰiəɯ1	
丙	pin3	
業	ȵiæ7	
業	iæ7=	
叢	dzoŋ2	
東	toŋ1	
絲	sɿ1	
丞	dzen2	
丟	tiəɯ1	
兩	ȵiaŋ3	
嚴	ȵian2	
喪	saŋ1	～事
个	kəɯ5	
丫	ia1	
中	tsoŋ1	～间
中	tsoŋ6	～奖,官话调
丰	foŋ1	
串	tɕʰyɛ5	
臨	nen2	
丹	tan1	
爲	uei2	
主	tsu3	
久	tɕiəɯ3	
麼	iɛu1	～二三
義	ȵi6	
烏	u1	
乏	fa7	
樂	no7	～趣
樂	io7	音～
喬	dʑiɛu2	
乖	kuɛ1	
乘	dzen2	
乙	i7	
九	tɕiəɯ3	
也	iɛ3	
習	ɕi7	
鄉	ɕiaŋ1	
書	su1	
買	ma3	
亂	no6	
乾	dʑian2	
了	ȵiɛu3	～解
爭	tsen1	
事	sɿ6	
二	ae6	
于	y2	
虧	kʰuei1	
雲	yn2	
互	fu6	
五	u3	
井	tsen3	
亡	vaŋ2	
交	tɕiɛu1	
亥	xɛ6	
產	tsʰan3	
畝	məɯ3	
享	ɕiaŋ3	
京	tɕin1	
亭	den2	
亮	ȵiaŋ6	
親	tsʰen1	～戚
親	tsʰen5	～家
人	zen2	
億	i6	
仁	zen2	
仇	dzəɯ2	
今	tɕiɛ1	又读
今	tɕin1	又读
介	kae6	官话调
从	dzoŋ2	
倉	tsʰaŋ1	
他	tʰa1	
仗	tsaŋ6	
付	fu5	
仙	ɕiɛ1	
代	tae6	
令	nen6	
以	i3	
仰	ȵiaŋ3	
件	tɕiɛ6	
任	zen6	
份	fen6	
伍	u3	
伏	fu7	
休	ɕiəɯ1	
衆	tsoŋ6	官话调
優	iəɯ1	
伙	xəɯ3	
會	kʰuae6	～计, 官话调
會	xuei6	
傘	sa3	
偉	uei3	
傳	dʑyɛ2	～达
伢	ŋo2	
傷	saŋ1	
倫	nuen2	
伯	pæ7	
估	ku1	
伴	po6	
伴	pan6	又读po24
伸	sen1	
位	uei6	
低	ti1	
住	tsu6	
佑	iəɯ6	
體	tʰi3	
余	y2	
作	tso7	
你	ȵi3	
使	sɿ3	
侄	tsʰei7	
供	koŋ1	～不起
供	koŋ6	官话调, ～血
依	i1	
僥	tɕiɛu3	
偵	tsen1	
側	tsʰæ7	
僑	dʑiɛu2	
侵	tɕʰin1	
便	biɛ2	～宜
便	piɛ6	方～
便	pian6	方～
俗	səɯ7	
保	pɛu3	
信	sen5	
修	ɕiəɯ1	
俱	tɕy5	
倍	pei6	
倒	tɛu3	打～
倒	tɛu5	～水
借	tɕio5	
倡	tsʰaŋ5	
值	tsʰei7	
假	tɕia3	
偏	pʰiɛ1	
做	tsu5	
停	den2	
健	tɕian6	
償	dzaŋ2	
傍	paŋ6	
催	tsʰuei1	
傲	ŋau6	
像	tɕiaŋ6	
僧	sen1	
僵	tɕiaŋ1	
兒	zɿ2	
允	yn3	
元	yɛ2	
兄	ɕioŋ1	
充	tsʰoŋ1	
兆	tsau6	
先	ɕiɛ1	
光	kuaŋ1	
克	kʰæ7	
免	miɛ3	
兌	tuei6	
兔	tʰu5	
黨	taŋ3	
兜	tɛ1	
全	dʑyɛ2	
全	tɕio7	
八	pa7	
公	koŋ1	
六	ȵiəɯ7	
蘭	na2	
共	koŋ6	
關	kuan1	
興	ɕin1	～旺
興	ɕin5	高～
兵	pin1	
其	dʑi2	
具	tɕy6	
典	tian3	
養	iaŋ3	
獸	səɯ6	
岡	kaŋ1	
冊	tsʰæ7	
再	tsae6	官话调
冒	mau6	
寫	ɕio3	
軍	tɕyn1	
冠	ko1	鸡～
冠	kuan6	～军
冤	yɛ1	
馮	foŋ2	
冰	pin1	
冲	tsʰoŋ1	
决	tɕyæ7	
况	kʰuaŋ5	
冷	nen3	
凍	toŋ6	官话调
淨	tsen6	
準	tsuen3	
凉	ȵiaŋ2	
凌	ȵin2	
減	ka3-	
減	ko3-	
減	tɕiɛ3=	
減	kan3=	
湊	tɛ5	～钱，凑钱之意
湊	tsʰəɯ6	官话调
几	tɕi3	～个
鳳	foŋ6	
凭	bin2	
凳	ten5	
凶	ɕioŋ1	
出	tsʰuei7	
擊	tɕi7	
凼	taŋ6	坑，～～
鑿	tsʰo7	
刀	tɛu1	
刁	tiɛu1	
分	fen1	
切	tɕʰiæ7	
刑	ɕin2	
划	xua2	
列	ȵiæ7	
劉	ȵiəɯ2	
則	tsæ7	
剛	kaŋ1	
初	tsʰu1	
判	pʰan6	官话调
刨	bɛu2	动词
利	ȵi6	
别	piæ7	
