#漢字	音標	解釋
一	i2	
七	tɕʰi1	
万	mei5	
丈	tʰioŋ3	
三	so1	
上	tsʰoŋ3	～山
不	pu2	
丑	dzəɯ5	
丘	tɕʰiaŋ1	
東	təu1	
絲	sai1	
兩	tso3	～个
兩	lioŋ3	几～几钱
中	toŋ1	
丸	y2	
爲	y5	
主	tsa3	
久	tɕiai3	
乖	kua1	
九	tɕiai3	
鄉	ɕioŋ1	
書	tsəɯ1	
買	mai3	
亂	dzoŋ5	
爭	tsa1	
事	tsai5	
二	tso3	
雲	y2	
五	ŋ̍3	
享	ɕioŋ3	
亮	lioŋ5	
親	tɕʰi1	
親	tɕʰi1	～家
人	ŋ̍1	
仆	bo3	～倒
仇	dzəɯ2	
今	tɕi1	
倉	tsʰoŋ1	
仙	ɕi1	
代	tʰa1	
件	tɕʰiɛ3	
會	ai3	～不～
傘	soŋ3	
伢	ŋo1	小～子
傷	soŋ1	
伯	pe1	
住	tiəu5	
何	uɛ2	
你	ȵiɛ3	
使	sai3	
侄	tʰi1	
侍	sai5	
便	piɛ2	～宜
便	pʰi5	方～
信	ɕiɛ5	
修	ɕia1	
倒	tau5	～水
值	tʰiəu1	
假	ko3	
偏	pʰi1	
做	tsə5	
停	daŋ2	
傅	fu1	
催	tsʰua1	
像	dʑiaŋ3	
兄	foŋ1	
充	tsʰoŋ1	
先	ɕi1	
兌	tua5	
兔	tʰəu5	
兜	tai1	
入	ŋ̍3	
八	pa1	
公	kəu1	
六	liei1	
蘭	la1	
養	zoŋ3	
再	tsai5	
寫	ɕio3	
軍	tɕyɛ1	
冬	təu1	
冲	tsʰəu1	
凍	təu5	
淨	tɕʰiɛ1	
準	tsuei3	
几	tɕi3	～个
出	tsʰu1	
刀	tau1	
分	fei1	
切	tɕʰiɛ2	
劉	liei1	
初	tsʰə1	
刨	pau2	～地
刮	kua3	
到	tau5	
刷	sua3	
刺	tɕʰi5	
刻	kʰa1	
剃	tʰai5	
削	ɕiau1	
前	dʑiɛ2	
剔	tʰi1	
剖	pʰe5	
剝	pau1	
剩	zaŋ5	
割	ɡei5	
力	liəu1	
勸	tɕʰy5	
功	kəu1	
動	dzəu3	
勤	tɕi2	
勺	tɕyɛ2	
勾	kei1	
勻	zuei2	
包	pau1	
北	pe1	
匠	dʑioŋ5	
匹	fa2	
十	tsʰɿ1	
升	tsaŋ1	
半	poŋ5	
單	ta1	
賣	mai5	
南	la1	
历	lo1	日～
厲	li5	
壓	o1	
厚	ʔai3	
廚	tiəu2	
去	kʰei5	
縣	uɛ2	
雙	soŋ1	
雙	dzoŋ5	～生
反	fei3	
发	fa1	
取	tsʰai3	
變	pi5	
口	kʰai3	
古	ku3	
只	tse1	
右	dzai5	
葉	sei1	
嘆	tʰai5	
各	ko1	
同	dəu2	
名	miɛ1	
吞	tʰua1	
吠	fei5	
听	tʰa1	
吵	tsʰau3	
吹	tɕʰyɛ1	
吼	xəɯ5	
吾	u3	
告	kau5	
嘔	ʔai3	
味	mi5	
命	ma5	
和	u2	
和	xua1	
咬	ȵio3	人～、狗～
咬	za3	人～骨头
咸	dʑiɛ2	
哄	xəɯ3	
響	ɕioŋ3	
啞	o3	
哥	ko1	
唱	tsʰoŋ5	
啄	tsua1	
啼	liɛ2	
喂	y5	
喉	ʔai2	
喜	kʰei1	
噴	pʰei1	
嘴	tɕy3	
嚼	tɕʰiau3	
四	ɕi5	
囥	tɕʰio1	藏
圍	y2	
圈	tɕʰyɛ1	
土	tʰiɛ3	
在	tsʰei3	
地	tʰai5	
場	dioŋ2	
坎	kʰoŋ1	
壞	xua3	
坐	tɕi3	
坑	kʰaŋ1	
塊	kʰua5	
壩	po5	
墳	fei2	
坡	bu5	
坪	fa2	
墊	tʰei1	
埋	mə1	
堂	tʰa1	
堆	tua1	
堤	di2	
塌	tʰo2	
塔	tʰa2	
塘	doŋ2	
塞	se1	
填	dei2	
牆	tɕioŋ2	
墨	me1	
墩	tuei1	
壁	piɛ5	
聲	sə1	
殼	kʰəu1	
壺	vu2	
多	tiɛ1	
夜	zo5	
够	kai5	
大	luɛ5	
天	tʰei1	
頭	ta2	
夾	ko1	
契	tɕʰi5	
套	tʰau5	
女	ȵiəu3	
好	xau3	
婦	pʰai5	
姓	ɕiɛ5	
姜	tɕioŋ1	
娘	ȵioŋ2	
娶	tsʰai3	
婚	xuei1	
媒	ma1	
媳	ɕi5	
嫁	ko5	
嫂	tsʰau3	
嫩	luei5	
子	tsai3	
字	dzai5	
孫	suei1	
學	əu2	
守	tsəu3	
安	ŋa1	
宋	səɯ5	
完	y2	
官	koŋ1	
定	da5	
宜	ȵi2	
寶	pau3	
客	kʰo1	
害	a5	
家	ko1	
寄	tɕi5	
寡	kua5	
對	tua5	
尋	luɛ3	
封	fəu1	
射	dzo5	
少	tsau3	多～
尖	tsei1	
尘	tʰei1	
尚	tsʰoŋ3	和～
就	tɕiəu5	
尺	tsʰo1	
尾	mɛ3	
尿	ȵiau5	
屁	pʰi5	
層	dzaŋ2	
屉	tʰua1	
屎	sɿ3	
屠	du2	
履	li3	
山	sei1	
歲	tsua5	
岩	ŋai1	
崩	paŋ1	
州	tsa1	
工	kəɯ1	
巫	vu1	
差	tsʰo1	
巴	po1	
布	pu5	
師	sai1	
帳	tioŋ5	
帕	pʰo5	
帚	tsu3	
帶	tuɛ1	
席	ɕi2	
幫	paŋ1	
帽	mau5	
干	kʰoŋ1	
平	fa2	
年	lei1	
牀	dzoŋ2	
底	ta3	
廟	miau5	
座	tɕi3	
開	kʰa1	
弄	ləu1	
張	tioŋ1	
彎	ua1	
彈	doŋ2	～琴
强	tɕioŋ2	
影	i5	
徒	dəu2	
得	te1	
徛	dza5	
心	ɕi1	
忘	moŋ5	
忙	moŋ1	
快	kʰua5	
急	ki1	
怪	kuai5	
惱	lau3	
惜	ɕiɛ3	
想	ɕioŋ3	
惹	zo3	
慌	xoŋ1	
慢	ma5	
懶	dzoŋ3	
戲	ɕi3	
戒	ka5	
戚	tɕʰi1	
戳	tiei1	
戴	tai5	
房	voŋ2	
扁	piɛ3	
扇	sei1	
手	səu3	
才	dzai2	
扣	kʰəu5	
掃	sau3	
掃	sau5	
揚	zoŋ2	
扮	poŋ5	
把	po3	～守
摳	kʰai1	
搶	tɕʰioŋ3	
報	pau5	
披	pʰai1	
抬	ta2	
抱	bau3	
抹	mo1	
押	o1	
抽	tʰiei1	
擔	ta5	～子
拆	tsʰai3	
拍	pʰo1	
拖	tʰiɛ1	
拜	pa1	
攏	ləu5	
攔	loŋ1	
拾	tsʰɿ1	
挂	kua5	
指	tsai3	
按	ŋa1	
挖	ua3	
挾	ko1	～菜
捉	tsua1	
捏	ȵio1	
撈	ləu1	
捱	ŋai1	～打
捲	tɕy3	
捷	tɕʰi3	
掀	ɕy1	
掐	kʰo1	
排	bai2	
接	tɕiɛ1	
推	tʰua1	
提	di2	
提	tʰiɛ1	
插	tsʰo1	
握	u2	
揭	tɕiɛ1	
搓	tɕʰyɛ1	
搜	sai1	
搞	kau3	
搬	poŋ1	
搭	ta2	
摆	pa3	
摇	zau2	
攤	tʰoŋ1	
摘	tiɛ1	
摸	me1	
撑	tsʰa1	
撒	ɕyɛ1	
撞	tsʰoŋ5	
撤	tsʰai1	
擦	tsʰo1	
攀	pʰoŋ1	
收	sa1	
改	kai3	
放	foŋ5	
救	tɕiau3	
教	kau1	～书
散	soŋ3	
數	sai3	
數	sai5	名
敲	kʰau1	
文	vei2	
斋	tsa1	
斗	tai3	
斜	dʑio2	
斤	tɕi1	
斧	fu3	
斷	tʰoŋ3	
新	ɕi1	
方	foŋ1	
旗	dʑi2	
日	ŋoŋ3	
舊	ku5	
早	tsu3	
旱	ŋ̍5	
時	sɿ2	
明	mei5	
星	ɕi1	
春	tsʰuei1	
是	tsʰe3	
曬	sai5	
曉	ɕiau3	
更	ken1	五～
替	tʰi5	
月	yɛ1	
有	vai3	
朋	pʰoŋ2	
服	fu5	
朝	tiau1	今～
木	ŋoŋ1	
本	pei3	
殺	sa1	
殺	ɕiei1	
杉	so1	
李	li3	
杏	ʔa3	
村	tsʰuei1	
杠	koŋ5	
條	diau2	
來	zɛ2	
松	səu1	～开
松	dʑiəu2	～树
板	poŋ3	
枇	bi2	
枕	tsei5	
林	ləu1	
枝	tse1	
棗	tsu3	
楓	fəu1	
架	ko5	
柄	pa5	
柑	ka1	
染	ȵi5	
櫃	kuei3	
查	dzo2	調～
柱	tʰiai1	
柳	liei3	
欄	loŋ2	
樹	tsai5	
株	ta1	
樣	zoŋ5	
格	ke2	
栽	tsa1	
桃	lau2	
桐	dəu2	
桑	soŋ1	
橋	dʑiau2	
桶	tʰəu1	
夢	maŋ5	
梨	za2	
梭	so1	织布～
梯	tʰai1	
梳	sə1	～头
棉	miɛ1	
棋	dʑi2	
棍	kuei5	
棒	paŋ3	
棚	bəu2	
森	sei1	
椅	i5	
椿	tsʰuei1	
楔	ɕiɛ1	
樓	lai1	
槌	ty2	
槽	tsau2	
模	mo1	
橫	ʔa2	
檀	da2	
歡	xõ1	
歌	kuɛ1	
正	tse1	～月
正	tsei5	
武	vu5	
死	ɕi3	
殿	tʰei3	
毒	təu2	
比	pi5	～较
毛	mo1	
气	tɕʰi5	
水	tsu3	
求	tɕiei2	
汗	ŋ̍5	
池	dzɿ2	
汽	tɕʰi3	
沉	dei2	
沓	tʰo3	一～纸
沙	so1	
溝	kei1	
漚	ʔai5	
油	zai1	
泅	dʑiei2	
泉	tsuei1	
法	fa3	方～
泡	pʰau5	～在水里
泥	ȵiɛ1	
洋	zoŋ2	
洞	dəu5	
洪	ɣəɯ2	
活	xuɛ2	
派	pʰa3	
流	dzəu2	
漿	tɕioŋ1	
澆	tɕiau1	
濃	ȵiəu1	
浪	loŋ5	
浮	fəu1	
海	xai5	
潤	zuei5	
漲	tioŋ3	
澀	tɕio1	
涮	soŋ5	
淋	dzəɯ5	
淘	dau2	～米
淡	doŋ5	
深	sei1	
淹	aŋ1	
添	tʰei1	
清	tɕʰiɛ1	
渣	tso1	
溫	uei1	
湖	u2	
灣	ua1	
溼	dʑi2	
濺	tso5	
溪	kʰei1	
滓	tsai1	
滾	kuei3	
滿	moŋ3	
灘	tʰoŋ1	
滴	ti1	
漂	pʰiau1	～白
漏	zai5	
潭	daŋ2	
潲	sau3	猪食
澄	dei5	
澡	tsau3	
火	fa3	
燈	taŋ1	
灰	xei1	
灸	tɕiei3	
災	tsa1	
爐	ləu1	
炒	tsʰau3	
炙	tso1	
炭	tʰoŋ5	
炮	pʰau5	
炸	tso1	
點	tei3	
烘	xəɯ1	～干
燭	tsəu1	
烟	y1	
燒	sau1	
熱	dze3	
焙	pa1	
焦	tɕiau1	
