#漢字	音標	解釋
一	e7	
丁	tɛiŋ1	
七	tsʰe7	
丈	tiŋ4	
三	sɔ̃1	
上	siŋ5	
下	a4	
丐	kai5	
丑	tʰio3	
專	tʃyɪ̃1	
且	tsʰiɔ̃3	
丕	pʰi2	
世	sɿ5	
丗	sɿ5	
丘	kʰiu1	
丙	pɛiŋ3	
業	ie4	
東	tɔuŋ1	
絲	si1	
丞	sɛiŋ2	
兩	liŋ3	
嚴	ŋɪ̃2	
喪	saŋ5	丧失。
中	tœyŋ1	
丰	xɔuŋ1	
臨	lɛiŋ2	
丸	yɪ̃2	
主	tʃø3	
丼	tsɔ̃3	
丽	li5	
舉	kø3	
乃	lai3	
久	kio3	
義	ŋɪ̃5	
之	tsɿ1	
烏	u1	
乍	tsa5	
乏	xua4	
樂	ɡo4	音乐。
喬	kio2	
乖	kuai1	
乘	sɛiŋ2	
乘	sɛiŋ2	
乙	e7	
九	kio3	
乞	kʰyɛ7	
也	ia3	
習	si4	
鄉	siŋ1	
書	ʃy1	
買	mɛ3	
亂	nuɪ̃5	
乳	ø3	
乾	kʰɪ̃2	乾坤。
亂	nuɪ̃5	
了	liau3	
事	sai5	话事。
二	ŋɪ̃5	
于	y2	
亏	kʰyi1	
五	ɡo3	
井	tsɔ̃3	
亞	a5	
亞	a5	
亡	ɡuaŋ2	
交	kau1	
亥	xai4	
亦	i4	
產	suẽ3	
產	sɔɪ̃3	
亨	pʰɔɪ̃1	
京	kɛiŋ1	
亭	tɔɪ̃2	
親	tsʰɛiŋ1	
人	lɛiŋ2	
億	i5	
什	sɿ4	
仁	iɛiŋ2	
仅	kɛiŋ3	
今	kɛiŋ1	
介	kai5	
仑	nuɪ̃2	
倉	tsʰaŋ1	
仕	sɿ5	
他	tʰa1	
仗	tiŋ4	
付	xu5	
仙	sɪ̃1	
代	tai5	
令	lɛiŋ5	
以	e3	
儀	ŋɪ̃2	
仲	tœyŋ4	
件	kɪ̃4	
任	iɛiŋ5	
企	kʰe3	
伊	i1	
伍	ɡo3	
伏	xu4	
伐	xua4	
休	siu1	
會	xui5	
傘	suẽ3	
偉	ye7	
傷	siŋ1	
倫	nuɪ̃2	
僞	ɡui5	
伯	pa7	
估	ko3	
伴	pʰuɪ̃4	
伸	sɛiŋ1	
似	sɿ4	
伽	kia1	
位	yi5	
住	tiu5	文读，白读。
住	ty5	
住	tʃiu5	
住	tʃy5	
佐	tsɔ3	
佗	to2	
余	y2	
佛	xue7	
佛	xue4	
佛	xui7	
佛	xui4	
佩	pʰui5	
佳	ka1	
使	sai3	文读，使得。
使	sɤ3	
來	lai2	
例	lie5	
侍	sɿ5	
侏	tʃy1	
侖	nuɪ̃2	
供	kœyŋ5	供佛。
依	i1	
僑	kio2	
儕	tse2	
儂	lɔuŋ2	
侮	o3	
侯	xau2	
侵	tsʰɛiŋ1	
便	pɛiŋ2	便宜。
促	tʃʰø7	
俄	ɡo2	
俌	xo3	
俏	tsʰio5	
俗	ʃy4	
保	pɔ3	
俞	y5	
信	sɛiŋ5	
儉	kɪ̃4	
修	siu1	
俯	xo3	
俱	ky1	
俸	xɔuŋ4	
俺	ɔ̃1	
倉	tsʰaŋ1	
倍	p	
倒	tɔ3	打倒。
倚	e3	
倦	kyɪ̃5	
倪	ie2	
倫	nuɪ̃2	
債	tsie5	
傾	kʰɛiŋ1	
假	ka3	
偉	ye7	
偏	pʰɪ̃1	
偕	kai1	
停	tɔɪ̃2	停止，停酒：筛酒。
停	tʰɔɪ̃2	
健	kyɪ̃5	
偷	tʰau1	
償	siŋ3	
傅	xu4	姓，師傅。
傅	xu5	
傍	paŋ2	
傑	kie4	
傘	suẽ3	
備	pi5	
儲	ty2	
催	tsʰue1	
催	tsʰui1	
傲	au5	文读，白读。
傲	ɡau5	
債	tsie5	
傷	siŋ1	
傻	sa1	
傾	kʰɛiŋ1	
僅	kɛiŋ3	
僆	suɪ̃5	鸡～：小母鸡。
像	siŋ4	
僑	kio2	
僞	ɡui5	
僮	tɔuŋ2	
僵	kiŋ1	
價	ka5	
僻	pʰɛ7	
僻	pʰia7	
僻	pʰe7	
儀	ŋɪ̃2	
儂	lɔuŋ2	
億	i5	
儉	kɪ̃4	
儒	y2	
儕	tse2	
償	siŋ3	
優	iu1	
儲	ty2	
兀	ɡue7	
允	yɛiŋ3	
元	ŋɪ̃2	
兄	siɔ̃1	
充	tsʰœyŋ1	
兆	tio4	
先	sɔɪ̃1	文读，白读。
先	sɪ̃1	
光	kŋ1	
克	kʰai7	
免	mẽ3	
兒	i2	
兔	tʰu5	
兜	tau1	
入	ŋɪ̃4	
全	tsɪ̃2	
兩	liŋ3	
八	pe7	
公	kɔuŋ1	
六	ly4	
蘭	nuɪ̃2	
共	kœyŋ5	
關	kuɪ̃1	
興	xɛiŋ1	
兵	pɛiŋ1	
具	ky4	
典	t	
兹	tsɿ2	
兼	kɪ̃1	
冀	i5	
岡	kaŋ1	
冊	tsʰa7	
冊	tsʰa7	
再	tsai5	
冒	bo5	
寫	sia3	
軍	kuɪ̃1	
農	lɔuŋ2	
冢	tʰœyŋ3	
冤	yɪ̃1	
冥	bɛiŋ2	文读，夜。
冥	bɔ̃2	
冥	mɛiŋ2	
冥	mɔ̃2	
冬	tɔuŋ1	
冰	pɔɪ̃1	
冰	pɛiŋ1	
冲	tsʰœyŋ1	
冶	ia3	
冷	nɔɪ̃3	
准	tsœyŋ3	
凋	tio1	
凝	lɛiŋ2	
几	ke3	
凡	xuɪ̃2	
鳳	xɔuŋ4	
凱	kʰai3	
凱	kʰai3	
凶	xœyŋ1	
擊	ke7	
函	xɔ̃2	
鑿	tsʰo7	文读，刺也，单字读。
鑿	tsʰo4	
鑿	tsʰu7	
鑿	tsʰu4	
刀	to1	
刁	tʰio1	
分	xuɪ̃1	
切	tsʰuɛ7	文读，切菜。
切	tsʰiɛ7	
刊	kʰɔɪ̃1	
刑	xœyŋ2	
劉	liu2	
則	tsai7	
剛	kaŋ1	
初	tsʰu1	
刪	suɪ̃1	
判	pʰuɪ̃4	
利	li5	
刪	suɪ̃1	
刮	kua7	
到	to5	
刴	to7	
制	tsɿ5	
刷	sue7	
券	kyɪ̃5	
刺	tsʰi4	文讀，白讀。
刺	tsʰi5	
刺	tsʰɿ4	
刺	tsʰɿ5	
刻	kʰai7	
剁	to7	
剃	tʰie5	
則	tsai7	
削	sia7	文读，白读。
削	siɔ7	
前	tsʰɪ̃2	
剎	sua7	
剮	kua3	
剔	tʰe7	
剛	kaŋ1	
剝	po7	文读，白读。
剝	pɔ7	
劇	kia4	
剩	sɛiŋ5	
剪	tsɔɪ̃3	
剮	kua3	
割	kua7	
劃	ɡui4	计划。
劇	kia4	
劈	pʰiɛ7	
劉	liu2	
劍	kɪ̃5	
劒	kɪ̃5	
劔	kɪ̃5	
力	li4	文讀，白讀。
力	lai4	
力	si4	
力	sai4	
勸	kʰyɪ̃5	
辦	pɔɪ̃5	
