#漢字	音標	解釋
□	ma1	打
□	pʰia1	拖着扫
□	lia1	枫树
□	lia1	圆形竹编晒器
□	sua1	鼠啮
□	tsʰæ1	冻裂
□	tsʰie1	出秽语
□	kʰie1	用扁担单头翘物
□	o1	煮
□	tsʰi1	窥视
□	ku1	用指甲捏
□	kʰu1	霉
□	pei1	拔
□	tei1	抢
□	tsʰei1	抓
□	pʰø1	水沟
□	sø1	旋转
□	sø1	沸起
□	ø1	放置
□	tsai1	拳击
□	sai1	用指甲抓
□	pʰuai1	漂走
□	suai1	瘦
□	au1	委曲
□	kʰan1	器皿未装满
□	kuan1	旁边
□	pʰaŋ1	训斥
□	tsaŋ1	骹～：脚跟
□	tsaŋ1	轻挖
□	pʰiaŋ1	一大片
□	miaŋ1	倒下
□	uaŋ1	双掌持物
□	sa2	男子～naŋ2 tsɿ sa2：男人；阿娘～aŋ1 nioŋ2 sa2：女人
□	pʰo2	鼓起
□	sio2	～货：劣货
□	kʰei2	冻结
□	xø2	怒视
□	lau2	惹
□	kʰien2	山腰
□	hin2	响
□	tsʰaŋ2	双脚跳
□	tsʰuaŋ2	照明
□	la3	鞭打
□	tsʰa3	裂开
□	tʰia3	编织竹器
□	kia3	涩的味感
□	kʰia3	跟随
□	læ3	舔
□	kʰie3	断绝往来
□	noi3	用手指摘
□	kʰoi3	翅膀
□	uo3	刮耳光
□	hi3	伸手
□	tui3	放置
□	tsʰui3	仆倒
□	u3	毁
□	tʰei3	甩
□	tø3	绊脚
□	ø3	摁
□	luai3	罗集
□	tiau3	反驳
□	tan3	跌
□	lan3	口水
□	tsʰan3	脾气不好
□	kʰan3	盖住
□	kʰien3	豆架
□	øn3	重新量过
□	pʰun3	推倒
□	lyn3	食肉析骨
□	paŋ3	阻挡
□	kʰaŋ3	捏、掐
□	tʰiaŋ3	果实未熟即落
□	niaŋ3	～头：点头
□	iaŋ3	招手
□	kuaŋ3	质硬
□	kʰuaŋ3	火笼
□	tuaŋ3	手覆物
□	luaŋ3	搂
□	tuŋ3	拳击
□	suŋ3	推
□	pʰia5	打巴掌
□	tia5	歪歪扭扭地走
□	hia5	设置障碍
□	mæ5	凹下
□	tsʰæ5	～箬：树叶
□	kʰæ5	砍
□	tsʰie5	钹
□	tsʰio5	欺骗
□	sio5	用棍打
□	xuo5	脾气坏
□	uo5	～人来：叫人来
□	tʰui5	熨
□	tiu5	掐
□	niu5	绳线乱成团
□	tsiu5	犟
□	tsiu5	绞
□	ly5	用刀划开
□	pei5	没于水
□	tø5	笨
□	xø5	拳击
□	xyø5	戽
□	nai5	捅一拳
□	tsʰai5	饿死
□	tsʰau5	乱动
□	piau5	分赠
□	an5	斜卧
□	puan5	扶稳
□	kʰon5	垫
□	mən5	埋
□	kun5	机灵
□	paŋ5	钻进草蓬
□	taŋ5	受硬物顶压
□	tsaŋ5	擎住
□	tiaŋ5	久病不死
□	niaŋ5	看
□	siaŋ5	逗引
□	kʰioŋ5	刘海
□	tuŋ5	顿脚
□	kuŋ5	不直
□	xuŋ5	摇动树木
□	ta6	瞄准着打
□	pia6	脚踢
□	hia6	捆绑
□	tʰæ6	浸
□	pie6	用拇指和中指弹物
□	tsʰoi6	水中捞物
□	soi6	刺
□	po6	棍打
□	mo6	没有
□	tʰio6	捏
□	kʰu6	无能
□	tø6	踢
□	nø6	揉
□	kʰø6	打～：有病
□	xø6	路
□	tʰuan6	提出
□	søn6	镶衣边
□	nuaŋ6	仰头
□	sioŋ6	穿
㛈	kʰo3	
㝗	luaŋ6	空行
㨪	xuoŋ3	
瞜	lau1	
䖳	tsʰa5	
䭕	tʰiaŋ3-	味淡
一	i3	
丁	tən1	
七	tʰei3	
万	uan6	
丈	hioŋ3	量
丈	hioŋ6	～人
三	saŋ1	
上	sioŋ3	～山
上	sioŋ6	～面
下	xa3	～面
下	xa6	～下
不	pui3	
与	y3	
丑	hiu3	
專	tsøn1	
世	si5	
丘	kʰiu1	
丙	pən3	
業	nie1	
叢	tʰuŋ2	
東	tuŋ1	
絲	sɿ1	
丟	tiu1	
兩	lioŋ3	
嚴	nien2	
喪	suaŋ1	
喪	suaŋ5	～失
个	ko5	
丫	a1	
丫	ia6=	
中	tuaŋ1-	～坊：地名
中	tyuŋ5	打～
中	tyuŋ1=	
丰	xuŋ1	
串	tsʰøn5	
臨	lən2	
丸	yøn2-	
丸	uan2	
丹	tan1	
爲	ui6	～了
主	tsy3	
丽	lei6	
舉	ky3	
乃	nai3	
久	kiu3	
義	ni6	
之	tsi1	
烏	u1	
乍	tsʰa6	
乏	xua1	
樂	na1	音～
樂	lo1	
乓	pʰaŋ1	
乖	kuai1	
乘	sin2	
乙	i3	
九	kiu3	
乞	kʰi3	
乞	kʰø3	～食kʰø3 sie1：乞丐
也	ia3	
書	sy1	
買	mæ3	
亂	luan6	
乳	ny3	
乾	kuan1	
乾	kʰien2	
了	liau3	
予	y1	
爭	tson1	
事	sɿ6	
二	ni6	
于	y1	
亏	kʰui1	
互	xu6	
五	nu3	
井	tsiaŋ3-	
井	tsən3=	
亞	a5	
亡	muaŋ2	
亡	uoŋ2	
交	kau1	
亥	xuai6	
亦	ia3-	
亦	i3=	
產	san3	
亨	xon1	
畝	mei3	
享	sioŋ3	
京	kin1	
亭	hin2	
亮	lioŋ6	
親	tʰən1	
人	lin2	
億	i5	
什	si1	
仁	lin2	
仄	tsoi5	
仅	kin3	
仇	siu2	
今	kin1	
介	kai5	
从	tʰyuŋ2	
仑	lyn2	
倉	tuaŋ1	
仕	sɿ6	
他	ha1	
仗	tioŋ5	打～
仗	hioŋ6	～势
付	xu5	
仙	sien1	
代	hai6	
令	lən6	
以	i3	
仰	nioŋ3	
件	kʰien5	
价	ka5	
任	lin6	
份	xun6	
企	kʰi6	
伉	haŋ3	我
伊	i1	
伍	nu3	
伏	xu1	
伐	xyø1	
休	siu1	
众	tsuŋ5	
优	iu1	
伙	xuo3	
會	kʰuai5	～计
會	xui6	
偉	ui3	
傳	xøn2	～达
傳	xøn6	自～
傷	sioŋ1	
倫	lyn2	
僞	nui3	
伯	pa5-	
伯	poi3=	
估	ku1	
伴	pʰuan6	
伸	sin1	
伺	sɿ1	
似	sɿ1	
伽	ka1	
佃	hien6	
但	han6-	
但	tan5=	
位	ui5	
低	tei1	
住	hy6-	
住	tsy6=	
体	hi3	
佔	tsien5	
何	xo2	
余	sia2	
余	y2	
佛	xui1	
作	tso3	
佞	nən6	
你	ni3=	
佩	pʰui6	
佳	ka1	
併	piaŋ5-	
併	pən5=	
使	soi3-	用
使	sɿ3=	
侃	kʰuan3	
侄	hi1	
侈	tsʰi3	
例	lei6	
供	kioŋ1	喂
供	kyuŋ3	
供	kyuŋ1=	
依	i1	
俠	sie1	
偵	tən1	
側	tsʰoi3	
侯	xei2	
侵	tsən1	
便	pʰien2	～宜
便	pʰien6	方～
係	xi6	
促	tʰiu3	
俄	no2	
俊	tsyn5	
俏	tʰiau5	
俐	lei6	
俗	siu1	
保	po3	
信	sən5	
儉	kʰien5	
修	siu1	
俱	kʰy6	
俺	an1	
倍	pʰui6	
倒	to3	
倒	to5	～水
倖	xon6	
候	xei6	
倚	ai3-	
借	tsia5	
倡	tsʰuaŋ5	
倦	kʰøn6	
倩	tʰiaŋ5-	帮工
倪	ni2	
債	tsæ5	
值	hi1	
傾	kʰyn1	
傾	kʰuŋ1	倒掉
假	ka3	
偏	pʰien1	
做	tso5	
停	hin2	
健	kʰien5	
偶	nei3	
偷	hei1	
傀	kʰui3	
傅	xu5	姓
傅	xu6	师～
傢	ka1	
儲	tʰy2	
催	tʰuai1	
傲	no6	
傻	sa1	
像	tsʰioŋ3	
僵	kioŋ5	
僻	pʰei3	
儒	y2	
儡	lui3	
儿	i2	
元	nøn2	
兄	siaŋ1-	
兄	xyn1=	
充	tsʰuŋ1	
兆	hiau6	
先	san1-	
先	sien1	
光	kuoŋ1	
免	mien3	
兌	pʰui6	
兔	hu5	
党	tuaŋ3	
兜	tei1	
入	ni1	
全	tʰøn2	
八	pæ3	
公	kuŋ1	
六	su5-	
六	liu1=	
蘭	lan2	
共	kʰioŋ6	帮忙、受雇
共	kʰyuŋ6	
關	kuan1	
興	sin1	
興	sin5	高～
兵	pən1	
其	kʰi2	
具	kʰy6	
典	tien3	
兹	tsɿ1	
養	ioŋ3	
兼	kien1	
獸	siu5	
冀	ki5	
冀	xun5	
內	nui6	
冊	tsʰa3	
冒	mau5	
冒	mo6	
寫	sia3	
寫	sie3=	
軍	kyn1	
農	nuŋ2	
冠	kuan1	
冠	kuan5	～军
冤	yøn1	
冥	mən2	
冬	tuŋ1	
馮	pʰuŋ2	
冰	pon1	
冰	pən1=	
冲	tsʰuŋ1	
冲	tʰioŋ5	炫耀
决	kø3	
况	kʰuoŋ5	
冶	ia3	
冷	lon3-	
冷	lən3=	
凍	tuŋ5	
淨	tʰiaŋ6-	
淨	tʰən6=	
凄	sei2	
准	tsyn3	
凉	lioŋ2	
凊	tʰən5	冷
凌	lən2	
減	kaŋ3	
湊	tʰei5	
几	ki3	
凡	xuoŋ2	
鳳	xuŋ6	
凭	pʰən2	
凱	kʰai3	
凰	xuoŋ2	
凶	syuŋ1	
凹	au1	
出	tsʰy3	
擊	ki3	
鑿	tʰo1	
刀	to1	
刁	tiau1	
分	pən1-	
分	xun1=	
切	tʰua3-	
切	tʰie3=	
刊	kʰan1	
刑	sin2	
划	xua2	～算
列	lie1	
劉	liu2	
則	tsoi3	
剛	kuaŋ1	
創	tsʰuaŋ5	
初	tsʰu1	
刪	san1	
判	pʰuan5	
刨	pʰau1	
刨	pʰau2	
利	lei6	
别	pʰie1	
刮	kua3	
到	to5	
制	tsi5	
刷	sua5	
券	køn5	
刻	kʰoi3	
剁	to3	
剃	xæ5-	
剃	hi5=	
削	sio3	
前	tʰan5-	
前	tʰien2=	
劍	kien5	
剖	pʰo3	
剝	pio3	
劇	ky5	
剩	ien6	
剩	sin2=	
剪	tsan3-	
剪	tsien3-	
割	kua3-	
割	xua3-	
剿	tsiau3	
劈	pʰia3-	
劈	pʰien3	～樵
劈	pʰie5	
力	sua5-	勤～：勤劳
力	lei1=	
勸	kʰøn5	
辦	pʰan6	
功	kuŋ1	
加	ka1	
務	u6	
劣	lø1	
動	ŋ1	
動	hŋ6	
助	tsʰu6	
劫	kie3	
勵	lei6	
勁	kin5	
勞	lo2	
勃	pʰui1	
勇	yuŋ3	
勉	mien3	
勋	xyn1	
勒	noi1	
勘	kʰuaŋ1	
勤	kin2	
勺	tsia5-	
勺	sia1	舀
勺	tsʰio5=	
勿	moi2-	
包	pau1	
化	xua5	
匙	si2	
匝	tsa6	
匠	tʰioŋ6	
匣	kʰa6	
匪	xui3	
區	kʰy1	
医	i1	
十	si1	
千	tʰien1	
升	sien1	～斗
升	sin1=	
午	nu3	
半	puan5	
華	xua2	
協	sie1	
卑	pei1	
卒	tsui3	
單	tan1	
賣	mæ6	
南	naŋ2	
卜	pu3	
占	tsien1	
占	tsan5	
占	tsien5	～卜
卦	kua5	
臥	no6	
卯	mau3	
印	in5	
危	nui2	
卻	kʰio3	
卵	suan3-	
卵	nuan3	
卸	sie5	
卿	kin1	
厂	tsʰioŋ3	
厄	oi3	
廳	hon1-	
廳	hin1=	
历	lei6	
厲	lei6	
壓	a3	
厭	pie3	
厭	ien5	
厘	lei2	
厚	xei3-	
厚	xei6=	
厝	tsʰy5	
原	nøn2	
廂	sioŋ1	
厦	xa6	
廚	hy2	
去	kʰo5	
去	kʰy5=	
縣	yøn6	
参	son1	人～
参	tʰaŋ1	
又	iu6	
叉	tsʰa1	
及	kʰi1	
雙	suaŋ1	
反	xuan3	
发	xua3	
叔	siu3	
取	tʰy3-	
取	tʰu3	
受	siu6	
變	pien5	
疊	hie1	
古	ku3	
句	ky5	
另	lən6	
叩	kʰei5	
只	tsia3	
叫	kiau5	
召	hiau6	
可	kʰo3	
台	hai2	
史	sɿ3	
右	iu6	
叶	ie1	
号	xo6	
司	sɿ1	
叹	han5	
各	ko3	
合	xoi1	
合	xo1	
吉	ki3	
吊	tau1	
吊	tiau5=	
同	hŋ2	
名	miaŋ5-	
名	mən2=	
后	xy3-	
后	xei6	
吏	lei6	
吐	hu5	
向	sioŋ5	
吓	xa3	
吕	ly3	
君	kyn1	
吞	pʰuan1-	
吞	pʰun1=	
吟	lin2	
吠	pʰui6-	
吠	xui6=	
否	pʰei3	
含	xuŋ3-	
含	xaŋ2	
听	hiaŋ1-	
听	hin5	任～
启	kʰi3	
吴	nu2	
吵	tsʰau3	
吸	ki3	
吹	tsʰui1	
吹	tsʰø1	
吻	mun3	闭□
吾	nu2	
呃	oi3	
呆	tai1	
呈	hin2	
告	ko5	
嘔	ei3	
員	yøn2	
嗆	tʰioŋ5	
周	tsiu1	
呯	paŋ2	
味	ui6	
呻	sin1	
呼	xu2	
命	miaŋ6-	
命	mən6=	～令
和	uai2-	
和	xuo2	～气
和	xuo5	～诗
和	xøn5	连词
咎	kʰiu6	
咐	xu5	
咒	tsiu5	
咨	tsɿ1	
咬	xau3	
咳	xai5	
咸	xaŋ2	
哀	uai1	
品	pʰən3	
哄	xuŋ3	
響	sioŋ3	
啞	a5	
哥	ko1	
哭	kʰuo3-	
哭	kʰu3=	
哲	tən1	
哲	tsie3	
哺	pʰu3	
哽	kon5	
唆	so1	
唇	syn2	
唐	huaŋ2	
