#漢字	音標	解釋
□	tsɿ1	〜ka55：总是
□	tsɿ1	我〜,尔〜:我们,你们
□	tsɿ1	ie35〜：翅膀
□	tsʰɿ1	铲〜：铲子
□	tsʰɿ3	肥或甜而腻
□	sɿ1	大〜：大家
□	sɿ1	告〜你：告诉你
□	tʂʅ1	其〜：他们
□	tʂʰʅ5	把我〜嗯唧：给我一点儿
□	li1	〜尖：很尖
□	tɕi5	拧
□	tɕʰi1	看。方言字作目+祭
□	fu1	〜盖：被子
□	vu1	kau21〜：邋遢，可代指人
□	vu5	擦：错别字〜剔呱；〜香水
□	vu5	制〜；亲嘴
□	tsʰu5	〜起呱：突然想不起某件事
□	tʂʯ1	塞，祝+土
□	tʂʰʯ1	扫〜：扫帚
□	pa5	〜棍：拐棍
□	pa5	〜肉，小儿用语。
□	pʰa3	稀〜烂：很烂
□	la1	咬，齒+厓
□	la2	爬
□	la5	〜kua55：脏
□	tsa3	xiu35〜:为人泼辣、狡猾
□	ka1	夜〜：夜晚
□	ka1	tsɿ55〜：总是
□	ka1	腋〜：翅膀
□	ka1	ko21tsɿ55〜：这样
□	ka2	〜布：尿布
□	ka5	粪便
□	xa2	〜xa55：面具
□	xa3	傻
□	xa3	〜kie55:胳肢窝
□	a5	从中间挤进去
□	pia1	拟声词，枪声。
□	lia1	〜mau55：娇气
□	lia1	〜板：拖鞋
□	lia3	〜起舌头：伸着舌头
□	lia5	〜tɕʰia35：多指女孩子爱打扮
□	tɕia5	涩
□	tɕʰia1	lia35〜：多指女孩子爱打扮
□	tɕʰia5	系：〜鞋带
□	ɕia3	〜xo：努力
□	ɕia5	骗
□	ia1	动词，扬起，如走路时泥浆扬到裤子上
□	ia1	抛撒
□	ia3	动词,抓，拿；量词，一把。〜一〜瓜子：抓一把瓜子
□	ia5	全
□	kua5	打〜：爱讲别人是非
□	kʰua2	用工具把远处物拨弄到身边来
□	kʰua3	tɕiu55〜湿:很湿
□	kʰua5	手或脚不灵活，多指手：〜子
□	po3	拟声词，枪声
□	tʰo5	一〜纸：一沓纸
□	tʰo5	〜落：掉下来
□	1o1	壳〜：壳
□	1o1	粘：〜灰
□	lo3	哄人开心
□	tso5	〜〜的：做事动作别扭
□	tsʰo3	〜牙：牙腔后部的大牙齿
□	o5	〜握
□	tɕio5	一〜唧大：人个头小
□	tɕʰio5	丢失
□	tɕʰio5	吃不〜:吃不惯
□	tɕʰio5	冇〜：没有
□	tɕʰio5	弄〜：弄伤
□	tɕʰio5	被
□	ɕio5	老土、俗气
□	mie1	盼望.〜倒你来：盼着你来
□	lie1	小荆棘，棘+力
□	tɕie1	祭奠：〜老客
□	tɕie5	〜ku21：保守、小气、顽固
□	kie1	xa21〜:胳肢窝
□	ie1	瘪、凹：lau55pʰa21〜很瘪
□	pʰai1	同伴
□	pʰai2	ko21〜唧:这个程度的样子
□	tai3	傻
□	tai3	一口〜呱：一口吞了
□	tsai1	发〜：牲畜得瘟疫
□	tsai2	〜〜：tsai24tsai55豆子之类的东西
□	sai3	哄骗
□	kʰuai2	〜断：折断
□	uai3	
□	pʰau1	〜伙子：生手
□	mau3	吮：〜手指
□	lau1	〜薄个：很薄
□	lau1	〜皮：米饭锅巴
□	lau2	〜不：一点儿都不
□	lau2	〜起：由下往上用手接住
□	lau5	植物蔫了
□	kau2	〜〜：甘蔗
□	kau5	〜花子：叫化子
□	kʰau2	搅拌
□	kʰau2	〜vu55：邋遢，可代指人
□	xau1	名字
□	pʰiu1	撮〜：簸箕
□	pʰiu2	皮肤过敏
□	tiu3	踢
□	liu1	扔、掷:〜石古
□	liu2	疲倦
□	xiu3	老〜：弟弟
□	tʂʯn1	:本应是舒展的东西没摆置好，不舒展。
□	tan1	拿
□	lan1	膝〜：膝盖
□	lan1	老〜：老婆
□	lan3	由于肉多而起波纹的样子：身上的肉一〜一〜的；〜豆腐：豆腐脑
□	tsan3	〜菜：腌菜
□	tsʰan2	刺
□	san3	搂着
□	an1	〜门：额头
□	puon3	打〜脚：单腿跳
□	luon5	推。扌+戎
□	kʰuon1	追
□	pʰen1	靠着
□	men1	〜n：那儿
□	len1	〜䐬:很脆
□	len5	硌
□	kʰen3	摁
□	xen5	耗：〜时间
□	lien1	顽皮
□	lien5	热
□	uən5	殳+页，淹没
□	ɕyen5	用力甩出
□	yen5	在地上打滚
□	puŋ3	
□	pʰuŋ1	蓬:头发蛮〜
□	luŋ1	乱:头发〜〜个
□	tsʰuŋ3	推
□	ɕyŋ2	神气
□	yŋ5	〜来〜去：扭来扭去
□	kʰaŋ3	口+康，咳嗽
□	liaŋ5	困
□	ɕiaŋ1	好〜唧：小心点
□	ɕiaŋ2	〜真：认真
□	iaŋ2	〜手指：大拇指
□	iaŋ5	摇：〜脑壳
㫰	luon1	晾
㸊	lai5	烫
㽹	xuai3	呕吐
䋎	tsan5	〜衣服：缝衣服
䐬	tsau1	脆
䐬	tsʰau2	肚饿
䐿	au3	盐等刺激物浸渍或腐蚀：用盐〜菜
䠍	tɕʰia5	
䵋	xuai3	〜色：褪色
一	i1	
丁	ten1	
七	tɕʰi1	
万	uan5	
丈	tɕiaŋ5	
三	san1	
上	ɕiaŋ3	〜山
上	ɕiaŋ5	〜面
下	xa1	一〜都是:全是
下	xa3	底〜
下	ɕia5	〜降
不	pu5	
与	ʯ3	
丐	kai5	
丑	tɕʰi3	
專	suən3	
專	tɕyen1	
且	tɕʰie3	
世	sɿ5	
丘	tɕʰi1	
丙	pen3	
業	ie5	
業	lien5	白读
東	tuŋ1	
絲	sɿ1	
丞	tʂʰen2	
丟	tiu1	
兩	liaŋ3	
嚴	ien2	
喪	suon5	白读
个	ko5	白读
个	kə5	文读
丫	ia1	〜环
丫	ia5	原本合着的东西分开：脚〜开
中	tɕyŋ1	
中	tɕyŋ5	〜奖
丰	xuŋ1	
串	tɕʰyen1	
臨	len2	
丸	uan2	
丹	tan1	
爲	vi2	作〜
爲	vi5	〜什么
主	tʂʯ3	
丽	li5	
舉	tʂʯ3	
乃	lai3	
久	tɕi3	
麼	mo3	〜个：什么
義	i5	文读
義	n5	白读
之	tsɿ1	
烏	vu1	
乎	fu1	
乏	xua5	
樂	1o5	快〜
樂	io5	音〜
乒	pʰen1	
喬	tɕʰiu2	
乖	kuai1	
乘	tʂʰen2	
乙	ie5	
九	tɕi3	
乞	tʂʰʅ3	
也	ia3	白读
也	ie3	文读
習	ɕi5	
鄉	ɕiaŋ1	
書	ʂʯ1	
買	mai3	
亂	luon1	
乳	ʯ3	
乾	tɕʰien2	
了	liu3	〜解
爭	tsuon1	白读
爭	tsen1	白读
爭	tʂen1	文读
事	sɿ1	
二	ai1	
于	ʯ2	
虧	kʰui1	
雲	ʅʯn2	文读
雲	uən2	白读
互	fu5	
五	vu3	
井	tsen3	文读
井	tʂen3	文读
井	tɕiaŋ3	白读
亞	ia5	
亡	uon2	
交	tɕiu1	
亥	xai1	
亦	i5	
產	tsʰan3	
亨	xen1	
畝	miu3	
享	ɕiaŋ3	
京	tʂen1	
亭	tʰen2	文读
亭	xen2	白读
亮	liaŋ1	
親	tsʰen1	
親	tsʰen5	〜家
人	ʐen2	文读
人	n2	白读
億	i5	
仁	ʐen2	文读
仁	n2	白读
僅	tʂen3	
仇	tɕʰi2	
今	tʂen1	
介	kai5	
从	tsʰuŋ2	
仑	len2	
倉	tsʰuon1	白读
倉	tsʰaŋ1	文读
仕	sɿ5	
仗	tɕiaŋ5	
付	fu5	
仙	ɕien1	
代	tai5	文读
代	tʰai5	文读
代	xai5	白读
令	len5	
以	i3	
儀	i2	文读，〜表,〜式
仰	iaŋ3	
件	tɕʰien5	
價	tɕia5	
任	ʐen5	文读
任	in5	白读
份	xuən5	
仿	xuon3	
企	tʂʰʅ3	
伍	vu3	
伏	fu5	
休	ɕi1	白读，〜假
休	ɕiu1	文读
衆	tɕyŋ5	
優	i1	
優	iu1	文读
伙	xo3	
會	kʰuai5	〜计
會	xuai1	开〜
會	xuai3	〜不〜
會	xuai5	
傘	san3	
偉	vi3	
傳	tɕʰyen2	
傷	uai3	
傷	ɕiaŋ1	
倫	len2	
僞	vi3	
伯	pie1	
估	ku1	
伴	puon5	
伶	len2	
伸	ʂen1	
伺	tsʰɿ5	
似	sɿ5	
佃	tien5	
但	tʰan5	
但	xan5	白读
位	vi5	
低	ti1	
住	tʂʯ5	
佐	tso3	
佑	i1	
體	tʰi3	文读
體	xi3	白读
何	xo2	
余	ʯ2	
余	ɕie2	
佛	fu5	
作	tso1	工〜
作	tso5	
你	n3	
佩	pʰai5	
佮	kua1	相处：〜不来
佳	tɕia1	
使	sɿ3	
侄	tʂʰʅ5	
例	li5	
例	lie5	白读
供	kuŋ5	
依	i1	
俠	ɕia2	
侣	ʯ3	
僥	tɕiu3	
偵	tʂen1	
側	tɕʰie5	
僑	tɕʰiu2	
侯	xiu2	
侵	tsʰen1	文读
侵	tʂʰen1	白读
便	pʰien2	〜宜
便	pʰien5	方〜
促	tsʰu5	
俄	o2	
俊	tʂʯn5	
俏	tɕʰiu5	
俘	fu2	
保	pau3	
信	sen5	
儉	tɕien3	
修	ɕi1	
俯	fu3	
俸	xuŋ5	
倍	pʰai5	
倒	tau3	打〜
倒	tau5	〜水
倘	xaŋ3	文读
候	xiu5	
借	tɕia5	白读
借	tɕie5	文读
倦	tɕʰyen5	
倯	suŋ2	蠢
債	tsai5	
值	tʂʰʅ5	
假	tɕia3	
偋	puon5	躲藏
偏	pʰien1	
做	tso5	
停	tʰen2	文读
停	xen2	白读
健	tɕʰien3	
偷	tʰiu1	文读
偷	xiu1	白读
