#漢字	音標	解釋
一	ʔi7	
丁	taiŋ1	
七	tsʰi7	
丈	tiɔŋ1	單位、丈夫讀音亦同。
三	saŋ1	
上	siɔŋ6	上海，上下。
上	tsiɔŋ6	
下	ɦa5	下里：下面。
丑	tʰiu3	地支。
專	tsyiŋ1	
且	tsʰia3	
世	sie5	
丗	sie5	
丘	kʰiu1	
丙	peiŋ3	
業	ŋie2	
叢	tsəŋ5	
東	təŋ1	
絲	si1	
丞	tsʰeiŋ3	
兩	liɔŋ3	斤两，两千。
兩	liɔŋ1	
兩	lɔŋ3	
兩	lɔŋ1	
兩	siɔŋ3	
兩	siɔŋ1	
兩	sɔŋ3	
兩	sɔŋ1	
嚴	ŋiŋ5	
喪	sɔŋ6	丧事、丧气读音亦同。
中	tɔŋ1	中国，中央心：中间。
中	tueiŋ1	
臨	leiŋ5	
丸	ʔyiŋ5	
丹	tuaiŋ1	
主	tsy3	
丼	tsaŋ3	
乃	nai3	
久	kiu3	
義	ŋi6	
之	tsi1	
烏	ʔu1	
乍	tsa7	
乏	xuai1	
樂	ŋɔ7	奏乐。
喬	ɡiau2	
乘	tsʰeiŋ3	
乘	tsʰeiŋ3	
乙	ʔi7	
九	kiu3	
乞	kʰi7	给、被读音亦同。
也	ia3	
習	si7	
鄉	xiɔŋ1	
書	sy1	
買	mai3	
亂	luaiŋ6	
乳	ɦy3	
乾	ɡiŋ2	乾坤。
亂	luaiŋ6	
了	lau5	单字读，完结。
了	lau3	
了	liau5	
了	liau3	
事	su6	文读，事情工作。
事	si6	
事	tu6	
事	ti6	
二	ni6	
于	ʔy5	
亏	kʰy1	
云	ɦueiŋ2	
互	xu6	
五	ŋu5	
井	tsaŋ3	
亞	ʔa3	
亞	ʔa3	
亡	bɔŋ2	
交	kau1	
亥	xuai1	
亦	ʔi7	
產	suaiŋ3	
享	xiɔŋ3	
京	keiŋ1	
亭	daiŋ2	
亮	liɔŋ6	
親	tsʰeiŋ1	
人	neiŋ5	
億	ʔi5	
仁	ɦeiŋ2	单字读，桃仁。
仁	ɦeiŋ5	
仁	neiŋ2	
仁	neiŋ5	
仅	keiŋ3	
今	keiŋ1	
介	kai5	
倉	tsʰɔŋ5	
仕	su6	
他	tʰa1	
仗	tsʰiɔŋ1	炮仗。
付	xu6	
仙	siŋ1	
代	dai6	
令	leiŋ6	
以	ɦi3	
儀	ŋi5	
仰	niɔŋ3	
仲	dueiŋ6	
件	ɡiŋ5	
任	ɦeiŋ6	责任。
仿	xuaŋ3	
伍	ŋu5	
伏	xu1	
伐	xuai1	
休	xiu1	
會	xo6	开会。
傘	suaiŋ3	
偉	ɦy3	
傳	tyiŋ6	水浒传。
傷	siɔŋ1	
倫	lueiŋ5	
僞	ɦy2	
伯	pa7	
伯	pe7	
估	ku3	猜。
伱	ni2	
伴	pʰuaiŋ6	
伸	syiŋ1	单字读，伸手。
伸	seiŋ1	
佈	pu5	
位	ʔy6	
住	dzy6	单字读，记住。
住	dziu6	
住	ty6	
住	tiu6	
佐	dzɔ3	
余	ɦy2	姓。
佛	xo1	
你	ni2	
佩	bo5	
佳	ka1	
使	se3	
來	le5	
來	lai5	
例	lie6	
侍	si1	文读，陪侍。
侍	si6	
侍	su1	
侍	su6	
供	kueiŋ5	劝供。
依	ʔi1	
僥	xiau1	
偵	teiŋ1	
側	tse7	
僑	ɡiau2	
儂	nəŋ5	
侮	ɦu3	
侯	ɦəu2	
侵	tsʰeiŋ1	
便	beiŋ2	便宜。
係	xi6	
促	tsʰu7	
俄	ŋɔ5	
俊	tsueiŋ5	
俌	bu3	
俏	siau1	
俏	siau5	
俏	tsʰiau1	
俏	tsʰiau5	
俗	sy1	
俘	xu1	
保	bɔ3	
俞	ɦy6	
信	seiŋ5	
儉	ɡiŋ6	
修	siu1	
俯	xu3	
俸	xəŋ6	
倉	tsʰɔŋ5	
個	ko1	
個	ko7	
個	kɔ1	
