#漢字	音標	解釋
□	fi9	～骹：叉腿
□	mi1	旋轉快
□	mi1	笑～：笑得很甜
□	ti9	閃光
□	li6	用力拉出（人）
□	tsi9	孧～：小
□	si9	放～：小孩拉尿
□	zi9	火焰突然閃光
□	ki9	用東西卡住或墊住
□	i9	瓜果枯萎
□	ɓu9	瓜蒂
□	fu9	～小：罵
□	tu9	吸吮，～奶
□	lu1	～起：撈起
□	lu5	低著頭走
□	ku2	量詞，一～紙
□	fa2	涉水
□	ma9	抓著
□	ma9	凹入
□	ta5	魚餌
□	ɗa3	被線纏住
□	na5	向上攀
□	na9	大口地咬
□	la3	爛如糊狀
□	tsa3	tsi55～：神經失常
□	sa5	頭向下降墜
□	ka2	端著
□	ha1	燒～：很熱
□	ha9	氣味刺激
□	ŋa2	用刀口按著條狀物割斷
□	ŋa3	擔～：神志不清
□	ŋa5	孕婦愛吃某種食物
□	sia1	推
□	sia9	罵
□	ŋia2	舉起
□	ia6	扇風
□	sua1	帶領
□	sua2	說謊騙人
□	sua5	螃蟹、蝦變質的氣味
□	fɛ6	氣～：喘氣
□	fɛ9	撲克牌
□	vɛ2	味～：味道
□	mɛ2	糊上
□	mɛ5	爬起
□	mɛ5	把粒狀的東西用手聚攏拿起
□	nɛ5	使勁屙
□	lɛ3	～舌：伸出舌頭
□	lɛ6	掏取
□	tsɛ2	tsɔp5～：眼睛被眼眵粘住
□	tsɛ5	否認
□	tsɛ9	紙張粘在一塊
□	sɛ2	沾染上東西
□	sɛ5	擠進
□	sɛ6	氣～：喘氣
□	sɛ9	si55～：殷勤
□	zɛ3	用舌頭推出食物
□	zɛ6	小孩愛哭
□	ŋɛ9	咕～囝：嬰兒
□	ze5	裝～：撒嬌
□	sue1	拜訪
□	zue2	用腳踐踏衣服去污
□	kue6	量詞，用於分開的一塊
□	no9	長～：腿長
□	lo1	頭～：頭昏
□	lo1	一～：一胎生的動物
□	lo5	耳～：耳背
□	so3	吃，啄
□	zo1	大口吃
□	xo2	～儂：佔別人便宜
□	vio2	從液體表面舀取
□	tio2	樹木的粘液
□	tio3	用腳推
□	nio6	條狀物受壓力上下搖動
□	sio1	斜
□	sio2	抓著東西往上攀
□	sio6	～水：舀水
□	fai2	～祥：好看
□	mai1	～禮：賀禮
□	mai6	一搖一擺地走
