#漢字	音標	解釋
㘌	kiaʔ8	
㙲	jʊŋ9	施肥。
㨾	jɔŋ6	
㿭	tsʰæ1	皴。
䔕	pʰou2	
䝋	tsʊŋ9	牡豕。
一	jɐʔ7	
丁	teŋ1	
丁	teŋ9	
七	tsʰɐʔ7	
丄	siɔŋ6	
丈	tsiɔŋ6	
三	saŋ1	
三	saŋ9	
上	siɔŋ6	
下	ha6	
不	pɐʔ7	
与	jy3	
丐	kʰui5	
丑	tsʰɐu3	
且	tsʰia3	
丕	pʰɐi9	
世	sɐi5	
丘	jɐu9	
丙	peŋ3	
丞	seŋ2	
丟	tiu9	
丟	tiu1	
丠	jɐu9	
丣	jɐu3	
並	peŋ6	
个	kɔ5	
丫	a9	
中	tsʊŋ9	当～。
中	tsʊŋ5	射～。
丰	fʊŋ9	
串	tsʰiɔŋ5	
丸	jɔŋ2	
丹	taŋ9	
主	tsy3	
丼	tsiaŋ3	
乃	nai3	
久	kɐu3	
之	tsi1	
之	tsi9	
乍	tsa5	
乎	fu2	
乏	fæʔ8	
乖	kʷai1	
乖	kʷai9	
乘	seŋ2	
乙	jɔʔ8	
九	kɐu3	
乞	hɐʔ7	
也	ja6	
乳	jui3	
乾	kun1	～湿。
乾	kun9	～湿。
乾	kʰiɔŋ2	～坤。
亂	liɔŋ5	
了	liu2	
事	si6	
二	ji6	
于	jy9	
云	wɐŋ2	
互	fu6	
五	ŋ̩3	
些	siia9	
亞	a6	
亡	mɔŋ2	
交	kau9	
亥	hui6	
亦	jeʔ8	
亨	hɐŋ9	
亨	hiɔŋ3	
京	keŋ9	
亭	tʰeŋ2	
亮	liɔŋ6	
亯	hiɔŋ3	
人	jɐŋ2	
什	tsaʔ8	～物。
仁	jɐŋ2	
仆	pʰʊʔ7	倒。
仇	sɐu2	
今	kɐŋ9	
介	kai5	
仍	jɐŋ2	
从	tsʰʊŋ2	
仕	si6	
他	tʰa1	
他	tʰa9	
仗	tsiɔŋ6	
付	fu6	
仙	siŋ1	
仙	siŋ9	
仝	tsʰiɔŋ2	
仝	tʰʊŋ2	
代	tui5	
令	leŋ6	
以	ji3	
仰	jɔŋ3	
仲	tsʊŋ6	
件	kiŋ6	
任	jɐŋ2	姓。
任	jɐŋ6	责～。
份	fɐŋ6	
仿	fɔŋ3	相似。
企	kʰɐi3	
伊	ji1	
伊	ji9	
伍	ŋ̩3	
伏	fʊʔ8	
伐	fæʔ8	
休	jɐu1	
休	jɐu9	
伯	pæʔ8	
估	ku3	
伱	nɐi3	
伴	pʰun3	
伶	leŋ2	
伸	sɐŋ1	
伸	sɐŋ9	
伺	si6	
似	tsʰi3	
佃	tiŋ6	
但	tæŋ6	
佈	pou5	
位	wɐ6	
低	tɐi1	
低	tɐi9	
住	tsy6	
佐	tsɔ3	
何	hɔ2	
佗	tʰa1	
佗	tʰa9	
佘	sia2	
余	jy2	
佛	fɐʔ8	
作	tsɔ1	
佞	neŋ2	
佩	pʰui5	
佳	kai9	
併	peŋ5	
使	sɐi3	
使	si3	
來	lui2	
侈	tsʰi3	
例	lɐi6	
侍	si6	
供	kʊŋ9	
依	ji9	
侮	mou3	
侯	hɐu2	
侵	tsʰɐŋ9	
便	piŋ6	方～。
便	pʰiŋ2	～宜。
係	hɐi6	
促	tsʰʊʔ7	
俄	ŋɔ1	
俇	kʷɔŋ6	
俊	tsɐŋ5	
俏	tsʰiu5	
俘	fu9	
保	pou3	
信	sɐŋ5	
修	sɐu1	
修	sɐu9	
俯	fu3	
俱	kui2	
俸	fʊŋ6	
俻	pɐi6	
俾	pʰɐi3	
倉	tsʰɔŋ9	
個	kɔ5	
倒	tou3	打～。
倒	tou5	～水。
倔	wɐʔ7	
倘	tʰɔŋ3	
候	hɐu6	
倚	ji3	
借	tsia5	
倡	tsʰiɔŋ9	
倣	fɔŋ3	倣效。
倦	kiɔŋ6	
倪	ŋɐi2	
倫	lɐŋ2	
倭	wɔ9	
值	tseʔ8	
假	ka5	放～。
假	ka3	真～。
偉	wɐ3	
偏	pʰiŋ9	
做	tsou5	
停	tʰeŋ2	
健	kiɔŋ5	
側	tsɐʔ7	
偵	tseŋ9	
偶	ŋɐu3	
偷	tʰɐu1	
偷	tʰɐu9	
傀	kʰui5	
傅	fu9	
傍	pʰɔŋ5	
傑	kie1	
傘	sæŋ5	
備	pɐi6	
傢	ka9	
催	tsʰui1	
催	tsʰui9	
傲	ŋou6	
傳	tsʰiɔŋ2	～达。
傳	tsiɔŋ9	～记。
債	tsai5	
傷	siɔŋ9	
傻	sɔ2	
傾	kʰeŋ9	
僅	kɐŋ3	
僊	siŋ1	
僊	siŋ9	
像	tsiɔŋ6	
僑	kʰiu2	
僒	kʷɐŋ5	
僕	pɔ1	
僞	ŋɐi6	
僧	tsɐŋ9	
僵	kiɔŋ1	
僵	kiɔŋ9	
價	ka5	
僻	pʰeʔ7	
儀	ji2	
儁	tsɐŋ5	
儂	nʊŋ2	
億	jeʔ7	
儆	keŋ3	
儉	kiŋ6	
儒	jy2	
儛	mou3	
償	siɔŋ2	
儡	lui6	
優	jɐu9	
儲	tsʰy2	
儹	tsiɔŋ5	
儼	jiŋ2	
允	wɐŋ3	
元	jɔŋ2	
兄	heŋ1	
兄	heŋ9	
充	tsʰʊŋ9	
兆	siu6	
兆	tsiu6	
先	siŋ1	
先	siŋ9	
光	kʷɔŋ1	
光	kʷɔŋ9	
克	haʔ7	
兌	tui5	
免	miŋ3	
兒	ji2	
兔	tʰou5	
兜	tɐu9	
入	jɐʔ8	
內	nui6	
全	tsʰiɔŋ2	
兩	liɔŋ3	几～几钱。
兩	liɔŋ2	～个。
八	pæ1	
公	kʊŋ1	
公	kʊŋ9	
六	lʊʔ8	
兮	hai2	
共	kʊŋ6	
兵	peŋ1	
兵	peŋ9	
其	kʰɐi2	
具	kui5	
典	tiŋ3	
兼	kiŋ9	
冀	kʰɐi3	
冉	jiŋ3	
冊	tsʰæ1	
再	tsui6	
冒	mou6	
冗	jʊŋ2	
冠	kun5	冠～。
冠	kun9	衣～。
冢	tsʰʊŋ3	
冤	jɔŋ9	
冬	tʊŋ1	
冬	tʊŋ9	
冰	peŋ9	
况	fɔŋ5	
冷	læŋ3	
准	tsɐŋ3	
凉	liɔŋ2	
凌	lɐŋ2	
凍	tʊŋ5	
凝	jeŋ2	
几	kɐi9	茶～。
凡	faŋ2	
凱	kʰui3	
凳	tɐŋ5	
凶	hʊŋ9	
凷	fai5	
出	tsʰɐʔ7	
函	haŋ2	
刀	tou1	
刀	tou9	
刁	tiu9	
刃	jɐŋ5	
分	fɐŋ1	～开。
分	fɐŋ9	～开。
分	fɐŋ6	成～。
切	tsʰie1	
刊	hɔŋ2	
刎	mɐŋ3	
刑	jeŋ2	
划	wa9	
列	lieʔ8	
初	tsʰɔ9	
判	pʰun5	
別	pieʔ8	
刨	pʰau2	
利	lei6	
刪	sæŋ9	
刮	kʷa1	
到	tou5	
刱	tsʰɔŋ6	
刴	tiɔ5	
制	tsɐi6	
刷	tsʰa1	
券	hiɔŋ5	
刺	tsʰi5	
刻	haʔ7	
刾	tsʰi5	
剁	tiɔ5	
剃	tʰɐi5	
則	tsɐʔ7	
削	siɔ1	
前	tsʰiŋ2	
剔	tʰeʔ7	
剖	fɐu3	
剛	kɔŋ9	
剜	wun2	
剝	mɔʔ7	
剩	seŋ6	
剪	tsiŋ3	
剮	kʷa3	
副	fu6	
割	kʷɔ1	
創	tsʰɔŋ6	
創	tsʰɔŋ1	
創	tsʰɔŋ9	
劃	wæʔ8	
劇	kiaʔ8	
劈	pʰia1	
劉	lɐu2	
劊	kʰui5	
劍	kiŋ5	
劑	tsɐi6	
劔	kiŋ5	
力	leʔ8	
功	kʊŋ9	
加	ka9	
劣	liɔʔ8	
劤	keŋ5	
助	tsɔ6	
努	nou3	
劫	kie1	
效	hau5	
勁	keŋ5	
勃	pʊʔ8	
勇	jʊŋ3	
勉	miŋ3	
勒	lɐʔ8	
動	tʊŋ6	
勘	hɐŋ9	
務	mou6	
勛	fɐŋ9	
勝	seŋ5	～败。
勝	seŋ1	～任。
勞	lou2	
募	mou6	
勢	sɐi5	
勤	kʰɐŋ2	
勦	tsiu3	
勳	fɐŋ9	
勵	lɐi6	
勸	hiɔŋ5	
勺	siɔ1	
勻	wɐŋ2	
勾	ŋɐu9	
勿	mɐʔ8	
包	pau1	
包	pau9	
化	fa5	
北	pɐʔ7	
匙	tsʰi2	
匠	tsiɔŋ5	
匡	hɔŋ9	
匣	haʔ8	
匪	fɐi3	
匯	wui3	
匶	kɐu6	
匹	pʰɐʔ8	
匾	piŋ3	
匿	neʔ7	
區	kʰui9	
十	sɐʔ8	
千	tsʰiŋ1	
千	tsʰiŋ9	
升	seŋ1	
升	seŋ9	
午	ŋ̩3	
半	pun5	
卑	pɐi9	
卒	tsɐʔ7	
卓	tsiɔ1	
協	hie1	
南	naŋ2	
博	pɔʔ8	
卜	pʊʔ7	
占	tsiŋ9	～卜。
占	tsiŋ5	～有。
卤	sɐi9	
卥	sɐi9	
卦	kʷa5	
卯	mau3	
印	jɐŋ5	
危	ŋɐi2	
即	tseʔ7	
卻	kʰiɔ1	
卵	liɔŋ3	
卷	kiɔŋ3	
卸	sia6	
