#漢字	音標	解釋
一	zit7	
丁	ten1	
七	tsʰit7	
丄	siɔŋ5	上山。
丈	tsʰɔŋ5	
三	sam1	
上	siɔŋ5	上面。
下	ha5	底下。
与	zi3	给与。
丐	kɔi5	乞丐。
丑	tsʰu3	
專	tsɔn1	
且	tsʰia3	
世	si5	
丗	si5	
丘	hiu1	
丙	piaŋ3	
業	ɡiap8	
叢	tsʰuŋ2	
東	tuŋ1	
絲	si1	
丞	sin2	
丠	hiu1	
丣	ziu3	
兩	liɔŋ	两个、几两几钱读音亦同。
嚴	ɡiam2	
並	pin5	
喪	sɔŋ	丧失。
丩	kiu2	纠缠。
丫	a1	丫头。
中	tsuŋ1	当中。
串	tsʰɔn5	
臨	lin2	
丸	van2	肉丸。
丹	tan1	
爲	vui2	作為。
主	tsu3	
丼	tsiaŋ3	
丽	li5	美丽。
舉	ki3	
乃	lai3	
久	kiu3	
義	ɡi5	
之	tsi1	
烏	vu1	
乍	tsa5	
乎	fu2	
乏	fet8	
樂	lɔk8	音乐。
喬	kʰiau2	
乖	kai1	
乘	ssin2	
乘	ssin2	
乙	zet7	
九	kiu3	
乞	kʰet7	
也	za1	也是。
習	sit8	
鄉	hiɔŋ1	
書	su1	
買	mai3	
亂	lɔn5	
乳	zui3	
乾	kʰen2	乾坤。
亂	lɔn5	
了	liau3	了结。
事	su5	
二	ɡi5	
于	zi1	
亏	kʰui1	
云	zun2	
互	fu5	
五	n̩3	
井	tsiaŋ3	
亖	si5	
亞	a1	
亞	a1	
亡	mɔŋ2	
交	kau1	
亥	hɔi5	
亦	zit8	
產	tsʰan3	
亨	haŋ1	
享	hiɔŋ3	
京	kin1	
亭	tʰin2	
亮	liɔŋ5	
亯	hiɔŋ3	
親	tsʰin1	
人	ɡin2	
億	zit7	
什	sip8	什物。
仁	zin2	
仅	kiun3	
仇	siu2	姓。
今	kim1	
介	kai5	
仍	zin2	
从	tsʰuŋ2	跟从。
倉	tsʰɔŋ1	
仕	su5	
他	tʰa1	
仗	tsʰɔŋ5	
付	fu5	
仙	sen1	
仝	tʰuŋ2	
代	tʰɔi5	
令	lin5	
以	zi3	
儀	ɡi2	
仰	ɡiɔŋ3	
仲	tsʰuŋ5	
件	kʰen5	
任	ɡim5	责任。
仿	fɔŋ3	相似。
企	kʰi1	
伊	zi2	
伍	n̩3	
伏	fuk8	
伐	fat8	
休	hiu1	
會	fui5	会计。
傘	san5	
偉	vui3	
傳	tsɔn5	传记。
傷	sɔŋ1	
倫	lun2	
僞	ŋui5	
伯	pak7	
估	ku3	估计。
伱	li3	
伴	pʰan5	
伶	lin2	
伸	sin1	
似	tsʰu5	
佀	tsʰu5	
佈	pu5	
位	vui5	
低	tai1	
住	tsʰu5	
佐	tsɔ3	
余	zi2	
佛	fut8	
作	tsɔ5	《廣韻》「作」同「做」。
佞	len2	
你	li3	
佩	pʰui5	
佳	kai1	
使	su3	
來	lɔi2	
侈	tsʰi5	奢侈。
例	li5	
侍	su5	
供	kiuŋ1	供养。
依	zi1	
偵	tsin1	
側	tset7	
僑	kʰiau2	
儂	luŋ2	我、你。
侮	vu1	
侯	hiu2	
侵	tsʰin1	
便	pʰen2	便宜。
係	he5	
促	tsʰuk7	
俄	ŋɔ2	
俊	tsun5	
俏	tsʰiau5	
俗	suk8	
俘	fu1	俘虏。
保	pau3	
信	sin5	
儼	ɡiam2	俨然。
儉	kiam3	
修	siu1	
俯	fu3	
俱	kʰi5	
俸	fuŋ5	
俻	pʰi5	
俾	pʰi3	
倉	tsʰɔŋ1	
