#漢字	音標	解釋
□	ly1	(滚动)
□	ly1	(形容词前缀):～壮的
□	ka1	～～:爷爷
□	tse1	挠:～痒
□	tsue1	(衰颓):变～哩
□	bʰɤ1	～啦:很多
□	lɤ1	～皮:锅巴
□	ŋɤ1	(婴儿小声地哭泣)
□	xɤ1	(撕)
□	o1	(用瓢、勺或直接用手掏)
□	lio1	(撒娇)
□	lɯ1	(讨好)
□	lau1	(锈或生锈)
□	mĩ1	(剥、掰)
□	bʰõ1	(追赶; 驱赶)
□	ɡʰõ1	(倒出)
□	ŋõ1	(张开)
□	ȡʰien1	～手:伸手
□	tɕien1	(吮吸)
□	bʰaŋ1	～臭的:很臭
□	kaŋ1	～眼:睁眼
□	dzʰɿ3	(理睬)
□	ka3	～白:苍白
□	ɡʰua3	～脱:折断
□	bʰe3	～淡:味道不浓
□	xue3	(呕吐)
□	xue3	～色:褪色
□	ue3	～嘴巴:歪嘴
□	ŋɤ3	(因接触刺激性的东西而使人疼痛或使物手腐蚀; ～盐:用盐浸渍)
□	liɤ3	(混到一起)
□	ȶiɤ3	(踹)
□	po3	～～:屎; 粪便
□	ko3	(往碗外拔拉)
□	lio3	(上衣不扣扣子)
□	lio3	(舌头伸出来)
□	ȶio3	(握住)
□	pɯ3	～啰货：质量不高的东西
□	nã3	(给别人东西时的提示语，意义相当于“给”)
□	sã3	(搂抱)
□	bʰæ̃3	(靠)
□	dʰæ̃3	～子:台阶
□	bʰõ3	～门:关门
□	ɡʰaŋ3	(谷类食物起虫、变质)
□	ɡʰa6	杀～脐股:搔胳肢窝
□	ɣa6	(装进口袋)
□	dzʰua6	～雨:淋雨
□	ɣe6	(唠叨)
□	dzʰɤ6	(错)
□	dzʰɤ6	(拿水冲洗)
□	bʰo6	(两腿分开)
□	ɣo6	(都,全部)
□	ŋã6	～别个:依赖或者指盼别人
□	ȡʰiõ6	禁～: 爱惜,节约
□	dʑʰi2a	(凑近看)
□	i5a	(熄灭)
□	ȶy5a	(掏)
□	dʑʰy2a	～死:找死
□	dʰa2a	～场:误事
□	dʰa2a	～药:抹药
□	dzʰa2a	～菜子:坛子菜
□	lia5a	(歪斜)
□	te5a	～拢来
□	te5a	～把：故意为难
□	dʰe2a	(提请他人注意)
□	ke5a	(如油脂冻住,凝结)
□	ue5a	(喊)
□	ui5a	浸:～湿哩
□	lɤ5a	～痞子:流氓
□	sɤ5a	～箕:淘米洗菜用的一种竹器引指箕形指纹
□	tɕiɤ5a	～粑：用米粉或面粉做成的糕点
□	po5a	～～:肉;儿语
□	lio5a	～苦的:很苦
□	io5a	(扔)
□	ɯ5a	(烫)
□	tɕiɯ5a	～起来:扭起来
□	tau5a	～起嘴巴:撅嘴
□	pã5a	～跤子:摔跤
□	sã5a	(施舍)
□	xã5a	(用小火加热)
□	ɣuæ̃2a	～心:心
□	nĩ5a	～地:在地上打滚
□	põ5a	(藏)
□	mõ5a	看～面相:算直八字
□	ȡʰiõ2a	(捆,系)
□	ȵiõ5a	不～腮:不好
□	nien5a	～尖的:很尖
□	suen5a	～白:很白
□	bʰaŋ2a	(疾走)
□	tɕiaŋ5a	(踩)
□	i2b	(副词,常用于否定句中，相当于“一点都”不好看)
□	tɕy2b	(塞)
□	dʑʰy5b	(擦或揩)
□	y2b	(把布·纸等向内卷或折)
□	ba5b	(用冷水使热的东西变凉)
□	ba5b	～la: 脏
□	tsua2b	(磕、碰)
□	sua2b	(丢失)
□	kua2b	(形容词前缀),～瘦的
□	bʰe5b	(碰撞)
□	ȶue2b	(跳)
□	ue2b	(被捂着,不透气)
□	bʰɤ5b	(十)
□	ŋɤ2b	(摇)
□	lo2b	(爬)
□	ɕio2b	～火：點火
□	dʰɯ5b	～病:得病
□	dʰɯ5b	(用重物压)
□	lɯ2b	(把东西放到高处)
