#漢字	音標	解釋
□	ŋa1	～tɕin45⑤：不講理由
□	ŋã2	硬是：～不肯把我
□	pʰia3	蘸：～點醬油
□	tɕia3	給
□	ȵiau3	噘：嘴巴一～起
□	kʰã3	咳嗽
□	ɕin3	蠢：很～
□	tsʰa5	手～：手指縫
□	kʰa5	～菜：用手把菜搞斷
□	lia5	～聲～氣：撒嬌
□	lia5	～皮：耍賴
□	so5	～li21⑥：乾淨
□	ŋo5	～子個：誰
□	tɕʰio5	斜：眼睛一～起
□	tɕʰye5	把鉛筆～斷：折斷
□	pei5	用力吸
□	mau5	打：～他一個耳巴
□	lən5	～薄的：很薄
□	li6	so45⑤～：乾淨
□	xei6	把小孩～起來：抱
㩳	tsʰən3	(存疑)推：～進去
䐬	tsau6	(存疑)餓：肚子～
一	i5	
丁	tin1	
七	tɕʰi5	
丈	tʃɔ̃6	
三	sã1	
上	sɔ̃6	～山
上	ʃɔ̃6	
上	ɕiɔ̃6	～面
下	xa6	底～；全部：～是我的
下	ɕia6	～降
不	pu5	
不	n̩	(訓讀)
丐	kai5	
丑	tʃʰəu3	
且	tɕʰie3	
丕	pʰi3	
世	ʃɿ˗5	
丘	tɕʰiəu1	
丙	pin3	
丞	tʃʰən2	
丟	tiəu1	
丫	ia1	
中	tʃən1	
串	tɕʰyɛ̃5	
丸	yɛ̃2	
丹	tã1	
主	tɕy3	
乃	lai3	
久	tɕiəu3	
之	tʃɿ˗1	
乎	fu1	
乏	fa5	
乓	pʰən3	
乖	kuai1	
乘	ʃən2	
乙	i5	
九	tɕiəu3	
乞	tɕʰi5	
也	ia3-	
也	ie3=	
乳	y3	
乾	kã1	～淨
乾	tɕiɛ̃2	
亂	lõ6	
了	liau3	
事	sɿ6-	
事	sɿ5=	
二	ə6	
于	y2	
亏	kʰuei1	
云	yn2	
互	xən2	
互	fu5	
五	u3	
井	tɕiã3-	～水
井	tɕin3=	
些	ɕia1	
亞	ia5	
交	tɕiau1	
亥	xai6	
亦	i5	
亨	xɛ̃1	
享	ɕiɔ̃3	
京	tɕin1	
亭	tin2	
亮	liɔ̃6-	
亮	liɔ̃5=	
人	ȵin2-	
人	in2=	～民
仁	ȵin2	
仇	tɕiəu2	姓
今	tɕin1	
介	kai5	
仍	in2	
仕	ʃɿ˗6	
他	tʰa1	
仗	tʃɔ̃5	
付	fu5	
仙	ɕiɛ̃1	
代	tai5	
令	lin5	
以	i3	
件	tɕiɛ̃6	
任	ȵin2-	
任	in5=	責～
份	fən6	
仿	xɔ̃3	
企	tɕʰi3	
伊	i1	
伍	u3	
伏	fu5	
伐	fa5	
休	ɕiəu1	
伙	xo3	
伢	ŋa2	～子
伯	pə5	
估	ku3	
伴	põ6	
伶	lin2	
伸	ʃən1	
伺	tsʰɿ5	
似	sɿ6	
佃	tiɛ̃5	
位	uei6	
低	ti1	
住	tɕy6	
佐	tso5	
何	xo2	
余	y2	
佛	fu5	
作	tso5	
你	n̩3-	
你	li3=	
佩	pʰei5	
佳	tɕia1	
使	ʃɿ˗3	
侄	tʃɿ˗5	
來	lai2	
侈	tʃʰɿ˗3	
侉	kʰua3	
例	li5	
例	lie5	
侍	ʃɿ˗6	
侖	lən2	
供	kən1	～給
供	kən5	
依	i1	
侮	u3	
侯	xei2	
侵	tɕʰin1	
便	piɛ̃2	～宜
便	piɛ̃6	方～
促	tsʰəu5	
俄	ŋo2	
俊	tsən5	
俏	tɕʰiau5	
俗	səu5	
俘	fu1	
俚	li1	
保	pau3	
俠	ɕia5	
信	ɕin5	
修	ɕiəu1	
俯	fu3	
俱	tɕy5	
俸	xən5	
俾	pei1	
倉	tsʰɔ̃1	
個	ko5	一～；～人
倍	pei6	
倒	tau5	
倔	tɕye5	
倘	tʰɔ̃3	
候	xei2	
借	tɕia5-	
借	tɕie5=	
倡	tʃʰɔ̃1	
倦	tɕye3	(存疑)很～：很累
倦	tɕyɛ̃5	
倦	tɕye6	
倪	ȵie2	
倫	lən2	
倭	o1	
值	tʃʰɿ˗5	
假	tɕia3	真～
假	tɕia5	放～
偉	uei3	
偏	pʰiɛ̃1	
做	tsəu5	
停	tin2	
健	tɕiɛ̃5	
側	tsʰə5	
偵	tʃən1	
偶	ŋei3	
偷	tʰei1-	
偷	tʰəu1=	
傀	kʰuei3	
傅	fu5	
傍	pɔ̃2	
傑	tɕʰie5	
傘	sã3	
備	pei6	
催	tsei1	
傲	ŋau5	
傳	tɕyɛ̃2	～達
傳	tɕyɛ̃6	～記
債	tsai5	
傷	ʃɔ̃1	
傾	kʰuã5-	～水
傾	tɕʰyn1=	
僅	tɕʰin5	
像	tɕiɔ̃6-	很～
像	ɕiɔ̃5=	
僑	tɕiau2	
僕	pʰu5	
僞	uei2	
僥	tɕiau3	
僧	sɛ̃1	
僵	tɕiɔ̃1	
價	tɕia5	
僻	pʰi5	
儀	ȵie2	
儂	lən2	
億	i5	
儉	tɕiɛ̃3	
儒	y2	
償	ʃɔ̃2	
儡	lei3	
優	iəu1	
儲	ɕy2	
儼	ȵiɛ̃2	
允	yn3	
元	yɛ̃2	
兄	ɕin1	
充	tʃʰən1	
兆	tʃau6	
兆	ʃau6	
先	ɕiɛ̃1	
光	kɔ̃1	
克	kʰə5	
兌	tei5	
免	miɛ̃3	
兒	ə2	
兔	tʰəu5	
兜	tei1	
兢	tɕin5	
入	y5	
內	lei6	
全	tɕiɛ̃2	
兩	liɔ̃3	
八	pa5	
公	kən1	
六	ləu5	
兮	ɕi2	
共	kən6-	一～
共	kən5=	～產黨
兵	pin1	
其	tɕi2	
具	tɕy5	
典	tiɛ̃3	
兼	tɕiɛ̃1	
冀	tɕi5	
冇	mau6	～得
冉	ɹ̠ã3	
冊	tsʰə5	
再	tsai5	
冒	mau6	
冠	kõ1	衣～
冠	kõ5	～軍
冢	tʃən3	
冤	yɛ̃1	
冬	tən1	
冰	pin1	
冲	tʃʰən1	
冷	lã3-	
冷	lən3=	
准	tɕyn3	
凌	lin2	
凍	tən5	
凜	lin3	
凝	ȵin2	
几	tɕi1	茶～
凡	fã2	
凱	kʰai3	
凳	tiɛ̃5-	
凳	tən5=	
凶	ɕin1	
出	tɕʰy5	
函	xã2	
刀	tau1	
刁	tiau1	
刃	in5	
分	fən1	
切	tɕʰie5	
刈	kə5	
刊	kʰã1	
刎	uən3	
刑	ɕin2	
划	fa6	～船
列	li5	
列	lie5	
初	tsʰəu1	
判	pʰõ5	
別	pie5	區～
別	pʰie5	離～
刨	pau2	
利	li5	
刪	sã1	
刮	kua5	
到	tau5	
制	tʃɿ˗5	
刷	sa5	
刷	ɕya5	
券	tɕyɛ̃5	
刺	tsʰɿ5	
刻	kʰə5	
剁	to5	
剃	tʰi5	
則	tsə5	
削	ɕio5	
前	tɕiɛ̃2	
剔	tʰi3	(存疑)把骨頭上的肉～下來
剔	tʰi5	
剖	pʰo3	
剛	kɔ̃1	
剜	õ1	
剝	po5	
剩	ʃən6	
剪	tɕiɛ̃3	
剮	kua3	
副	fu5	
割	kə5	
創	tsʰɔ̃5	
剿	tɕiau3	
劃	fa5	計～
劇	tɕy5	
劈	pʰia5-	
劈	pʰi5=	
劉	liəu2	
劊	kʰuai5	
劍	tɕiɛ̃5	
力	li5	
功	kən1	
加	tɕia1	
劣	lie5	
助	tsəu6-	
助	tsəu5=	
努	ləu3	
劫	tɕie5	
勃	po5	
勇	in3	
勉	miɛ̃3	
勒	lie5	
動	tən6	
勘	kʰã1	
務	u6	
勝	ʃən5	
勞	lau2	
募	mo6	
勢	ʃɿ˗5	
勤	tɕin2	
勵	li5	
勸	tɕʰyɛ̃5	
勻	yn2	
勾	kəu1	
包	pau1	
化	fa5	
北	pə5	
匙	tʃʰɿ˗2	
匠	tɕiɔ̃6	
匣	ɕia5	
匪	fei3	
匹	pʰi5	
匾	piɛ̃3	
匿	ȵie5	
區	tɕʰy1	
十	ʃɿ˗5	
千	tɕʰiɛ̃1	
升	ʃən1	
午	u3	
半	põ5	
卑	pei1	
卒	tsəu5	
卓	tso5	
協	ɕie5	
南	lã2	
博	po5	
卜	pʰu5	
占	tʃã1	
卡	kʰa3	
卦	kua5	
卯	mau3	
印	in5	
危	uei2	
即	tɕi5	
卵	lõ3	
卷	tɕyɛ̃5	
卸	ɕie5	
卻	tɕʰio5	
厄	ŋə5	
历	li5	
厚	xei6	
原	yɛ̃2	
厥	tɕye5	
厭	iɛ̃5	
厲	li5	
去	tɕʰie5-	
去	tɕʰy5=	
參	tsʰã1	～加
參	sɛ̃1	人～
又	iəu6	
叉	tsʰa1	
及	tɕi5	
友	iəu3	
反	fã3	
叔	ʃəu5	
取	tɕʰi3	
受	ʃəu6	
叛	pʰõ5	
叟	səu3	
叢	tsʰən2	
口	kʰei3-	
口	kʰəu3-	
古	ku3	
句	tɕy5	
另	lin6	
叨	tau1	
叩	kʰei3	
只	tʃɿ˗3	～有
叫	tɕiau5	
召	tʃau6	
叭	pʰa1	
叮	tin1	
可	kʰo3	
台	tai1	
史	ʃɿ˗3	
右	iəu6	
司	sɿ1	
吁	ɕy1	
各	ko5	
吆	iau1	～喝
合	xo5	
吊	tiau5	
同	tən2	
名	miã2-	～字
名	min2=	
后	xei6	
吏	li5	
吐	tʰəu3	～痰
吐	tʰəu5	嘔～
向	ɕiɔ̃5	
君	tɕyn1	
吝	ȵin5	
吞	tʰən1	
吟	in2	
吠	fei6	
否	fei3	
含	xã2	
吳	u2	
吵	tsʰau3	
吸	tɕi5-	～奶
吸	ɕi5=	～管
吹	tɕʰy1-	
吹	tʃʰuei1=	
吻	uən3	
吼	xei3	
吾	u2	
呂	lei3	
呆	tai2	
呆	ŋai2	～板
呈	tʃən2	
告	kau5	
周	tʃəu1	
味	uei6-	
味	uei5=	
呸	pʰei3	
呼	fu1	
命	miã6-	拼～
命	min5=	～令
和	xo2	～氣
和	xo6	～面
咎	tɕiəu5	
咏	yn5	
咒	tʃəu5	
咕	ku6	～口：漱口
咨	tsɿ1	
咬	ŋau3	～牙
咬	ŋa5	本字嚙。～你一口
咳	kʰə5	
咸	xã2	
哀	ŋai1	
品	pʰin3	
哄	xən2	
哇	ua1	老～：烏鴉
哈	xa1	
哈	xa3	(存疑)傻：～里～氣
員	yɛ̃2	
哥	ko1	
哦	o1	
哨	sau5	
哪	la3	
哭	kʰu5	
哲	tʃə5	
哼	xɛ̃1	
哽	kən3	
唆	so1	
唇	tʃən2	
唐	tɔ̃2	
售	ʃəu5	
唯	uei2	
唱	tʃʰɔ̃5	
唾	tʰo5	
啃	kʰɛ̃3	
啄	tso5	
商	ʃɔ̃1	
問	uən6	
啞	ŋa3	
啟	tɕʰi3	
啪	pʰa3	
囉	lo2	
啼	ti2	
善	ʃɛ̃6	
喇	la6	
喉	xei1	
喊	xã3	
喘	tɕʰyɛ̃3	
喚	xõ5	
喜	ɕi3	
喝	xo5	
喧	ɕyɛ̃1	
喪	sɔ̃1	～事
喪	sɔ̃5	～命
喫	tʃʰɿ˗5	
喫	tɕʰia5	～飯
喬	tɕiau2	
單	tã1	
喲	io1	
喻	y5	
嗅	ɕiəu5	
嗅	ɕin5	
嗆	tsʰɔ̃5	
嗇	sə5	
嗉	səu5	
嗎	ma5	
嗓	sɔ̃3	
嗜	ʃɿ˗6	
嗝	kə6	
嗟	tɕie1	
嗤	tʃʰɿ˗1	
嘉	tɕia1	
嘔	ŋei3	
嘗	ʃɔ̃2	
嘮	lau2	
嘴	tsei3	
嘹	liau2	
嘻	ɕi3	
噎	ie5	
噓	ɕy1	
器	tɕʰi5	
噴	pʰən5	～香
噴	fən5	～水
嚇	xa5	
嚙	ŋa5	俗作咬。～你一口
嚴	ȵiɛ̃2	
嚷	iɔ̃5	
嚼	tɕʰio5	
囂	ɕiau1	
囊	lɔ̃2	
囑	tʃəu5	
囚	tɕiəu2	
四	sɿ5	
回	fei2	
因	in1	
囤	tən1	
囪	tsʰən1	
困	kʰuən5	
固	ku5	
圈	tɕyɛ̃1	豬～
圈	tɕʰyɛ̃1	圓～
國	kuə5	
圍	uei2	
園	yɛ̃2	
圓	yɛ̃2	
圖	təu2	
團	tõ2	
圞	lõ2	～的：圓的
土	tʰəu3	
在	tai6-	
在	tsai6=	
圭	kuei1	
地	ti6-	
地	ti5=	
址	tʃɿ˗3	
均	tɕyn1	
坍	tʰa5	
坎	kʰã1	
坐	tso6	
坑	kʰən1	
坛	tã2	
壩	pa5	
坡	pʰo1	
坤	kʰuən1	
坦	tʰã3	
坪	piã2-	
坪	pin2=	
坳	ŋau1	
垂	tʃuei2	
型	ɕin2	
垛	to3	
垮	kʰua3	
埂	kən3	
埃	ŋai1	
埋	mai2	
城	tʃən2	
域	y5	
埠	pu5	
執	tʃɿ˗5	
培	pei2	
基	tɕi1	
堂	tɔ̃2	
堅	tɕiɛ̃1	
堆	tei1	
堡	pau3	
堤	ti2	
堪	kʰã1	
堯	ȵiau2	
堰	iɛ̃5	
報	pau5	
場	tʃɔ̃2	
堵	təu3	
塊	kʰuai3	
塌	tʰa5	
塑	so5	
塔	tʰa5	
塘	tɔ̃2	
塢	u1	
填	tiɛ̃2	
塵	tʃən2	
境	tɕin5	
墊	tiɛ̃5	
墓	mo6	
墜	tʃuei5	
增	tsɛ̃5	
墟	ɕy1	
墨	mia5	～黑的：很黑
墨	mə5	
墩	tən1	
墳	fən2	
墻	tɕiɔ̃2	
墾	kʰən3	
壁	pia5-	～直的：很直
壁	pi5=	
壓	ŋa5	
壓	ia5	
壕	xau2	
壘	lei3	
壞	fai6	
壠	lən3	
壤	iɔ̃5	
壩	pa5	
士	ʃɿ˗6	
壬	ȵin2	
壯	tsɔ̃5	
壯	tʃɔ̃5	
壺	fu2	
壽	ʃəu6	
复	fu5	
夏	ɕia6	
夕	ɕi5	
外	uai6	
多	to1	
夜	ia6-	～裏
夜	ie6=	
夠	kei5-	
夠	kəu5=	
夢	mən6	
大	ta6-	～夫
大	tei6-	～小
大	ta5=	～家
天	tʰiɛ̃1	
太	tʰai5	
夫	fu1	
央	iɔ̃1	
失	ʃɿ˗5	
夷	i2	
夾	ka5	
奇	tɕi2	
奈	lai5	
奎	kʰuei2	
奏	tsʰəu5	
契	tɕʰi5	
奔	pən1	
套	tʰau5	
奚	ɕi2	
奠	tiɛ̃5	
奢	ʃə1	
奧	ŋau5	
奪	to5	
奮	fən5	
女	y3	
奴	ləu2	
奶	lai3	
奸	kã1	
好	xau3	～壞
好	xau5	喜～
如	y2	
妃	fei1	
妄	ɔ̃6	
妒	təu5	
妓	tɕi6	
妖	iau1	
妙	miau5	
妥	tʰo3	
妨	xɔ̃1	
妹	mei6-	
妹	mei3=	
妻	tɕʰi1	
妾	tɕʰie5	
姆	m̩1	～媽：媽媽
姊	tsɿ3	
始	ʃɿ˗3	
姐	tɕia3-	～夫
姐	tɕie3=	小～
姑	ku1	
姓	ɕin5	
委	uei3	
姘	pʰin1	
姚	iau2	
姜	tɕiɔ̃1	
姨	i2	
姪	tʃɿ˗5	
姻	in1	
姿	tsɿ1	
威	uei1	
娃	ua2	
娘	ȵiɔ̃2	
娛	y2	
娩	miɛ̃3	
娶	tɕʰi3	
婆	po2	
婚	fən1	
婢	pei5	
婦	fu5	
婿	ɕi5	
媒	mei2	
媚	mei5	
媳	ɕi5	
媽	ma1	
嫁	ka5-	
嫁	tɕia5=	
嫂	sau3	
嫌	ɕiɛ̃2	
嫡	ti5	
嫩	lən6	
嬉	ɕi1	
嬌	tɕiau1	
嬰	in1	
嬸	ʃən3	
孀	sɔ̃1	
子	tsɿ3	
孔	kʰən3	
孕	yn5	
字	tsɿ6	
存	tsən2	
孝	xau5-	
孝	ɕiau5=	
孟	mən5	
季	tɕi5	
孤	ku1	
孩	xai2	
孫	sən1	
孵	fu6	
學	ɕio5	
孽	ȵie5	
孿	lõ2	
宅	tsʰə5	
宇	y3	
守	ʃəu3	
安	ŋã1	
宋	sən5	
完	yɛ̃2	
宏	xən2	
宗	tsən1	
官	kõ1	
宙	tʃəu6	
定	tin6	
宛	õ3	
宜	ȵie2	
客	kʰə5	
宣	ɕiɛ̃1	
室	ʃɿ˗5	
宦	xõ5	
宮	kən1	
宰	tsai3	
害	xai6	
宴	iɛ̃5	
宵	ɕiau1	
家	ka1-	～娘
家	kã1-	人～
家	tɕia1=	作～
容	in2	
宿	səu5	
寂	tɕʰi5	
寄	tɕi5	
密	mi5	
寇	kʰei5	
富	fu5	
寐	mei5	
寒	xã2	
寓	y6	
寞	mo5	
察	tsʰa5	
寡	kua3	
寢	tɕʰin3	
寥	liau2	
實	ʃɿ˗5	
寧	ȵin2	
寨	tsai5	
寨	sai5	
審	ʃən3	
寫	ɕia3	
寬	kʰõ1	
寵	tʃʰən3	
寶	pau3	
寸	tsʰən5	
寺	tsɿ6	
封	xən1	
射	ʃa5-	～箭
射	ʃə6=	
將	tɕiɔ̃1	
專	tɕyɛ̃1	
尊	tsən1	
尋	tɕin2	
對	tei5	
導	tau6	
小	ɕiau3	
少	ʃau3	多～
少	ʃau5	～年
尖	tɕiɛ̃1	
尚	ʃɔ̃5	
尤	iəu2	
尬	ka5	
就	tɕiəu6	
尸	ʃɿ˗1	
尹	yn3	
尺	tʃʰa5-	～子
尺	tʃʰɿ˗5=	
尼	ȵie2	
尽	tɕin3	
尾	uei3	
尿	ȵiau6	
局	tɕy5	
屁	pʰi5	
居	tɕy1	
屆	kai5	
屈	tɕʰy5	
屋	u5	
屍	ʃɿ˗1	
屎	ʃɿ˗3	
屐	tɕi5-	
屐	tɕi1=	
屑	ɕie1	
展	tʃɛ̃3	
屜	tʰi5	
屠	təu2	
屢	lei6	
層	tsɛ̃2-	
層	tsən2=	
履	li3	
屬	ʃəu5	
屯	tən1	
山	sã1	
岐	tɕi2	
岔	tsʰa5	
岡	kɔ̃1	
岩	ŋai2	
岳	io5	
岸	ŋã6	
岺	lin3	
峯	xən1	
島	tau3	
峻	tsən5	
峽	ɕia5	
崇	tsən2	
崔	tsei1	
崖	ŋai2	山～
崗	kɔ̃1	
崩	pən1	
崽	tsai3	
嵌	kʰã1	
嶺	liã3-	
嶺	lin3=	
川	tɕʰyɛ̃1	
州	tʃəu1	
巡	sən2	
巢	tsau2	
工	kən1	
左	tso3	
巧	tɕʰiau3	
巨	tɕy5	
巫	u1	
差	tsɿ1	參～
差	tʃʰɿ˗1	參～
