#漢字	音標	解釋
□	tɑ1	爸爸
□	tsʰɑ1	掀翻，他发起火来就会～台子
□	hɑ1	～子：疯子
□	hɑ1	1.雨受风影响而从斜里打上来。例雨～进来咧，快点关窗洞。2.棍棒等从侧面横扫过来
□	kʰuɑ1	
□	hɑɤ1	～欠。哮喘
□	hɑɤ1	～辣气。腌制的咸内变质后的味道
□	ɕiɑɤ1	用细长物桶进去。也作“销”
□	ho1	因长期不锻炼或其他原因而致使身体缺少力量。人歇～辣咧
□	tɔ1	两腿分开
□	kʰɔ1	塞；把物品塞到……里
□	tɕiɔ1	～手，手疾，手指不能伸直。也作“瘸”
□	tɕiɔ1	觉得无法对付，我见则你～佬
□	əɯ1	赖皮行为，耍无赖，～面皮
□	hən1	撕、撕破，勿要弄书一辣则啊
□	hən1	揭开，～锅突
□	pʰoŋ1	用话让对方感到懵然
□	pʰoŋ1	～和。纸牌的一种玩法
□	lɑ2	～甩。1.形容不整洁或不会整理。2.说话或做事粗野、随便、不拘小节
□	ɡɑ2	抱孩子
□	ŋɑ2	～进来，挤进来
□	zɑɤ2	胃有不舒膜的空腹感
□	zɑɤ2	肠蠕动频繁，腹泻前兆
□	zɑɤ2	有舆论在流传。最近外头又～猪肉涨价格事体的
□	diɑɤ2	跑；逃跑
□	ɡæi2	～呼气、嗳气。俗语：少吃有滋味，多吃～呼气
□	ɦæi2	哭。～财头（民俗，哭丧会带来财源，所以要多哭）
□	ʑyo2	在袋子里掏。～钞票
□	ɡɔ2	～食，一面吃一面霸食物
□	dʑiɔ2	喊、叫。～他过来一蹛
□	dzei2	拉或收拾绳索等。弄头绳～起来则。或作“筹”
□	zei2	吸（出或进）、吃牛奶顶好弄吸管～，水泵弄塘里格水～光则咧
□	kʰəʔ2	～男豁：人的下身两腿交义的地方
□	ɑ3	表皮淤血，紫癜症状
□	pʰɑɤ3	“不好”合音
□	fɑɤ3	“勿好”合音
□	pʰiɑɤ3	“不要”合音。西片村镇为主
□	fiɑɤ3	“勿要”合音
□	tæi3	～粥锅
□	kʰo3	扣住，用盆状物翻过来合住
□	tɕʰyo3	空～：说话没依据
□	tɕʰyo3	打扑克俗语，以王牌扣压
□	tɕʰyo3	衣物等因霉变而失去纤维
□	tʰei3	倒，弄垃圾～辣则
□	tʰən3	淌。勿做奈办，有则～来吃的吧？
□	tsən3	用力扭紧或把其中的水挤出
□	tsən3	闷热，空气湿度大。天格种～法，估计要落雨咧
□	tsən3	办法。格细佬勿肯念书，你还拿他没～
□	tʰin3	扑克中的十点。英文ten音译
□	tʰoŋ3	移动物品
□	bu4	1.形容人肥胖后腰围放大。2.堆放的物品从底部逸出
□	ɡu4	1.物品过多或挤压过紧致使外壳或包装向外逸出。2.人过胖致使身体向外围明显扩展
□	ʑiɪ4	拧，～耳朵
□	bɑ4	～～则：表示为难不满情绪，相当于“怎么办呢”
□	dzɑ4	掷、砸（出去），弄砖头～远点点
□	ɡuɑ4	歪斜到了一边
□	ɡɑɤ4	～秤，克扣斤两
□	zæi4	很；非常、例：“格本书～好看得。”
□	ɡæi4	饱嗝
□	ɡo4	没有牙齿的人靠牙龈咬食品
□	dʑyo4	重叠使用。马马虎虎能对付。收入还～～
□	ɡəɯ4	又，饱嗝
□	dʑiəɯ4	形容许多东西聚或堆在一起，树上格草果～煞到上的
□	ʑiəɯ4	嬉戏。勿要～列，他会哭的
□	zɑŋ4	物品堆放不牢固而泻下来。稻～出来咧
□	iɛ5	两样东西放在一起比较大小或好坏等，两人～～个头（个子）
□	huɑ5	鸡等找食把东西扒开散乱
□	tsʰɑɤ5	～痒
□	piɑɤ5	“不要”合音。西部村镇为主
□	fiɑɤ5	“勿晓”合音，不知道
□	fæi5	“勿会”合音
□	hæi5	试。～还勿要～：试也不要试
□	ho5	在植物的生长过程中，次要植物遮盖了主要植物的阳光而露，抑制了生长
□	kɑŋ5	锻打翻新铁器，～锄头
□	kɑŋ5	两臂相撞比力气。～手臂
□	ɑŋ5	
□	tʰən5	露头。洞里格老鼠～出来咧。菜芽～出来咧
□	kʰən5	身上的污垢
□	tʰin5	1、预留。～点菜拨来晏格人吃。2.把多余的剩下来
□	tʰin5	打麻将或纸牌等待最后一张就可和时叫～
□	tsʰoŋ5	向一边歪料。草堆～勒一边咧，当心倒
□	dʑi6	～蛾：扁桃体肿大
□	liɪ6	甩出去
□	liɪ6	打，～你一顿
□	ɦiɛ6	～忌：注意、当心
□	dɑɤ6	在液态物品中搅拌，～架糊。也作“搅”
□	zɑɤ6	嘈杂
□	ɡɑŋ6	～币：资金等欠缺
□	ɡɑŋ6	船只搁浅
□	ɦuɑŋ6	动物的血加盐烧煮后凝结的块状物，像豆腐
□	ɡuən6	量词，表示种在地里的一横排（蔬菜）。割一～韭菜
□	huaʔ7	
□	huaʔ7	跨越。～上马背
□	huaʔ7	～沙蟹，
□	huaʔ7	～菜水：均匀地浇菜水
□	huaʔ7	横辩、再勿听话，相信我～你两个耳光𠲎？
□	səʔ7	～草：去草老的方法
□	zaʔ8	～角：一般指不规则的小角落或边角着又
□	ȵiɔʔ8	揉捏面粉等
㔢	ʑiəʔ8	锯。弄木头～断则、也作“截”
㞞	zoŋ2	
㫰	lɑŋ6	晾晒。～衣裳
一	iəʔ7	
丁	tin1	
七	tɕʰiəʔ7	
丈	dzɑ2	又，动词
丈	dzɑ6	～量
三	sɑ1	
上	zɑ4	又，动词
上	lɑ6	又，表示方位
下	kʰuɑ1	
下	ɦɔ4	又
下	ɑŋ5	
不	ɑŋ5	
丐	kæi5	
丑	tsʰei3	
專	tɕyo1	
世	sɿ5	
丘	tɕʰiəɯ1	
丙	pin5	
業	ȵiəʔ8	
叢	dzoŋ2	又
叢	zoŋ2	又
東	kʰuɑ1	
東	toŋ1	
絲	sɿ1	
丞	dzən2	
丟	tei1	
兩	liɛ4	
嚴	ȵiɪ2	
並	bin6	
个	kəɯ3	
个	kəʔ7	又
丫	ɔ1	
中	tsoŋ1	
丰	foŋ1	
串	tɕʰyo1	
臨	lin2	
丸	ɦo2	
丹	tɑ1	
爲	ɦuæi6	
爲	tiəʔ7	
主	tɕy3	
丽	li6	
舉	tɕy3	
乃	lɑ4	
久	tɕiəɯ3	
麼	mɔ1	
麼	məʔ7	
麼	mɔʔ8	
義	ȵi6	
之	tsɿ1	
烏	u1	
乍	tsɔ5	
乎	fu1	
乏	vaʔ8	
乒	pʰin1	
喬	dʑiɑɤ2	
乖	kuɑ1	
乘	dzən2	又，～法
乘	tsʰən5	又，～车
乙	iəʔ7	
乜	miəʔ8	
九	tɕiəɯ3	
乞	tɕʰiəʔ7	
