#漢字	音標	解釋
□	tsʰɿ1	受～tsʰuen42③：被訓斥
□	si1	白～子：白鰷魚
□	ly1	滾動
□	kʰɑ1	容器未盛滿
□	lʊ1	討好
□	lə1	～巴子：鍋巴
□	tsʰə1	鐃鈸
□	ɳə1	前綴：～生(很生)
□	xə1	撕扯
□	mo1	～罾子：罾
□	lo1	前綴：～稀咕(很稀)
□	ʈʰo1	前綴：～臭咕(很臭)
□	ʂo1	～刀：柴刀
□	ɳo1	放～：撒嬌；～聲～氣
□	ko1	～巾：圍巾
□	o1	前綴：～酸咕(很酸)
□	o1	摳或撓
□	le1	前綴：～䐬咕(很脆)
□	tsue1	發～：瘟疫(主要用於牲畜)
□	tɕin1	吮吸
□	mɑŋ1	前綴：～高巴大
□	tsɑŋ1	性格執拗
□	tɕiɑŋ1	～咖哩：歪了
□	i2	副詞，常用於否定句中，相當於「一點都」：～要不得(一點都不好)
□	pɑ2	(原文作𱖾)坡地，山坡
□	tsɑ2	痰；唾沫
□	ŋɑ2	磨蹭
□	xuɑ2	～子：棺材(安葬夭折的小孩用)
□	lə2	～饞：饞
□	po2	～船：划船
□	io2	～手：搖手
□	te2	提請別人注意時所用的一個詞：～，你又冇關門
□	ui2	～鴨蛋：鹹鴨蛋
□	tɕiɑu2	前綴：～清咕
□	xɑŋ2	恨；討厭
□	tʰi3	謄寫
□	pʰɑ3	～伴：攀比
□	pʰɑ3	～者：把重物掛在扁擔的一端扛着
□	ɳɑ3	給別人東西時的提示語，意義上相當於「給」
□	kɑ3	一～風：一股風
□	lʊ3	誘哄：～者渠莫哭
□	lə3	～咐：反復叮囑
□	ŋə3	狗吠
□	liə3	混雜
□	pʰo3	用力關門：把扇門～合
□	tso3	前綴：～白咕(很白)
□	ʈo3	量詞：一～米(一把米)
□	ʈo3	～筷子：握筷子
□	ʂo3	碰撞
□	xo3	往碗外撥拉(飯菜)
□	pio3	賴着不走；有病硬撐着不去就醫，含貶義
□	lio3	～舌子：把舌頭伸出來
□	io3	唱～：作揖
□	pʰe3	～眼：斜眼
□	tsʰe3	摁
□	xe3	～住：管住，制止住
□	ŋe3	～屎：用力排解大便
□	ŋe3	硌
□	ue3	～嘴巴：歪嘴
□	lɑu3	～天房：廂房
□	ʈʰen3	顫抖：腳～(腿顫)
□	tsʰuən3	訓斥
□	iɑŋ3	(原文作⿰口甬)帶～：欲嘔
□	ɳoŋ3	遊逛：莫每日到外頭～
□	ɳoŋ3	抖：把灰～咖
□	i5	熄滅
□	ʈy5	～出來：掏出來
□	tɕʰy5	～腳布：擦腳布
□	y5	～桶：尿桶
□	pʰɑ5	～lɑ⓪：髒
□	pʰɑ5	用冷水使熱的東西變涼
□	pʰɑ5	(貨)～者：包圓兒
□	lɑ5	煎
□	xɑ5	杯子拿～渠打爛哩：杯子被他打破了
□	tsuɑ5	～～毛：劉海
□	tsʰʊ5	蹲
□	ʈʰʊ5	～咖哩：丟了
□	ʈʰʊ5	～病：得病
□	xʊ5	太～累哩：太費力了
□	ʊ5	喊
□	pə5	打～工：幫忙
□	pʰə5	大～：很多
□	tsʰə5	翻動
□	liə5	～腦殼：搖頭
□	po5	藏匿：躲～(捉迷藏)
□	ʈo5	剛
□	io5	形容詞前綴：～苦咕(很苦)
□	tʰe5	比賽
□	tʰe5	～介：還是
□	tsʰue5	～雨：驟雨
□	ue5	～後日：大後天
□	ui5	～濕：沾水使濕
□	lin5	～尖：很尖
□	suən5	前綴：～白咕(很白)
□	mɑŋ5	病疼等嚴重、厲害
□	mɑŋ5	～實：扎實；壯實
□	ʈʰɑŋ5	借
□	xɑŋ5	蒼蠅等在食物上叮
□	koŋ5	腫
□	tɕioŋ5	～一腳：踩一腳
□	ɕi6	象聲詞，像鞭炮的引線燃燒之聲
□	lɑ6	～早咕：很早
□	ŋɑ6	拖延：今日～明日；依賴、指盼：～別個
□	kuɑ6	折斷
□	lə6	～瘡子：疥瘡
□	tsə6	錯
□	tsə6	沖洗
□	tsoŋ6	～得：有時
□	tɕi7	～指甲
□	ki7	～脈：把脈
□	tɕʰy7	～死：找死(罵人語)
□	lɑ7	～癟咕：很癟
□	tsuɑ7	～錘：長柄木錘，夯上用具
□	tsuɑ7	磕、碰
□	suɑ7	～咖哩：丟了，掉了
□	lʊ7	從低處往高處擱
□	tɕʰiʊ7	～報：指人很兇很壞
□	tɕio7	形容詞前綴：～淡咕(不夠鹹)
□	ue7	～者：捂着
㞎	po3	～～：糞便(小兒用語)
㞞	tsɑŋ2	～相：醜陋令人討厭的樣子
㧸	pʰo1	轟，趕
㧺	tʰɑ7	塗，抹，～口水
㩳	sɑŋ3	猛推
㪕	tsʰʊ5	
㪗	tʰiə3	抻～：(衣服)平整
㫰	loŋ6	晾
㲃	tɕiɑu5	擰：把蓋子～緊；～轉隻腦殼：扭轉頭
㸊	lɑ5	燙(物)：用開水～一下
㼽	soŋ3	～磚子：斷磚；量詞：一～(一截)
㽹	xue3	嘔吐
㾃	tʊ2	(身體上的)疙瘩
㿭	tsʰo7	
㿸	mɑ6	油～
䁊	uɑ7	眼睛下陷
䇔	lʊ1	～子：下肢殘廢的人
䇘	xu6	撥～子：繞棉紗的工具
䋎	tsɑ5	縫補；釘(被子、釦子等)
䏘	pʰi5	麻～：屄
䏧	ɳo5	不～腮：不好
䐬	tsə1	脆
䐬	tsə2	肚～：肚子餓
䐿	ŋə3	～鹽：加鹽浸漬；(因接觸刺激性的東西而)使人疼痛或使物受腐蝕
䞀	xə2	～心：貪婪之心
䠍	ʈo6	跨
䵋	xue3	顏色褪去
一	i5	
丁	tin1	
七	tsʰi7	
丈	ʈoŋ6	
三	sɑ1	
上	ʂoŋ6	～去
下	xo6-	～去
下	ʂo6=	～游
不	pʰu7	
丐	kə5	乞～
丑	ʈʰɑu3	
且	tsʰi3	
丕	pʰe1	
世	sɿ5	
丘	ʈʰɑu1	
丙	pin3	
丞	ʈen2	
丟	tiɑu1	～失
並	pin6	～排
丫	ŋo1-	～開
丫	io1=	～環
