#漢字	音標	解釋
□	hai1	大
□	hãi1	呻吟
□	laŋ1	疏～～：極稀疏
□	pĩ1	逼，強～
□	ĩ1	給嬰孩催眠：～囝仔
□	piã1	亂丟
□	piei1	竹～：竹片
□	hiei1	眼斜視
□	tsim1	吻：相～
□	in1	他們
□	liau1	痹：腳～手軟
□	ŋiãu1	搔癢
□	ɡiaŋ1	鈴：～仔
□	su1	煙～：身軀
□	kua1	菜不幼嫩
□	muã1	覆蓋
□	suã1	取直：～過去
□	nuĩ1	穿，～入被內
□	suĩ1	骹～：屁股
□	pʰun1	洗米水
□	sun1	剩
□	ha2	～草：捆草束稻草
□	tan2	響
□	dzi2	紊亂
□	sĩ2	鹽漬物：橄欖～
□	siã2	引誘：～囡仔
□	dzim2	掏
□	kin2	倒餘水
□	tsiau2	均勾
□	siau2	移動：～桌
□	siam2	抱
□	pʰu2	油炸：～油條
□	ku2	加衣：～裘仔
□	hua2	合算：無～
□	tʰŋ3	推操
□	ŋãi3	用齒小咬
□	lau3	騙
□	bɔu3	妻子
□	sam3	毛髮垂亂貌：頭頭～～
□	kam3	遮
□	ham3	杖打
□	tʰaŋ3	生～：有言無實
□	tsĩ3	幼嫩：～雞
□	ĩ3	嫩芽：～仔
□	pʰiã3	-～肉
□	tsiã3	～色：淺色
□	pʰiei3	
□	kʰin3	水淺
□	tʰiam3	勞苦
□	tun3	返回
□	tʰun3	來回碾壓：～肉脯
□	tɔu5	滲透
□	ɡan5	淬火
□	tsam5	跺腳
□	ham5	浮誇
□	taŋ5	用大拇指按
□	laŋ5	～空：空出位子
□	kʰaŋ5	～毛仔：用指甲夾起毛來
□	haŋ5	腫脹
□	tʰim5	～頭：點頭
□	lim5	稍睡
□	sim5	上下抖動
□	pʰiu5	不受拘束
□	siu5	嚇～：打噴嚏
□	kiu5	縮小：新布～水
□	liɔŋ5	用腳～
□	lian5	掉落：～落來
□	hian5	異味：臭～
□	tiam5	躲藏
□	ɡiaŋ5	外露：～齒
□	lu5	來回磨擦
□	u5	～燒
□	sua5	接續
□	nuã5	癱倒：～在路邊
□	suĩ5	用繩勒緊
□	pʰuɛ5	竹～：竹片
□	kʰuɛ5	放置：～在床頭
□	sɛ6	包下來
□	tɛ̃6	緊握
□	bau6	～面：頁面條
□	kʰam6	關門
□	tʰaŋ6	釣魚浮標
□	kaŋ6	打擊：～人
□	ɡɛŋ6	相靠
□	hɛŋ6	饋送：～餅
□	tĩ6	滿：水～
□	ia6	撤：～沙
□	siã6	～籃：把籃子做完整
□	tio6	跳動
□	ɡio6	有意說人短處取樂
□	tim6	鍋裏蒸燉：～雞
□	tʰin6	奉陪：～人坐
□	tʰiau6	痹
□	kiau6	～人：對人罵粗話
□	kʰiu6	軟而韌：糕仔真～
□	iaŋ6	背：～囝仔
□	bu6	噴：～水
□	tu6	抵住：～門
□	lu6	滑：～倒
□	tsu6	墊：尿～仔
□	su6	滑
□	tsua6	趟，去一～
□	sua6	帶：～路
□	tʰuĩ6	剩菜重煮
□	tʰuɛ6	老～：老而變呆癡
□	suɛ6	淌，目滓～落下：眼淚流下
□	nuɛ̃6	抓取一部分
□	sun6	檸
□	koʔ7	～來：又來
□	tʰɛʔ7	赤身
□	sɛʔ7	懷根
□	kɛʔ7	割草刀
□	kʰɛʔ7	合眼
□	lɔk7	煮爛
□	lɔk7	搖盪：～竿
□	bat7	曾經
□	kʰat7	挹取缸底水
□	at7	折
□	lap7	凹
□	lap7	騙
□	hap7	夾合
□	bak7	沾染：～手
□	tsak7	嘈～：找人麻煩
□	hak7	～田厝：買田宅
□	piʔ7	向上
□	hiaʔ7	那麼：～好
□	hiãʔ7	挾抱：～衫仔
□	tioʔ7	抽動：～衫仔裾
□	kioʔ7	好～：人品出眾
□	ɡioʔ7	用眼調情
□	ɡioʔ7	翹走
□	ioʔ7	猜
□	kit7	刺人
□	kit7	濃稠：～粥
□	dziɔk7	追
□	hiat7	丟：～出去
□	kʰiap7	損壞：～去
□	hiap7	悶熱
□	tiak7	用手指彈
□	tsuʔ7	擠：～牙膏
□	kuʔ7	強吞：～落去
□	kʰuʔ7	隨地隱身：～在牆邊
□	tsuaʔ7	搖動：地會～
□	tsuaʔ7	漾出：水～出來
□	suaʔ7	跳動：目～
□	pʰut7	砍
□	tʰoʔ8	憨～：戇癡
□	hɛʔ8	環行
□	tsat8	稠密
□	tak8	一種農具
□	kʰiʔ8	膠著：～鼎
□	pĩʔ8	要
□	sioʔ8	魚肉不鮮：～味
□	kʰip8	抓
□	tʰit8	舒展：～骨
□	siɔk8	上下抖動
□	kiɔk8	悲傷
□	pʰiat8	禽類扇翼
□	iat8	搧：～風
□	tsiap8	頻繁：很～來
□	kʰiap8	用腳夾：～緊緊
□	tsuʔ8	擠出
□	puaʔ8	～倒：摔倒
□	tsuaʔ8	移位：走～
□	huaʔ8	跨越
□	pʰuɛʔ8	泡沫：水～
□	but8	杖打
□	tʰut8	踏～：踩空
□	lut8	擠物
□	ut8	騙取
㖹	pun2	吹
𡢃	kan3	～仔：奴婢
㢨	kuã6	一～炮仔
㨻	tsã6	～米：舀米
㬹	tɛ̃1	腳後～：腳後跟
㾦	pʰiaʔ8	
㾪	san3	瘦
䂭	kauʔ8	滾轉
