#漢字	音標	解釋
□	mi1	(动词，相当于捏)
□	tɕi1	(表示捏的动作)
□	y1	(表示浇肥)
□	tʰa1	(表示把什么东西打扁)
□	lia1	(指鞋后跟踩下拖着穿)
□	lia1	～佢，表示骗
□	tɕia1	～八子，一种吃起来涩的野果
□	ia1	(五指合拢，量词或动词，相当于抓，一～米，～东西)
□	lo1	(表示找事情做，或找人)
□	tso1	(相当于“使”“放”，～力、～盐)
□	so1	(表示从高处滑下来)
□	tai1	量词，一～树
□	lai1	(用手抓)
□	lau1	(表示毒死)
□	lau1	(表示看望)
□	tsʰau1	(用水冲)
□	kʰau1	(表示认为)
□	piau1	(表示并脚跳)
□	tʰiau1	(屋梁上的那块板子)
□	liau1	(表示摇晃)
□	tɕiau1	(程度副词，表示完全，～干、～湿)
□	ɕiau1	(表示推，～门)
□	miɛ1	(动词,相当于捏)
□	tɕyɛ1	(表示人笨)
□	men1	(同潜水)
□	pʰaŋ1	(追、赶)
□	tiaŋ1	(相当于贴)
□	tsɿ2	(表示别人)
□	lia2	(表示困、累)
□	tɕʰia2	(表示跨，～门槛)
□	tɕio2	(量词，表示少)
□	lɯ2	(相当于“抱”，～柴)
□	kʰai2	(形容小孩调皮)
□	ŋai2	(表示慢)
□	tsʰau2	(相当于饿)
□	kau2	～～表示一种状态
□	liau2	(相当于焯)
□	liau2	(表示惹，不要去～他)
□	tʰã2	(相当于“熏”)
□	paŋ2	(藏)
□	loŋ2	～米，指筛米或指啰里吧嗦
□	pʰu3	软～～，词缀，表示性状的程度
□	kʰu3	(油茶、油菜籽榨油后压成的残渣)
□	ɕy3	～屋，表示人修房子
□	pa3	(表示人的粪便)
□	ma3	(表示摸)
□	pʰia3	(表示扇耳光)
□	tɕia3	(表示涩)
□	tɕʰia3	(表示树枝，或做量词)
□	lo3	(表示用花言巧语骗东西)
□	tɕiɯ3	(表示把东西扶稳)
□	pʰai3	(表示陷进污泥)
□	pʰai3	(表示只有一头挑着东西)
□	tai3	(表示踢)
□	au3	(相当于“折”，～断)
□	pʰiau3	(与螺纹相对的纹路)
□	kʰiɛ3	(表示碰到)
□	pã3	(表示摔倒)
□	tsʰã3	相当于“扇”，～两耳光
□	sã3	(表示抱住)
□	ã3	(表示一种痴迷，多为贬义)
□	ã3	(表示菜坏了散发出的一股气味，～气)
□	iɛ̃3	(表示厉害)
□	tuã3	(表示拦阻)
□	tsuã3	(动词，相当于戳，把东西～烂了)
□	tʰen3	(表示一种起伏的状态)
□	ken3	(表示整数)
□	en3	(用力拉屎的粗俗说话，～屎打屁)
□	tʰuen3	(向他人借钱或借东西)
□	nuen3	(表示倒了，～了)
□	pʰaŋ3	(把土弄碎)
□	pʰaŋ3	(碰到，～到别人身上了)
□	aŋ3	(碰撞)
□	poŋ3	(相当于搂、抱)
□	i5	(表示熄灭)
□	vu5	(表示地面又湿又脏)
□	ɕy5	～窠，表示动物做窝
□	y5	(动词，表示给小孩喂饭)
□	y5	名词，表示用来施肥的人的粪便
□	pa5	(动词，表示敷药)
□	ma5	(相当于“径直”，～直走过去)
□	sa5	(表示男方入赘)
□	tia5	(指走路一顿一顿的)
□	lia5	～干，表示将最后的液体导出或晾干
□	lia5	(量词，表示四分之一)
□	ȵia5	(表示小，～～唧)
□	tʰo5	(表示叠加，把锅子～到火上)
□	tʰo5	(表示东西掉落)
□	tsʰo5	(表示丢失)
□	lio5	(拟声词，唤狗)
□	tɕiɯ5	(同“歪”)
□	tɕʰiɯ5	(相当于“拧”)
□	ai5	(取暖、或保持温度的一种方式)
□	xuai5	～线
□	au5	(表示骗)
□	liau5	(表示弯曲)
□	ŋã5	(触着突起的东西,一种不舒服的感觉)
□	pʰiɛ̃5	(表示让一让)
□	lyã5	(在地方打滚)
□	ɕyã5	(表示把东西扔出去的动作)
□	pen5	(用力往外扯)
□	kʰen5	(表示拖延)
□	uen5	(表示淹没，淹死)
□	taŋ5	～姑，特指女性的少数名族
□	tʰaŋ5	～下，试一下
□	naŋ5	～～:指鞋跟
□	xaŋ5	(表示做事随便，不认真)
□	ɕiaŋ5	磨～工，表示做事不认真
□	toŋ5	(东西入水后就提起)
□	tɕʰiəŋ5	～起，表示身上某个部位弯曲
䋎	tsã5	(缝)
一	i5	
丁	ten1	
七	tɕʰi1	
万	uã1	
丈	tsʰaŋ1	
三	sã1	
上	saŋ1	～去
下	xa3	～去
下	xa5	底～
丐	kai5	
丑	tsʰɯ3	
專	tɕyã1	
且	tɕʰiɛ3	
世	sɿ5	
丘	tɕʰiɯ1	
丙	pen3	
業	ȵiɛ5	
東	toŋ1	
絲	sɿ1	
丞	tsʰen5	
兩	liaŋ3	
嚴	ȵiɛ̃2	
喪	saŋ1	
个	ko5	
丫	ŋa1	～开，表示张开
丫	ia1	～环
中	tsoŋ1	～间
中	tsoŋ5	～枪
丰	foŋ1	
串	tɕʰyã5	
臨	nen2	
丸	yã2	
丹	tã1	
主	tɕy3	
丽	li5	
舉	tɕy3	
久	tɕiɯ3	
義	ȵi1	
烏	vu1	
乎	fu1	
樂	lo5	
樂	io5	～队
乒	pʰen1	
乓	pʰaŋ1	
喬	tɕʰiau2	
乖	kuai1	
乘	tsʰen5	
乙	iɛ5-	
九	tɕiɯ3	
也	ia3	
習	ɕi5	
鄉	ɕiaŋ1	
書	ɕy1	
買	mai3	
亂	luã1	
乾	tɕʰiɛ̃2	
了	liau3	
爭	tsaŋ1-	(抢)
事	sɿ1	
二	au1	
虧	kʰuei1	
雲	yn2	
互	fu1	
五	vu3	
井	tɕiaŋ3-	
亞	ia1	
交	tɕiau1	
亥	xai1	
產	tsʰã3	
畝	moŋ3	
享	ɕiaŋ3	
京	tɕin1	
亭	tʰen2	
亮	liaŋ1	
親	tsʰen1	～戚
親	tsʰen5	～家
人	nen2	
億	i5	
僅	tɕʰin5	
仆	pʰu2	
今	tɕiɛ1	
今	tɕin1	
介	kai5	
从	tsʰoŋ2	
仑	nuen2	
倉	tsʰaŋ1	
仗	tsaŋ5	
付	fu1	
仙	ɕiɛ̃1	
代	tʰai1	
令	nen1	
以	i3	
儀	ȵi2	
仰	iaŋ3	
件	tɕʰiɛ̃3	
價	tɕia5	
任	nen1	
份	fen1	
仿	faŋ3	
企	tɕʰi3	
伍	vu3	
伏	pʰu5	
休	ɕiɯ1	
衆	tsoŋ5	
優	iɯ1	
伙	xo3	
會	xuai1	开～
會	kʰuai3	～计
會	kuai5	～计
傘	sã3	
偉	uei3	
傳	tɕʰyã2	
伢	ŋa5	(指男孩)
傷	saŋ1	
僞	uei3	
伯	pi1	
估	ku3-	打～
估	ku1=	～计
伴	pʰã3	
伴	pʰuã3	
伸	sen1	
佃	tiɛ̃5	
但	tã1	
位	uei1	
低	ti1	
住	tɕy1	
佐	tso3	
佑	iɯ5	
體	tʰi3	
何	xo2	
余	y2	
佛	fu2	
作	tso5	
你	ȵi3	
佢	tɕi3	
佣	iəŋ1	
佩	pʰai5	
佳	tɕia1	
使	sɿ3	
侄	tsai5	
例	li1	
侗	toŋ5	
供	koŋ5	
依	i1	
僥	tɕiau3	
偵	tsen1	
側	tɕʰiɛ5	
侮	vu1	
侵	tsʰen5	
便	pʰiɛ̃2	～宜
便	pʰiɛ̃3	方～
促	tsʰɯ5	
俄	ŋo2	
俊	tsuen5	
俏	tɕʰiau5	
俗	sɯ2	
俘	fu2	
保	pau3	
信	sen5	
修	sɯ1	
俱	tɕʰy1	
倍	pʰai1	
倒	tau3	打～
倒	tau5	～车
候	xɯ1	
借	tɕia5	
倡	tsʰaŋ1	
値	tsʰai5	
倭	o1	
債	tsai5	
假	tɕia3	
偏	pʰiɛ̃1	
做	tsɯ5	
停	tʰen2	
健	tɕʰiɛ̃1	
偶	ŋɯ3	
偷	tʰai1	
傀	kʰuei3	
傍	pʰaŋ1	
傢	ka1	
儲	tɕʰy3	
催	tsʰuei1	
傲	ŋau5	
傻	xa3	
像	tɕʰiaŋ1	
僜	tʰen5	(表示走路或说话断断续续)
僧	sen1	
僵	tɕiaŋ1	
儒	y2	
儡	luei3	
允	yn3	
元	yã2	
兄	ɕiəŋ1	
充	tsʰoŋ1	
兆	tsʰau1	
先	ɕiɛ̃1	
光	kaŋ1	
克	kʰiɛ5	
免	miɛ̃3	
兌	tuei5	
兔	tʰɯ5	
黨	taŋ3	
兜	tai1	
入	ȵia5	(男女交合之意)
全	tɕʰyã2	
八	pa1	
公	koŋ1	
六	lɯ5	
蘭	nã2	
共	kʰoŋ1	
關	kuã1	
興	sen1	～旺
興	ɕin1	高～
兵	pen1	
其	tɕʰi2	
具	tɕʰy1	
典	tiɛ̃3	
養	iaŋ3	
兼	tɕiɛ̃1	
內	luei1	
岡	kaŋ1	
冊	tɕʰiɛ5	
冒	mau5	
冗	loŋ3	
寫	ɕia3	
軍	tɕyn1	
農	loŋ2	
冠	kuã1	
冤	yã1	
冥	men2	
冬	toŋ1	
馮	foŋ2	
冰	pen1	
冲	tsʰoŋ1	
冲	tsʰoŋ5	(指脾气暴躁)
决	tɕyɛ5	
况	kʰaŋ1	
冷	naŋ3	
凍	toŋ5	
淨	tsʰen3	
準	tɕyn3	
凉	liaŋ2	
減	kã3	
湊	tsʰɯ5	
几	tɕi3	
凡	fã2	
鳳	foŋ5	
凭	pʰen2	
凱	kʰai3	
凳	ten5	
凶	ɕiəŋ1	
出	tɕʰy1	
函	xã2	
鑿	tsʰo5	
刀	tau1	
刁	tiau1	
