#漢字	音標	解釋
□	mi1	密，沒有縫
□	tsi1	女陰
□	lu1	不尖
□	lo1	溫暖
□	le1	砸爛
□	tsʰie1	好鬥
□	tue1	端坐
□	tʰɯ1	滑倒
□	lɯ1	滑倒
□	lɯ1	剃髪
□	poi1	揩油
□	loi1	斜倒
□	hoi1	相摩擦而過
□	kiu1	貪污
□	mau1	蒙住
□	dzau1	亂搶亂哄
□	tsʰiou1	攪拌使均勻
□	siã1	
□	iã1	陽光反射而耀眼
□	nuã1	凍瘡
□	pẽ1	用手拉住
□	pʰẽ1	分
□	mẽ1	用手抓起
□	tẽ1	
□	hãi1	大
□	hãi1	呻吟
□	nõi1	微醉
□	õi1	小草把
□	ãu1	臉腫
□	hiõu1	掀開
□	tiŋ1	把冷食物熱一下
□	tsiŋ1	親嘴
□	luŋ1	畏縮貌
□	maŋ1	魚名
□	laŋ1	疏
□	piaŋ1	打耳光
□	liaŋ1	金光閃閃
□	ŋiaŋ1	物體表面凝結
□	poŋ1	打耳光
□	pʰoŋ1	砍
□	loŋ1	戲弄
□	peŋ1	暴哂
□	nɯŋ1	橙紅色
□	pʰi2	訓人
□	bi2	秤上分量不足
□	ta2	俗，的～：嗩吶
□	tsa2	多
□	ha2	捆
□	tua2	洗滌；洗去
□	kua2	走路搖搖擺擺
□	ua2	拖拖拉拉
□	so2	慢，無力
□	ko2	擋住，絆
□	kʰo2	再三請求
□	le2	亂來
□	dze2	手腳不麻利
□	lie2	從表面上刮去，或從邊上剪去
□	sue2	垂頭喪氣
□	kɯ2	推頂
□	hui2	陶瓷
□	tsau2	均勻
□	tsʰau2	移動
□	hiou2	玩
□	hã2	攔，趕
□	ã2	想多占東西
□	hiã2	翻開
□	tʰuã2	懶散
□	tẽ2	阻擋
□	tʰẽ2	高舉
□	hẽ2	飽
□	ŋõi2	嘲諷
□	piŋ2	從
□	tsuŋ2	一陣子
□	tsaŋ2	用水沖洗
□	saŋ2	無精打彩
□	tuaŋ2	篩選
□	koŋ2	糊塗
□	tsɯŋ2	蒼蠅等爬
□	tʰi3	張開
□	pʰu3	俗，性交
□	tʰu3	小兒胖
□	la3	惹
□	dza3	哄搶
□	hia3	語氣詞
□	tsʰua3	歪斜
□	pʰe3	漂亮
□	dze3	哄搶
□	he3	恐嚇
□	tʰue3	爛
□	sue3	一直條
□	tʰɯ3	苦鬥
□	dzɯ3	擦去，擾亂
□	bai3	醜
□	ŋai3	詼諧
□	huai3	口語不正
□	liu3	挖掘
□	kʰiu3	用手指抓
□	lou3	恨，討厭
□	hã3	黃昏
□	piã3	把容器裏的東西勻到另一容器裏
□	nuã3	坐在地下
□	huã3	看不清
□	uãi3	腳扭了
□	kʰõi3	肩膀相碰
□	ãu3	說話不清
□	tʰiŋ3	坐，放置
□	haŋ3	扔
□	tsʰoŋ3	擾亂
□	tʰɯŋ3	用肘部擊人
□	tsɯŋ3	吮，舔
□	bi4	笑貌
□	mi4	不是
□	tsʰi4	髒
□	ɡi4	傻
□	tu4	頂嘴
□	lu4	突起物
□	na4	火往上燃
□	la4	夠了
□	kia4	陡
□	ia4	背，動詞
□	so4	懸掛物像鐘擺一樣晃動
□	le4	哥～：椰子菜
□	pʰie4	帽
□	pue4	狽佩貝悖
□	kʰɯ4	笑聲
□	boi4	不會
□	liu4	鏟
□	niou4	往上拉褲子
□	liou4	牲畜跑
□	tĩ4	滿
□	tsʰĩ4	有權勢
□	hã4	反問語氣詞
□	niã4	魚的旁鰭
□	iã4	搧
□	puã4	亂掃亂打
□	tẽ4	捏
□	nẽ4	很
□	tsʰẽ4	銅鐃鈸
□	suãi4	頭大而光
□	nõi4	看
□	hõi4	門虛掩
□	õi4	水面飄浮物
□	hiõu4	掀，揭
□	iõu4	掀，揭
□	tsʰiŋ4	撼動
□	iŋ4	微濕
□	puŋ4	掙扎
□	uŋ4	水漬紙布等
□	kʰaŋ4	相撞
□	tsʰiaŋ4	瘸子走路
□	kuaŋ4	掙扎
□	poŋ4	拼在一起
□	soŋ4	隆起
□	koŋ4	在水中攪動而使混
□	kʰoŋ4	骷髏，頭
□	tseŋ4	追趕
□	tsʰeŋ4	突起
□	eŋ4	容器裏的液體波動
□	tʰɯŋ4	幸災樂禍
□	ŋɯŋ4	脾氣執拗
□	ŋ4	小兒大便
□	ni5	
□	li5	撕
□	dzi5	傻笑貌
□	u5	煨
□	tʰa5	揭散
□	la5	使乾，使涼
□	ka5	稀
□	ŋa5	愚蠢
□	ia5	疲乏
□	sua5	繼續
□	hua5	微臭味
□	ua5	靠
□	pʰo5	胖大
□	lo5	愚蠢
□	kʰo5	大頭
□	te5	過濾
□	le5	亂扔亂砸
□	tsʰe5	好鬥
□	se5	扔，爭鬥
□	e5	蠢而嬌慣
□	tsʰie5	笑
□	tʰɯ5	用力擦去
□	lɯ5	用力擦去
□	mai5	不要；不愛
□	nai5	臉皮厚
□	lai5	一種味覺
□	toi5	布條，屎～
□	loi5	劈開
□	tsoi5	麻線
□	oi5	擁擠
□	pʰiu5	脫
□	tiu5	用鞭子等抽
□	tʰiu5	抽出來
□	tsʰiu5	洗刷
□	mui5	不怕
□	ŋau5	皮粗有疙瘩
□	tsʰiou5	有權勢
□	dziou5	用爪子抓
□	hĩ5	甩
□	pʰã5	不實
□	ã5	擁著小兒哄其入睡
□	niã5	朝
□	tsuã5	滋生
□	kʰuã5	寬闊
□	tẽ5	假裝
□	tʰẽ5	高舉
□	ẽ5	傻
□	niẽ5	抬頭
□	hiẽ5	那麼
□	tsʰõi5	積極鼓動
□	liŋ5	輪子在地上滾動
□	siŋ5	背微駝
□	hiŋ5	悶著
□	buŋ5	從床、桌等的下面鑽過
□	huŋ5	鑽孔
□	naŋ5	泥～
□	laŋ5	空出來
□	siaŋ5	撞
□	poŋ5	爆炸
