#漢字	音標	解釋
□	ȵiɑ1	老～
□	tsʰɿ1	
□	ʒʅ1	～～地窜
□	luε1	～出去:扔
□	ɕyə̃1	～你:哄骗
□	tɑ̃1	～螂
□	ȵiɑ̃1	乜个样的合音
□	vε2	花里～:青蛙
□	lε3	～嘴
□	ŋɪ3	与俺相对的第二人称
□	mɔ3	
□	tʃʰʊ3	
□	ŋɑ̃3	～柴禾
□	ʃʊŋ3	头发很～
□	xu5	这～儿的我不要:样
□	tʃε5	～子
□	tʃʰuʌ̃5	
□	nɑ̃5	
〇	liəŋ2	～蛋
㚍	kʰuɪ5	
擓	kʰuε3	
㩟	tʃε5	～□子
䝼	tsʰiəŋ2	～受
钁	tɕyə3	
一	i3	
丁	tiəŋ1	
七	tsʰi3	
万	vʌ̃5	
丈	tʃɑ̃5	
三	sʌ̃1	
上	ʃɑ̃5	
下	ɕiɑ5	
不	pu3	
与	y5	
丑	tʃʰʊ3	
專	tʃuʌ̃3	
且	tsʰiə3	
丕	pʰɪ1	
世	ʃʅ5	
丘	tɕʰiʊ1	
丙	piəŋ1	
業	iə5	
叢	tsʰʊŋ2	
東	tʊŋ1	
絲	sɿ1	
丟	tiʊ1	
兩	liɑ̃3	
嚴	iʌ̃2	
喪	sɑ̃1	
喪	sɑ̃5	
个	kə5	
丫	iɑ1	
中	tʃʊŋ1	
中	tʃʊŋ5	
丰	fəŋ1	
串	tʃʰuʌ̃5	
臨	liə̃2	
丸	vʌ̃2	
丹	tʌ̃1	
爲	vɪ2	～人
爲	vɪ5	
主	tʃu3	
丽	li5	
舉	tɕy3	
乃	nε5	
久	tɕiʊ3	
義	i5	
烏	vu1	
乍	tʃɑ5	
乎	xu1	
乏	fɑ2	
樂	luə5	
樂	yə5	
乒	pʰiəŋ1	
乓	pʰɑ̃1	
喬	tɕʰiɔ2	
乖	kuε1	
乘	tʃʰəŋ2	
乙	i3	
乜	ȵiə1	
九	tɕiʊ3	
也	iə1	
習	si2	
鄉	ɕiɑ̃1	
書	ʃu1	
買	mε3	
亂	luʌ̃5	
乳	ʒu3	
了	liɔ3	
爭	tʃəŋ1	
事	ʃʅ5	
二	ɯ5	
于	y5	
虧	kʰuɪ1	
雲	yə̃2	
互	xu2	
五	vu3	
井	tsiəŋ3	
亞	iɑ5	
些	siə1	
亡	vɑ̃3	
交	tɕiɔ1	
產	tʃʰʌ̃3	
畝	mu3	
享	ɕiɑ̃2	
京	tɕiəŋ1	
亭	tʰiəŋ2	
亮	liɑ̃5	
親	tsʰiə̃1	
親	tsʰiəŋ5	～家
人	ʒə̃2	
億	i2	
仁	ʒə̃2	～义
仁	iə̃2	长果～儿
僅	tɕiə̃3	
仆	pʰu3	
仇	tʃʰʊ2	
今	tɕiə̃1	
介	tɕiε5	
从	tsʰiʊŋ2-	
从	tsʰʊŋ2=	
倉	tsʰɑ̃1	
仔	tsɿ3	
他	tʰɑ3	
仗	tʃɑ̃5	
付	fu5	
仙	siʌ̃1	
代	tε5	
令	liəŋ5	
以	i3	
仨	sɑ1	
仰	iɑ̃3	
件	tɕiʌ̃5	
價	tɕiɑ5	
任	ʒə̃5	
份	fə̃5	
仿	fɑ̃3	
企	tɕʰi1	～图
企	tɕʰi3	～业
伍	vu3	
伏	fu2	
伐	fɑ2	
休	ɕiʊ1	
衆	tʃʊŋ5	
優	iʊ1	
伙	xuə3	
會	kʰuε5	～计
會	xuɪ5	
傘	sʌ̃3	
偉	vɪ3	
傳	tʃʰuʌ̃2	
傳	tʃuʌ̃5	
傷	ʃɑ̃1	
倫	luə̃2	
伯	pɪ3	
估	ku3	
伴	pʌ̃5	
伶	liəŋ2	～～俐俐
伸	tʃʰə̃1	
伸	ʃə̃1	
伺	tsʰɿ5	
但	tʌ̃1	
位	vɪ5	
低	ti1	
住	tʃu5	
佑	iʊ5	
體	tʰi3	
何	xə2	
余	y2	
佛	fə2	
作	tsuə3	
你	ȵi3	
佣	iʊŋ5	
佩	pʰɪ5	
佳	tɕiɑ1	
使	ʃʅ3	
侄	tʃʅ2	
例	li5	
供	kʊŋ5	
依	i1	
俠	ɕiɑ2	
侣	ly3	
偵	tʃəŋ1	
側	tʃɪ3-	～棱
側	tsʰə5=	
僑	tɕʰiɔ2	
侯	xʊ2	
侵	tsʰiə̃2	
便	pʰiʌ̃2	～宜
便	piʌ̃5	
促	tsʰu3	
促	tsʰu5	～蚱儿
俄	ŋə2	
俊	tsyə̃5	
俏	tɕʰiɔ5	
俗	sy2	
俘	fu3	
保	pɔ3	
信	siə̃5	
倆	liɑ3	
儉	tɕiʌ̃3	
修	siʊ1	
俱	tɕy5	
俺	ŋʌ̃3	
倍	pɪ5	
倒	tɔ3	
倒	tɔ5	～车
倔	tɕyə2	
候	xʊ2	
候	xʊ3	用眼盯着等待
倚	i3	
借	tsiə5	
倡	tʃʰɑ̃5	
值	tʃʅ2	
傾	tɕʰiʊŋ1	
假	tɕiɑ3	
偎	vɪ1	
偏	pʰiʌ̃1	
做	tsu5	
停	tʰiəŋ2	
健	tɕiʌ̃5	
偪	tʃɑ1	～挲
偶	ŋʊ1	
偷	tʰʊ1	
償	tʃʰɑ̃2	
傅	fu5	
傍	pɑ̃5	
傢	tɕiɑ1	
儐	piə̃1	
