#漢字	音標	解釋
□	tsɿ1	内心像抓挠般难受：心里～
□	ŋa1	张开嘴：～口看看
□	ma1	～稀：不爱整洁
□	so1	吸面粉之类：～碗粉
□	xo1	哄小孩：～细伢唧
□	xo1	形容很嫩：～嫩
□	lai1	无精打采：～起～起
□	ɲiau1	抬起：～嘴巴、～脚
□	çiau1	掀翻：～桌子
□	ləu1	铁锈：～铁
□	lin1	偷偷地：～哒出去
□	pu2	一绺：一～头发
□	lia2	爬,通常指不太高的地方
□	lai2	遗忘：～塌哒
□	lai2	用脚在地上蹭：～泥巴
□	ŋai2	拖延：～时间
□	ŋau2	～实：老年人身体好
□	kʰõ2	弯曲:一般指老年人：～背
□	sən2	抠门的人：～老倌
□	tʂʰʅ3	搭理：莫～他
□	pʰa3	拟声词，如炸裂的声音：气球～了
□	ma3	偷走东西：～起走
□	la3	～糊：不爱卫生或不精致
□	tsa3	～鱼：用酒腌制的鱼
□	pʰa3	炸裂：气球～了
□	pʰia3	～淡的：形容很淡
□	kua3	～鸡蛋：没能孵出小鸡的蛋
□	ua3	打～：干呕
□	po3	物品很次：你这鞋太～了
□	lo3	将食物用舌头揉搓：咬不动，～下子算了
□	kʰo3	敲击：～脑壳
□	kuai3	把事情办砸：～哒场
□	ɸei3	小孩吐：～奶
□	ɸan3	吵骂：就听他～
□	kʰan3	谷物等坏了：米～了
□	kʰuan3	常形容食物不结实致密：～泻
□	uan3	舀：～汤
□	tsən3	物品老旧而易碎：棉絮～哒
□	ŋən3	被硬物顶住：～脚
□	çin3	做事冲动不聪明：～头
□	tɕi5	～～：指乳房或奶水
□	ma5	形容很旧：～旧
□	tsa5	～子：小灌木丛，荆棘丛
□	tɕia5	形容很湿：衣服打的～湿的
□	tʂua5	～～叫
□	po5	蛋～～:儿语
□	ʂo5	丑：样子～；智障：～愚；骗：莫～我
□	lie5	歪：字写～哒；脾气不好，不按正道思考：发～
□	tɕiəu5	拧干水或掐人：～被窝
□	pan5	摔跤：莫～哒
□	man5	因小而胀：衣服～烂哒
□	tan5	顶端：～头
□	kuan5	形容很绿：～绿的
□	mən5	拉扯：～长
□	in5	量：～米
