#漢字	音標	解釋
□	pu1	(凹)
□	lʊ1	蜕皮，脱皮
□	ʊ1	～尿，撒尿
□	tsʰiɛ1	刺，动词
□	tsʰuɛ1	～眼闭，打盹儿
□	lai1	(掏)
□	tsʰai1	(端)
□	tsuai1	(蹲)
□	naɯ1	(看)
□	aŋ1	(生病时的呻吟)
□	ʐʊ2	(怎么)
□	tiɛ2	后～，后来，后边
□	ɕiɛ2	边～，旁边
□	luɛ2	(缝衣服)
□	baɯ2	(划动)
□	ʂaɯ2	(傻)
□	ȵen2	～娘，祖母
□	tsiaŋ2	背～骨，脊梁骨
□	lyŋ2	～狗，公狗
□	tʂʰʅ3	～药:搽药
□	ŋa3	(我们)
□	tsuɛ3	(戳)
□	lai3	(丢)
□	tsai3	(跑)
□	sai3	～田，耕田
□	tʰen3	(跌)
□	ʂen3	(故意做得嬉皮笑脸的，不严肃)
□	pʰaŋ3	(抖)
□	tʂaŋ3	(扶)
□	ȵaŋ3	鼻～︱鼻涕
□	kaŋ3	夜～，夜里
□	dzuŋ3	(撵)
□	tʂʰuŋ3	～伙，合伙
□	ʂʅ5	大～，大家
□	bu5	伙、群，量词
□	tsua5	(踢)
□	ua5	～火闪，闪电
□	fo5	(炸)
□	dzo5	(竹织的装东西的器皿)
□	ɕyɛ5	(扔)
□	næ5	起鸡皮～，起鸡皮疙瘩
□	tʂʰai5	(跺)
□	uai5	(溺水)
□	dəɯ5	(床)
□	liəɯ5	(涏)
□	ȵiaɯ5	(看)
□	puŋ5	(凸)
□	luŋ5	(巷)
□	tʂuŋ5	(唠叨)
□	si6	(看)
□	lʊ6	(找)
□	uaŋ6	(碰)
一	i2	
丁	ten1	
七	tsʰi2	
万	væ6	
丈	tʂaŋ6	
三	sæ1	
上	ʂaŋ6	～山
上	ʂaŋ6	～面
下	xo6-	底～
下	ʂa6	～降
下	ʂa6=	底～
不	pu5	
与	y3	及︱给～
丐	kai5	
丑	tʂʰəɯ3	
專	tɕyɛ1	
且	tsʰiɛ3	
丕	pʰəɯ1	
世	ʂʅ5	
丘	tʂʰəɯ1	
丙	pen3	
業	ȵiɛ2	
東	tuŋ1	
絲	sɿ1	
丞	dʐen2	
丟	tiəɯ1	
兩	liaŋ3	几～
兩	liaŋ3	～个
嚴	ȵiɛ2	
嚴	ŋæ2	(刚好)
喪	saŋ1	婚～
喪	suaŋ3	～失
个	ko5	～人︱一～
丫	ia1	～头
丫	ŋo1	～开，张开
中	tʂuŋ1	
中	tʂuŋ1	当～
中	tʂuŋ5	射～
丰	fuŋ1	
串	tɕʰyɛ5	
臨	len2	
丸	tsʰuɛ1	
丸	yɛ2	肉～︱弹～
丹	tæ1	
爲	y2	作～
爲	y6	～什么
主	tʂu3	
舉	tɕy3	
乃	nai3	
久	tʂəɯ3	
義	ȵi6	
之	tʂʅ1	
烏	u1	
乍	tso5	
乎	fu1	
乏	fo2	
樂	lʊ2	
樂	iʊ2	音～
喬	dʐaɯ2	
乖	kua1-	
乖	kuai1=	
乘	tʂʰai5	
乙	i2	
九	tʂəɯ3	
乞	tɕʰi5	
也	iɛ3	者～︱～是
習	si2	
鄉	ʂaŋ1	
書	ʂu1	
買	ma3-	
買	mai3=	
亂	luɛ6	
乳	ʐu3	
乾	dʑiɛ2	～坤
了	liaɯ3	～结
爭	tsen1	
事	sɿ6	
二	ɚ6	
于	y2	～此
亏	kʰy1	
云	uen2	
互	fu6	
五	u3	
井	tsæ3-	
井	tsen3=	
亞	ia3	
些	siɛ3	
亡	vaŋ2	
交	tʂaɯ1	
亥	xai6	
亦	i2	
產	tsʰæ3	
畝	məɯ3	
享	ʂaŋ3	
京	tʂen1	
亭	den2	
