#漢字	音標	解釋
□	tsʰɿ1	皮～：顽皮
□	tsʰɿ5	看
□	zɦɿ6	～杷：枇杷
□	ʃʒ̍1	休息
□	ʃʒ̍1	草～：草帘子
□	ɦʒ̍8	跑
□	pu7	很痒
□	pʰu7	趴
□	kʰʋ1	割：～草
□	tʃʮ3	～□ɲiɛ³¹：为什么
□	ʃʮ3	～略=：夸
□	pa1	睁：眼珠～开
□	pa7	粘
□	pʰa1	柚子
□	bɦa2	跨，跳
□	mɦa2	大拇指和食指或中指伸张的长度
□	fa1	勿啊合音
□	tʰa1	刁，捉【按】“刁”或应作“叼”
□	dɦa6	量词，间：一～屋。趟：□dyœ³¹一～【按】“间”误，应解作“条，排”。俗作“𡉑”，北吴亦作“埭”。
□	sa7	水渗透
□	zɦa6	瘦
□	ka1	绊：～手～脚
□	kʰa5	给
□	ŋɦa2	老～：老鹰
□	taʉ1	盛：～饭
□	tʰaʉ3	喘：～气
□	dɦaʉ6	～死：用毒药毒害致死
□	naʉ5	没有
□	ɲaʉ7	～个：哪个
□	kaʉ5	这里
□	ɡɦaʉ2	～背：驼背
□	haʉ3	那里
□	aʉ3	萎
□	fai1	不要
□	tʰai1	～猪：杀猪
□	tʰai5	～怯：畏怯
□	dɦai2	成年人的阴茎
□	lɦai6	跌：摔倒
□	tsʰai5	砍
□	sai3	小
□	ʋɦe6	饿
□	dɦe6	介词，把
□	ne1	～～：乳房
□	nɦe6	湿
□	zɦe6	性交，亦用于骂人（方言字写作“𠑀”）
□	ɡɦe2	的：表示领属关系的助词
□	ɦe8	又
□	bɦiĕ4	□iɛ³¹～：蜥蜴
□	dʒɦiĕ8	抱
□	ʃiĕ3	很【按】俗作“险”
□	ʃiĕ7	瘸腿
□	jiĕ1	食物变质
□	mɦɛ2	差，凶
□	vɛ7	溺
□	dɦɛ2	推
□	lɛ7	1。疖子
□	lɦɛ8	2。疖子
□	tsɛ5	发怒。本字疑为躁
□	zɦɛ8	砍
□	kɛ1	稻～：稗子
□	ʃiɛ1	喷～：打喷嚏
□	ʃiɛ1	能，乖
□	jɦiɛ2	～□bʱie³¹³-¹³：蜥蜴
□	ɲiɛ5	～儿：谁
□	ɲiɛ7	阿～：姑妈
□	ɲɦiɛ2	～啊ɦa⁰：什么
□	tʰəu7	太
